Date,MS,ADI,VIX,AvgVIX,zscore
2023-01-31,87.6962661743164,162.26641845703125,19.399999618530273,20.202999973297118,2.979056914599264
2023-02-01,88.47115325927734,167.111572265625,17.8700008392334,19.951500034332277,2.7590571188257087
2023-02-02,89.39017486572266,169.67611694335938,18.729999542236328,19.7875,2.750583755600481
2023-02-03,89.58841705322266,169.22189331054688,18.329999923706055,19.58100004196167,2.8286849900763493
2023-02-06,89.11089324951172,168.0200653076172,19.43000030517578,19.49600009918213,2.8227172028289247
2023-02-07,89.39921569824219,171.30380249023438,18.65999984741211,19.33050012588501,2.623361163866763
2023-02-08,89.16492462158203,168.21878051757812,19.6299991607666,19.28300008773804,2.818415482506532
2023-02-09,88.34500885009766,168.93798828125,20.709999084472656,19.264000034332277,2.5873835969389667
2023-02-10,88.69640350341797,168.88121032714844,20.530000686645508,19.34900007247925,2.6664473215906552
2023-02-13,89.58841705322266,170.764404296875,20.34000015258789,19.448500061035155,2.7063018792365066
2023-02-14,90.60658264160156,172.74224853515625,18.90999984741211,19.426000022888182,2.765413818433153
2023-02-15,90.849853515625,185.6501007080078,18.229999542236328,19.320499992370607,1.792919644422868
2023-02-16,89.71456146240234,183.42620849609375,20.170000076293945,19.30299997329712,1.728477293076658
2023-02-17,89.66050720214844,182.36636352539062,20.020000457763672,19.311499977111815,1.8010963536409534
2023-02-21,87.95757293701172,175.98809814453125,22.8700008392334,19.46450004577637,1.9458203695855487
2023-02-22,87.6422119140625,173.896728515625,22.290000915527344,19.619000053405763,2.0448366960332303
2023-02-23,88.24588775634766,175.68527221679688,21.139999389648438,19.72200002670288,2.0310213013893366
2023-02-24,88.02964782714844,173.9264373779297,21.670000076293945,19.869000053405763,2.1246857783989905
2023-02-27,87.12862396240234,174.14512634277344,20.950000762939453,19.99100008010864,1.9161556251851666
2023-02-28,86.94844055175781,174.43032836914062,20.700000762939453,20.029000091552735,1.85529630965155
2023-03-01,86.66912078857422,174.08807373046875,20.579999923706055,20.088000106811524,1.8231847627980622
2023-03-02,86.56999206542969,175.49513244628906,19.59000015258789,20.17400007247925,1.6905153185426338
2023-03-03,88.59730529785156,177.07337951660156,18.489999771118164,20.16200008392334,1.9954524155310494
2023-03-06,88.64234924316406,176.3793182373047,18.610000610351562,20.176000118255615,2.06007679617247
2023-03-07,86.5519790649414,175.82789611816406,19.59000015258789,20.184000110626222,1.660291786265368
2023-03-08,86.40782165527344,177.37759399414062,19.110000610351562,20.206500148773195,1.5067511332911478
2023-03-09,83.07405090332031,174.51589965820312,22.610000610351562,20.35550022125244,1.026438701604812
