Date,PEP,GOOGL,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,134.19436645507812,24.829999923706055,23.18100004196167,-0.39739185511329644
2022-02-01,150.6808624267578,136.5157012939453,21.959999084472656,23.448999977111818,-0.49509274826018024
2022-02-02,153.41748046875,146.7868194580078,22.09000015258789,23.707999992370606,-0.06467423281034493
2022-02-03,153.33004760742188,141.9170684814453,24.350000381469727,23.939000034332274,-0.12577287055475866
2022-02-04,150.81198120117188,142.11839294433594,23.219999313354492,24.119499969482423,-0.42119142376612656
2022-02-07,150.21746826171875,138.05995178222656,22.860000610351562,24.324499988555907,-0.5337450804574618
2022-02-08,150.40109252929688,138.25631713867188,21.440000534057617,24.426500034332275,-0.510002150385537
2022-02-09,150.33111572265625,140.4313201904297,19.959999084472656,24.503999996185303,-0.49559526674904447
2022-02-10,147.2097930908203,137.4836883544922,23.90999984741211,24.818499946594237,-0.8951189532841967
2022-02-11,147.39340209960938,133.18174743652344,27.360000610351562,25.171000003814697,-0.918273609751668
2022-02-14,145.74969482421875,134.41506958007812,28.329999923706055,25.62799997329712,-1.099625111803522
2022-02-15,145.10267639160156,135.48867797851562,25.700000762939453,25.773499965667725,-1.1648797663793795
2022-02-16,145.39990234375,136.6089324951172,24.290000915527344,25.795499992370605,-1.1180827050996969
2022-02-17,145.79339599609375,131.45257568359375,28.110000610351562,25.92150001525879,-1.1253463004220499
2022-02-18,146.6327667236328,129.3340606689453,27.75,25.866499996185304,-1.048257992019017
2022-02-22,147.19232177734375,128.74940490722656,28.809999465942383,25.811999988555907,-0.988239975071563
2022-02-23,145.74090576171875,126.54212951660156,31.020000457763672,25.805000019073486,-1.1827406136340057
2022-02-24,143.2053680419922,131.60330200195312,30.31999969482422,25.723000049591064,-1.4295585250466951
2022-02-25,147.2185516357422,133.35731506347656,27.59000015258789,25.57800006866455,-0.9371024084025871
2022-02-28,143.1616973876953,133.9499053955078,30.149999618530273,25.70250005722046,-1.4102545179786432
2022-03-01,141.87643432617188,132.9625701904297,33.31999969482422,26.127000045776366,-1.5724055350117911
2022-03-02,143.84365844726562,133.46839904785156,30.739999771118164,26.566000080108644,-1.3346984952903973
2022-03-03,143.68960571289062,132.80189514160156,30.479999542236328,26.985500049591064,-1.3598487491487579
2022-03-04,145.87220764160156,130.8252410888672,31.979999542236328,27.367000007629393,-1.1225745529428537
2022-03-07,142.96800231933594,125.34253692626953,36.45000076293945,28.028500080108643,-1.5228738110754514
2022-03-08,138.937255859375,126.06258392333984,35.130001068115234,28.642000102996825,-1.9916124416381529
2022-03-09,138.52359008789062,132.32630920410156,32.45000076293945,29.192500114440918,-1.9751876972521307
2022-03-10,135.98019409179688,131.34393310546875,30.229999542236328,29.706000137329102,-2.285939346445221
2022-03-11,135.29373168945312,128.80592346191406,30.75,30.048000144958497,-2.3935063025234284
2022-03-14,137.19468688964844,124.91854095458984,31.770000457763672,30.268500137329102,-2.209429289833862
2022-03-15,139.9317169189453,128.13894653320312,29.829999923706055,30.3435001373291,-1.8524672500554011
2022-03-16,140.54776000976562,132.18795776367188,26.670000076293945,30.392000102996825,-1.7374680478105269
2022-03-17,141.6390838623047,132.7418975830078,25.670000076293945,30.461000061035158,-1.6027497909882162
2022-03-18,143.26719665527344,135.0096435546875,23.8700008392334,30.249000072479248,-1.3867414583942475
2022-03-21,143.06478881835938,134.98583984375,23.530000686645508,30.038000106811523,-1.4109047345490757
2022-03-22,144.6313018798828,138.721435546875,22.940000534057617,29.744500160217285,-1.1868719620009485
2022-03-23,143.8744354248047,137.1420135498047,23.56999969482422,29.37200012207031,-1.292763899897249
2022-03-24,144.74571228027344,140.41152954101562,21.670000076293945,28.9395001411438,-1.1557344328608
2022-03-25,145.4233856201172,140.51165771484375,20.809999465942383,28.600500106811523,-1.0746213561100697
2022-03-28,145.85462951660156,140.2959747314453,19.6299991607666,28.07450008392334,-1.0259170843698096
2022-03-29,148.01959228515625,141.33734130859375,18.899999618530273,27.353500080108642,-0.7592635137330892
2022-03-30,147.8171844482422,140.77500915527344,19.329999923706055,26.78300008773804,-0.7890410615251169
2022-03-31,147.3067626953125,137.9275360107422,20.559999465942383,26.28700008392334,-0.8790344873054523
2022-04-01,149.40133666992188,139.00164794921875,19.6299991607666,25.669500064849853,-0.6203561950624378
2022-04-04,149.01405334472656,141.7995147705078,18.56999969482422,24.77550001144409,-0.6369465816018017
2022-04-05,149.17250061035156,139.4385528564453,21.030000686645508,24.070499992370607,-0.64283906449135
2022-04-06,151.71591186523438,135.42869567871094,22.100000381469727,23.55299997329712,-0.3841306883835631
2022-04-07,151.8567352294922,134.7746124267578,21.549999237060547,23.11899995803833,-0.3743109231889968
2022-04-08,152.36715698242188,132.19491577148438,21.15999984741211,22.639499950408936,-0.3408968775849619
2022-04-11,151.90072631835938,127.76752471923828,24.3700008392334,22.26949996948242,-0.4421635935580829
2022-04-12,152.5167999267578,126.66758728027344,24.260000228881836,21.99099998474121,-0.3808396522724246
2022-04-13,152.2527618408203,128.8292236328125,21.81999969482422,21.748499965667726,-0.3895010649352041
2022-04-14,151.28468322753906,125.691162109375,22.700000762939453,21.6,-0.5365975213824805
2022-04-18,149.98216247558594,126.6299057006836,22.170000076293945,21.51499996185303,-0.680707814124242
2022-04-19,152.16473388671875,128.9432830810547,21.3700008392334,21.40699996948242,-0.39871274877784124
2022-04-20,154.42654418945312,126.99042510986328,20.31999969482422,21.27599992752075,-0.15183175690615164
2022-04-21,153.87208557128906,123.79136657714844,22.68000030517578,21.23149995803833,-0.25069362691977654
2022-04-22,151.50466918945312,118.65482330322266,28.209999084472656,21.558499908447267,-0.5839607971775431
