Date,BAC,WFC,VIX,AvgVIX,zscore
2022-01-31,41.443817138671875,48.089176177978516,24.829999923706055,23.18100004196167,2.6198299358807375
2022-02-01,42.16239547729492,49.69810485839844,21.959999084472656,23.448999977111818,2.558816925438812
2022-02-02,42.11748504638672,49.993080139160156,22.09000015258789,23.707999992370606,2.483175911941628
2022-02-03,41.70429611206055,49.535160064697266,24.350000381469727,23.939000034332274,2.424402302840733
2022-02-04,43.36600112915039,50.57669448852539,23.219999313354492,24.119499969482423,2.8214862776107306
2022-02-07,43.572601318359375,51.474544525146484,22.860000610351562,24.324499988555907,2.716508794394134
2022-02-08,44.35404968261719,52.749515533447266,21.440000534057617,24.426500034332275,2.745520490854812
2022-02-09,44.26422119140625,53.027854919433594,19.959999084472656,24.503999996185303,2.6568320177584246
2022-02-10,44.0576286315918,53.01887512207031,23.90999984741211,24.818499946594237,2.5832563599562284
2022-02-11,43.04263687133789,52.35446548461914,27.360000610351562,25.171000003814697,2.346382241875917
2022-02-14,42.593544006347656,51.94143295288086,28.329999923706055,25.62799997329712,2.2654913571749966
2022-02-15,42.92587661743164,52.417301177978516,25.700000762939453,25.773499965667725,2.2911574669725634
2022-02-16,42.82707977294922,52.201820373535156,24.290000915527344,25.795499992370605,2.298395124088358
2022-02-17,41.380943298339844,50.415061950683594,28.110000610351562,25.92150001525879,2.1296660573223503
2022-02-18,41.28213882446289,49.94818115234375,27.75,25.866499996185304,2.187402068447708
2022-02-22,40.9228515625,49.63392639160156,28.809999465942383,25.811999988555907,2.1194361506693506
2022-02-23,40.22224044799805,48.439762115478516,31.020000457763672,25.805000019073486,2.1036871498430894
2022-02-24,39.1623420715332,47.326419830322266,30.31999969482422,25.723000049591064,1.9406093595428429
2022-02-25,40.437808990478516,48.583431243896484,27.59000015258789,25.57800006866455,2.153481535317971
2022-02-28,39.7012825012207,47.91900634765625,30.149999618530273,25.70250005722046,2.0182142256392073
2022-03-01,38.147342681884766,45.15357971191406,33.31999969482422,26.127000045776366,2.0067454145820314
2022-03-02,38.767127990722656,46.88646697998047,30.739999771118164,26.566000080108644,1.8847849936436671
2022-03-03,38.351932525634766,46.006553649902344,30.479999542236328,26.985500049591064,1.9100491098411314
2022-03-04,36.9619026184082,43.806793212890625,31.979999542236328,27.367000007629393,1.8447553622366946
2022-03-07,34.6060905456543,41.131160736083984,36.45000076293945,28.028500080108643,1.5226692596955085
2022-03-08,34.83174133300781,41.714759826660156,35.130001068115234,28.642000102996825,1.487769390180584
2022-03-09,37.04314041137695,44.13899230957031,32.45000076293945,29.192500114440918,1.807664599085431
2022-03-10,36.70917510986328,44.00432205200195,30.229999542236328,29.706000137329102,1.712863047362388
2022-03-11,36.40229034423828,43.519474029541016,30.75,30.048000144958497,1.6982859622564803
2022-03-14,37.187557220458984,44.76750564575195,31.770000457763672,30.268500137329102,1.7341024959345481
2022-03-15,37.458343505859375,44.99197006225586,29.829999923706055,30.3435001373291,1.7878140754482563
2022-03-16,38.6317253112793,46.32979202270508,26.670000076293945,30.392000102996825,1.94720521918081
2022-03-17,38.83933639526367,46.222042083740234,25.670000076293945,30.461000061035158,2.044601132575897
