Date,INTC,ADI,VIX,AvgVIX,zscore
2022-01-31,45.27890396118164,152.28564453125,24.829999923706055,23.18100004196167,1.69609794043827
2022-02-01,45.399478912353516,153.58587646484375,21.959999084472656,23.448999977111818,1.7133941888919775
2022-02-02,45.918853759765625,156.8736572265625,22.09000015258789,23.707999992370606,1.7898155534296163
2022-02-03,44.778072357177734,150.47462463378906,24.350000381469727,23.939000034332274,1.6212777772964417
2022-02-04,44.86686325073242,149.55514526367188,23.219999313354492,24.119499969482423,1.63557114626579
2022-02-07,45.02573013305664,149.3601531982422,22.860000610351562,24.324499988555907,1.6599426427022732
2022-02-08,45.61448287963867,151.50552368164062,21.440000534057617,24.426500034332275,1.747883887640414
2022-02-09,46.6424674987793,156.22354125976562,19.959999084472656,24.503999996185303,1.9006265003953267
2022-02-10,45.661216735839844,150.14955139160156,23.90999984741211,24.818499946594237,1.7561301292643456
2022-02-11,44.51173400878906,142.93324279785156,27.360000610351562,25.171000003814697,1.5869440848817173
2022-02-14,44.46500778198242,143.0075225830078,28.329999923706055,25.62799997329712,1.5797618564939204
2022-02-15,45.26870346069336,150.49319458007812,25.700000762939453,25.773499965667725,1.6960298804406777
2022-02-16,45.072452545166016,156.34423828125,24.290000915527344,25.795499992370605,1.6612711017125217
2022-02-17,44.45566940307617,148.99789428710938,28.110000610351562,25.92150001525879,1.5733712277594163
2022-02-18,42.091304779052734,148.93289184570312,27.75,25.866499996185304,1.2131185051420599
2022-02-22,41.76420974731445,149.4158935546875,28.809999465942383,25.811999988555907,1.1628718090768428
2022-02-23,41.72683334350586,145.33868408203125,31.020000457763672,25.805000019073486,1.1605570499683115
2022-02-24,43.661312103271484,149.12779235839844,30.31999969482422,25.723000049591064,1.4522110301794457
2022-02-25,44.58649444580078,151.30230712890625,27.59000015258789,25.57800006866455,1.5913967698740388
2022-02-28,44.5771484375,149.59437561035156,30.149999618530273,25.70250005722046,1.5913888389617883
2022-03-01,43.754764556884766,146.47726440429688,33.31999969482422,26.127000045776366,1.4686502580570084
2022-03-02,45.670555114746094,149.15577697753906,30.739999771118164,26.566000080108644,1.7583773020972011
2022-03-03,44.79209518432617,148.65179443359375,30.479999542236328,26.985500049591064,1.6249263144686636
2022-03-04,44.92293167114258,146.38392639160156,31.979999542236328,27.367000007629393,1.6467451897318042
2022-03-07,44.5584602355957,136.51925659179688,36.45000076293945,28.028500080108643,1.5993835498366398
2022-03-08,44.3902473449707,138.60977172851562,35.130001068115234,28.642000102996825,1.572015937865468
2022-03-09,44.51173400878906,143.3694610595703,32.45000076293945,29.192500114440918,1.5865823484787205
2022-03-10,43.60523986816406,140.51364135742188,30.229999542236328,29.706000137329102,1.4508094884540736
2022-03-11,42.8295783996582,137.75115966796875,30.75,30.048000144958497,1.3348968792060198
2022-03-14,41.49319839477539,135.91262817382812,31.770000457763672,30.268500137329102,1.1327699202435055
