Date,LRCX,XLU,VIX,AvgVIX,zscore
2020-01-30,28.93083381652832,28.52054786682129,15.489999771118164,13.696000051498412,-0.7160171830373628
2020-01-31,27.745498657226562,28.3929500579834,18.84000015258789,14.014500045776368,-0.7294424113072008
2020-02-03,28.697303771972656,28.483505249023438,17.969999313354492,14.211999988555908,-0.7159247177494663
2020-02-04,30.275259017944336,28.199491500854492,16.049999237060547,14.32199993133545,-0.5936773277631757
2020-02-05,30.29572868347168,28.314743041992188,15.149999618530273,14.389999914169312,-0.619442510776204
2020-02-06,30.1003475189209,28.322982788085938,14.960000038146973,14.465499925613404,-0.6283869237927661
2020-02-07,29.34486198425293,28.2324275970459,15.470000267028809,14.611999940872192,-0.6348211934974338
2020-02-10,29.75703239440918,28.339439392089844,15.039999961853027,14.735999917984008,-0.6445585396408333
2020-02-11,30.300386428833008,28.442340850830078,15.180000305175781,14.878999948501587,-0.6486174070245351
2020-02-12,31.13309669494629,28.46293067932129,13.739999771118164,14.946499919891357,-0.6233072428763148
2020-02-13,31.78066062927246,28.77986717224121,14.149999618530273,15.032999897003174,-0.6728265406875348
2020-02-14,31.568510055541992,28.97332191467285,13.680000305175781,15.100999927520752,-0.7249688665779711
2020-02-18,30.269678115844727,29.216167449951172,14.829999923706055,15.237499904632568,-0.8276779611378485
2020-02-19,31.06144905090332,28.89923858642578,14.380000114440918,15.313999891281128,-0.7262276511385816
2020-02-20,30.562753677368164,29.002134323120117,15.5600004196167,15.446499919891357,-0.7678834780260313
2020-02-21,29.475122451782227,28.948623657226562,17.079999923706055,15.651499938964843,-0.7948208470791437
2020-02-24,27.954845428466797,28.61110496520996,25.030000686645508,16.174999952316284,-0.7720568132385772
2020-02-25,27.188188552856445,28.01015281677246,27.850000381469727,16.655999994277956,-0.6615210301449574
2020-02-26,27.595705032348633,27.72614097595215,27.559999465942383,17.219999933242796,-0.5815047817690737
2020-02-27,26.581562042236328,26.47896385192871,39.15999984741211,18.35849995613098,-0.3312898319182445
2020-02-28,27.30076789855957,25.593992233276367,40.11000061035156,19.589499998092652,-0.10182814098466789
2020-03-02,27.942750930786133,27.100492477416992,33.41999816894531,20.318499898910524,-0.42510611078742805
2020-03-03,27.117477416992188,26.76708984375,36.81999969482422,21.26099991798401,-0.37821214170206285
2020-03-04,28.492612838745117,28.28593635559082,31.989999771118164,22.05799994468689,-0.6778763783051882
2020-03-05,27.831100463867188,27.84962272644043,39.619998931884766,23.281499910354615,-0.601407864620384
2020-03-06,27.391948699951172,27.623241424560547,41.939998626708984,24.630499839782715,-0.565193298768107
2020-03-09,24.897544860839844,26.1208553314209,54.459999084472656,26.57999978065491,-0.30969879354237534
2020-03-10,26.755556106567383,26.363712310791016,47.29999923706055,28.192999744415282,-0.2985081861454287
2020-03-11,25.73769760131836,25.03832244873047,53.900001525878906,30.12899980545044,-0.030441151226724653
2020-03-12,22.12959861755371,22.511024475097656,75.47000122070312,33.21549987792969,0.42056326189957577
2020-03-13,24.356048583984375,23.737625122070312,57.83000183105469,35.39949998855591,0.21882152263180213
2020-03-16,19.8677978515625,21.04157066345215,82.69000244140625,38.850000095367434,0.6768770866969169
2020-03-17,21.334104537963867,23.73350715637207,75.91000366210938,41.9040002822876,0.11073348201511163
2020-03-18,18.06281280517578,22.700366973876953,76.44999694824219,45.007500123977664,0.23028717614138966
2020-03-19,18.143760681152344,21.379091262817383,72.0,47.829500102996825,0.5370542314811528
2020-03-20,17.48131561279297,19.683259963989258,66.04000091552734,50.27750015258789,0.9031333100028407
2020-03-23,17.942790985107422,18.67884635925293,61.59000015258789,52.10550012588501,1.1507632088427016
