Date,MNST,HD,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,80.1310043334961,20.969999313354492,19.119499969482423,-1.2499672204197003
2015-02-02,19.59166717529297,80.13863372802734,19.43000030517578,19.201499938964844,-1.201285376196337
2015-02-03,19.44499969482422,82.29500579833984,17.329999923706055,19.071999931335448,-1.3612718413107088
2015-02-04,19.788333892822266,83.19286346435547,18.329999923706055,18.932499885559082,-1.229755160129746
2015-02-05,19.72833251953125,83.63795471191406,16.850000381469727,18.80949993133545,-1.2773423900229837
2015-02-06,19.524999618530273,83.67633819580078,17.290000915527344,18.823499965667725,-1.3785309197515778
2015-02-09,19.323333740234375,83.1391372680664,18.549999237060547,18.873499965667726,-1.4553791003412162
2015-02-10,19.748332977294922,84.92715454101562,17.229999542236328,18.754999923706055,-1.320231909936069
2015-02-11,19.831666946411133,84.65088653564453,16.959999084472656,18.57499990463257,-1.2681128871450265
2015-02-12,19.918333053588867,86.07060241699219,15.34000015258789,18.267999935150147,-1.2836746698464203
2015-02-13,19.623332977294922,85.86337280273438,14.6899995803833,17.88299994468689,-1.4197361376242466
2015-02-17,19.78499984741211,85.94781494140625,15.800000190734863,17.62549991607666,-1.3439810123322895
2015-02-18,20.046667098999023,85.94012451171875,15.449999809265137,17.403499937057497,-1.2154668611627322
2015-02-19,20.18833351135254,85.13438415527344,15.289999961853027,17.22549991607666,-1.1131296953486722
2015-02-20,20.209999084472656,86.13197326660156,14.300000190734863,17.12049994468689,-1.1432855499376209
2015-02-23,20.35333251953125,86.1626968383789,14.5600004196167,17.015499973297118,-1.0743171800263476
2015-02-24,20.801666259765625,89.5929183959961,13.6899995803833,16.9239999294281,-0.9948530196565525
2015-02-25,20.63166618347168,89.25526428222656,13.84000015258789,16.754999971389772,-1.0643423257277982
2015-02-26,20.790000915527344,88.54156494140625,13.90999984741211,16.428499937057495,-0.9576004062185433
2015-02-27,23.520000457763672,88.05812072753906,13.34000015258789,16.157499933242796,0.39967886172506
2015-03-02,23.538333892822266,89.10945129394531,13.039999961853027,15.760999965667725,0.3656941123698835
2015-03-03,23.448333740234375,89.07107543945312,13.859999656677246,15.482499933242797,0.32316830681732855
