Date,BAC,XOM,VIX,AvgVIX,zscore
2020-01-30,28.7337646484375,48.712581634521484,15.489999771118164,13.696000051498412,0.16261958130519136
2020-01-31,28.175912857055664,46.70513153076172,18.84000015258789,14.014500045776368,0.2706599328662988
2020-02-03,28.296070098876953,45.660064697265625,17.969999313354492,14.211999988555908,0.5181402310880132
2020-02-04,28.853923797607422,45.08865737915039,16.049999237060547,14.32199993133545,0.8826893082509001
2020-02-05,29.78940200805664,47.16376876831055,15.149999618530273,14.389999914169312,0.9381396596968873
2020-02-06,29.75507164001465,46.524688720703125,14.960000038146973,14.465499925613404,1.0392639590865107
2020-02-07,29.70357322692871,46.216426849365234,15.470000267028809,14.611999940872192,1.0717676776949483
2020-02-10,29.772232055664062,45.728336334228516,15.039999961853027,14.735999917984008,1.1931924621950396
2020-02-11,29.840890884399414,46.16304397583008,15.180000305175781,14.878999948501587,1.1455098620809492
2020-02-12,29.969621658325195,46.7274055480957,13.739999771118164,14.946499919891357,1.1020477033884846
2020-02-13,29.961044311523438,46.468101501464844,14.149999618530273,15.032999897003174,1.145571331777676
2020-02-14,29.909549713134766,46.25456237792969,13.680000305175781,15.100999927520752,1.1607184091761655
2020-02-18,29.411771774291992,45.66732406616211,14.829999923706055,15.237499904632568,1.0364788979325366
2020-02-19,29.79798126220703,46.018150329589844,14.380000114440918,15.313999891281128,1.1520760025516414
2020-02-20,29.909549713134766,45.652069091796875,15.5600004196167,15.446499919891357,1.2711283218115046
2020-02-21,29.489015579223633,45.095333099365234,17.079999923706055,15.651499938964843,1.1772775511042655
2020-02-24,28.090085983276367,42.982810974121094,25.030000686645508,16.174999952316284,0.912817574778983
2020-02-25,26.67399787902832,41.33549118041992,27.850000381469727,16.655999994277956,0.5551148900769407
2020-02-26,26.287792205810547,40.42793655395508,27.559999465942383,17.219999933242796,0.5415428234956237
2020-02-27,25.000436782836914,37.995086669921875,39.15999984741211,18.35849995613098,0.38775327742029697
2020-02-28,24.459745407104492,39.2305793762207,40.11000061035156,19.589499998092652,-0.09049894592430718
2020-03-02,25.2064151763916,41.09144973754883,33.41999816894531,20.318499898910524,-0.08373061821084282
2020-03-03,23.816070556640625,39.12381362915039,36.81999969482422,21.26099991798401,-0.3707429922333908
2020-03-04,24.365339279174805,39.977970123291016,31.989999771118164,22.05799994468689,-0.27143431510254423
2020-03-05,23.13023567199707,38.21625518798828,39.619998931884766,23.281499910354615,-0.5238749706909881
2020-03-06,22.2060604095459,36.37065124511719,41.939998626708984,24.630499839782715,-0.6161190499484677
2020-03-09,18.941226959228516,31.924423217773438,54.459999084472656,26.57999978065491,-1.3220121729374008
2020-03-10,20.39226531982422,33.10652160644531,47.29999923706055,28.192999744415282,-0.8627762847068752
2020-03-11,19.580371856689453,32.01593017578125,53.900001525878906,30.12899980545044,-1.0410818282810956
2020-03-12,17.714752197265625,28.355234146118164,75.47000122070312,33.21549987792969,-1.2392050153631329
2020-03-13,20.867300033569336,29.072124481201172,57.83000183105469,35.39949998855591,0.09780778309040286
2020-03-16,17.654293060302734,26.30370330810547,82.69000244140625,38.850000095367434,-0.8914122319328862
2020-03-17,18.984413146972656,28.07304573059082,75.91000366210938,41.9040002822876,-0.5961127923987053
2020-03-18,17.956594467163086,25.258880615234375,76.44999694824219,45.007500123977664,-0.5591379798032471
2020-03-19,18.31070899963379,26.25795555114746,72.0,47.829500102996825,-0.5772848067319382
2020-03-20,16.989233016967773,24.96907615661621,66.04000091552734,50.27750015258789,-0.9566052717737111
2020-03-23,15.61592960357666,23.985260009765625,61.59000015258789,52.10550012588501,-1.415970167562278
2020-03-24,18.163883209228516,27.02822494506836,61.66999816894531,53.796500015258786,-0.7868287134173031
2020-03-25,18.224342346191406,28.439115524291992,63.95000076293945,55.61600008010864,-1.017220960390802
2020-03-26,19.623554229736328,29.60597038269043,61.0,56.708000087738036,-0.5793312371967843
2020-03-27,18.656200408935547,28.179824829101562,65.54000091552734,57.97950010299682,-0.7685547778612077
2020-03-30,19.036231994628906,28.599273681640625,57.08000183105469,59.16250028610229,-0.6684106356455375
2020-03-31,18.336627960205078,28.957725524902344,53.540000915527344,59.99850034713745,-1.0599587034917013
2020-04-01,17.075605392456055,28.62215805053711,57.060001373291016,61.252000427246095,-1.5858204993770886
2020-04-02,17.76657485961914,30.810956954956055,50.90999984741211,61.81650047302246,-1.6650906795389548
2020-04-03,17.300174713134766,29.903400421142578,46.79999923706055,62.059500503540036,-1.716015195502558
2020-04-06,18.474824905395508,30.864343643188477,45.2400016784668,61.598500633239745,-1.3449869660763614
2020-04-07,19.122600555419922,31.451568603515625,46.70000076293945,61.568500709533694,-1.1508794161973122
2020-04-08,20.25406837463379,33.44208526611328,43.349998474121094,61.041000556945804,-0.9886390642539093
2020-04-09,21.471904754638672,32.89297866821289,41.66999816894531,59.35100040435791,-0.32077147726374466
2020-04-13,20.660011291503906,32.61079406738281,41.16999816894531,58.51800022125244,-0.6472216217988894
