Date,AMAT,ADI,VIX,AvgVIX,zscore
2020-01-30,56.85920715332031,100.57748413085938,15.489999771118164,13.696000051498412,-0.04486662488391045
2020-01-31,54.72639465332031,98.23245239257812,18.84000015258789,14.014500045776368,-0.017896808997175797
2020-02-03,56.359031677246094,98.45620727539062,17.969999313354492,14.211999988555908,0.07830377373804398
2020-02-04,59.4638786315918,100.65803527832031,16.049999237060547,14.32199993133545,0.12916454870594496
2020-02-05,60.20941162109375,104.43518829345703,15.149999618530273,14.389999914169312,-0.10018033670761348
2020-02-06,59.63374328613281,103.63859558105469,14.960000038146973,14.465499925613404,-0.0807321875824062
2020-02-07,58.23703384399414,100.48798370361328,15.470000267028809,14.611999940872192,0.05701674295115953
2020-02-10,59.378936767578125,101.0518798828125,15.039999961853027,14.735999917984008,0.09400721582335325
2020-02-11,60.82283020019531,104.61419677734375,15.180000305175781,14.878999948501587,-0.0710953268676602
2020-02-12,61.6910514831543,106.34166717529297,13.739999771118164,14.946499919891357,-0.13954459230789623
2020-02-13,63.57849884033203,106.40431213378906,14.149999618530273,15.032999897003174,-0.01375261188271042
2020-02-14,63.08776092529297,105.30339050292969,13.680000305175781,15.100999927520752,0.03419562030086006
2020-02-18,61.68666458129883,106.12686157226562,14.829999923706055,15.237499904632568,-0.12387467309339442
2020-02-19,63.816715240478516,110.88856506347656,14.380000114440918,15.313999891281128,-0.3307410403655106
2020-02-20,62.86054992675781,111.47930908203125,15.5600004196167,15.446499919891357,-0.44075429843486585
2020-02-21,60.844093322753906,109.87713623046875,17.079999923706055,15.651499938964843,-0.4609821707410617
2020-02-24,57.82414627075195,105.04383850097656,25.030000686645508,16.174999952316284,-0.3102968977332307
2020-02-25,55.72247314453125,102.6271743774414,27.850000381469727,16.655999994277956,-0.2758482520067474
2020-02-26,56.62184143066406,102.78828430175781,27.559999465942383,17.219999933242796,-0.2256689697863516
2020-02-27,53.96161651611328,96.93885803222656,39.15999984741211,18.35849995613098,0.02543852247474586
2020-02-28,55.021915435791016,98.13572692871094,40.11000061035156,19.589499998092652,0.009720597557256102
2020-03-02,56.953182220458984,100.13352966308594,33.41999816894531,20.318499898910524,-0.005358755111539705
2020-03-03,54.9461784362793,96.47087860107422,36.81999969482422,21.26099991798401,0.12828552867566137
2020-03-04,57.293983459472656,101.20442962646484,31.989999771118164,22.05799994468689,-0.061437376401313665
2020-03-05,55.978084564208984,97.97373962402344,39.619998931884766,23.281499910354615,0.08785142298986215
2020-03-06,54.70950698852539,96.29090118408203,41.939998626708984,24.630499839782715,0.12531132494099373
2020-03-09,49.29442596435547,87.75069427490234,54.459999084472656,26.57999978065491,0.38610645947695105
2020-03-10,53.17586898803711,92.18727111816406,47.29999923706055,28.192999744415282,0.32446368658596964
2020-03-11,49.69204330444336,84.96099090576172,53.900001525878906,30.12899980545044,0.6210322531985691
2020-03-12,42.705421447753906,81.0013427734375,75.47000122070312,33.21549987792969,0.43259679594788253
2020-03-13,48.17732620239258,89.80252838134766,57.83000183105469,35.39949998855591,0.1563224277832249
2020-03-16,38.36954879760742,74.8819351196289,82.69000244140625,38.850000095367434,0.5879684741905543
2020-03-17,42.46873474121094,85.88789367675781,75.91000366210938,41.9040002822876,0.05287039074868659
2020-03-18,37.09151840209961,74.00000762939453,76.44999694824219,45.007500123977664,0.5652186610786186
2020-03-19,38.04768371582031,81.28032684326172,72.0,47.829500102996825,0.08993328617278111
2020-03-20,35.96494674682617,76.56478118896484,66.04000091552734,50.27750015258789,0.29663738964034697
2020-03-23,38.02873992919922,76.63677215576172,61.59000015258789,52.10550012588501,0.4339224776796207
2020-03-24,42.73381805419922,84.34905242919922,61.66999816894531,53.796500015258786,0.18562101845452325
2020-03-25,42.34567642211914,84.91598510742188,63.95000076293945,55.61600008010864,0.11663716294643908
2020-03-26,46.57740020751953,83.35011291503906,61.0,56.708000087738036,0.5255508997866403
2020-03-27,42.64861297607422,79.79547882080078,65.54000091552734,57.97950010299682,0.5183395164742737
2020-03-30,44.77867889404297,81.86527252197266,57.08000183105469,59.16250028610229,0.5116467946869044
2020-03-31,43.37757110595703,80.67738342285156,53.540000915527344,59.99850034713745,0.5031420805037445
2020-04-01,40.99189758300781,75.67386627197266,57.060001373291016,61.252000427246095,0.7103226161437485
2020-04-02,40.93510055541992,78.92253875732422,50.90999984741211,61.81650047302246,0.46482319249590415
2020-04-03,40.02626419067383,77.89664459228516,46.79999923706055,62.059500503540036,0.4782955832170012
2020-04-06,43.689979553222656,86.21186065673828,45.2400016784668,61.598500633239745,0.11318588189344668
2020-04-07,45.024818420410156,86.61681365966797,46.70000076293945,61.568500709533694,0.1753302029996086
2020-04-08,48.7169303894043,91.25137329101562,43.349998474121094,61.041000556945804,0.08587971546549429
2020-04-09,46.94660568237305,88.902587890625,41.66999816894531,59.35100040435791,0.1381818826257095
2020-04-13,47.221153259277344,89.69452667236328,41.16999816894531,58.51800022125244,0.09826794029076612
2020-04-14,49.67308807373047,92.70923614501953,37.7599983215332,56.27150001525879,0.04355638100065419
2020-04-15,47.68503952026367,90.39645385742188,40.84000015258789,54.51799983978272,0.07813341471484167
2020-04-16,49.44588851928711,91.63833618164062,40.11000061035156,52.70100002288818,0.10748654577333093
2020-04-17,50.364173889160156,92.51126098632812,38.150001525878906,51.00850009918213,0.10604214542104387
2020-04-20,47.93117904663086,90.8104248046875,43.83000183105469,49.898000144958495,0.06436205331294537
2020-04-21,45.75376510620117,86.81478881835938,45.40999984741211,49.089000129699706,0.2109895230701862
2020-04-22,49.332279205322266,91.89932250976562,41.97999954223633,48.104500198364256,0.08022732037983774
2020-04-23,48.186790466308594,91.6203384399414,41.380001068115234,46.976000213623045,0.021802719973145618
2020-04-24,48.98200607299805,95.31898498535156,35.93000030517578,45.722500228881835,-0.1982705628778202
2020-04-27,48.309852600097656,97.21781921386719,33.290000915527344,44.11000022888184,-0.3859250817465794
2020-04-28,47.73236846923828,96.83985900878906,33.56999969482422,42.93450012207031,-0.39773228285936973
2020-04-29,51.44341278076172,101.99636840820312,31.229999542236328,41.81900005340576,-0.5246868749279332
2020-04-30,47.03181457519531,98.63069915771484,34.150001525878906,40.673500061035156,-0.5793191604277629
2020-05-01,44.390541076660156,93.2671890258789,37.189998626708984,39.9875,-0.3630349645225001
2020-05-04,45.04375457763672,93.05122375488281,35.970001220703125,39.44600009918213,-0.30182897348592186
2020-05-05,46.246055603027344,95.33697509765625,33.61000061035156,38.86450004577637,-0.3887026491213226
2020-05-06,47.80809783935547,94.71605682373047,34.119998931884766,38.235499954223634,-0.2345706225395286
2020-05-07,48.51811981201172,95.70594024658203,31.440000534057617,37.64000005722046,-0.25910621737343614
2020-05-08,50.94166564941406,98.8376693725586,27.979999542236328,36.95550012588501,-0.32448154771877935
2020-05-11,51.13100051879883,97.56877899169922,27.56999969482422,36.275500202178954,-0.21704001400921155
2020-05-12,49.540557861328125,95.93093872070312,33.040000915527344,36.03950033187866,-0.20517181277232155
2020-05-13,48.745330810546875,93.41117095947266,35.279998779296875,35.76150026321411,-0.07276170147814616
2020-05-14,51.52861785888672,94.93203735351562,32.61000061035156,35.38650026321411,0.006511421587840319
2020-05-15,49.26601028442383,91.6113510131836,31.889999389648438,35.07350015640259,0.09706095904061597
2020-05-18,51.46234893798828,97.49676513671875,29.299999237060547,34.34700002670288,-0.1887839672339657
2020-05-19,52.513179779052734,95.6879653930664,30.530000686645508,33.60300006866455,0.018347677609552165
2020-05-20,54.06243896484375,103.103271484375,27.989999771118164,32.90350008010864,-0.4259839406853494
2020-05-21,52.29457473754883,99.89956665039062,29.530000686645508,32.31100006103516,-0.30993921719567924
2020-05-22,51.69578170776367,99.94456481933594,28.15999984741211,31.92250003814697,-0.3546707029717508
2020-05-26,52.40862274169922,101.42042541503906,28.010000228881836,31.658500003814698,-0.4151491152360632
2020-05-27,53.60622024536133,103.20225524902344,27.6200008392334,31.361000061035156,-0.46487586196727837
2020-05-28,51.9619140625,100.39735412597656,28.59000015258789,31.229000091552734,-0.36994683116665567
2020-05-29,53.39711380004883,102.19790649414062,27.510000228881836,30.89700002670288,-0.4046439995731504
2020-06-01,52.9313850402832,102.0440902709961,28.229999542236328,30.449000072479247,-0.4253947924821702
2020-06-02,53.02642822265625,105.68142700195312,26.84000015258789,29.992500019073486,-0.6893012172975265
2020-06-03,54.94636154174805,110.0426025390625,25.65999984741211,29.594999980926513,-0.8809061933311237
2020-06-04,55.25050354003906,110.730224609375,25.809999465942383,29.179500007629393,-0.9110176517589167
2020-06-05,57.208473205566406,112.72985076904297,24.520000457763672,28.8335000038147,-0.9243870348822831
2020-06-08,56.93284225463867,111.93363952636719,25.809999465942383,28.725,-0.8842302659370918
2020-06-09,56.828285217285156,111.64408874511719,27.56999969482422,28.725,-0.8699254611066134
2020-06-10,56.89482498168945,111.18262481689453,27.56999969482422,28.451499938964844,-0.8310117557085194
2020-06-11,52.66524887084961,104.64089965820312,40.790000915527344,28.727000045776368,-0.636889555225828
2020-06-12,53.748779296875,107.13816833496094,36.09000015258789,28.901000022888184,-0.7477006223709961
2020-06-15,54.22401809692383,107.21955871582031,34.400001525878906,29.026500129699706,-0.7209069018653123
2020-06-16,55.64020919799805,111.0107421875,33.66999816894531,29.245000076293945,-0.9049427861178269
2020-06-17,57.027889251708984,110.86595916748047,33.470001220703125,29.392000102996825,-0.7982675479554288
2020-06-18,57.38905715942383,111.11930847167969,32.939998626708984,29.639500045776366,-0.7921448048015336
2020-06-19,57.930824279785156,108.73965454101562,35.119998931884766,29.91899995803833,-0.5777477540456974
2020-06-22,58.234981536865234,109.02920532226562,31.770000457763672,30.09949998855591,-0.5782572546048728
2020-06-23,57.82627868652344,111.51742553710938,31.3700008392334,30.267500019073488,-0.7915306883817624
2020-06-24,56.99937438964844,108.09724426269531,33.84000015258789,30.57849998474121,-0.5943544619942039
2020-06-25,57.008872985839844,108.66728210449219,32.220001220703125,30.760000038146973,-0.6360864449248473
2020-06-26,55.488136291503906,106.64956665039062,34.72999954223633,31.121000003814697,-0.5911527126209803
2020-06-29,56.13444900512695,107.67198181152344,31.780000686645508,31.298500061035156,-0.6225106385635869
2020-06-30,57.45560836791992,110.96549987792969,30.43000030517578,31.47800006866455,-0.7761078081431616
2020-07-01,56.72374725341797,108.91158294677734,28.6200008392334,31.626000118255615,-0.6739592255658203
2020-07-02,57.97834777832031,109.69876861572266,27.68000030517578,31.719500160217287,-0.645783681823613
2020-07-06,60.316497802734375,111.8521957397461,27.940000534057617,31.890500164031984,-0.6443137872862712
2020-07-07,59.09989929199219,110.94741821289062,29.43000030517578,32.07150020599365,-0.6611186084433818
