Date,MS,UPS,VIX,AvgVIX,zscore
2015-01-30,24.881681442260742,65.71102905273438,20.969999313354492,19.119499969482423,0.1352163579873323
2015-02-02,25.330596923828125,66.56867218017578,19.43000030517578,19.201499938964844,0.11631999795842991
2015-02-03,25.786863327026367,66.86117553710938,17.329999923706055,19.071999931335448,0.17277432989006475
2015-02-04,25.58817481994629,66.83460235595703,18.329999923706055,18.932499885559082,0.13502237247377621
2015-02-05,25.705923080444336,67.45288848876953,16.850000381469727,18.80949993133545,0.07868423558808486
2015-02-06,26.338815689086914,66.92766571044922,17.290000915527344,18.823499965667725,0.2786059246719545
2015-02-09,26.2210750579834,66.78804779052734,18.549999237060547,18.873499965667726,0.2724160831264419
2015-02-10,26.61111068725586,67.20024108886719,17.229999542236328,18.754999923706055,0.29949367931069626
2015-02-11,26.765661239624023,67.08724975585938,16.959999084472656,18.57499990463257,0.34631967358149995
2015-02-12,27.15570068359375,67.41964721679688,15.34000015258789,18.267999935150147,0.38382198029336806
2015-02-13,27.0673770904541,67.67229461669922,14.6899995803833,17.88299994468689,0.33249294753636577
2015-02-17,27.17041778564453,68.15097045898438,15.800000190734863,17.62549991607666,0.29134095325643755
2015-02-18,26.765661239624023,68.22406768798828,15.449999809265137,17.403499937057497,0.19781445697967284
2015-02-19,26.736215591430664,68.09686279296875,15.289999961853027,17.22549991607666,0.2083222417071853
2015-02-20,27.03795051574707,68.27092742919922,14.300000190734863,17.12049994468689,0.24818679224035486
2015-02-23,26.69207000732422,68.14373016357422,14.5600004196167,17.015499973297118,0.19304065736550283
2015-02-24,27.03795051574707,68.51200866699219,13.6899995803833,16.9239999294281,0.21669377966090445
2015-02-25,26.927555084228516,68.27092742919922,13.84000015258789,16.754999971389772,0.22528229064725885
2015-02-26,26.537521362304688,68.2039794921875,13.90999984741211,16.428499937057495,0.15310487166644407
2015-02-27,26.338815689086914,68.11695861816406,13.34000015258789,16.157499933242796,0.12324577783431369
2015-03-02,26.66997528076172,68.25086212158203,13.039999961853027,15.760999965667725,0.174461610866486
2015-03-03,26.36089324951172,67.96294403076172,13.859999656677246,15.482499933242797,0.1479456515756344
2015-03-04,25.823673248291016,67.23977661132812,14.229999542236328,15.327499914169312,0.1309539839050067
