Date,KO,AMAT,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,56.859214782714844,15.489999771118164,13.696000051498412,0.9496346916917987
2020-01-31,48.25005340576172,54.72639083862305,18.84000015258789,14.014500045776368,0.924943384357923
2020-02-03,48.39876174926758,56.359031677246094,17.969999313354492,14.211999988555908,0.9155132227923889
2020-02-04,48.61357116699219,59.46388244628906,16.049999237060547,14.32199993133545,0.8840338593486031
2020-02-05,48.62184524536133,60.20940399169922,15.149999618530273,14.389999914169312,0.8678480944627399
2020-02-06,48.73751449584961,59.63374710083008,14.960000038146973,14.465499925613404,0.9046620947165674
2020-02-07,48.90275192260742,58.23703384399414,15.470000267028809,14.611999940872192,0.9709919659594646
2020-02-10,49.36542892456055,59.378944396972656,15.039999961853027,14.735999917984008,1.0358489294545303
2020-02-11,49.23322296142578,60.82283401489258,15.180000305175781,14.878999948501587,0.9749709669007761
2020-02-12,49.084510803222656,61.69105911254883,13.739999771118164,14.946499919891357,0.9245755272270545
2020-02-13,49.249752044677734,63.57849884033203,14.149999618530273,15.032999897003174,0.9123437979995674
2020-02-14,49.53066635131836,63.0877685546875,13.680000305175781,15.100999927520752,0.9800459182151994
2020-02-18,49.183650970458984,61.68666076660156,14.829999923706055,15.237499904632568,0.9444311977308255
2020-02-19,49.3819465637207,63.81672668457031,14.380000114440918,15.313999891281128,0.932980454384778
2020-02-20,49.340641021728516,62.860565185546875,15.5600004196167,15.446499919891357,0.9476246295382437
2020-02-21,49.67937469482422,60.84409713745117,17.079999923706055,15.651499938964843,1.0633435442984316
2020-02-24,48.45659255981445,57.82414627075195,25.030000686645508,16.174999952316284,0.8919861719537012
2020-02-25,47.77085876464844,55.722476959228516,27.850000381469727,16.655999994277956,0.8056514087803616
2020-02-26,47.58909225463867,56.62184143066406,27.559999465942383,17.219999933242796,0.7479260590402335
2020-02-27,45.38313293457031,53.96161651611328,39.15999984741211,18.35849995613098,0.37209736172694663
2020-02-28,44.19340515136719,55.02191925048828,40.11000061035156,19.589499998092652,0.10971859296226646
2020-03-02,46.20106887817383,56.953182220458984,33.41999816894531,20.318499898910524,0.46348131382643026
2020-03-03,46.31674575805664,54.94618606567383,36.81999969482422,21.26099991798401,0.5345368318419365
2020-03-04,48.6796760559082,57.293983459472656,31.989999771118164,22.05799994468689,0.9491106746226581
2020-03-05,46.878562927246094,55.978084564208984,39.619998931884766,23.281499910354615,0.6217759200807316
