Date,CL,HD,VIX,AvgVIX,zscore
2015-01-30,51.853389739990234,80.1310043334961,20.969999313354492,19.119499969482423,-0.4269068291389177
2015-02-02,52.98234558105469,80.13863372802734,19.43000030517578,19.201499938964844,-0.0667464102420068
2015-02-03,53.13593673706055,82.29500579833984,17.329999923706055,19.071999931335448,-0.05600602312201991
2015-02-04,53.143592834472656,83.19286346435547,18.329999923706055,18.932499885559082,-0.06950012745207841
2015-02-05,53.596702575683594,83.63795471191406,16.850000381469727,18.80949993133545,0.06720504835925736
2015-02-06,53.22039031982422,83.67633819580078,17.290000915527344,18.823499965667725,-0.05357286594441002
2015-02-09,53.043766021728516,83.1391372680664,18.549999237060547,18.873499965667726,-0.10040526396991227
2015-02-10,53.327919006347656,84.92715454101562,17.229999542236328,18.754999923706055,-0.041458769072691436
2015-02-11,53.350955963134766,84.65088653564453,16.959999084472656,18.57499990463257,-0.02920282470783132
2015-02-12,53.64277648925781,86.07060241699219,15.34000015258789,18.267999935150147,0.038728251640670536
2015-02-13,53.81942367553711,85.86337280273438,14.6899995803833,17.88299994468689,0.09878201391600522
2015-02-17,53.903900146484375,85.94781494140625,15.800000190734863,17.62549991607666,0.12424300521030324
2015-02-18,54.17268753051758,85.94012451171875,15.449999809265137,17.403499937057497,0.21016052938528612
2015-02-19,53.91925811767578,85.13438415527344,15.289999961853027,17.22549991607666,0.14358321281305508
2015-02-20,53.942283630371094,86.13197326660156,14.300000190734863,17.12049994468689,0.133223826529761
2015-02-23,54.280189514160156,86.1626968383789,14.5600004196167,17.015499973297118,0.24051801238572015
2015-02-24,54.53361892700195,89.5929183959961,13.6899995803833,16.9239999294281,0.260509315475137
2015-02-25,54.53361892700195,89.25526428222656,13.84000015258789,16.754999971389772,0.266502865396383
2015-02-26,54.61042404174805,88.54156494140625,13.90999984741211,16.428499937057495,0.3036830730738926
2015-02-27,54.3877067565918,88.05812072753906,13.34000015258789,16.157499933242796,0.2411863114934544
2015-03-02,54.53361892700195,89.10945129394531,13.039999961853027,15.760999965667725,0.2690911277299088
2015-03-03,54.280189514160156,89.07107543945312,13.859999656677246,15.482499933242797,0.18889266080679679
2015-03-04,54.280189514160156,88.06581115722656,14.229999542236328,15.327499914169312,0.20673666570372015
2015-03-05,54.879215240478516,88.94832611083984,14.039999961853027,15.11299991607666,0.382245066309732
2015-03-06,53.18199157714844,87.8279037475586,15.199999809265137,15.03049988746643,-0.13952008783863754
2015-03-09,53.44309616088867,88.44182586669922,15.0600004196167,14.918999862670898,-0.06708842994847819
2015-03-10,52.52920150756836,86.822021484375,16.690000534057617,14.825999927520751,-0.32999704381145234
2015-03-11,52.13754653930664,87.21540069580078,16.8700008392334,14.807999992370606,-0.46197281657399064
2015-03-12,52.62905502319336,89.55253601074219,15.420000076293945,14.73100004196167,-0.34659787967723166
2015-03-13,52.575294494628906,88.56526947021484,16.0,14.764000034332275,-0.3462305216782232
2015-03-16,53.00537109375,89.861083984375,15.609999656677246,14.810000038146972,-0.2319769759249036
2015-03-17,52.53689193725586,89.15147399902344,15.65999984741211,14.803000020980836,-0.36889180290659923
2015-03-18,52.475467681884766,89.53713989257812,13.970000267028809,14.729000043869018,-0.3953405734696493
2015-03-19,52.444740295410156,88.82749938964844,14.069999694824219,14.668000030517579,-0.39255041849219835
2015-03-20,53.42008590698242,90.6247329711914,13.020000457763672,14.604000043869018,-0.1131797658442024
2015-03-23,53.8885498046875,89.52940368652344,13.40999984741211,14.54650001525879,0.05576887593121845
2015-03-24,53.22807693481445,89.59111785888672,13.619999885559082,14.543000030517579,-0.15611041048341834
2015-03-25,52.90552520751953,87.6859130859375,15.4399995803833,14.623000001907348,-0.22523136611536532
2015-03-26,52.79033279418945,86.67546081542969,15.800000190734863,14.717500019073487,-0.24405786787358327
2015-03-27,52.79802703857422,87.82475280761719,15.069999694824219,14.803999996185302,-0.26200289827686235
2015-03-30,53.21270751953125,88.4186782836914,14.510000228881836,14.877500009536742,-0.14020395750578013
2015-03-31,53.25111770629883,87.63191986083984,15.289999961853027,14.949000024795533,-0.11398029730964046
2015-04-01,53.05913543701172,87.26165771484375,15.109999656677246,14.993000030517578,-0.16867730722023033
2015-04-02,53.243438720703125,88.3492660522461,14.670000076293945,15.024500036239624,-0.1291642720250778
2015-04-06,53.71958923339844,88.66551208496094,14.739999771118164,15.001500034332276,0.01718122835018146
2015-04-07,53.53527069091797,88.16414642333984,14.779999732971191,14.9875,-0.03274281288562986
2015-04-08,53.681182861328125,89.15917205810547,13.979999542236328,14.851999950408935,-0.0038385525291777284
2015-04-09,53.72725296020508,88.37239837646484,13.09000015258789,14.66299991607666,0.024829968825526672
2015-04-10,53.45847702026367,88.88921356201172,12.579999923706055,14.520999908447266,-0.07012115307523908
2015-04-13,53.22807693481445,88.27213287353516,13.9399995803833,14.417999887466431,-0.13269768712926241
2015-04-14,53.47381591796875,87.97127532958984,13.670000076293945,14.320999908447266,-0.04893196680628337
2015-04-15,53.66579818725586,87.50850677490234,12.84000015258789,14.179999923706054,0.020551805317087397
2015-04-16,53.81942367553711,87.4468002319336,12.600000381469727,14.111499929428101,0.07067528884866804
2015-04-17,53.20503234863281,86.4671859741211,13.890000343322754,14.102499961853027,-0.10801333435987505
2015-04-20,52.575294494628906,87.05340576171875,13.300000190734863,14.116499948501588,-0.3193940927959238
2015-04-21,53.29350280761719,87.29252624511719,13.25,14.10849995613098,-0.09442905606198436
2015-04-22,53.50201416015625,87.1536865234375,12.710000038146973,14.062999963760376,-0.025420097946247448
2015-04-23,53.4556770324707,87.90189361572266,12.479999542236328,13.914999961853027,-0.05348926048816141
2015-04-24,53.41703796386719,87.70134735107422,12.289999961853027,13.739499950408936,-0.06226075419501506
2015-04-27,53.27033996582031,85.9195327758789,13.119999885559082,13.641999959945679,-0.077449859164788
2015-04-28,53.108150482177734,85.29476165771484,12.40999984741211,13.536999940872192,-0.11812109928075713
