Date,CL,CVX,VIX,AvgVIX,zscore
2022-01-31,74.45279693603516,110.67057800292969,24.829999923706055,23.18100004196167,-0.03247284896732807
2022-02-01,73.97419738769531,113.58629608154297,21.959999084472656,23.448999977111818,-0.12358324042854708
2022-02-02,74.76884460449219,114.1087646484375,22.09000015258789,23.707999992370606,-0.047583385959334416
2022-02-03,74.70563507080078,113.08910369873047,24.350000381469727,23.939000034332274,-0.03990145760504775
2022-02-04,73.25179290771484,114.50482177734375,23.219999313354492,24.119499969482423,-0.21223098314441569
2022-02-07,73.25179290771484,116.75479125976562,22.860000610351562,24.324499988555907,-0.24380842009053538
2022-02-08,73.07119750976562,114.97674560546875,21.440000534057617,24.426500034332275,-0.23779279738562684
2022-02-09,73.02605438232422,116.11436462402344,19.959999084472656,24.503999996185303,-0.25849287013889616
2022-02-10,71.98758697509766,114.63965606689453,23.90999984741211,24.818499946594237,-0.34669717194108113
2022-02-11,71.81603240966797,116.97391510009766,27.360000610351562,25.171000003814697,-0.3974480409212233
2022-02-14,71.57221221923828,115.17053985595703,28.329999923706055,25.62799997329712,-0.3977071396515501
2022-02-15,70.95816802978516,114.3275375366211,25.700000762939453,25.773499965667725,-0.45026907998783317
2022-02-16,70.74144744873047,114.3615951538086,24.290000915527344,25.795499992370605,-0.4734739639736451
2022-02-17,71.47286987304688,113.7740249633789,28.110000610351562,25.92150001525879,-0.3885253643066344
2022-02-18,71.8340835571289,113.61225128173828,27.75,25.866499996185304,-0.3483754363067596
2022-02-22,71.20198059082031,112.74365997314453,28.809999465942383,25.811999988555907,-0.4024720201220758
2022-02-23,71.01233673095703,115.42603302001953,31.020000457763672,25.805000019073486,-0.46000550757429814
2022-02-24,68.24915313720703,114.82994842529297,30.31999969482422,25.723000049591064,-0.7414072533350089
2022-02-25,70.56084442138672,119.5389404296875,27.59000015258789,25.57800006866455,-0.5650753180281903
2022-02-28,69.48625946044922,122.62151336669922,30.149999618530273,25.70250005722046,-0.7210268233350727
2022-03-01,68.6645278930664,127.4923095703125,33.31999969482422,26.127000045776366,-0.8755592903874864
2022-03-02,69.26051330566406,131.25611877441406,30.739999771118164,26.566000080108644,-0.8658835010316323
2022-03-03,69.89261627197266,133.02732849121094,30.479999542236328,26.985500049591064,-0.8244548116451597
2022-03-04,69.85649108886719,135.09654235839844,31.979999542236328,27.367000007629393,-0.8572837644447829
2022-03-07,69.24244689941406,137.98326110839844,36.45000076293945,28.028500080108643,-0.9621908733772174
2022-03-08,67.60800170898438,145.21282958984375,35.130001068115234,28.642000102996825,-1.2350548521394844
2022-03-09,68.21302795410156,141.5852508544922,32.45000076293945,29.192500114440918,-1.1206957519655203
2022-03-10,66.67790222167969,145.4597930908203,30.229999542236328,29.706000137329102,-1.336057894841893
2022-03-11,66.61470031738281,145.5279083251953,30.75,30.048000144958497,-1.3436416774187385
2022-03-14,66.78629302978516,141.9684600830078,31.770000457763672,30.268500137329102,-1.2756917592936197
2022-03-15,68.16786193847656,134.78147888183594,29.829999923706055,30.3435001373291,-1.0299439251161076
2022-03-16,67.8608627319336,134.2960968017578,26.670000076293945,30.392000102996825,-1.0553259514640885
2022-03-17,67.84280395507812,136.62081909179688,25.670000076293945,30.461000061035158,-1.0898462895516827
2022-03-18,65.19699096679688,137.71929931640625,23.8700008392334,30.249000072479248,-1.3827222495937224
2022-03-21,66.95783996582031,140.19725036621094,23.530000686645508,30.038000106811523,-1.2328438661392
2022-03-22,67.2739028930664,139.72891235351562,22.940000534057617,29.744500160217285,-1.1931262655407695
2022-03-23,66.48829650878906,141.2361297607422,23.56999969482422,29.37200012207031,-1.2966638769862655
2022-03-24,66.50634765625,141.61080932617188,21.670000076293945,28.9395001411438,-1.3000293825472566
2022-03-25,67.52672576904297,144.17396545410156,20.809999465942383,28.600500106811523,-1.228997989575299
2022-03-28,68.07756805419922,141.65341186523438,19.6299991607666,28.07450008392334,-1.1358576767416797
2022-03-29,68.80901336669922,139.9247589111328,18.899999618530273,27.353500080108642,-1.0348920289648336
2022-03-30,68.95350646972656,140.91261291503906,19.329999923706055,26.78300008773804,-1.0336035721924237
2022-03-31,68.47491455078125,138.656005859375,20.559999465942383,26.28700008392334,-1.0521216141972032
2022-04-01,69.00765228271484,139.83961486816406,19.6299991607666,25.669500064849853,-1.0128663421842747
2022-04-04,69.16117858886719,139.96731567382812,18.56999969482422,24.77550001144409,-0.9985586860290409
2022-04-05,69.9377670288086,139.1072998046875,21.030000686645508,24.070499992370607,-0.9050499810057933
2022-04-06,71.16584777832031,140.34202575683594,22.100000381469727,23.55299997329712,-0.7935933814948959
2022-04-07,72.61968994140625,142.2920684814453,21.549999237060547,23.11899995803833,-0.6685009853343145
2022-04-08,72.46617126464844,144.70188903808594,21.15999984741211,22.639499950408936,-0.7184209559239362
2022-04-11,72.63776397705078,140.98065185546875,24.3700008392334,22.26949996948242,-0.6482003936390134
2022-04-12,73.14342498779297,143.91847229003906,24.260000228881836,21.99099998474121,-0.6364042514015134
2022-04-13,73.13441467285156,146.1835479736328,21.81999969482422,21.748499965667726,-0.6691385851968115
2022-04-14,73.08924865722656,146.11546325683594,22.700000762939453,21.6,-0.6729194803564698
2022-04-18,72.24946594238281,148.07398986816406,22.170000076293945,21.51499996185303,-0.7884723636596513
2022-04-19,72.79127502441406,146.31980895996094,21.3700008392334,21.40699996948242,-0.7070350775212996
2022-04-20,74.05378723144531,146.9158935546875,20.31999969482422,21.27599992752075,-0.5830046642534042
2022-04-21,74.57151794433594,140.1461944580078,22.68000030517578,21.23149995803833,-0.4337015857315023
2022-04-22,73.66322326660156,137.05508422851562,28.209999084472656,21.558499908447267,-0.4855694650763859
2022-04-25,74.30812072753906,134.1087646484375,27.020000457763672,21.86899995803833,-0.37659038314732174
2022-04-26,73.13641357421875,133.2913055419922,33.52000045776367,22.563500022888185,-0.4879914128371848
2022-04-27,73.29083251953125,133.04434204101562,31.600000381469727,23.198500061035155,-0.4683318818205476
2022-04-28,73.77223205566406,137.77037048339844,29.989999771118164,23.73150005340576,-0.48417677075621707
2022-04-29,69.984619140625,133.41050720214844,33.400001525878906,24.37350015640259,-0.820184483223264
2022-05-02,68.28608703613281,136.0332489013672,32.34000015258789,25.00900020599365,-1.0351140802243652
2022-05-03,67.65935516357422,138.36647033691406,29.25,25.54300022125244,-1.1335835948637532
2022-05-04,69.939208984375,142.70932006835938,25.420000076293945,25.762500190734862,-0.9554517050454497
2022-05-05,69.11263275146484,141.57676696777344,31.200000762939453,26.21750020980835,-1.0262375721839552
2022-05-06,69.79386901855469,145.3490447998047,30.190000534057617,26.6495002746582,-1.0077406111222658
2022-05-09,70.5477523803711,135.6074676513672,34.75,27.3290002822876,-0.7919637058537905
2022-05-10,69.63945770263672,136.9103240966797,32.9900016784668,27.76000032424927,-0.9054991796709528
2022-05-11,69.71212768554688,138.93698120117188,32.560001373291016,28.175000381469726,-0.9263218114687007
2022-05-12,70.43878173828125,140.25689697265625,31.770000457763672,28.6725004196167,-0.8686440733867496
2022-05-13,71.21082305908203,142.9477081298828,28.8700008392334,28.981000423431396,-0.8254466734461068
2022-05-16,71.51055908203125,147.3246307373047,27.469999313354492,29.246000385284425,-0.855442558492916
2022-05-17,71.546875,148.1932373046875,26.100000381469727,29.48250036239624,-0.8638247584269494
2022-05-18,68.76749420166016,144.2868194580078,30.959999084472656,30.01450033187866,-1.1004658355491899
2022-05-19,68.2315902709961,143.25657653808594,29.350000381469727,30.34800033569336,-1.1422055709737504
2022-05-20,68.24068450927734,144.08079528808594,29.43000030517578,30.409000396728516,-1.1528194689597093
2022-05-23,69.50321197509766,147.42910766601562,28.479999542236328,30.48200035095215,-1.0674138902421337
