Date,XLU,CVX,VIX,AvgVIX,zscore
2023-01-31,31.28275489807129,151.927490234375,19.399999618530273,20.202999973297118,1.0234983722462605
2023-02-01,31.33709144592285,149.60519409179688,17.8700008392334,19.951500034332277,1.1133004397290531
2023-02-02,31.40500831604004,147.5535125732422,18.729999542236328,19.7875,1.2083910308312908
2023-02-03,30.748477935791016,147.93768310546875,18.329999923706055,19.58100004196167,0.6812457210636785
2023-02-06,31.011093139648438,148.10354614257812,19.43000030517578,19.49600009918213,0.8856648802157299
2023-02-07,30.99750518798828,151.9886016845703,18.65999984741211,19.33050012588501,0.7965968340561966
2023-02-08,30.476806640625,148.41786193847656,19.6299991607666,19.28300008773804,0.4566385622372509
2023-02-09,30.060253143310547,147.05589294433594,20.709999084472656,19.264000034332277,0.15454630910833064
2023-02-10,30.65791893005371,150.13772583007812,20.530000686645508,19.34900007247925,0.5652514675772454
2023-02-13,30.843563079833984,149.2996063232422,20.34000015258789,19.448500061035155,0.7290156396212714
2023-02-14,30.71225357055664,150.44332885742188,18.90999984741211,19.426000022888182,0.6020766292659979
2023-02-15,30.911479949951172,148.85794067382812,18.229999542236328,19.320499992370607,0.7916501796878046
2023-02-16,30.676029205322266,146.7088623046875,20.170000076293945,19.30299997329712,0.6487009580869395
2023-02-17,31.006563186645508,143.4324188232422,20.020000457763672,19.311499977111815,0.9762456030819363
2023-02-21,30.426998138427734,141.80299377441406,22.8700008392334,19.46450004577637,0.5505816257734619
2023-02-22,30.309274673461914,141.23052978515625,22.290000915527344,19.619000053405763,0.46898727079881836
2023-02-23,30.150802612304688,142.62210083007812,21.139999389648438,19.72200002670288,0.3155628125782891
2023-02-24,30.159862518310547,143.0448760986328,21.670000076293945,19.869000053405763,0.3142077173279712
2023-02-27,29.95610809326172,143.40603637695312,20.950000762939453,19.99100008010864,0.14573090766307592
2023-02-28,29.430879592895508,141.60043334960938,20.700000762939453,20.029000091552735,-0.23339425316313236
2023-03-01,28.946399688720703,142.72779846191406,20.579999923706055,20.088000106811524,-0.6394072103481389
2023-03-02,29.494272232055664,143.17703247070312,19.59000015258789,20.17400007247925,-0.2150248429172887
2023-03-03,29.996854782104492,145.2908477783203,18.489999771118164,20.16200008392334,0.13997122550015637
2023-03-06,30.14175033569336,146.35655212402344,18.610000610351562,20.176000118255615,0.23311908182778304
2023-03-07,29.648218154907227,144.4717254638672,19.59000015258789,20.184000110626222,-0.1193331133073909
2023-03-08,29.874608993530273,143.5557403564453,19.110000610351562,20.206500148773195,0.07823666668231005
2023-03-09,29.63463020324707,141.37142944335938,22.610000610351562,20.35550022125244,-0.06758458047515946
2023-03-10,29.168262481689453,140.63156127929688,24.799999237060547,20.560000228881837,-0.42162719128931075
2023-03-13,29.61652183532715,139.7860565185547,26.520000457763672,20.859500217437745,-0.049951375650799046
2023-03-14,30.005908966064453,141.5916290283203,23.729999542236328,21.029000186920165,0.2217062180229347
2023-03-15,30.413414001464844,135.46151733398438,26.139999389648438,21.390500164031984,0.6676716114712903
2023-03-16,30.617172241210938,135.89308166503906,22.989999771118164,21.628500175476074,0.8201710311173765
2023-03-17,30.322858810424805,134.17556762695312,25.510000228881836,21.89550018310547,0.6219539368319985
2023-03-20,30.56004524230957,136.1485137939453,24.149999618530273,22.102000141143797,0.7698269334297086
2023-03-21,29.944284439086914,140.31451416015625,21.3799991607666,22.027500057220458,0.19869835946136868
2023-03-22,29.35589027404785,137.4608612060547,22.260000228881836,22.026000022888184,-0.20927158350977393
2023-03-23,29.054847717285156,136.09564208984375,22.610000610351562,22.09950008392334,-0.4199141478945081
2023-03-24,29.962528228759766,137.45204162597656,21.739999771118164,22.10300006866455,0.27083569229806487
2023-03-27,29.99901580810547,138.85244750976562,20.600000381469727,22.085500049591065,0.27147155379390725
