Date,PEP,AVGO,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,54.15768051147461,24.829999923706055,23.18100004196167,-0.5128641240537711
2022-02-01,150.68084716796875,54.78996276855469,21.959999084472656,23.448999977111818,-0.6482749355529742
2022-02-02,153.41751098632812,55.779972076416016,22.09000015258789,23.707999992370606,-0.30843324061193744
2022-02-03,153.33004760742188,53.69271469116211,24.350000381469727,23.939000034332274,-0.30439047895019056
2022-02-04,150.81201171875,54.55331039428711,23.219999313354492,24.119499969482423,-0.6299269327604239
2022-02-07,150.21749877929688,54.31944274902344,22.860000610351562,24.324499988555907,-0.7036178609115873
2022-02-08,150.40106201171875,55.48324966430664,21.440000534057617,24.426500034332275,-0.6887793965527996
2022-02-09,150.3311309814453,56.51115417480469,19.959999084472656,24.503999996185303,-0.7050996475780227
2022-02-10,147.2097930908203,54.664241790771484,23.90999984741211,24.818499946594237,-1.0875066238779816
2022-02-11,147.3934326171875,53.005897521972656,27.360000610351562,25.171000003814697,-1.0521967482701933
2022-02-14,145.74966430664062,53.482887268066406,28.329999923706055,25.62799997329712,-1.264091359701019
2022-02-15,145.10269165039062,55.71896743774414,25.700000762939453,25.773499965667725,-1.3623425049513145
2022-02-16,145.39996337890625,55.20500183105469,24.290000915527344,25.795499992370605,-1.3209208301115278
2022-02-17,145.79339599609375,53.52170944213867,28.110000610351562,25.92150001525879,-1.2588274871008822
2022-02-18,146.63275146484375,53.613224029541016,27.75,25.866499996185304,-1.1530574525745798
2022-02-22,147.1923065185547,53.37935256958008,28.809999465942383,25.811999988555907,-1.080408023307881
2022-02-23,145.74090576171875,52.24513244628906,31.020000457763672,25.805000019073486,-1.256227754617574
2022-02-24,143.2053680419922,53.61414337158203,30.31999969482422,25.723000049591064,-1.5876697248509897
2022-02-25,147.2185516357422,54.354576110839844,27.59000015258789,25.57800006866455,-1.0841508048124808
2022-02-28,143.1616668701172,54.3018913269043,30.149999618530273,25.70250005722046,-1.5981976548415169
2022-03-01,141.87643432617188,52.70085525512695,33.31999969482422,26.127000045776366,-1.749562003313857
