Date,LRCX,MS,VIX,AvgVIX,zscore
2015-01-30,6.537993431091309,24.881677627563477,20.969999313354492,19.119499969482423,-0.6720255829144467
2015-02-02,6.556812763214111,25.330596923828125,19.43000030517578,19.201499938964844,-0.793673649813351
2015-02-03,6.639776706695557,25.786869049072266,17.329999923706055,19.071999931335448,-0.8816853211764938
2015-02-04,6.623525142669678,25.588171005249023,18.329999923706055,18.932499885559082,-0.8322635745623396
2015-02-05,6.673987865447998,25.705923080444336,16.850000381469727,18.80949993133545,-0.8387624587310101
2015-02-06,6.6833977699279785,26.338823318481445,17.290000915527344,18.823499965667725,-1.0198220082492278
2015-02-09,6.644052982330322,26.221073150634766,18.549999237060547,18.873499965667726,-1.0071184549758583
2015-02-10,6.892093181610107,26.611112594604492,17.229999542236328,18.754999923706055,-0.9834990512346327
2015-02-11,6.893803596496582,26.76565170288086,16.959999084472656,18.57499990463257,-1.0280372304748215
2015-02-12,6.937422275543213,27.155696868896484,15.34000015258789,18.267999935150147,-1.1185128791375727
2015-02-13,7.03150749206543,27.067380905151367,14.6899995803833,17.88299994468689,-1.040003070953553
2015-02-17,7.005849361419678,27.170412063598633,15.800000190734863,17.62549991607666,-1.0846536283383117
2015-02-18,7.006705284118652,26.76565170288086,15.449999809265137,17.403499937057497,-0.9650236408348375
2015-02-19,7.105064392089844,26.736215591430664,15.289999961853027,17.22549991607666,-0.9014613478343514
2015-02-20,7.170923709869385,27.037954330444336,14.300000190734863,17.12049994468689,-0.9535284640188565
2015-02-23,7.114474296569824,26.692060470581055,14.5600004196167,17.015499973297118,-0.8832111505022379
2015-02-24,7.204281806945801,27.037954330444336,13.6899995803833,16.9239999294281,-0.9349103770387898
2015-02-25,7.144408702850342,26.92755699157715,13.84000015258789,16.754999971389772,-0.9358287575065621
2015-02-26,7.131581783294678,26.537517547607422,13.90999984741211,16.428499937057495,-0.8281690510893569
2015-02-27,7.052892208099365,26.338823318481445,13.34000015258789,16.157499933242796,-0.8135968278150185
2015-03-02,7.225663661956787,26.669979095458984,13.039999961853027,15.760999965667725,-0.8146529996068652
2015-03-03,6.9955854415893555,26.360889434814453,13.859999656677246,15.482499933242797,-0.8520771013785149
2015-03-04,6.916897296905518,25.823665618896484,14.229999542236328,15.327499914169312,-0.7378486447903535
2015-03-05,6.90834379196167,26.14011573791504,14.039999961853027,15.11299991607666,-0.8357783353331694
2015-03-06,6.857026100158691,26.147470474243164,15.199999809265137,15.03049988746643,-0.8665852420687619
2015-03-09,6.92474889755249,26.250503540039062,15.0600004196167,14.918999862670898,-0.8591178531981838
2015-03-10,6.683006286621094,25.669124603271484,16.690000534057617,14.825999927520751,-0.8228963882839915
2015-03-11,6.709580898284912,25.720638275146484,16.8700008392334,14.807999992370606,-0.8232288112777106
2015-03-12,6.662434101104736,27.29551887512207,15.420000076293945,14.73100004196167,-1.313151898973938
2015-03-13,6.747298717498779,26.750940322875977,16.0,14.764000034332275,-1.105475004354585
2015-03-16,6.848452568054199,27.03058624267578,15.609999656677246,14.810000038146972,-1.13133962956609
2015-03-17,6.770444869995117,26.898120880126953,15.65999984741211,14.803000020980836,-1.1358831083105048
2015-03-18,6.642717361450195,27.03058624267578,13.970000267028809,14.729000043869018,-1.2461662026359133
