Date,QCOM,AMD,VIX,AvgVIX,zscore
2020-01-30,76.35943603515625,48.779998779296875,15.489999771118164,13.696000051498412,-0.14337930742276855
2020-01-31,74.21076965332031,47.0,18.84000015258789,14.014500045776368,-0.1805054831751297
2020-02-03,75.22856903076172,48.02000045776367,17.969999313354492,14.211999988555908,-0.17569188433263908
2020-02-04,77.35980987548828,49.45000076293945,16.049999237060547,14.32199993133545,-0.1146293284912334
2020-02-05,79.08219146728516,49.84000015258789,15.149999618530273,14.389999914169312,-0.00997737526327114
2020-02-06,78.82124328613281,49.31999969482422,14.960000038146973,14.465499925613404,0.007458898871163955
2020-02-07,76.04627990722656,49.72999954223633,15.470000267028809,14.611999940872192,-0.23614622338000085
2020-02-10,77.07275390625,52.2599983215332,15.039999961853027,14.735999917984008,-0.33972982254949075
2020-02-11,78.29060363769531,53.79999923706055,15.180000305175781,14.878999948501587,-0.35704862970275897
2020-02-12,79.78681945800781,53.88999938964844,13.739999771118164,14.946499919891357,-0.2481686961033072
2020-02-13,78.3166732788086,54.529998779296875,14.149999618530273,15.032999897003174,-0.40776563624860995
2020-02-14,77.94261932373047,55.310001373291016,13.680000305175781,15.100999927520752,-0.4929498331716753
2020-02-18,76.5769271850586,56.88999938964844,14.829999923706055,15.237499904632568,-0.7123872616821686
2020-02-19,78.77774047851562,58.900001525878906,14.380000114440918,15.313999891281128,-0.6878527647128013
2020-02-20,77.82955932617188,57.27000045776367,15.5600004196167,15.446499919891357,-0.6432378339855601
2020-02-21,75.70701599121094,53.279998779296875,17.079999923706055,15.651499938964843,-0.5187225423558932
2020-02-24,72.47970581054688,49.119998931884766,25.030000686645508,16.174999952316284,-0.4671224211345601
2020-02-25,69.78301239013672,47.56999969482422,27.850000381469727,16.655999994277956,-0.5631223741037409
2020-02-26,69.2958755493164,47.4900016784668,27.559999465942383,17.219999933242796,-0.5949096972175999
2020-02-27,66.05985260009766,44.0099983215332,39.15999984741211,18.35849995613098,-0.5930971396746624
2020-02-28,68.1128158569336,45.47999954223633,40.11000061035156,19.589499998092652,-0.5409601934141371
2020-03-02,70.07879638671875,47.459999084472656,33.41999816894531,20.318499898910524,-0.5323677425430465
2020-03-03,68.33898162841797,46.75,36.81999969482422,21.26099991798401,-0.6152506952313084
2020-03-04,71.7235107421875,50.11000061035156,31.989999771118164,22.05799994468689,-0.5969434939402605
2020-03-05,69.41747283935547,48.11000061035156,39.619998931884766,23.281499910354615,-0.6303148270381389
2020-03-06,67.9268798828125,48.59000015258789,41.939998626708984,24.630499839782715,-0.7799318400452359
