Date,KRE,XLF,VIX,AvgVIX,zscore
2022-01-31,63.50883483886719,36.270999908447266,24.829999923706055,23.18100004196167,1.857358356854377
2022-02-01,64.46678161621094,36.772430419921875,21.959999084472656,23.448999977111818,1.9463040886229017
2022-02-02,64.2982406616211,37.023155212402344,22.09000015258789,23.707999992370606,1.896049513864348
2022-02-03,63.92572021484375,36.61457824707031,24.350000381469727,23.939000034332274,1.8832671521689313
2022-02-04,65.14976501464844,37.236732482910156,23.219999313354492,24.119499969482423,1.9988154622222583
2022-02-07,65.4602279663086,37.34816360473633,22.860000610351562,24.324499988555907,2.032857044055947
2022-02-08,67.08341217041016,37.8681755065918,21.440000534057617,24.426500034332275,2.217224888041187
2022-02-09,66.5157470703125,38.109619140625,19.959999084472656,24.503999996185303,2.1095290401469633
2022-02-10,66.35607147216797,37.775325775146484,23.90999984741211,24.818499946594237,2.120300126364634
2022-02-11,65.80614471435547,37.24602508544922,27.360000610351562,25.171000003814697,2.0938901151410185
2022-02-14,65.29168701171875,36.828147888183594,28.329999923706055,25.62799997329712,2.061292930746702
2022-02-15,67.0390625,37.329593658447266,25.700000762939453,25.773499965667725,2.2657245737366636
2022-02-16,67.16325378417969,37.357460021972656,24.290000915527344,25.795499992370605,2.2810477441845727
2022-02-17,65.11428833007812,36.428855895996094,28.110000610351562,25.92150001525879,2.076107442392438
2022-02-18,65.2296142578125,36.41957092285156,27.75,25.866499996185304,2.0939267261295558
2022-02-22,64.90141296386719,36.233856201171875,28.809999465942383,25.811999988555907,2.0648743074014977
2022-02-23,63.757198333740234,35.6024055480957,31.020000457763672,25.805000019073486,1.9619536876853167
2022-02-24,62.61296844482422,35.17524719238281,30.31999969482422,25.723000049591064,1.838173160589294
2022-02-25,65.49568939208984,36.30813217163086,27.59000015258789,25.57800006866455,2.144229098829704
2022-02-28,65.8859634399414,35.76955032348633,30.149999618530273,25.70250005722046,2.256310957985597
2022-03-01,62.284786224365234,34.4509391784668,33.31999969482422,26.127000045776366,1.8641124087136538
2022-03-02,65.06107330322266,35.3423957824707,30.739999771118164,26.566000080108644,2.1792470397422368
2022-03-03,64.65304565429688,35.23095703125,30.479999542236328,26.985500049591064,2.1309332571547897
2022-03-04,62.11624526977539,34.5716552734375,31.979999542236328,27.367000007629393,1.8271313602321855
2022-03-07,59.43752670288086,33.30876541137695,36.45000076293945,28.028500080108643,1.5641925691234237
2022-03-08,59.9165153503418,33.113765716552734,35.130001068115234,28.642000102996825,1.6541739235401127
2022-03-09,62.045291900634766,34.33022689819336,32.45000076293945,29.192500114440918,1.8414005825844504
2022-03-10,62.08964920043945,34.04236602783203,30.229999542236328,29.706000137329102,1.877279515061464
2022-03-11,62.107383728027344,33.80092239379883,30.75,30.048000144958497,1.9045246659887867
2022-03-14,62.43556213378906,34.22808074951172,31.770000457763672,30.268500137329102,1.90892301311068
2022-03-15,62.621822357177734,34.71095275878906,29.829999923706055,30.3435001373291,1.8868715910274483
2022-03-16,64.5909652709961,35.68598175048828,26.670000076293945,30.392000102996825,2.0753946073217815
2022-03-17,63.89024353027344,36.13170623779297,25.670000076293945,30.461000061035158,1.92737706926129
2022-03-18,63.766056060791016,36.21528625488281,23.8700008392334,30.249000072479248,1.9006760915045364
2022-03-21,63.42203140258789,36.17985153198242,23.530000686645508,30.038000106811523,1.853965664140557
2022-03-22,64.48262786865234,36.76716232299805,22.940000534057617,29.744500160217285,1.9491601339319522
2022-03-23,62.19208908081055,36.08662796020508,23.56999969482422,29.37200012207031,1.6835522419885058
2022-03-24,62.79814147949219,36.37562561035156,21.670000076293945,28.9395001411438,1.7427072830682904
2022-03-25,63.9835319519043,36.84173583984375,20.809999465942383,28.600500106811523,1.868532415297846
2022-03-28,63.350730895996094,36.73918533325195,19.6299991607666,28.07450008392334,1.786428512734489
2022-03-29,64.54501342773438,36.82309341430664,18.899999618530273,27.353500080108642,1.952576262117392
2022-03-30,62.557525634765625,36.562068939208984,19.329999923706055,26.78300008773804,1.6884716538155482
2022-03-31,61.40778732299805,35.72305679321289,20.559999465942383,26.28700008392334,1.6059344120211194
2022-04-01,60.81955337524414,35.62984085083008,19.6299991607666,25.669500064849853,1.5293973083672034
2022-04-04,60.49869155883789,35.47135925292969,18.56999969482422,24.77550001144409,1.498638173708688
2022-04-05,59.652000427246094,35.247623443603516,21.030000686645508,24.070499992370607,1.3976164477583737
2022-04-06,58.7607421875,35.0052375793457,22.100000381469727,23.55299997329712,1.291979008581802
2022-04-07,58.012088775634766,34.967952728271484,21.549999237060547,23.11899995803833,1.1862633378923886
2022-04-08,57.92295837402344,35.322208404541016,21.15999984741211,22.639499950408936,1.1370557132093975
2022-04-11,58.127952575683594,35.163726806640625,24.3700008392334,22.26949996948242,1.1832253496948624
