Date,XLU,XOM,VIX,AvgVIX,zscore
2022-01-31,30.442838668823242,65.4640884399414,24.829999923706055,23.18100004196167,0.9777095840289673
2022-02-01,30.038408279418945,69.66116333007812,21.959999084472656,23.448999977111818,0.637134749833646
2022-02-02,30.48240852355957,69.48019409179688,22.09000015258789,23.707999992370606,0.7629094741356603
2022-02-03,30.346126556396484,68.67005920410156,24.350000381469727,23.939000034332274,0.7728260532285063
2022-02-04,30.104352951049805,70.1610107421875,23.219999313354492,24.119499969482423,0.6262919949003342
2022-02-07,30.06038475036621,71.00562286376953,22.860000610351562,24.324499988555907,0.5675002723574809
2022-02-08,30.08236312866211,69.16991424560547,21.440000534057617,24.426500034332275,0.6761167689658197
2022-02-09,30.214248657226562,68.83880615234375,19.959999084472656,24.503999996185303,0.7290226280434363
2022-02-10,29.44932746887207,68.17655181884766,23.90999984741211,24.818499946594237,0.5669334721647645
2022-02-11,29.466909408569336,69.89315032958984,27.360000610351562,25.171000003814697,0.4752958941269402
2022-02-14,29.216337203979492,68.8213882446289,28.329999923706055,25.62799997329712,0.4701121632053742
2022-02-15,29.080059051513672,67.95870208740234,25.700000762939453,25.773499965667725,0.48297526833555215
2022-02-16,29.145999908447266,68.27240753173828,24.290000915527344,25.795499992370605,0.4825648973654793
2022-02-17,29.1635799407959,68.1678466796875,28.110000610351562,25.92150001525879,0.4930039802336881
2022-02-18,29.110837936401367,67.40973663330078,27.75,25.866499996185304,0.5217609019908882
2022-02-22,29.080059051513672,66.62549591064453,28.809999465942383,25.811999988555907,0.5577023349774904
2022-02-23,28.58770179748535,66.89562225341797,31.020000457763672,25.805000019073486,0.41433664887392246
2022-02-24,28.816295623779297,66.05039978027344,30.31999969482422,25.723000049591064,0.5212447576584974
2022-02-25,29.70869255065918,67.82799530029297,27.59000015258789,25.57800006866455,0.6540169123816931
2022-02-28,29.862558364868164,68.33340454101562,30.149999618530273,25.70250005722046,0.6657597755604633
2022-03-01,29.603191375732422,68.98693084716797,33.31999969482422,26.127000045776366,0.5615820851928983
2022-03-02,29.96367645263672,70.1720199584961,30.739999771118164,26.566000080108644,0.5890384462834815
2022-03-03,30.491201400756836,70.61640930175781,30.479999542236328,26.985500049591064,0.7015138132305765
2022-03-04,31.163801193237305,73.27410888671875,31.979999542236328,27.367000007629393,0.7277136518133804
2022-03-07,31.568239212036133,75.91436767578125,36.45000076293945,28.028500080108643,0.6850535074879197
2022-03-08,31.080276489257812,76.48948669433594,35.130001068115234,28.642000102996825,0.5257372557924387
2022-03-09,30.860471725463867,72.14131927490234,32.45000076293945,29.192500114440918,0.7122109436842305
2022-03-10,31.067079544067383,74.38076782226562,30.229999542236328,29.706000137329102,0.6404954202159783
2022-03-11,30.961584091186523,73.99736022949219,30.75,30.048000144958497,0.6345114116097885
2022-03-14,30.926408767700195,71.34834289550781,31.770000457763672,30.268500137329102,0.7738298097087467
2022-03-15,31.32206153869629,67.2877426147461,29.829999923706055,30.3435001373291,1.1044691929138941
2022-03-16,31.264904022216797,67.03504180908203,26.670000076293945,30.392000102996825,1.1037476657667218
2022-03-17,31.396787643432617,68.8213882446289,25.670000076293945,30.461000061035158,1.0379683351937485
2022-03-18,31.128625869750977,68.5512466430664,23.8700008392334,30.249000072479248,0.9832723955329061
2022-03-21,31.336620330810547,71.6271743774414,23.530000686645508,30.038000106811523,0.8650327980052749
2022-03-22,31.38088607788086,71.31350708007812,22.940000534057617,29.744500160217285,0.8941422106907685
2022-03-23,31.425134658813477,72.43756866455078,23.56999969482422,29.37200012207031,0.8426615210682755
2022-03-24,31.74819564819336,72.65542602539062,21.670000076293945,28.9395001411438,0.9145854657710416
2022-03-25,32.20845031738281,74.24134063720703,20.809999465942383,28.600500106811523,0.9455583607795864
2022-03-28,32.416439056396484,72.15874481201172,19.6299991607666,28.07450008392334,1.1164558478164783
2022-03-29,32.71736526489258,71.77532958984375,18.899999618530273,27.353500080108642,1.216316933002927
2022-03-30,32.98732376098633,73.00399017333984,19.329999923706055,26.78300008773804,1.2177551867343543
2022-03-31,32.9519157409668,71.96703338623047,20.559999465942383,26.28700008392334,1.2666559494627838
2022-04-01,33.412166595458984,72.42887878417969,19.6299991607666,25.669500064849853,1.3606326559046866
2022-04-04,33.155479431152344,72.4637222290039,18.56999969482422,24.77550001144409,1.291830447784362
2022-04-05,33.36347961425781,72.08904266357422,21.030000686645508,24.070499992370607,1.3670011065860168
2022-04-06,34.02730178833008,72.89070892333984,22.100000381469727,23.55299997329712,1.4949468498511196
2022-04-07,33.94322204589844,74.11064147949219,21.549999237060547,23.11899995803833,1.4046718989735287
2022-04-08,34.05828094482422,75.67037963867188,21.15999984741211,22.639499950408936,1.3472124348183099
2022-04-11,33.593605041503906,73.06497955322266,24.3700008392334,22.26949996948242,1.3722309335968192
2022-04-12,33.72195053100586,74.58988189697266,24.260000228881836,21.99099998474121,1.3201842750839363
2022-04-13,33.65555953979492,75.64425659179688,21.81999969482422,21.748499965667726,1.2437956425401115
2022-04-14,33.67327117919922,76.5330581665039,22.700000762939453,21.6,1.198590394798679
2022-04-18,33.4918212890625,77.16044616699219,22.170000076293945,21.51499996185303,1.1161697757418918
2022-04-19,33.708675384521484,76.47208404541016,21.3700008392334,21.40699996948242,1.2112283746017978
2022-04-20,33.98305130004883,76.64633178710938,20.31999969482422,21.27599992752075,1.272917580129979
2022-04-21,33.4210205078125,75.8359603881836,22.68000030517578,21.23149995803833,1.171969363451328
2022-04-22,32.858978271484375,74.18031311035156,28.209999084472656,21.558499908447267,1.1183964249233866
2022-04-25,32.633277893066406,71.67948913574219,27.020000457763672,21.86899995803833,1.199789921605242
2022-04-26,32.3057975769043,71.70563507080078,33.52000045776367,22.563500022888185,1.1130385064494719
2022-04-27,32.15091323852539,73.75337219238281,31.600000381469727,23.198500061035155,0.9579248869612076
2022-04-28,32.50936508178711,75.98409271240234,29.989999771118164,23.73150005340576,0.9262434163544173
2022-04-29,31.53577423095703,74.28490447998047,33.400001525878906,24.37350015640259,0.7679310944270905
2022-05-02,31.21271324157715,75.29571533203125,32.34000015258789,25.00900020599365,0.6271395034246416
2022-05-03,31.332202911376953,76.84674835205078,29.25,25.54300022125244,0.5713218765712567
2022-05-04,32.03142166137695,79.90528869628906,25.420000076293945,25.762500190734862,0.581986724878775
2022-05-05,31.703941345214844,78.6940689086914,31.200000762939453,26.21750020980835,0.5645904570583161
2022-05-06,31.956192016601562,79.89657592773438,30.190000534057617,26.6495002746582,0.5628829742783316
2022-05-09,31.71721839904785,73.59651184082031,34.75,27.3290002822876,0.8537695726568141
2022-05-10,31.332202911376953,74.08448791503906,32.9900016784668,27.76000032424927,0.7261483567942493
2022-05-11,31.557899475097656,75.62682342529297,32.560001373291016,28.175000381469726,0.6984777636718661
2022-05-12,31.239267349243164,75.97014617919922,31.770000457763672,28.6725004196167,0.5962527232605578
2022-05-13,31.61101531982422,78.22370910644531,28.8700008392334,28.981000423431396,0.5667536403518392
2022-05-16,31.7083683013916,80.06353759765625,27.469999313354492,29.246000385284425,0.4889837683733485
2022-05-17,32.03583908081055,81.084716796875,26.100000381469727,29.48250036239624,0.5170294501618486
2022-05-18,31.726062774658203,79.79946899414062,30.959999084472656,30.01450033187866,0.5083931675805848
2022-05-19,31.659687042236328,80.23082733154297,29.350000381469727,30.34800033569336,0.4669289778139352
2022-05-20,31.74819564819336,80.8646240234375,29.43000030517578,30.409000396728516,0.4544546198663607
2022-05-23,32.1287841796875,82.65164184570312,28.479999542236328,30.48200035095215,0.4534080444086993
2022-05-24,32.77047348022461,83.10059356689453,29.450000762939453,30.278500366210938,0.5953595860828012
2022-05-25,32.74835205078125,84.77317810058594,28.3700008392334,30.117000389099122,0.4958490447810239
2022-05-26,32.841278076171875,85.07247161865234,27.5,29.992500400543214,0.5032742371198211
2022-05-27,33.35463333129883,85.90874481201172,25.719999313354492,29.608500289916993,0.5900940386916778
2022-05-31,32.89439010620117,84.50907897949219,26.190000534057617,29.301000308990478,0.5486847597934114
2022-06-01,32.841278076171875,86.12882995605469,25.690000534057617,29.12300033569336,0.44406467054790477
2022-06-02,33.06255340576172,85.97917938232422,24.719999313354492,29.088000297546387,0.510079564446299
2022-06-03,32.90323257446289,87.22921752929688,24.790000915527344,28.76750030517578,0.3985220884799003
