Date,XLF,GILD,VIX,AvgVIX,zscore
2020-01-30,27.216053009033203,50.49644088745117,15.489999771118164,13.696000051498412,-0.3327083367134148
2020-01-31,26.646825790405273,49.841880798339844,18.84000015258789,14.014500045776368,-0.42730509835009794
2020-02-03,26.83360481262207,52.33396530151367,17.969999313354492,14.211999988555908,-0.46868744504848975
2020-02-04,27.091533660888672,53.15415954589844,16.049999237060547,14.32199993133545,-0.4424749939286798
2020-02-05,27.634078979492188,51.947547912597656,15.149999618530273,14.389999914169312,-0.29409970156209636
2020-02-06,27.598506927490234,53.7929573059082,14.960000038146973,14.465499925613404,-0.3599991769453586
2020-02-07,27.500661849975586,54.313453674316406,15.470000267028809,14.611999940872192,-0.39639027650757924
2020-02-10,27.58070945739746,54.40808868408203,15.039999961853027,14.735999917984008,-0.3831698876114153
2020-02-11,27.67854881286621,53.43805694580078,15.180000305175781,14.878999948501587,-0.3324839695405308
2020-02-12,27.696338653564453,52.79926681518555,13.739999771118164,14.946499919891357,-0.30856241775617405
2020-02-13,27.687442779541016,52.68098068237305,14.149999618530273,15.032999897003174,-0.30660439087744246
2020-02-14,27.723018646240234,53.280338287353516,13.680000305175781,15.100999927520752,-0.3184518326951605
2020-02-18,27.482873916625977,52.84658432006836,14.829999923706055,15.237499904632568,-0.353347938566994
2020-02-19,27.687442779541016,53.11473083496094,14.380000114440918,15.313999891281128,-0.3203983731686075
2020-02-20,27.634078979492188,52.83869934082031,15.5600004196167,15.446499919891357,-0.32243981152242424
2020-02-21,27.367258071899414,54.968013763427734,17.079999923706055,15.651499938964843,-0.4442544819275007
2020-02-24,26.477842330932617,57.491668701171875,25.030000686645508,16.174999952316284,-0.704843188528355
2020-02-25,25.57953453063965,55.283470153808594,27.850000381469727,16.655999994277956,-0.8167539156274144
2020-02-26,25.39275360107422,58.91119384765625,27.559999465942383,17.219999933242796,-0.9699921197969108
2020-02-27,24.307674407958984,57.30239486694336,39.15999984741211,18.35849995613098,-1.1388333314336616
2020-02-28,23.64950942993164,54.69989013671875,40.11000061035156,19.589499998092652,-1.1895146378750632
