Date,KDP,TXN,VIX,AvgVIX,zscore
2022-01-31,33.8814697265625,158.58984375,24.829999923706055,23.18100004196167,1.017278233772017
2022-02-01,34.05109786987305,160.1802215576172,21.959999084472656,23.448999977111818,1.0849967769103166
2022-02-02,34.613555908203125,165.96751403808594,22.09000015258789,23.707999992370606,1.3071974146360248
2022-02-03,34.5956916809082,155.14395141601562,24.350000381469727,23.939000034332274,1.348642268983635
2022-02-04,34.140384674072266,151.45950317382812,23.219999313354492,24.119499969482423,1.1642118348052894
2022-02-07,34.43500518798828,150.1606903076172,22.860000610351562,24.324499988555907,1.3003422857342222
2022-02-08,34.684974670410156,152.52859497070312,21.440000534057617,24.426500034332275,1.4000238571914638
2022-02-09,34.533203125,156.133544921875,19.959999084472656,24.503999996185303,1.316513849420695
2022-02-10,34.17608642578125,150.78797912597656,23.90999984741211,24.818499946594237,1.183051683568293
2022-02-11,33.952884674072266,145.2569580078125,27.360000610351562,25.171000003814697,1.109619628947457
2022-02-14,34.015380859375,143.5516357421875,28.329999923706055,25.62799997329712,1.1450141275304997
2022-02-15,33.863616943359375,146.82080078125,25.700000762939453,25.773499965667725,1.0630381941725648
2022-02-16,33.85468292236328,148.64981079101562,24.290000915527344,25.795499992370605,1.0507520484078032
2022-02-17,33.85468292236328,145.47781372070312,28.110000610351562,25.92150001525879,1.0652118523338419
2022-02-18,34.35464859008789,147.324462890625,27.75,25.866499996185304,1.277757265874053
2022-02-22,34.43500518798828,147.2802734375,28.809999465942383,25.811999988555907,1.3134728978514167
2022-02-23,33.979671478271484,146.35256958007812,31.020000457763672,25.805000019073486,1.1164638209984235
2022-02-24,32.72084426879883,149.84259033203125,30.31999969482422,25.723000049591064,0.5442063157254508
2022-02-25,34.19394302368164,150.92935180664062,27.59000015258789,25.57800006866455,1.1902990798996829
2022-02-28,34.52427291870117,150.1959991455078,30.149999618530273,25.70250005722046,1.339633859189813
2022-03-01,34.0689582824707,147.8103790283203,33.31999969482422,26.127000045776366,1.149279240607347
2022-03-02,34.470706939697266,150.29322814941406,30.739999771118164,26.566000080108644,1.3155167536626953
2022-03-03,34.470706939697266,151.08839416503906,30.479999542236328,26.985500049591064,1.3118919253858339
2022-03-04,34.711753845214844,150.1871795654297,31.979999542236328,27.367000007629393,1.4225326414629063
2022-03-07,34.05109786987305,145.68991088867188,36.45000076293945,28.028500080108643,1.1510520242689475
2022-03-08,33.22079849243164,147.8545684814453,35.130001068115234,28.642000102996825,0.7742273279246606
2022-03-09,33.59577178955078,152.37840270996094,32.45000076293945,29.192500114440918,0.9193272783334074
2022-03-10,33.21187210083008,152.6345977783203,30.229999542236328,29.706000137329102,0.7484920951099474
2022-03-11,32.86368942260742,150.52291870117188,30.75,30.048000144958497,0.6042364528255222
2022-03-14,33.06902313232422,147.30679321289062,31.770000457763672,30.268500137329102,0.7096461663440552
2022-03-15,33.33686447143555,152.25469970703125,29.829999923706055,30.3435001373291,0.8054651906250683
2022-03-16,33.444000244140625,155.7977752685547,26.670000076293945,30.392000102996825,0.8366632400418988
2022-03-17,33.7475471496582,157.6885986328125,25.670000076293945,30.461000061035158,0.9621985620837458
2022-03-18,33.75647735595703,159.1287841796875,23.8700008392334,30.249000072479248,0.9595801308664715
2022-03-21,33.72968292236328,159.44686889648438,23.530000686645508,30.038000106811523,0.9462881186409643
2022-03-22,33.77433395385742,161.1167755126953,22.940000534057617,29.744500160217285,0.9584095674560447
2022-03-23,32.91725158691406,158.22760009765625,23.56999969482422,29.37200012207031,0.5927862359643411
2022-03-24,33.265438079833984,162.7602081298828,21.670000076293945,28.9395001411438,0.7260075647052542
2022-03-25,33.55112838745117,163.36984252929688,20.809999465942383,28.600500106811523,0.8494914346790912
2022-03-28,33.92610549926758,164.05902099609375,19.6299991607666,28.07450008392334,1.0120736579227279
2022-03-29,34.18501281738281,168.76840209960938,18.899999618530273,27.353500080108642,1.1050315629560616
2022-03-30,34.06003952026367,165.62295532226562,19.329999923706055,26.78300008773804,1.064137465319619
2022-03-31,34.00439453125,162.11521911621094,20.559999465942383,26.28700008392334,1.0555350500287761
2022-04-01,34.309452056884766,160.87818908691406,19.6299991607666,25.669500064849853,1.1959965731899789
2022-04-04,34.4171257019043,161.4348907470703,18.56999969482422,24.77550001144409,1.2410459650126875
2022-04-05,33.15204620361328,156.5487823486328,21.030000686645508,24.070499992370607,0.7042084734465393
2022-04-06,33.94159698486328,156.6106414794922,22.100000381469727,23.55299997329712,1.052874271647766
2022-04-07,33.74420928955078,156.91989135742188,21.549999237060547,23.11899995803833,0.9642275841840102
2022-04-08,33.78009033203125,153.83627319335938,21.15999984741211,22.639499950408936,0.994142396978222
2022-04-11,33.72626495361328,151.91891479492188,24.3700008392334,22.26949996948242,0.9790943067746191
2022-04-12,33.76215362548828,152.85549926757812,24.260000228881836,21.99099998474121,0.990686074172247
2022-04-13,33.789066314697266,154.7198486328125,21.81999969482422,21.748499965667726,0.9940815489343038
2022-04-14,33.4122314453125,153.438720703125,22.700000762939453,21.6,0.8333767253051156
2022-04-18,32.999515533447266,156.0009765625,22.170000076293945,21.51499996185303,0.6392936361345283
2022-04-19,33.6993408203125,158.20986938476562,21.3700008392334,21.40699996948242,0.9385171647971013
2022-04-20,34.103092193603516,158.5279541015625,20.31999969482422,21.27599992752075,1.1155080457366968
2022-04-21,33.65447998046875,156.59298706054688,22.68000030517578,21.23149995803833,0.9260612741328696
2022-04-22,33.196903228759766,153.12939453125,28.209999084472656,21.558499908447267,0.7396209209346344
2022-04-25,33.46607971191406,153.65953063964844,27.020000457763672,21.86899995803833,0.8561687838113383
2022-04-26,33.241764068603516,148.8264617919922,33.52000045776367,22.563500022888185,0.7790627649900048
2022-04-27,33.968509674072266,149.6658477783203,31.600000381469727,23.198500061035155,1.0964269340342452
2022-04-28,34.085140228271484,155.3736572265625,29.989999771118164,23.73150005340576,1.1219531584846616
2022-04-29,33.5557975769043,150.4257354736328,33.400001525878906,24.37350015640259,0.9105617711269619
2022-05-02,32.77521514892578,153.7390899658203,32.34000015258789,25.00900020599365,0.5504734198287371
2022-05-03,33.36737823486328,152.4490966796875,29.25,25.54300022125244,0.8180647990624379
2022-05-04,33.394290924072266,155.70941162109375,25.420000076293945,25.762500190734862,0.8150966523987786
2022-05-05,33.2507438659668,150.45225524902344,31.200000762939453,26.21750020980835,0.7756201423131341
2022-05-06,33.161014556884766,148.957763671875,30.190000534057617,26.6495002746582,0.7427763728460645
2022-05-09,33.322513580322266,146.72499084472656,34.75,27.3290002822876,0.824330331386005
2022-05-10,33.196903228759766,149.66055297851562,32.9900016784668,27.76000032424927,0.7554339143237158
2022-05-11,33.573734283447266,146.50254821777344,32.560001373291016,28.175000381469726,0.9363731956482227
2022-05-12,33.0713005065918,147.5789337158203,31.770000457763672,28.6725004196167,0.7094120943051478
2022-05-13,33.38531494140625,150.994873046875,28.8700008392334,28.981000423431396,0.8326212542068612
2022-05-16,33.1789665222168,149.89181518554688,27.469999313354492,29.246000385284425,0.7464524272621473
2022-05-17,32.27276611328125,155.65618896484375,26.100000381469727,29.48250036239624,0.319673114596876
2022-05-18,30.971817016601562,151.49301147460938,30.959999084472656,30.01450033187866,-0.23631274911977976
2022-05-19,30.801342010498047,149.10902404785156,29.350000381469727,30.34800033569336,-0.300787836193941
2022-05-20,31.025651931762695,151.05715942382812,29.43000030517578,30.409000396728516,-0.21053314486406188
