Date,KO,HD,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,200.00868225097656,15.489999771118164,13.696000051498412,1.1091523087953925
2020-01-31,48.25005340576172,195.9791259765625,18.84000015258789,14.014500045776368,1.1096690236047084
2020-02-03,48.39876174926758,198.93467712402344,17.969999313354492,14.211999988555908,1.0832396643572366
2020-02-04,48.61357116699219,201.90748596191406,16.049999237060547,14.32199993133545,1.0697233922268785
2020-02-05,48.62184524536133,204.57955932617188,15.149999618530273,14.389999914169312,1.020554404636479
2020-02-06,48.73751449584961,205.2067413330078,14.960000038146973,14.465499925613404,1.03179539188641
2020-02-07,48.90275192260742,203.8836212158203,15.470000267028809,14.611999940872192,1.0900632485531188
2020-02-10,49.36542892456055,206.7274932861328,15.039999961853027,14.735999917984008,1.1286523046150532
2020-02-11,49.23322296142578,207.6124267578125,15.180000305175781,14.878999948501587,1.085336205606357
2020-02-12,49.084510803222656,207.5695037841797,13.739999771118164,14.946499919891357,1.0563626738619685
2020-02-13,49.249752044677734,208.23106384277344,14.149999618530273,15.032999897003174,1.0768799937121443
2020-02-14,49.53066635131836,210.52505493164062,13.680000305175781,15.100999927520752,1.0895178690717893
2020-02-18,49.183650970458984,209.58859252929688,14.829999923706055,15.237499904632568,1.0378166104782511
2020-02-19,49.3819465637207,209.3307647705078,14.380000114440918,15.313999891281128,1.0824433699956617
2020-02-20,49.340641021728516,212.2348175048828,15.5600004196167,15.446499919891357,1.0189300431072301
2020-02-21,49.67937469482422,210.7913818359375,17.079999923706055,15.651499938964843,1.1142411917697261
2020-02-24,48.45659255981445,205.9456329345703,25.030000686645508,16.174999952316284,0.9614664578406426
2020-02-25,47.77085876464844,203.9523162841797,27.850000381469727,16.655999994277956,0.8620160027731686
2020-02-26,47.58909225463867,202.14804077148438,27.559999465942383,17.219999933242796,0.859924338308164
2020-02-27,45.38313293457031,193.0836639404297,39.15999984741211,18.35849995613098,0.5904437890018022
2020-02-28,44.19340515136719,187.16390991210938,40.11000061035156,19.589499998092652,0.4647195250686106
2020-03-02,46.20106887817383,197.5600128173828,33.41999816894531,20.318499898910524,0.6691463165845377
2020-03-03,46.31674575805664,195.84165954589844,36.81999969482422,21.26099991798401,0.7250040851906122
2020-03-04,48.6796760559082,207.1313018798828,31.989999771118164,22.05799994468689,0.9836014647947464
2020-03-05,46.878562927246094,201.74424743652344,39.619998931884766,23.281499910354615,0.7252719649326425
2020-03-06,45.655784606933594,196.3313751220703,41.939998626708984,24.630499839782715,0.5832854494434098
2020-03-09,42.846702575683594,180.82318115234375,54.459999084472656,26.57999978065491,0.3155576161264868
2020-03-10,44.3338623046875,193.91709899902344,47.29999923706055,28.192999744415282,0.3644010798928106
2020-03-11,43.13587951660156,184.13475036621094,53.900001525878906,30.12899980545044,0.31049494836711006
2020-03-12,38.963565826416016,164.84683227539062,75.47000122070312,33.21549987792969,-0.15841966765013293
2020-03-13,40.3970947265625,177.88995361328125,57.83000183105469,35.39949998855591,-0.1193533006843833
2020-03-16,37.721736907958984,142.67869567871094,82.69000244140625,38.850000095367434,0.014485391549243264
2020-03-17,39.32194519042969,150.18629455566406,75.91000366210938,41.9040002822876,0.1922340567105098
2020-03-18,37.38002395629883,134.6089324951172,76.44999694824219,45.007500123977664,0.09953134209189583
2020-03-19,34.863014221191406,139.36602783203125,72.0,47.829500102996825,-0.4951618460597243
2020-03-20,31.920957565307617,131.5989532470703,66.04000091552734,50.27750015258789,-0.9367736846803949
2020-03-23,31.304208755493164,140.455810546875,61.59000015258789,52.10550012588501,-1.2287900656561728
2020-03-24,32.87941360473633,159.76971435546875,61.66999816894531,53.796500015258786,-1.2806219687462272
2020-03-25,34.67966842651367,157.2095489501953,63.95000076293945,55.61600008010864,-0.8712975355737611
2020-03-26,36.91328811645508,168.8428192138672,61.0,56.708000087738036,-0.645139894639954
2020-03-27,35.67979431152344,164.81224060058594,65.54000091552734,57.97950010299682,-0.8155660290781253
2020-03-30,37.50503921508789,169.61260986328125,57.08000183105469,59.16250028610229,-0.5412429121566836
2020-03-31,36.879947662353516,161.49090576171875,53.540000915527344,59.99850034713745,-0.5119753102020195
2020-04-01,35.104713439941406,154.50230407714844,57.060001373291016,61.252000427246095,-0.7346571591958581
2020-04-02,36.62993240356445,156.82029724121094,50.90999984741211,61.81650047302246,-0.4732170178941215
2020-04-03,36.5299072265625,154.56280517578125,46.79999923706055,62.059500503540036,-0.4503134858965657
2020-04-06,38.89689254760742,165.4868621826172,45.2400016784668,61.598500633239745,-0.183949877663789
2020-04-07,38.76354217529297,166.3171844482422,46.70000076293945,61.568500709533694,-0.22645644545770185
2020-04-08,39.8553581237793,168.50546264648438,43.349998474121094,61.041000556945804,-0.04936814071181404
2020-04-09,40.83882522583008,174.3091278076172,41.66999816894531,59.35100040435791,0.03724619906225064
2020-04-13,39.11359405517578,171.93927001953125,41.16999816894531,58.51800022125244,-0.2632738054843109
2020-04-14,40.77214050292969,179.18734741210938,37.7599983215332,56.27150001525879,-0.06890240309422953
2020-04-15,39.680335998535156,171.67112731933594,40.84000015258789,54.51799983978272,-0.14464375515135178
2020-04-16,39.255271911621094,172.85610961914062,40.11000061035156,52.70100002288818,-0.2523324595122129
2020-04-17,40.05537796020508,181.13340759277344,38.150001525878906,51.00850009918213,-0.24950080445828404
