Date,AVGO,AMD,VIX,AvgVIX,zscore
2022-01-31,54.15768051147461,114.25,24.829999923706055,23.18100004196167,-2.0796177924652897
2022-02-01,54.78996276855469,116.77999877929688,21.959999084472656,23.448999977111818,-2.1863651486578477
2022-02-02,55.779972076416016,122.76000213623047,22.09000015258789,23.707999992370606,-2.4836610964890258
2022-02-03,53.69271469116211,120.08000183105469,24.350000381469727,23.939000034332274,-2.496980704441178
2022-02-04,54.55331039428711,123.5999984741211,23.219999313354492,24.119499969482423,-2.6472019061965515
2022-02-07,54.31944274902344,123.66999816894531,22.860000610351562,24.324499988555907,-2.6725690320769413
2022-02-08,55.48324966430664,128.22999572753906,21.440000534057617,24.426500034332275,-2.8628095804217457
2022-02-09,56.51115417480469,132.85000610351562,19.959999084472656,24.503999996185303,-3.069037867903941
2022-02-10,54.664241790771484,125.7699966430664,23.90999984741211,24.818499946594237,-2.7772257435076755
2022-02-11,53.005897521972656,113.18000030517578,27.360000610351562,25.171000003814697,-2.1133304870495704
2022-02-14,53.482887268066406,114.2699966430664,28.329999923706055,25.62799997329712,-2.1410777455813794
2022-02-15,55.71896743774414,121.47000122070312,25.700000762939453,25.773499965667725,-2.4059251287499213
2022-02-16,55.20500183105469,117.69000244140625,24.290000915527344,25.795499992370605,-2.208031056799946
2022-02-17,53.52170944213867,112.37000274658203,28.110000610351562,25.92150001525879,-2.015109663487584
2022-02-18,53.613224029541016,113.83000183105469,27.75,25.866499996185304,-2.101086101717648
2022-02-22,53.37935256958008,115.6500015258789,28.809999465942383,25.811999988555907,-2.2392887248434183
2022-02-23,52.24513244628906,109.76000213623047,31.020000457763672,25.805000019073486,-1.96065511499726
2022-02-24,53.61414337158203,116.61000061035156,30.31999969482422,25.723000049591064,-2.2802507529143092
2022-02-25,54.354576110839844,121.05999755859375,27.59000015258789,25.57800006866455,-2.501150609552777
2022-02-28,54.3018913269043,123.33999633789062,30.149999618530273,25.70250005722046,-2.6528564696492363
2022-03-01,52.70085525512695,113.83000183105469,33.31999969482422,26.127000045776366,-2.18244109428846
2022-03-02,54.14842987060547,118.27999877929688,30.739999771118164,26.566000080108644,-2.3402858314404122
2022-03-03,53.48473358154297,111.9800033569336,30.479999542236328,26.985500049591064,-1.9932606818744583
2022-03-04,55.092227935791016,108.41000366210938,31.979999542236328,27.367000007629393,-1.6197383499114286
2022-03-07,52.75446319580078,102.94999694824219,36.45000076293945,28.028500080108643,-1.4761483231399837
2022-03-08,53.23977279663086,105.52999877929688,35.130001068115234,28.642000102996825,-1.5992251395094919
2022-03-09,55.18743896484375,111.05000305175781,32.45000076293945,29.192500114440918,-1.7814683343853235
2022-03-10,54.32869338989258,106.45999908447266,30.229999542236328,29.706000137329102,-1.562091047435214
2022-03-11,53.415401458740234,104.29000091552734,30.75,30.048000144958497,-1.5036128802166968
2022-03-14,52.48639678955078,102.25,31.770000457763672,30.268500137329102,-1.4549176649637574
2022-03-15,54.79365539550781,109.33000183105469,29.829999923706055,30.3435001373291,-1.7056806945976957
2022-03-16,56.12107849121094,115.37000274658203,26.670000076293945,30.392000102996825,-1.9767582758295437
2022-03-17,55.709716796875,111.69000244140625,25.670000076293945,30.461000061035158,-1.7761627425970685
2022-03-18,56.425193786621094,113.45999908447266,23.8700008392334,30.249000072479248,-1.8264888748426313
2022-03-21,55.9580078125,115.91999816894531,23.530000686645508,30.038000106811523,-2.0267613046317674
2022-03-22,56.89329528808594,114.77999877929688,22.940000534057617,29.744500160217285,-1.8698586690272285
2022-03-23,55.78025817871094,113.91999816894531,23.56999969482422,29.37200012207031,-1.913656592839999
2022-03-24,58.2976188659668,120.52999877929688,21.670000076293945,28.9395001411438,-2.1153806562460664
2022-03-25,58.52470016479492,119.66999816894531,20.809999465942383,28.600500106811523,-2.0396815891481275
2022-03-28,58.89787673950195,120.23999786376953,19.6299991607666,28.07450008392334,-2.0431578177155036
2022-03-29,59.69729995727539,123.2300033569336,18.899999618530273,27.353500080108642,-2.1646613449039425
2022-03-30,58.731292724609375,119.22000122070312,19.329999923706055,26.78300008773804,-1.9922453834986082
2022-03-31,58.60007858276367,109.33999633789062,20.559999465942383,26.28700008392334,-1.3669102414676755
2022-04-01,58.34881591796875,108.19000244140625,19.6299991607666,25.669500064849853,-1.3151666529015038
2022-04-04,59.081207275390625,110.52999877929688,18.56999969482422,24.77550001144409,-1.400736551161022
2022-04-05,57.15201950073242,106.81999969482422,21.030000686645508,24.070499992370607,-1.3335497823458484
2022-04-06,56.02408981323242,103.66999816894531,22.100000381469727,23.55299997329712,-1.2310227404120504
2022-04-07,56.12179946899414,103.72000122070312,21.549999237060547,23.11899995803833,-1.2255341285175332
2022-04-08,54.62813186645508,101.0,21.15999984741211,22.639499950408936,-1.1833447929490943
2022-04-11,54.033470153808594,97.37000274658203,24.3700008392334,22.26949996948242,-1.002317993697576
2022-04-12,54.44852066040039,95.0999984741211,24.260000228881836,21.99099998474121,-0.8189447700369302
2022-04-13,55.143707275390625,97.73999786376953,21.81999969482422,21.748499965667726,-0.9271755437690258
2022-04-14,53.404354095458984,93.05999755859375,22.700000762939453,21.6,-0.7805184235090923
2022-04-18,54.58159637451172,93.88999938964844,22.170000076293945,21.51499996185303,-0.7290611519643452
2022-04-19,55.61647033691406,96.93000030517578,21.3700008392334,21.40699996948242,-0.8327933430021902
2022-04-20,55.62577819824219,94.0199966430664,20.31999969482422,21.27599992752075,-0.6443343874462326
2022-04-21,55.16138458251953,89.8499984741211,22.68000030517578,21.23149995803833,-0.41687395027866897
2022-04-22,54.62348175048828,88.13999938964844,28.209999084472656,21.558499908447267,-0.35458218814087233
2022-04-25,54.71003723144531,90.69000244140625,27.020000457763672,21.86899995803833,-0.511281264192227
2022-04-26,52.12194061279297,85.16000366210938,33.52000045776367,22.563500022888185,-0.38550018090068733
2022-04-27,52.07261657714844,84.91000366210938,31.600000381469727,23.198500061035155,-0.37377904666937806
2022-04-28,53.8780517578125,89.63999938964844,29.989999771118164,23.73150005340576,-0.5177672688364814
2022-04-29,51.59334182739258,85.5199966430664,33.400001525878906,24.37350015640259,-0.4558461463526964
2022-05-02,53.63701248168945,89.83999633789062,32.34000015258789,25.00900020599365,-0.5521557448713436
2022-05-03,54.0855827331543,91.12999725341797,29.25,25.54300022125244,-0.5953328824162389
2022-05-04,56.17857360839844,99.41999816894531,25.420000076293945,25.762500190734862,-0.9432193393892196
2022-05-05,53.97576904296875,93.87000274658203,31.200000762939453,26.21750020980835,-0.7817928286835603
2022-05-06,53.98599624633789,95.33999633789062,30.190000534057617,26.6495002746582,-0.8756619981388687
