Date,UPS,ADI,VIX,AvgVIX,zscore
2020-01-30,83.85881042480469,100.57748413085938,15.489999771118164,13.696000051498412,-1.1979316073852178
2020-01-31,80.38023376464844,98.23245239257812,18.84000015258789,14.014500045776368,-1.2856808838039306
2020-02-03,79.2232894897461,98.45620727539062,17.969999313354492,14.211999988555908,-1.3571143794717802
2020-02-04,80.27152252197266,100.65803527832031,16.049999237060547,14.32199993133545,-1.3936091905666055
2020-02-05,82.33692932128906,104.43518829345703,15.149999618530273,14.389999914169312,-1.4418919935116903
2020-02-06,82.70187377929688,103.63859558105469,14.960000038146973,14.465499925613404,-1.388798799163885
2020-02-07,80.06965637207031,100.48798370361328,15.470000267028809,14.611999940872192,-1.3972716257877698
2020-02-10,80.03082275390625,101.0518798828125,15.039999961853027,14.735999917984008,-1.4230895286216356
2020-02-11,81.42845916748047,104.61419677734375,15.180000305175781,14.878999948501587,-1.49812317305205
2020-02-12,81.9487075805664,106.34166717529297,13.739999771118164,14.946499919891357,-1.5429518333935972
2020-02-13,81.71576690673828,106.40431213378906,14.149999618530273,15.032999897003174,-1.5580749328944576
2020-02-14,82.26704406738281,105.30339050292969,13.680000305175781,15.100999927520752,-1.4821836240016493
2020-02-18,82.63198852539062,106.12686157226562,14.829999923706055,15.237499904632568,-1.4972844910357492
2020-02-19,82.89599609375,110.88856506347656,14.380000114440918,15.313999891281128,-1.6835695676015872
2020-02-20,82.67857360839844,111.47930908203125,15.5600004196167,15.446499919891357,-1.7200903637306855
2020-02-21,79.92989349365234,109.87713623046875,17.079999923706055,15.651499938964843,-1.7999849890288162
2020-02-24,77.23236846923828,105.04383850097656,25.030000686645508,16.174999952316284,-1.7411284147224457
2020-02-25,73.63304138183594,102.6271743774414,27.850000381469727,16.655999994277956,-1.8323349389558925
2020-02-26,73.49972534179688,102.78828430175781,27.559999465942383,17.219999933242796,-1.8462626575951389
2020-02-27,70.76298522949219,96.93885803222656,39.15999984741211,18.35849995613098,-1.7467357543668367
2020-02-28,70.95903778076172,98.13572692871094,40.11000061035156,19.589499998092652,-1.7866072171721894
2020-03-02,72.73124694824219,100.13352966308594,33.41999816894531,20.318499898910524,-1.7757071111986409
2020-03-03,71.5942153930664,96.47087860107422,36.81999969482422,21.26099991798401,-1.6824810346030419
2020-03-04,75.13862609863281,101.20442962646484,31.989999771118164,22.05799994468689,-1.6917439003467778
2020-03-05,72.9194564819336,97.97373962402344,39.619998931884766,23.281499910354615,-1.674705648486688
2020-03-06,73.71144104003906,96.29090118408203,41.939998626708984,24.630499839782715,-1.5614169860862517
2020-03-09,68.36344909667969,87.75069427490234,54.459999084472656,26.57999978065491,-1.4885949859213778
2020-03-10,72.78614807128906,92.18727111816406,47.29999923706055,28.192999744415282,-1.438278908466223
2020-03-11,68.99861145019531,84.96099090576172,53.900001525878906,30.12899980545044,-1.337120600429387
2020-03-12,67.57144165039062,81.0013427734375,75.47000122070312,33.21549987792969,-1.2469449740922058
2020-03-13,73.89181518554688,89.80252838134766,57.83000183105469,35.39949998855591,-1.278630569286882
2020-03-16,68.26935577392578,74.8819351196289,82.69000244140625,38.850000095367434,-0.9519482336355316
2020-03-17,75.89926147460938,85.88789367675781,75.91000366210938,41.9040002822876,-1.006246366443536
2020-03-18,77.8361587524414,74.00000762939453,76.44999694824219,45.007500123977664,-0.4020221577207885
2020-03-19,75.475830078125,81.28032684326172,72.0,47.829500102996825,-0.834994917398036
2020-03-20,73.28800201416016,76.56478118896484,66.04000091552734,50.27750015258789,-0.7537740002379333
2020-03-23,72.06471252441406,76.63677215576172,61.59000015258789,52.10550012588501,-0.8223754868436443
2020-03-24,74.69947814941406,84.34905242919922,61.66999816894531,53.796500015258786,-1.0057823954638598
2020-03-25,74.10354614257812,84.91598510742188,63.95000076293945,55.61600008010864,-1.0615898739517549
2020-03-26,78.24390411376953,83.35011291503906,61.0,56.708000087738036,-0.7737441833165498
2020-03-27,76.4717025756836,79.79547882080078,65.54000091552734,57.97950010299682,-0.7191114892591858
2020-03-30,76.72266387939453,81.86527252197266,57.08000183105469,59.16250028610229,-0.7927841261817512
2020-03-31,73.25664520263672,80.67738342285156,53.540000915527344,59.99850034713745,-0.9285683826761619
2020-04-01,70.880615234375,75.67386627197266,57.060001373291016,61.252000427246095,-0.845313810214885
2020-04-02,72.95865631103516,78.92253875732422,50.90999984741211,61.81650047302246,-0.8706738220370979
2020-04-03,70.57479095458984,77.89664459228516,46.79999923706055,62.059500503540036,-0.9552710882603377
2020-04-06,75.02884674072266,86.21186065673828,45.2400016784668,61.598500633239745,-1.0665394897723415
2020-04-07,72.85673522949219,86.61681365966797,46.70000076293945,61.568500709533694,-1.2000155440990767
2020-04-08,77.46759033203125,91.25137329101562,43.349998474121094,61.041000556945804,-1.1479476411517608
2020-04-09,77.3891830444336,88.902587890625,41.66999816894531,59.35100040435791,-1.0532819898487538
2020-04-13,77.17744445800781,89.69452667236328,41.16999816894531,58.51800022125244,-1.0979670960446217
2020-04-14,79.51427459716797,92.70923614501953,37.7599983215332,56.27150001525879,-1.099607108460307
2020-04-15,78.35369873046875,90.39645385742188,40.84000015258789,54.51799983978272,-1.064463684704113
2020-04-16,80.15727996826172,91.63833618164062,40.11000061035156,52.70100002288818,-1.0200626711831975
2020-04-17,80.57289123535156,92.51126098632812,38.150001525878906,51.00850009918213,-1.0345293583106607
2020-04-20,79.357421875,90.8104248046875,43.83000183105469,49.898000144958495,-1.028087270588849
2020-04-21,78.9026107788086,86.81478881835938,45.40999984741211,49.089000129699706,-0.8842761216768174
2020-04-22,76.54229736328125,91.89932250976562,41.97999954223633,48.104500198364256,-1.2248198921695124
2020-04-23,77.98514556884766,91.6203384399414,41.380001068115234,46.976000213623045,-1.135736499588158
2020-04-24,78.55757141113281,95.31898498535156,35.93000030517578,45.722500228881835,-1.260741918844975
2020-04-27,80.41606140136719,97.21781921386719,33.290000915527344,44.11000022888184,-1.24105103661192
2020-04-28,75.61697387695312,96.83985900878906,33.56999969482422,42.93450012207031,-1.4823835541666548
2020-04-29,75.36603546142578,101.99636840820312,31.229999542236328,41.81900005340576,-1.7128896632724158
2020-04-30,74.22898864746094,98.63069915771484,34.150001525878906,40.673500061035156,-1.6321653913421728
2020-05-01,72.06471252441406,93.2671890258789,37.189998626708984,39.9875,-1.5224069804374354
2020-05-04,70.91981506347656,93.05122375488281,35.970001220703125,39.44600009918213,-1.5746854041430507
2020-05-05,72.69987487792969,95.33697509765625,33.61000061035156,38.86450004577637,-1.5754852335231144
2020-05-06,72.87239837646484,94.71605682373047,34.119998931884766,38.235499954223634,-1.5401009883987087
2020-05-07,72.79399871826172,95.70594024658203,31.440000534057617,37.64000005722046,-1.5859709917423088
2020-05-08,74.3623046875,98.8376693725586,27.979999542236328,36.95550012588501,-1.6337314328167512
2020-05-11,73.64088439941406,97.56877899169922,27.56999969482422,36.275500202178954,-1.6189892606214857
2020-05-12,72.80965423583984,95.93093872070312,33.040000915527344,36.03950033187866,-1.5946027801768214
2020-05-13,71.15508270263672,93.41117095947266,35.279998779296875,35.76150026321411,-1.5772259327813927
2020-05-14,71.90003204345703,94.93203735351562,32.61000061035156,35.38650026321411,-1.6013134312461268
2020-05-15,71.38248443603516,91.6113510131836,31.889999389648438,35.07350015640259,-1.489276058085675
2020-05-18,75.35818481445312,97.49676513671875,29.299999237060547,34.34700002670288,-1.5239066852069258
2020-05-19,75.61697387695312,95.6879653930664,30.530000686645508,33.60300006866455,-1.4338963866727112
2020-05-20,76.20509338378906,103.103271484375,27.989999771118164,32.90350008010864,-1.7145075835900616
2020-05-21,76.3070297241211,99.89956665039062,29.530000686645508,32.31100006103516,-1.5741885958629631
2020-05-22,76.63983154296875,99.94456481933594,28.15999984741211,31.92250003814697,-1.5582437783698377
2020-05-26,76.91715240478516,101.42042541503906,28.010000228881836,31.658500003814698,-1.6055027932335806
2020-05-27,78.93775939941406,103.20225524902344,27.6200008392334,31.361000061035156,-1.5721969477977364
2020-05-28,79.0169906616211,100.39735412597656,28.59000015258789,31.229000091552734,-1.4498820256536542
2020-05-29,79.00907135009766,102.19790649414062,27.510000228881836,30.89700002670288,-1.5260979663100096
2020-06-01,78.66836547851562,102.0440902709961,28.229999542236328,30.449000072479247,-1.5378859327758838
2020-06-02,80.16596984863281,105.68142700195312,26.84000015258789,29.992500019073486,-1.6107189072506725
2020-06-03,82.13108825683594,110.0426025390625,25.65999984741211,29.594999980926513,-1.688960917695774
2020-06-04,81.77450561523438,110.730224609375,25.809999465942383,29.179500007629393,-1.7370189499525739
2020-06-05,84.50826263427734,112.72985076904297,24.520000457763672,28.8335000038147,-1.6746544149214904
2020-06-08,87.51934814453125,111.93363952636719,25.809999465942383,28.725,-1.4797380124311106
2020-06-09,85.44330596923828,111.64408874511719,27.56999969482422,28.725,-1.5788304737091208
2020-06-10,84.49241638183594,111.18262481689453,27.56999969482422,28.451499938964844,-1.610375744210484
2020-06-11,79.61131286621094,104.64089965820312,40.790000915527344,28.727000045776368,-1.596650423454224
2020-06-12,80.41161346435547,107.13816833496094,36.09000015258789,28.901000022888184,-1.658871100008231
2020-06-15,83.70795440673828,107.21955871582031,34.400001525878906,29.026500129699706,-1.485605621557716
2020-06-16,83.8584976196289,111.0107421875,33.66999816894531,29.245000076293945,-1.6371201208781792
2020-06-17,84.77765655517578,110.86595916748047,33.470001220703125,29.392000102996825,-1.5817566655655495
2020-06-18,85.24517822265625,111.11930847167969,32.939998626708984,29.639500045776366,-1.567360769861201
2020-06-19,85.39574432373047,108.73965454101562,35.119998931884766,29.91899995803833,-1.459122253944064
2020-06-22,84.70634460449219,109.02920532226562,31.770000457763672,30.09949998855591,-1.5082638585772272
2020-06-23,87.64611053466797,111.51742553710938,31.3700008392334,30.267500019073488,-1.4554233762990365
2020-06-24,86.76657104492188,108.09724426269531,33.84000015258789,30.57849998474121,-1.3586015189397638
2020-06-25,87.57481384277344,108.66728210449219,32.220001220703125,30.760000038146973,-1.3392726952402754
2020-06-26,85.03914642333984,106.64956665039062,34.72999954223633,31.121000003814697,-1.3902577300323113
2020-06-29,86.750732421875,107.67198181152344,31.780000686645508,31.298500061035156,-1.3415497452102916
2020-06-30,88.09778594970703,110.96549987792969,30.43000030517578,31.47800006866455,-1.4079800810477268
2020-07-01,90.66511535644531,108.91158294677734,28.6200008392334,31.626000118255615,-1.183908867652551
2020-07-02,90.6175765991211,109.69876861572266,27.68000030517578,31.719500160217287,-1.2195924092912038
2020-07-06,91.40996551513672,111.8521957397461,27.940000534057617,31.890500164031984,-1.2677636956872382
2020-07-07,90.68888854980469,110.94741821289062,29.43000030517578,32.07150020599365,-1.2683298840251152
2020-07-08,90.7047348022461,111.16455078125,28.079999923706055,32.097000217437746,-1.2766203455802732
2020-07-09,90.68888854980469,112.36795043945312,29.260000228881836,32.18150024414062,-1.3281249753944429
2020-07-10,91.18019104003906,112.64842224121094,27.290000915527344,31.506500244140625,-1.3135960520109844
2020-07-13,90.14214324951172,106.08858489990234,32.189998626708984,31.31150016784668,-1.0931116736645776
2020-07-14,91.38618469238281,106.77623748779297,29.520000457763672,31.067500114440918,-1.055373846660274
2020-07-15,94.4606704711914,106.67672729492188,27.760000228881836,30.772000217437743,-0.8863855889671038
2020-07-16,94.8806381225586,104.93948364257812,28.0,30.49850015640259,-0.7907477884055472
2020-07-17,93.93769836425781,105.63617706298828,25.68000030517578,30.13550024032593,-0.870617759299426
2020-07-20,93.77920532226562,105.91667175292969,24.459999084472656,29.602500247955323,-0.8909203390791399
2020-07-21,94.32595825195312,103.67276000976562,24.84000015258789,29.256000232696532,-0.7671591510176247
2020-07-22,94.07238006591797,103.03939056396484,24.31999969482422,28.903500175476076,-0.7540908265928782
2020-07-23,93.61280822753906,101.2840576171875,26.079999923706055,28.515500164031984,-0.704836931262918
2020-07-24,93.77920532226562,101.5283432006836,25.84000015258789,28.19650011062622,-0.7062004842011145
2020-07-27,95.88697814941406,104.77661895751953,24.739999771118164,27.697000122070314,-0.7299501059318435
2020-07-28,94.7855453491211,104.44183349609375,25.440000534057617,27.380000114440918,-0.7748971727116942
2020-07-29,98.00265502929688,106.3419418334961,24.100000381469727,27.063500118255615,-0.6824347721504572
2020-07-30,112.0913314819336,105.22901916503906,24.760000228881836,26.870500087738037,0.1195975369553216
2020-07-31,113.12141418457031,103.91705322265625,24.459999084472656,26.70950002670288,0.23003750914616825
2020-08-03,112.66180419921875,105.47331237792969,24.280000686645508,26.526500034332276,0.13989304851282286
2020-08-04,114.67449951171875,106.02523040771484,23.760000228881836,26.243000030517578,0.22454603114487162
2020-08-05,114.95973205566406,105.11139678955078,22.989999771118164,25.988500022888182,0.27830155629586034
2020-08-06,115.26880645751953,105.62713623046875,22.649999618530273,25.657999992370605,0.2731594089065393
2020-08-07,124.32579040527344,105.24711608886719,22.209999084472656,25.403999900817873,0.7746310004905113
2020-08-10,126.4572982788086,105.64523315429688,22.1299991607666,24.90099992752075,0.8721266225404282
2020-08-11,123.4937744140625,105.46427154541016,24.030000686645508,24.626499938964844,0.7208922030647728
2020-08-12,125.03102111816406,107.87104797363281,22.280000686645508,24.352499961853027,0.701982668301095
2020-08-13,126.21959686279297,106.86671447753906,22.1299991607666,24.058999919891356,0.807968924574808
2020-08-14,127.36857604980469,106.02523040771484,22.049999237060547,23.877499866485596,0.9049778210693715
2020-08-17,127.01992797851562,106.26048278808594,21.350000381469727,23.72199993133545,0.876386897547186
2020-08-18,126.77429962158203,106.65861511230469,21.510000228881836,23.555499935150145,0.8464618908746722
2020-08-19,127.05162048339844,106.90290832519531,22.540000915527344,23.466499996185302,0.8510437866257906
2020-08-20,126.42562866210938,106.2695541381836,22.719999313354492,23.298499965667723,0.8441492386817478
2020-08-21,126.81637573242188,104.97566223144531,22.540000915527344,23.133500003814696,0.9195585475422317
2020-08-24,127.86897277832031,106.07049560546875,22.3700008392334,23.01500005722046,0.9298948722300858
2020-08-25,126.82433319091797,108.48631286621094,22.030000686645508,22.844500064849854,0.7722097156104344
2020-08-26,126.71273803710938,109.03825378417969,23.270000457763672,22.803000068664552,0.7429948646915215
2020-08-27,127.75731658935547,108.26518249511719,24.469999313354492,22.788500022888183,0.8315279168496552
