Date,BAC,QCOM,VIX,AvgVIX,zscore
2020-01-30,28.733768463134766,76.35942077636719,15.489999771118164,13.696000051498412,1.0731313741796829
2020-01-31,28.17591094970703,74.21076965332031,18.84000015258789,14.014500045776368,1.0632243038000022
2020-02-03,28.296070098876953,75.22856140136719,17.969999313354492,14.211999988555908,1.044231623639836
2020-02-04,28.85392189025879,77.35981750488281,16.049999237060547,14.32199993133545,1.0547999290375756
2020-02-05,29.789398193359375,79.08219146728516,15.149999618530273,14.389999914169312,1.143006430545343
2020-02-06,29.75506591796875,78.82122039794922,14.960000038146973,14.465499925613404,1.1472973243258362
2020-02-07,29.70357894897461,76.04627227783203,15.470000267028809,14.611999940872192,1.2444678341214925
2020-02-10,29.77223777770996,77.07273864746094,15.039999961853027,14.735999917984008,1.2166793997719307
2020-02-11,29.840890884399414,78.29055786132812,15.180000305175781,14.878999948501587,1.181605802830298
2020-02-12,29.96962547302246,79.78682708740234,13.739999771118164,14.946499919891357,1.1458085538763167
2020-02-13,29.961050033569336,78.31668853759766,14.149999618530273,15.032999897003174,1.2003626499157367
2020-02-14,29.909547805786133,77.9426498413086,13.680000305175781,15.100999927520752,1.2061353166506337
2020-02-18,29.411775588989258,76.57688903808594,14.829999923706055,15.237499904632568,1.1763027098109649
2020-02-19,29.797983169555664,78.77774047851562,14.380000114440918,15.313999891281128,1.156007139876893
2020-02-20,29.909547805786133,77.82953643798828,15.5600004196167,15.446499919891357,1.2104412006083756
2020-02-21,29.48902130126953,75.70702362060547,17.079999923706055,15.651499938964843,1.2221133688490333
2020-02-24,28.090087890625,72.47970581054688,25.030000686645508,16.174999952316284,1.1150131975967186
2020-02-25,26.67399787902832,69.78300476074219,27.850000381469727,16.655999994277956,0.9848938829902784
2020-02-26,26.287790298461914,69.29588317871094,27.559999465942383,17.219999933242796,0.9399529584986186
2020-02-27,25.00043296813965,66.05986785888672,39.15999984741211,18.35849995613098,0.851524566977086
2020-02-28,24.45974349975586,68.11282348632812,40.11000061035156,19.589499998092652,0.6844971346699259
2020-03-02,25.2064151763916,70.07878875732422,33.41999816894531,20.318499898910524,0.7323954614914503
2020-03-03,23.81607437133789,68.3389892578125,36.81999969482422,21.26099991798401,0.570082421198367
2020-03-04,24.365337371826172,71.7235107421875,31.989999771118164,22.05799994468689,0.5315309060185069
2020-03-05,23.130233764648438,69.41748809814453,39.619998931884766,23.281499910354615,0.4162898966870997
2020-03-06,22.206058502197266,67.92689514160156,41.939998626708984,24.630499839782715,0.32111784216698824
2020-03-09,18.941225051879883,63.69190216064453,54.459999084472656,26.57999978065491,-0.05433676261816731
2020-03-10,20.392263412475586,69.17196655273438,47.29999923706055,28.192999744415282,-0.024426890833029406
2020-03-11,19.580371856689453,65.42796325683594,53.900001525878906,30.12899980545044,-0.01536144260150033
2020-03-12,17.714754104614258,58.764163970947266,75.47000122070312,33.21549987792969,-0.06835799581814947
2020-03-13,20.8673038482666,66.47138214111328,57.83000183105469,35.39949998855591,0.15646252406514513
2020-03-16,17.65428924560547,56.53706359863281,82.69000244140625,38.850000095367434,0.006481842229855512
2020-03-17,18.98440933227539,60.37751770019531,75.91000366210938,41.9040002822876,0.07893035515251366
2020-03-18,17.956594467163086,53.6523323059082,76.44999694824219,45.007500123977664,0.16598724057054107
2020-03-19,18.310718536376953,56.99299240112305,72.0,47.829500102996825,0.0970287798998926
2020-03-20,16.989229202270508,53.40681838989258,66.04000091552734,50.27750015258789,0.016319304556863763
2020-03-23,15.615934371948242,54.82725524902344,61.59000015258789,52.10550012588501,-0.26349235319066366
