Date,SHEL,KDP,VIX,AvgVIX,zscore
2020-01-30,42.15346908569336,24.535131454467773,15.489999771118164,13.696000051498412,2.9336516400497743
2020-01-31,40.8303108215332,24.423847198486328,18.84000015258789,14.014500045776368,2.6819308495108896
2020-02-03,40.11782455444336,24.552255630493164,17.969999313354492,14.211999988555908,2.5340897016758808
2020-02-04,40.43883514404297,24.54369354248047,16.049999237060547,14.32199993133545,2.5974812534724085
2020-02-05,41.456661224365234,24.56081771850586,15.149999618530273,14.389999914169312,2.7955859330096797
2020-02-06,40.822486877441406,24.449522018432617,14.960000038146973,14.465499925613404,2.6787231520841432
2020-02-07,40.54844665527344,24.45808219909668,15.470000267028809,14.611999940872192,2.6245254011989867
2020-02-10,40.23527145385742,24.57793617248535,15.039999961853027,14.735999917984008,2.555401336558229
2020-02-11,40.705039978027344,24.54369354248047,15.180000305175781,14.878999948501587,2.6495864685008645
2020-02-12,41.221778869628906,24.51801300048828,13.739999771118164,14.946499919891357,2.7524062647209298
2020-02-13,40.6478157043457,24.466644287109375,14.149999618530273,15.032999897003174,2.6434162450251795
2020-02-14,40.24922561645508,24.714908599853516,13.680000305175781,15.100999927520752,2.54918981037626
2020-02-18,40.0260124206543,24.714908599853516,14.829999923706055,15.237499904632568,2.5054995009618506
2020-02-19,40.03399658203125,24.697790145874023,14.380000114440918,15.313999891281128,2.5081799197686205
2020-02-20,39.555686950683594,25.083019256591797,15.5600004196167,15.446499919891357,2.389407370785386
2020-02-21,39.196956634521484,25.254236221313477,17.079999923706055,15.651499938964843,2.308013192202227
2020-02-24,37.69029998779297,24.946046829223633,25.030000686645508,16.174999952316284,2.033231397363707
2020-02-25,36.5902099609375,24.75771141052246,27.850000381469727,16.655999994277956,1.8302031538237404
2020-02-26,36.47062301635742,24.59505844116211,27.559999465942383,17.219999933242796,1.8174154641727591
2020-02-27,35.027748107910156,24.175582885742188,39.15999984741211,18.35849995613098,1.562383682414665
2020-02-28,35.0994873046875,23.86739158630371,40.11000061035156,19.589499998092652,1.596547021085733
