Date,PG,ADI,VIX,AvgVIX,zscore
2020-01-30,107.52605438232422,100.57750701904297,15.489999771118164,13.696000051498412,-0.004000963130135821
2020-01-31,106.3906021118164,98.23243713378906,18.84000015258789,14.014500045776368,-0.025860078525852887
2020-02-03,106.80892944335938,98.45622253417969,17.969999313354492,14.211999988555908,0.016387602016785265
2020-02-04,107.27848815917969,100.65805053710938,16.049999237060547,14.32199993133545,-0.040378910983031285
2020-02-05,108.26025390625,104.43518829345703,15.149999618530273,14.389999914169312,-0.11492236742729153
2020-02-06,108.54198455810547,103.63858795166016,14.960000038146973,14.465499925613404,-0.035871595533968785
2020-02-07,107.63703918457031,100.48799896240234,15.470000267028809,14.611999940872192,0.01515962592471103
2020-02-10,107.7138671875,101.0518798828125,15.039999961853027,14.735999917984008,-0.005004380881833548
2020-02-11,105.9979019165039,104.61419677734375,15.180000305175781,14.878999948501587,-0.4176053484018795
2020-02-12,105.39176940917969,106.34165954589844,13.739999771118164,14.946499919891357,-0.5884068473698407
2020-02-13,106.68086242675781,106.40428924560547,14.149999618530273,15.032999897003174,-0.4247306706103249
2020-02-14,107.68826293945312,105.30339050292969,13.680000305175781,15.100999927520752,-0.23540515362351658
2020-02-18,106.60403442382812,106.12684631347656,14.829999923706055,15.237499904632568,-0.41986600229979815
2020-02-19,107.09066009521484,110.88855743408203,14.380000114440918,15.313999891281128,-0.6111507186159859
2020-02-20,108.06390380859375,111.47927856445312,15.5600004196167,15.446499919891357,-0.5166041944795294
2020-02-21,108.16634368896484,109.87714385986328,17.079999923706055,15.651499938964843,-0.41775771901794045
2020-02-24,105.26370239257812,105.0438461303711,25.030000686645508,16.174999952316284,-0.5356805339326169
2020-02-25,103.667236328125,102.62718963623047,27.850000381469727,16.655999994277956,-0.6134473044827986
2020-02-26,102.58301544189453,102.78827667236328,27.559999465942383,17.219999933242796,-0.7625284631448424
2020-02-27,96.89723205566406,96.93885040283203,39.15999984741211,18.35849995613098,-1.1867753165478554
2020-02-28,96.666748046875,98.1357421875,40.11000061035156,19.589499998092652,-1.2805668394540035
2020-03-02,102.07075500488281,100.13355255126953,33.41999816894531,20.318499898910524,-0.6871043344424672
2020-03-03,100.88409423828125,96.47087860107422,36.81999969482422,21.26099991798401,-0.6452218937308926
2020-03-04,106.28815460205078,101.20442962646484,31.989999771118164,22.05799994468689,-0.19787492547975125
2020-03-05,103.8379898071289,97.97374725341797,39.619998931884766,23.281499910354615,-0.3427721294899671
2020-03-06,103.86358642578125,96.29092407226562,41.939998626708984,24.630499839782715,-0.2495720890943813
2020-03-09,99.08277893066406,87.7507095336914,54.459999084472656,26.57999978065491,-0.4128442702095813
2020-03-10,102.91598510742188,92.18728637695312,47.29999923706055,28.192999744415282,-0.15316297416495733
2020-03-11,95.26663970947266,84.9609603881836,53.900001525878906,30.12899980545044,-0.7582752943455239
2020-03-12,86.9428482055664,81.00135040283203,75.47000122070312,33.21549987792969,-1.6252553663534246
2020-03-13,97.38384246826172,89.80252838134766,57.83000183105469,35.39949998855591,-0.7425595837774841
2020-03-16,92.62863159179688,74.8819351196289,82.69000244140625,38.850000095367434,-0.5617240401776128
2020-03-17,100.94385528564453,85.88787078857422,75.91000366210938,41.9040002822876,-0.0722151757347209
2020-03-18,100.26944732666016,74.00001525878906,76.44999694824219,45.007500123977664,0.4753639504987654
2020-03-19,94.61781311035156,81.28032684326172,72.0,47.829500102996825,-0.6457490872250199
2020-03-20,87.44656372070312,76.56477355957031,66.04000091552734,50.27750015258789,-1.3230232617761675
2020-03-23,83.408447265625,76.63674926757812,61.59000015258789,52.10550012588501,-1.8500663469598193
2020-03-24,88.16368865966797,84.34904479980469,61.66999816894531,53.796500015258786,-1.6458855029489587
2020-03-25,86.15742492675781,84.91600036621094,63.95000076293945,55.61600008010864,-1.9361095827291641
2020-03-26,91.6724624633789,83.35013580322266,61.0,56.708000087738036,-1.1379169902699307
2020-03-27,94.05432891845703,79.79546356201172,65.54000091552734,57.97950010299682,-0.6394468333209712
2020-03-30,98.17782592773438,81.86526489257812,57.08000183105469,59.16250028610229,-0.2157388514637028
2020-03-31,93.90921783447266,80.6773910522461,53.540000915527344,59.99850034713745,-0.7053540136565492
2020-04-01,93.33721160888672,75.67384338378906,57.060001373291016,61.252000427246095,-0.5122145628165733
2020-04-02,97.66559600830078,78.92256164550781,50.90999984741211,61.81650047302246,-0.12492911440154082
2020-04-03,98.24612426757812,77.89661407470703,46.79999923706055,62.059500503540036,0.005085363659632021
2020-04-06,100.5767822265625,86.21185302734375,45.2400016784668,61.598500633239745,-0.13707967539110266
2020-04-07,96.27400970458984,86.61682891845703,46.70000076293945,61.568500709533694,-0.7161992692841264
2020-04-08,98.26319122314453,91.25138092041016,43.349998474121094,61.041000556945804,-0.7060134153381865
2020-04-09,97.88756561279297,88.90261840820312,41.66999816894531,59.35100040435791,-0.6292283326572222
2020-04-13,98.98886108398438,89.69452667236328,41.16999816894531,58.51800022125244,-0.5288366646623516
2020-04-14,103.26599884033203,92.70923614501953,37.7599983215332,56.27150001525879,-0.13569201974441797
2020-04-15,103.48794555664062,90.39644622802734,40.84000015258789,54.51799983978272,0.01659615854765457
2020-04-16,103.72698211669922,91.63833618164062,40.11000061035156,52.70100002288818,-0.018765376423740522
2020-04-17,106.45037078857422,92.51126098632812,38.150001525878906,51.00850009918213,0.28746556275393875
2020-04-20,102.95866394042969,90.8104248046875,43.83000183105469,49.898000144958495,-0.07409181790773545
2020-04-21,102.17322540283203,86.8147964477539,45.40999984741211,49.089000129699706,0.037558885740816936
2020-04-22,101.93419647216797,91.89933013916016,41.97999954223633,48.104500198364256,-0.26498801891341905
2020-04-23,102.6139907836914,91.6203384399414,41.380001068115234,46.976000213623045,-0.16200883236813424
2020-04-24,102.08116149902344,95.31900024414062,35.93000030517578,45.722500228881835,-0.4285992551315085
2020-04-27,100.93815612792969,97.21781921386719,33.290000915527344,44.11000022888184,-0.6781132490413342
2020-04-28,100.45686340332031,96.8398666381836,33.56999969482422,42.93450012207031,-0.7202846049865899
2020-04-29,100.62014770507812,101.99634552001953,31.229999542236328,41.81900005340576,-0.9745485473552856
2020-04-30,101.29907989501953,98.63068389892578,34.150001525878906,40.673500061035156,-0.706814633660012
2020-05-01,100.39671325683594,93.26719665527344,37.189998626708984,39.9875,-0.5372531062983826
2020-05-04,99.49430847167969,93.05122375488281,35.970001220703125,39.44600009918213,-0.6426375822477185
2020-05-05,99.7005844116211,95.33699798583984,33.61000061035156,38.86450004577637,-0.7380001056514852
2020-05-06,97.19967651367188,94.7160415649414,34.119998931884766,38.235499954223634,-1.0288635505137016
2020-05-07,96.40042877197266,95.7059555053711,31.440000534057617,37.64000005722046,-1.185291783017963
2020-05-08,99.64900970458984,98.8376693725586,27.979999542236328,36.95550012588501,-0.9316616212942398
2020-05-11,99.09899139404297,97.56877136230469,27.56999969482422,36.275500202178954,-0.9351498820347186
2020-05-12,98.44581604003906,95.93094635009766,33.040000915527344,36.03950033187866,-0.9322984143390151
2020-05-13,97.9043960571289,93.41117858886719,35.279998779296875,35.76150026321411,-0.8678606853291134
2020-05-14,97.80986022949219,94.9320297241211,32.61000061035156,35.38650026321411,-0.9613415219630835
2020-05-15,98.49739074707031,91.61136627197266,31.889999389648438,35.07350015640259,-0.6948970255658401
2020-05-18,99.87244415283203,97.49678039550781,29.299999237060547,34.34700002670288,-0.8310922402519219
2020-05-19,96.63246154785156,95.68797302246094,30.530000686645508,33.60300006866455,-1.1542679613844216
2020-05-20,97.3543701171875,103.10326385498047,27.989999771118164,32.90350008010864,-1.4568022846624007
2020-05-21,95.9277572631836,99.89958190917969,29.530000686645508,32.31100006103516,-1.4705251054662638
2020-05-22,96.76995849609375,99.9445571899414,28.15999984741211,31.92250003814697,-1.3638075126106124
2020-05-26,96.28009796142578,101.42041778564453,28.010000228881836,31.658500003814698,-1.5061055554246308
2020-05-27,97.87861633300781,103.2022476196289,27.6200008392334,31.361000061035156,-1.394165266362795
2020-05-28,99.7435531616211,100.39735412597656,28.59000015258789,31.229000091552734,-1.0027185907242637
2020-05-29,99.62321472167969,102.19791412353516,27.510000228881836,30.89700002670288,-1.1144824634365718
2020-06-01,100.7662582397461,102.04409790039062,28.229999542236328,30.449000072479247,-0.9581683000831873
2020-06-02,101.4623794555664,105.6814193725586,26.84000015258789,29.992500019073486,-1.062253377180703
2020-06-03,101.86628723144531,110.0426025390625,25.65999984741211,29.594999980926513,-1.2428622837033823
2020-06-04,99.73494720458984,110.73023223876953,25.809999465942383,29.179500007629393,-1.5557373718658318
2020-06-05,101.6944351196289,112.7298583984375,24.520000457763672,28.8335000038147,-1.4086610751336268
2020-06-08,102.31319427490234,111.93364715576172,25.809999465942383,28.725,-1.2859639769054179
2020-06-09,101.7030029296875,111.64408874511719,27.56999969482422,28.725,-1.3495574307498304
2020-06-10,102.46788787841797,111.18264770507812,27.56999969482422,28.451499938964844,-1.2258084170608794
