Date,GOOGL,KDP,VIX,AvgVIX,zscore
2022-01-31,134.1943817138672,33.881473541259766,24.829999923706055,23.18100004196167,0.20377515253891815
2022-02-01,136.5157012939453,34.05109786987305,21.959999084472656,23.448999977111818,0.29540381834723706
2022-02-02,146.7867889404297,34.613555908203125,22.09000015258789,23.707999992370606,0.6480707186104433
2022-02-03,141.91705322265625,34.5956916809082,24.350000381469727,23.939000034332274,0.5506619419425606
2022-02-04,142.11837768554688,34.140377044677734,23.219999313354492,24.119499969482423,0.4267531753069813
2022-02-07,138.0599365234375,34.435001373291016,22.860000610351562,24.324499988555907,0.4323996263552699
2022-02-08,138.2563018798828,34.68497848510742,21.440000534057617,24.426500034332275,0.5062510839637896
2022-02-09,140.43133544921875,34.533203125,19.959999084472656,24.503999996185303,0.5049424309445343
2022-02-10,137.48370361328125,34.17608642578125,23.90999984741211,24.818499946594237,0.348833324490185
2022-02-11,133.18174743652344,33.952884674072266,27.360000610351562,25.171000003814697,0.2045944858721287
2022-02-14,134.41505432128906,34.015380859375,28.329999923706055,25.62799997329712,0.24552694531790337
2022-02-15,135.4886932373047,33.86361312866211,25.700000762939453,25.773499965667725,0.22332279900324978
2022-02-16,136.6089630126953,33.85467529296875,24.290000915527344,25.795499992370605,0.2420712490742984
2022-02-17,131.45252990722656,33.85467529296875,28.110000610351562,25.92150001525879,0.1442341575531521
2022-02-18,129.33404541015625,34.35464859008789,27.75,25.866499996185304,0.24429514723451412
2022-02-22,128.7493896484375,34.435001373291016,28.809999465942383,25.811999988555907,0.25574324236083623
2022-02-23,126.54212188720703,33.97967529296875,31.020000457763672,25.805000019073486,0.08613113637814636
2022-02-24,131.60328674316406,32.72084045410156,30.31999969482422,25.723000049591064,-0.17097820907580794
2022-02-25,133.35731506347656,34.193939208984375,27.59000015258789,25.57800006866455,0.2755482960662066
2022-02-28,133.94992065429688,34.52427673339844,30.149999618530273,25.70250005722046,0.379461306106461
2022-03-01,132.96255493164062,34.06895065307617,33.31999969482422,26.127000045776366,0.23299536821198663
2022-03-02,133.4683837890625,34.470706939697266,30.739999771118164,26.566000080108644,0.35529688072308097
2022-03-03,132.80191040039062,34.470706939697266,30.479999542236328,26.985500049591064,0.34265135297353183
2022-03-04,130.82522583007812,34.71176528930664,31.979999542236328,27.367000007629393,0.3727698468090986
2022-03-07,125.3425521850586,34.05109786987305,36.45000076293945,28.028500080108643,0.08340680615169337
2022-03-08,126.0625991821289,33.22080612182617,35.130001068115234,28.642000102996825,-0.13585153031031638
2022-03-09,132.32632446289062,33.59577560424805,32.45000076293945,29.192500114440918,0.08818465639276257
2022-03-10,131.3439483642578,33.21186828613281,30.229999542236328,29.706000137329102,-0.03815162321133801
2022-03-11,128.805908203125,32.86368179321289,30.75,30.048000144958497,-0.18398404636607674
2022-03-14,124.91854858398438,33.06901931762695,31.770000457763672,30.268500137329102,-0.20013900783662053
2022-03-15,128.13894653320312,33.33686828613281,29.829999923706055,30.3435001373291,-0.0638966213154125
2022-03-16,132.18795776367188,33.444000244140625,26.670000076293945,30.392000102996825,0.04298202682611541
2022-03-17,132.7418975830078,33.74755096435547,25.670000076293945,30.461000061035158,0.13864694305510927
2022-03-18,135.00965881347656,33.756473541259766,23.8700008392334,30.249000072479248,0.18417800957792033
2022-03-21,134.98585510253906,33.72969436645508,23.530000686645508,30.038000106811523,0.1762140456801599
2022-03-22,138.72145080566406,33.77432632446289,22.940000534057617,29.744500160217285,0.2596129919367532
2022-03-23,137.14199829101562,32.91725158691406,23.56999969482422,29.37200012207031,-0.01078895835512694
