Date,PEP,MS,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,89.15283966064453,24.829999923706055,23.18100004196167,-1.2395063972812042
2022-02-01,150.68084716796875,90.37875366210938,21.959999084472656,23.448999977111818,-1.4379938621774484
2022-02-02,153.41751098632812,90.35267639160156,22.09000015258789,23.707999992370606,-1.0794827130930973
2022-02-03,153.33004760742188,88.93547821044922,24.350000381469727,23.939000034332274,-1.0170953444545996
2022-02-04,150.81201171875,90.51786804199219,23.219999313354492,24.119499969482423,-1.4281205130532464
2022-02-07,150.21749877929688,91.44818878173828,22.860000610351562,24.324499988555907,-1.5541558051652857
2022-02-08,150.40106201171875,92.46540832519531,21.440000534057617,24.426500034332275,-1.5831722277981004
2022-02-09,150.3311309814453,94.53470611572266,19.959999084472656,24.503999996185303,-1.7000593341359926
2022-02-10,147.2097930908203,93.52615356445312,23.90999984741211,24.818499946594237,-2.054893729689585
2022-02-11,147.3934326171875,90.91781616210938,27.360000610351562,25.171000003814697,-1.8950958989627398
2022-02-14,145.74966430664062,89.17892456054688,28.329999923706055,25.62799997329712,-2.019064369123115
2022-02-15,145.10269165039062,89.9266357421875,25.700000762939453,25.773499965667725,-2.142436444415416
2022-02-16,145.39996337890625,87.94432067871094,24.290000915527344,25.795499992370605,-2.0004095457924316
2022-02-17,145.79339599609375,83.59708404541016,28.110000610351562,25.92150001525879,-1.7226774797311533
2022-02-18,146.63275146484375,82.9623794555664,27.75,25.866499996185304,-1.5800830701402255
2022-02-22,147.1923065185547,82.37986755371094,28.809999465942383,25.811999988555907,-1.476722491901606
2022-02-23,145.74090576171875,81.3365249633789,31.020000457763672,25.805000019073486,-1.6118070649087648
2022-02-24,143.2053680419922,79.82368469238281,30.31999969482422,25.723000049591064,-1.8639293148398821
2022-02-25,147.2185516357422,82.20598602294922,27.59000015258789,25.57800006866455,-1.4642422818089658
2022-02-28,143.1616668701172,78.89339447021484,30.149999618530273,25.70250005722046,-1.8211868730603442
2022-03-01,141.87643432617188,76.1894302368164,33.31999969482422,26.127000045776366,-1.8481069317627943
2022-03-02,143.8436737060547,76.84151458740234,30.739999771118164,26.566000080108644,-1.6253267853880946
2022-03-03,143.6896514892578,76.3198471069336,30.479999542236328,26.985500049591064,-1.6182614012113958
2022-03-04,145.8722381591797,75.08523559570312,31.979999542236328,27.367000007629393,-1.2691255100030152
2022-03-07,142.96795654296875,72.55516052246094,36.45000076293945,28.028500080108643,-1.5163978726888336
2022-03-08,138.93722534179688,72.43343353271484,35.130001068115234,28.642000102996825,-2.0360965275438696
2022-03-09,138.5235595703125,75.98944091796875,32.45000076293945,29.192500114440918,-2.2752651480426818
2022-03-10,135.98016357421875,74.65052032470703,30.229999542236328,29.706000137329102,-2.537469987432803
2022-03-11,135.2937469482422,74.05927276611328,30.75,30.048000144958497,-2.596262228840433
2022-03-14,137.19467163085938,73.65934753417969,31.770000457763672,30.268500137329102,-2.327352208343686
2022-03-15,139.93173217773438,75.05912780761719,29.829999923706055,30.3435001373291,-2.043042159542259
2022-03-16,140.54779052734375,79.78022766113281,26.670000076293945,30.392000102996825,-2.2084981016887753
2022-03-17,141.63905334472656,81.6060562133789,25.670000076293945,30.461000061035158,-2.161162661543718
2022-03-18,143.26719665527344,82.44073486328125,23.8700008392334,30.249000072479248,-1.9921456175983552
2022-03-21,143.0647430419922,80.5192642211914,23.530000686645508,30.038000106811523,-1.9185047889439426
2022-03-22,144.63131713867188,81.9190673828125,22.940000534057617,29.744500160217285,-1.786952335924734
2022-03-23,143.87442016601562,80.31927490234375,23.56999969482422,29.37200012207031,-1.8024218118386879
2022-03-24,144.7457275390625,80.1019287109375,21.670000076293945,28.9395001411438,-1.6773917946046368
2022-03-25,145.4233856201172,80.31927490234375,20.809999465942383,28.600500106811523,-1.6002713363418681
2022-03-28,145.8546142578125,79.35420227050781,19.6299991607666,28.07450008392334,-1.4937360132049775
2022-03-29,148.01962280273438,79.84977722167969,18.899999618530273,27.353500080108642,-1.2369952777008604
2022-03-30,147.81716918945312,78.48477172851562,19.329999923706055,26.78300008773804,-1.1923328963667048
2022-03-31,147.30674743652344,75.98944091796875,20.559999465942383,26.28700008392334,-1.1289996849679829
2022-04-01,149.40133666992188,75.63297271728516,19.6299991607666,25.669500064849853,-0.8370781957081955
2022-04-04,149.0140838623047,75.88511657714844,18.56999969482422,24.77550001144409,-0.9007479373621882
2022-04-05,149.1724853515625,74.14622497558594,21.030000686645508,24.070499992370607,-0.789521051169163
2022-04-06,151.7158966064453,72.27693176269531,22.100000381469727,23.55299997329712,-0.3602434614296277
2022-04-07,151.85670471191406,72.27693176269531,21.549999237060547,23.11899995803833,-0.34186705064593836
2022-04-08,152.36717224121094,73.08550262451172,21.15999984741211,22.639499950408936,-0.3173546731459857
