Date,FDX,ADI,VIX,AvgVIX,zscore
2022-01-31,224.87991333007812,152.28564453125,24.829999923706055,23.18100004196167,1.3273449773858854
2022-02-01,230.49600219726562,153.58587646484375,21.959999084472656,23.448999977111818,1.4957227645205808
2022-02-02,230.33139038085938,156.8736572265625,22.09000015258789,23.707999992370606,1.3053360562171454
2022-02-03,226.21536254882812,150.47462463378906,24.350000381469727,23.939000034332274,1.4856057924891595
2022-02-04,223.2792510986328,149.55514526367188,23.219999313354492,24.119499969482423,1.4109436809833888
2022-02-07,222.93167114257812,149.3601531982422,22.860000610351562,24.324499988555907,1.4069084355192871
2022-02-08,223.05056762695312,151.50552368164062,21.440000534057617,24.426500034332275,1.2923823276391027
2022-02-09,223.398193359375,156.22354125976562,19.959999084472656,24.503999996185303,1.0442160209480031
2022-02-10,219.89498901367188,150.14955139160156,23.90999984741211,24.818499946594237,1.2326458992928153
2022-02-11,212.3947296142578,142.93324279785156,27.360000610351562,25.171000003814697,1.3133344375044134
2022-02-14,208.9647216796875,143.0075225830078,28.329999923706055,25.62799997329712,1.1620767795697355
2022-02-15,210.7391815185547,150.49319458007812,25.700000762939453,25.773499965667725,0.820784371892511
2022-02-16,209.46778869628906,156.34423828125,24.290000915527344,25.795499992370605,0.4399996060312278
2022-02-17,205.2237548828125,148.99789428710938,28.110000610351562,25.92150001525879,0.6676010645695019
2022-02-18,203.266357421875,148.93289184570312,27.75,25.866499996185304,0.5872712297802846
2022-02-22,199.20521545410156,149.4158935546875,28.809999465942383,25.811999988555907,0.3861534215531923
2022-02-23,196.5069580078125,145.33868408203125,31.020000457763672,25.805000019073486,0.4977678215753962
2022-02-24,197.4947967529297,149.12779235839844,30.31999969482422,25.723000049591064,0.3288566736535039
2022-02-25,201.8852081298828,151.30230712890625,27.59000015258789,25.57800006866455,0.3959142225283398
2022-02-28,203.30294799804688,149.59437561035156,30.149999618530273,25.70250005722046,0.5519563511705116
2022-03-01,196.5709991455078,146.47726440429688,33.31999969482422,26.127000045776366,0.4370274565968063
2022-03-02,200.5406036376953,149.15577697753906,30.739999771118164,26.566000080108644,0.4579333823833314
2022-03-03,202.4248504638672,148.65179443359375,30.479999542236328,26.985500049591064,0.5668522811856553
2022-03-04,196.8998260498047,146.38392639160156,31.979999542236328,27.367000007629393,0.45633562893761315
2022-03-07,184.5557403564453,136.51925659179688,36.45000076293945,28.028500080108643,0.4769409212751134
2022-03-08,187.21725463867188,138.60977172851562,35.130001068115234,28.642000102996825,0.4745284832975767
2022-03-09,198.90060424804688,143.3694610595703,32.45000076293945,29.192500114440918,0.7102369582783126
2022-03-10,201.25010681152344,140.51364135742188,30.229999542236328,29.706000137329102,0.9702492918572545
2022-03-11,195.65167236328125,137.75115966796875,30.75,30.048000144958497,0.884163638334339
2022-03-14,193.77023315429688,135.91262817382812,31.770000457763672,30.268500137329102,0.9059835428199291
2022-03-15,198.4508514404297,140.84962463378906,29.829999923706055,30.3435001373291,0.8314525588963717
2022-03-16,207.35330200195312,147.98915100097656,26.670000076293945,30.392000102996825,0.8151865077680577
2022-03-17,209.2347412109375,149.30508422851562,25.670000076293945,30.461000061035158,0.8225066379080677
2022-03-18,200.91050720214844,152.54354858398438,23.8700008392334,30.249000072479248,0.2848969915328223
2022-03-21,203.89332580566406,153.26214599609375,23.530000686645508,30.038000106811523,0.3727635715318648
2022-03-22,207.940673828125,153.7754669189453,22.940000534057617,29.744500160217285,0.5177348815586709
2022-03-23,203.26002502441406,148.5211639404297,23.56999969482422,29.37200012207031,0.609957540880398
2022-03-24,206.60992431640625,153.95278930664062,21.670000076293945,28.9395001411438,0.4507704740481253
2022-03-25,207.9315185546875,154.5780792236328,20.809999465942383,28.600500106811523,0.47258861102448313
2022-03-28,211.13458251953125,156.09933471679688,19.6299991607666,28.07450008392334,0.5251455473670389
2022-03-29,218.95399475097656,158.82447814941406,18.899999618530273,27.353500080108642,0.7085727181503677
2022-03-30,215.906982421875,155.3713836669922,19.329999923706055,26.78300008773804,0.770428139815785
2022-03-31,212.36439514160156,154.1581268310547,20.559999465942383,26.28700008392334,0.6861347942097274
2022-04-01,203.05810546875,154.3261260986328,19.6299991607666,25.669500064849853,0.2776128541020138
2022-04-04,200.06614685058594,153.5234832763672,18.56999969482422,24.77550001144409,0.19404061633668865
2022-04-05,193.6784210205078,149.30508422851562,21.030000686645508,24.070499992370607,0.155283442322268
2022-04-06,187.22645568847656,149.58505249023438,22.100000381469727,23.55299997329712,-0.13705759230031456
2022-04-07,187.01536560058594,150.4903106689453,21.549999237060547,23.11899995803833,-0.19658853603103302
2022-04-08,184.9503631591797,148.14784240722656,21.15999984741211,22.639499950408936,-0.15454233649285581
2022-04-11,187.3366241455078,144.55470275878906,24.3700008392334,22.26949996948242,0.14815949277916984
2022-04-12,187.57525634765625,145.1240234375,24.260000228881836,21.99099998474121,0.126649349232203
2022-04-13,189.34649658203125,147.56919860839844,21.81999969482422,21.748499965667726,0.06627652180468606
2022-04-14,188.82342529296875,146.05731201171875,22.700000762939453,21.6,0.1281442370441097
2022-04-18,186.54733276367188,149.6410675048828,22.170000076293945,21.51499996185303,-0.16930911801858223
2022-04-19,191.64100646972656,151.48899841308594,21.3700008392334,21.40699996948242,-0.05387778899610463
2022-04-20,191.98973083496094,150.6116485595703,20.31999969482422,21.27599992752075,0.01000023474358396
2022-04-21,189.851318359375,148.11984252929688,22.68000030517578,21.23149995803833,0.05722487954523797
2022-04-22,188.33697509765625,144.89071655273438,28.209999084472656,21.558499908447267,0.17232925641892133
2022-04-25,188.51136779785156,148.31582641601562,27.020000457763672,21.86899995803833,-0.011174732045925442
2022-04-26,183.55535888671875,142.613525390625,33.52000045776367,22.563500022888185,0.09421784159477413
2022-04-27,182.87619018554688,141.5962677001953,31.600000381469727,23.198500061035155,0.12180994668337136
2022-04-28,189.8421173095703,149.7437286376953,29.989999771118164,23.73150005340576,-0.03371751139084981
2022-04-29,182.39892578125,144.07876586914062,33.400001525878906,24.37350015640259,-0.03708419634252286
2022-05-02,180.81118774414062,147.59719848632812,32.34000015258789,25.00900020599365,-0.301371070720116
2022-05-03,183.0414276123047,148.2691650390625,29.25,25.54300022125244,-0.24318307060490807
2022-05-04,192.26507568359375,153.7754669189453,25.420000076293945,25.762500190734862,-0.1546042422623642
2022-05-05,190.20005798339844,147.6811981201172,31.200000762939453,26.21750020980835,0.09664137971177461
2022-05-06,192.92588806152344,145.7119903564453,30.190000534057617,26.6495002746582,0.32335729993171325
2022-05-09,191.14541625976562,142.09088134765625,34.75,27.3290002822876,0.448904148116596
