Date,AVGO,QCOM,VIX,AvgVIX,zscore
2020-01-30,27.060230255126953,76.35941314697266,15.489999771118164,13.696000051498412,1.1093910972259868
2020-01-31,26.198280334472656,74.2107925415039,18.84000015258789,14.014500045776368,0.8344629840099014
2020-02-03,26.20429039001465,75.22856903076172,17.969999313354492,14.211999988555908,0.7017910229925218
2020-02-04,26.751161575317383,77.35980987548828,16.049999237060547,14.32199993133545,0.7731410612209582
2020-02-05,27.24738121032715,79.08220672607422,15.149999618530273,14.389999914169312,0.8662617404255618
2020-02-06,27.445695877075195,78.82121276855469,14.960000038146973,14.465499925613404,1.030893601654711
2020-02-07,27.06279945373535,76.04627227783203,15.470000267028809,14.611999940872192,1.153097952546048
2020-02-10,26.974374771118164,77.07275390625,15.039999961853027,14.735999917984008,0.9575425245397473
2020-02-11,27.486047744750977,78.29060363769531,15.180000305175781,14.878999948501587,1.1284794816922747
2020-02-12,27.875810623168945,79.78683471679688,13.739999771118164,14.946499919891357,1.1823829680853628
2020-02-13,27.813138961791992,78.31668090820312,14.149999618530273,15.032999897003174,1.3387406439447591
2020-02-14,27.280866622924805,77.94264221191406,13.680000305175781,15.100999927520752,1.041090467765781
2020-02-18,26.67818832397461,76.57691192626953,14.829999923706055,15.237499904632568,0.8305272006523792
2020-02-19,27.10228729248047,78.77774047851562,14.380000114440918,15.313999891281128,0.8123033432627098
2020-02-20,26.548553466796875,77.82955169677734,15.5600004196167,15.446499919891357,0.5776864979736384
2020-02-21,26.14162254333496,75.70700073242188,17.079999923706055,15.651499938964843,0.596624105923517
2020-02-24,25.034141540527344,72.47969055175781,25.030000686645508,16.174999952316284,0.3060112276228164
2020-02-25,24.268354415893555,69.78300476074219,27.850000381469727,16.655999994277956,0.16748547101150058
2020-02-26,24.54307746887207,69.2958755493164,27.559999465942383,17.219999933242796,0.41240231763377605
2020-02-27,23.51888084411621,66.05985260009766,39.15999984741211,18.35849995613098,0.17738693195781904
2020-02-28,23.40468978881836,68.1128158569336,40.11000061035156,19.589499998092652,-0.17277538107160592
2020-03-02,24.464942932128906,70.07878112792969,33.41999816894531,20.318499898910524,0.25626298932709196
2020-03-03,23.544626235961914,68.33899688720703,36.81999969482422,21.26099991798401,-0.11168054380179242
2020-03-04,24.506160736083984,71.72351837158203,31.989999771118164,22.05799994468689,0.06245325168615108
2020-03-05,23.52659797668457,69.41747283935547,39.619998931884766,23.281499910354615,-0.26820876284490736
2020-03-06,23.132543563842773,67.92689514160156,41.939998626708984,24.630499839782715,-0.32567562043805665
2020-03-09,21.267000198364258,63.691864013671875,54.459999084472656,26.57999978065491,-0.9764483655678273
2020-03-10,22.570220947265625,69.17195892333984,47.29999923706055,28.192999744415282,-0.8602702072718413
2020-03-11,21.116764068603516,65.4279556274414,53.900001525878906,30.12899980545044,-1.3076383535659917
2020-03-12,18.782480239868164,58.76416778564453,75.47000122070312,33.21549987792969,-1.9387703039644255
2020-03-13,20.108016967773438,66.47136688232422,57.83000183105469,35.39949998855591,-2.106916315801368
2020-03-16,16.10392951965332,56.53705596923828,82.69000244140625,38.850000095367434,-3.3903512104898916
2020-03-17,17.12812614440918,60.377498626708984,75.91000366210938,41.9040002822876,-3.2364572968440846
2020-03-18,14.411802291870117,53.65233612060547,76.44999694824219,45.007500123977664,-4.1090232298816085
2020-03-19,16.69371795654297,56.993011474609375,72.0,47.829500102996825,-3.0661074036437332
2020-03-20,16.78277015686035,53.406822204589844,66.04000091552734,50.27750015258789,-2.526593763739838
2020-03-23,16.89191436767578,54.827274322509766,61.59000015258789,52.10550012588501,-2.645909983305254
2020-03-24,18.576128005981445,57.396331787109375,61.66999816894531,53.796500015258786,-1.8900434122411018
2020-03-25,18.994342803955078,55.30951690673828,63.95000076293945,55.61600008010864,-1.3366517386182644
2020-03-26,21.231233596801758,60.48272705078125,61.0,56.708000087738036,-0.5691121037463368
2020-03-27,20.141605377197266,58.38713073730469,65.54000091552734,57.97950010299682,-0.9999494373761985
2020-03-30,20.964067459106445,60.52657699584961,57.08000183105469,59.16250028610229,-0.7495961455895925
2020-03-31,20.70125961303711,59.31657028198242,53.540000915527344,59.99850034713745,-0.7589470711340146
2020-04-01,19.525192260742188,57.782127380371094,57.060001373291016,61.252000427246095,-1.3215887605546544
2020-04-02,20.69776725769043,59.640987396240234,50.90999984741211,61.81650047302246,-0.8047706569097003
2020-04-03,20.45330047607422,57.194664001464844,46.79999923706055,62.059500503540036,-0.636204532933517
2020-04-06,22.040599822998047,62.21006393432617,45.2400016784668,61.598500633239745,-0.2720064637433308
2020-04-07,22.113067626953125,63.77079772949219,46.70000076293945,61.568500709533694,-0.43411923645914446
2020-04-08,22.796709060668945,64.29685974121094,43.349998474121094,61.041000556945804,-0.05794975423752125
2020-04-09,22.202999114990234,62.76245880126953,41.66999816894531,59.35100040435791,-0.2400140798695115
2020-04-13,22.693681716918945,64.27056884765625,41.16999816894531,58.51800022125244,-0.12175172149490925
2020-04-14,23.36684799194336,67.99703216552734,37.7599983215332,56.27150001525879,-0.1819660326738102
2020-04-15,22.477149963378906,66.62920379638672,40.84000015258789,54.51799983978272,-0.5798212277370293
2020-04-16,22.551368713378906,67.38326263427734,40.11000061035156,52.70100002288818,-0.6325228001954679
2020-04-17,23.21404457092285,66.78702545166016,38.150001525878906,51.00850009918213,-0.1194267184078241
2020-04-20,22.550493240356445,65.1561508178711,43.83000183105469,49.898000144958495,-0.3341857777866286
2020-04-21,21.62238311767578,62.99042510986328,45.40999984741211,49.089000129699706,-0.650055254228023
2020-04-22,22.698047637939453,65.48057556152344,41.97999954223633,48.104500198364256,-0.2812981104046737
2020-04-23,22.607242584228516,64.71774291992188,41.380001068115234,46.976000213623045,-0.23825847582910045
