Date,XOM,PEP,VIX,AvgVIX,zscore
2015-01-30,54.18047332763672,66.81324005126953,20.969999313354492,19.119499969482423,0.6110259678674955
2015-02-02,55.519168853759766,67.91752624511719,19.43000030517578,19.201499938964844,0.9978482360470133
2015-02-03,57.1739616394043,68.53736877441406,17.329999923706055,19.071999931335448,1.5254103847583265
2015-02-04,56.684326171875,68.82237243652344,18.329999923706055,18.932499885559082,1.3382574767240203
2015-02-05,57.242130279541016,68.82945251464844,16.850000381469727,18.80949993133545,1.5294723565076433
2015-02-06,57.135982513427734,68.90069580078125,17.290000915527344,18.823499965667725,1.4882726129760284
2015-02-09,57.1734504699707,68.37350463867188,18.549999237060547,18.873499965667726,1.5360980219790543
2015-02-10,56.83000946044922,69.81261444091797,17.229999542236328,18.754999923706055,1.3226725702129376
2015-02-11,56.57398986816406,71.52962493896484,16.959999084472656,18.57499990463257,1.1208653882032877
2015-02-12,57.67924880981445,71.43701171875,15.34000015258789,18.267999935150147,1.5068172059047575
2015-02-13,58.303688049316406,70.62481689453125,14.6899995803833,17.88299994468689,1.7752440805009067
2015-02-17,58.10386657714844,70.07624053955078,15.800000190734863,17.62549991607666,1.7429448815195518
2015-02-18,56.83000946044922,70.76732635498047,15.449999809265137,17.403499937057497,1.2593803924021838
2015-02-19,55.84963607788086,70.33273315429688,15.289999961853027,17.22549991607666,0.9512952502167723
2015-02-20,56.14936065673828,70.57496643066406,14.300000190734863,17.12049994468689,1.0382341032552913
2015-02-23,55.58114242553711,70.85281372070312,14.5600004196167,17.015499973297118,0.8245513797095634
2015-02-24,55.837154388427734,70.94542694091797,13.6899995803833,16.9239999294281,0.9063877857228771
2015-02-25,55.94954299926758,70.88843536376953,13.84000015258789,16.754999971389772,0.9487873277823291
2015-02-26,55.35633087158203,70.58206939697266,13.90999984741211,16.428499937057495,0.7652458250275352
2015-02-27,55.28764724731445,70.51795196533203,13.34000015258789,16.157499933242796,0.7458939643914468
2015-03-02,54.97541046142578,70.53223419189453,13.039999961853027,15.760999965667725,0.6376498317556925
2015-03-03,54.71316909790039,70.1047592163086,13.859999656677246,15.482499933242797,0.5758722522712103
2015-03-04,54.43839645385742,69.82862091064453,14.229999542236328,15.327499914169312,0.49975562008169266
2015-03-05,54.163658142089844,69.73536682128906,14.039999961853027,15.11299991607666,0.41152656266321225
