Date,GOOGL,NEE,VIX,AvgVIX,zscore
2023-01-31,98.02977752685547,67.93029022216797,19.399999618530273,20.202999973297118,-1.427359950504732
2023-02-01,99.60675811767578,67.5752944946289,17.8700008392334,19.951500034332277,-1.3272549370266091
2023-02-02,106.85681915283203,68.81322479248047,18.729999542236328,19.7875,-0.4880904125011039
2023-02-03,103.92108917236328,67.96670532226562,18.329999923706055,19.58100004196167,-0.8734739563839058
2023-02-06,102.05650329589844,68.7313003540039,19.43000030517578,19.49600009918213,-0.9463029696370843
2023-02-07,106.75765228271484,69.25013732910156,18.65999984741211,19.33050012588501,-0.43964541991424877
2023-02-08,98.5554428100586,68.2944107055664,19.6299991607666,19.28300008773804,-1.3302908375682574
2023-02-09,94.23118591308594,66.69239807128906,20.709999084472656,19.264000034332277,-1.944837974970661
2023-02-10,93.79478454589844,68.03042602539062,20.530000686645508,19.34900007247925,-1.808845465780825
2023-02-13,93.83447265625,68.83143615722656,20.34000015258789,19.448500061035155,-1.6993856083074714
2023-02-14,93.90388488769531,69.20463562011719,18.90999984741211,19.426000022888182,-1.6436411390082857
2023-02-15,96.1453628540039,70.03292083740234,18.229999542236328,19.320499992370607,-1.3253703389007216
2023-02-16,94.72708129882812,68.89515686035156,20.170000076293945,19.30299997329712,-1.6077799922735068
2023-02-17,93.57659149169922,69.24102783203125,20.020000457763672,19.311499977111815,-1.6693402884705382
2023-02-21,91.03758239746094,67.04739379882812,22.8700008392334,19.46450004577637,-2.1956143589990833
2023-02-22,90.89872741699219,67.06558227539062,22.290000915527344,19.619000053405763,-2.2061543205802265
2023-02-23,90.14493560791016,66.32830810546875,21.139999389648438,19.72200002670288,-2.373754238543911
2023-02-24,88.39938354492188,66.37380981445312,21.670000076293945,19.869000053405763,-2.530434183569537
2023-02-27,89.13331604003906,65.83148956298828,20.950000762939453,19.99100008010864,-2.5336356318179254
2023-02-28,89.3217544555664,65.07112121582031,20.700000762939453,20.029000091552735,-2.6164676860553793
2023-03-01,89.61930847167969,64.00843048095703,20.579999923706055,20.088000106811524,-2.7290469717330867
2023-03-02,91.24585723876953,66.1521224975586,19.59000015258789,20.17400007247925,-2.2944094599089175
2023-03-03,92.88233184814453,67.6362075805664,18.489999771118164,20.16200008392334,-1.9459376371160189
2023-03-06,94.3501968383789,68.15840911865234,18.610000610351562,20.176000118255615,-1.7401821458636355
2023-03-07,93.09061431884766,67.56291961669922,19.59000015258789,20.184000110626222,-1.9362019691357328
2023-03-08,93.47740936279297,68.02098083496094,19.110000610351562,20.206500148773195,-1.839672337691884
2023-03-09,91.56322479248047,67.57208251953125,22.610000610351562,20.35550022125244,-2.0773468521001037
2023-03-10,89.88706970214844,66.88499450683594,24.799999237060547,20.560000228881837,-2.3242859359929717
2023-03-13,90.36315155029297,67.14151000976562,26.520000457763672,20.859500217437745,-2.2460456205945203
2023-03-14,93.19969177246094,68.29580688476562,23.729999542236328,21.029000186920165,-1.8292694940083445
2023-03-15,95.3221664428711,69.18443298339844,26.139999389648438,21.390500164031984,-1.5141228860182163
2023-03-16,99.49765014648438,69.83486938476562,22.989999771118164,21.628500175476074,-1.0390823798151
2023-03-17,100.7869873046875,69.32184600830078,25.510000228881836,21.89550018310547,-0.9866511925579874
2023-03-20,100.39026641845703,69.59669494628906,24.149999618530273,22.102000141143797,-0.9873365896384224
2023-03-21,104.0599365234375,69.03785705566406,21.3799991607666,22.027500057220458,-0.7191043499590614
2023-03-22,102.52266693115234,67.9110336303711,22.260000228881836,22.026000022888184,-1.0111593150489107
2023-03-23,104.734375,67.6178970336914,22.610000610351562,22.09950008392334,-0.843729338822564
2023-03-24,104.57569122314453,69.34017944335938,21.739999771118164,22.10300006866455,-0.6311183894269973
2023-03-27,101.62010955810547,69.11113739013672,20.600000381469727,22.085500049591065,-0.9368238902347875
2023-03-28,100.20182800292969,68.92792510986328,19.969999313354492,22.048999977111816,-1.0931999050530907
2023-03-29,100.55889129638672,69.72492980957031,19.1200008392334,21.976000022888183,-0.9546891202378454
2023-03-30,100.06297302246094,70.16466522216797,19.020000457763672,21.947500038146973,-0.9428491606226069
2023-03-31,102.87969970703125,70.61355590820312,18.700000762939453,21.958000087738036,-0.6210575483090232
2023-04-03,103.50452423095703,70.23795318603516,18.549999237060547,21.955000019073488,-0.6124155570382032
2023-04-04,103.86157989501953,70.68685150146484,19.0,21.925500011444093,-0.51986749285431
2023-04-05,103.61363983154297,71.7586898803711,19.079999923706055,21.923999977111816,-0.40145631843193447
2023-04-06,107.53125,72.34500885009766,18.399999618530273,21.71349992752075,0.04108433195067048
2023-04-10,105.56748962402344,71.85029602050781,18.969999313354492,21.42199993133545,-0.20725980320526824
