Date,INTC,XLF,VIX,AvgVIX,zscore
2020-01-30,58.632652282714844,27.216053009033203,15.489999771118164,13.696000051498412,1.5952410685751424
2020-01-31,56.392127990722656,26.646825790405273,18.84000015258789,14.014500045776368,1.3355447188393146
2020-02-03,56.82435989379883,26.83360481262207,17.969999313354492,14.211999988555908,1.3888318061841463
2020-02-04,57.741737365722656,27.091533660888672,16.049999237060547,14.32199993133545,1.496193478246081
2020-02-05,59.40007019042969,27.634078979492188,15.149999618530273,14.389999914169312,1.6934295870857656
2020-02-06,59.470985412597656,27.598506927490234,14.960000038146973,14.465499925613404,1.6994298510926458
2020-02-07,58.522491455078125,27.500661849975586,15.470000267028809,14.611999940872192,1.5954189415355982
2020-02-10,58.85047149658203,27.58070945739746,15.039999961853027,14.735999917984008,1.6332988945029354
2020-02-11,59.754642486572266,27.67854881286621,15.180000305175781,14.878999948501587,1.732638519841844
2020-02-12,59.79896545410156,27.696338653564453,13.739999771118164,14.946499919891357,1.7380463504455417
2020-02-13,59.78123092651367,27.687442779541016,14.149999618530273,15.032999897003174,1.7358089375445533
2020-02-14,59.63054275512695,27.723018646240234,13.680000305175781,15.100999927520752,1.7214018309452657
2020-02-18,58.62886047363281,27.482873916625977,14.829999923706055,15.237499904632568,1.6058921072937096
2020-02-19,59.488712310791016,27.687442779541016,14.380000114440918,15.313999891281128,1.7049813926607136
2020-02-20,58.0172233581543,27.634078979492188,15.5600004196167,15.446499919891357,1.5476960491222753
2020-02-21,57.03327560424805,27.367258071899414,17.079999923706055,15.651499938964843,1.4329504876112305
2020-02-24,54.746273040771484,26.477842330932617,25.030000686645508,16.174999952316284,1.1550950347342646
2020-02-25,52.946807861328125,25.57953453063965,27.850000381469727,16.655999994277956,0.9282512201675985
2020-02-26,52.87589645385742,25.39275360107422,27.559999465942383,17.219999933242796,0.9130423955028948
2020-02-27,49.489715576171875,24.307674407958984,39.15999984741211,18.35849995613098,0.5112446776331497
2020-02-28,49.21491622924805,23.64950942993164,40.11000061035156,19.589499998092652,0.4550259705560951
2020-03-02,51.572845458984375,24.859111785888672,33.41999816894531,20.318499898910524,0.7536169809923221
2020-03-03,49.61381530761719,23.925220489501953,36.81999969482422,21.26099991798401,0.5084834304435366
2020-03-04,52.016056060791016,24.716800689697266,31.989999771118164,22.05799994468689,0.7944314922652348
2020-03-05,50.49138641357422,23.524986267089844,39.619998931884766,23.281499910354615,0.5843915877473987
2020-03-06,49.4365234375,22.724515914916992,41.939998626708984,24.630499839782715,0.44007090625338713
2020-03-09,45.075260162353516,20.28752326965332,54.459999084472656,26.57999978065491,-0.1204782350671539
2020-03-10,47.84981155395508,21.47933578491211,47.29999923706055,28.192999744415282,0.22128238873519834
2020-03-11,45.79328536987305,20.314205169677734,53.900001525878906,30.12899980545044,-0.04370293694475457
2020-03-12,40.36829376220703,18.11735725402832,75.47000122070312,33.21549987792969,-0.7064089747355661
2020-03-13,48.24870300292969,20.50098419189453,57.83000183105469,35.39949998855591,0.2228008331921616
2020-03-16,39.54390335083008,17.6904354095459,82.69000244140625,38.850000095367434,-0.8109700633767131
2020-03-17,44.39270782470703,18.6510009765625,75.91000366210938,41.9040002822876,-0.26018825657345096
2020-03-18,42.20321273803711,17.06784439086914,76.44999694824219,45.007500123977664,-0.5564996717396713
2020-03-19,40.722862243652344,17.441402435302734,72.0,47.829500102996825,-0.6970375241444209
2020-03-20,40.625362396240234,16.818805694580078,66.04000091552734,50.27750015258789,-0.7330981454779352
2020-03-23,43.949485778808594,15.840229988098145,61.59000015258789,52.10550012588501,-0.4233087098412421
2020-03-24,46.449241638183594,17.804561614990234,61.66999816894531,53.796500015258786,-0.07851323294499461
2020-03-25,45.43870162963867,18.28891944885254,63.95000076293945,55.61600008010864,-0.16495047164065724
2020-03-26,49.23264694213867,19.437023162841797,61.0,56.708000087738036,0.2824303783235125
2020-03-27,46.42264938354492,18.84503173828125,65.54000091552734,57.97950010299682,-0.03822362919968122
2020-03-30,49.18833541870117,19.203811645507812,57.08000183105469,59.16250028610229,0.26810185776093365
2020-03-31,47.973907470703125,18.674610137939453,53.540000915527344,59.99850034713745,0.11820002522286902
2020-04-01,45.98828887939453,17.53547477722168,57.060001373291016,61.252000427246095,-0.13823597124774833
2020-04-02,48.17777633666992,17.97498321533203,50.90999984741211,61.81650047302246,0.1107093514517099
2020-04-03,47.9827766418457,17.616201400756836,46.79999923706055,62.059500503540036,0.07529970085818093
2020-04-06,51.79444885253906,18.880905151367188,45.2400016784668,61.598500633239745,0.5293778312124006
2020-04-07,51.767852783203125,19.069271087646484,46.70000076293945,61.568500709533694,0.5343763181546095
2020-04-08,52.281982421875,19.903440475463867,43.349998474121094,61.041000556945804,0.6231066250108543
2020-04-09,50.65095138549805,20.97081184387207,41.66999816894531,59.35100040435791,0.49542400768066397
2020-04-13,52.03378677368164,20.20840072631836,41.16999816894531,58.51800022125244,0.6095803495777669
2020-04-14,53.771202087402344,20.298099517822266,37.7599983215332,56.27150001525879,0.7963956190988046
2020-04-15,52.184478759765625,19.41908073425293,40.84000015258789,54.51799983978272,0.5927708200033753
2020-04-16,53.886436462402344,19.07823944091797,40.11000061035156,52.70100002288818,0.7580181002688605
2020-04-17,53.50526809692383,20.082828521728516,38.150001525878906,51.00850009918213,0.7594540822789301
