Date,MNST,LOW,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,55.221248626708984,20.969999313354492,19.119499969482423,-1.5650072530218249
2015-02-02,19.59166717529297,55.7509651184082,19.43000030517578,19.201499938964844,-1.5633812817363304
2015-02-03,19.44499969482422,56.74519729614258,17.329999923706055,19.071999931335448,-1.7093031810887485
2015-02-04,19.788333892822266,57.592742919921875,18.329999923706055,18.932499885559082,-1.6250173952870706
2015-02-05,19.72833251953125,58.244712829589844,16.850000381469727,18.80949993133545,-1.7045877377520127
2015-02-06,19.524999618530273,58.595115661621094,17.290000915527344,18.823499965667725,-1.8235798399409586
2015-02-09,19.323333740234375,57.82093811035156,18.549999237060547,18.873499965667726,-1.8506912661583668
2015-02-10,19.748332977294922,58.48107147216797,17.229999542236328,18.754999923706055,-1.714831458092514
2015-02-11,19.831666946411133,58.21211242675781,16.959999084472656,18.57499990463257,-1.65590515298498
2015-02-12,19.918333053588867,58.831485748291016,15.34000015258789,18.267999935150147,-1.6674862038202185
2015-02-13,19.623332977294922,58.71739196777344,14.6899995803833,17.88299994468689,-1.789676953844773
2015-02-17,19.78499984741211,59.059669494628906,15.800000190734863,17.62549991607666,-1.7453851383792152
2015-02-18,20.046667098999023,59.10041809082031,15.449999809265137,17.403499937057497,-1.632101788078968
2015-02-19,20.18833351135254,58.912967681884766,15.289999961853027,17.22549991607666,-1.553791098469201
2015-02-20,20.209999084472656,59.94795608520508,14.300000190734863,17.12049994468689,-1.6280152617072374
2015-02-23,20.35333251953125,60.086524963378906,14.5600004196167,17.015499973297118,-1.5753829967867596
2015-02-24,20.801666259765625,60.83625411987305,13.6899995803833,16.9239999294281,-1.436387512660774
2015-02-25,20.63166618347168,60.656982421875,13.84000015258789,16.754999971389772,-1.4976024568134358
2015-02-26,20.790000915527344,60.38802719116211,13.90999984741211,16.428499937057495,-1.4052599159532022
2015-02-27,23.520000457763672,60.3798828125,13.34000015258789,16.157499933242796,-0.1882502243127193
2015-03-02,23.538333892822266,61.19485092163086,13.039999961853027,15.760999965667725,-0.24612819532278593
2015-03-03,23.448333740234375,61.12967300415039,13.859999656677246,15.482499933242797,-0.28094557836505346
2015-03-04,23.25666618347168,60.32282638549805,14.229999542236328,15.327499914169312,-0.3009547008263405
2015-03-05,23.338333129882812,60.76293182373047,14.039999961853027,15.11299991607666,-0.3002349461059357
2015-03-06,22.770000457763672,59.90724563598633,15.199999809265137,15.03049988746643,-0.48410894162630447
2015-03-09,22.86833381652832,60.518455505371094,15.0600004196167,14.918999862670898,-0.48983007527103467
2015-03-10,22.65333366394043,59.54049301147461,16.690000534057617,14.825999927520751,-0.5063674959621253
2015-03-11,22.65999984741211,59.54863357543945,16.8700008392334,14.807999992370606,-0.5040571072705188
2015-03-12,22.975000381469727,61.072601318359375,15.420000076293945,14.73100004196167,-0.4872137842977931
2015-03-13,22.579999923706055,60.43693542480469,16.0,14.764000034332275,-0.6116905401097728
2015-03-16,23.00666618347168,61.4800910949707,15.609999656677246,14.810000038146972,-0.5061287799474182
2015-03-17,22.71500015258789,60.771026611328125,15.65999984741211,14.803000020980836,-0.5786165954897236
2015-03-18,22.78499984741211,60.730308532714844,13.970000267028809,14.729000043869018,-0.5441284101238183
2015-03-19,23.046667098999023,60.76293182373047,14.069999694824219,14.668000030517579,-0.430186571069889
2015-03-20,22.920000076293945,61.30894088745117,13.020000457763672,14.604000043869018,-0.530872503792395
2015-03-23,22.989999771118164,61.42301940917969,13.40999984741211,14.54650001525879,-0.508929302058251
2015-03-24,23.116666793823242,61.6186408996582,13.619999885559082,14.543000030517579,-0.46834638931616424
2015-03-25,22.671667098999023,60.518455505371094,15.4399995803833,14.623000001907348,-0.5774548132009785
2015-03-26,22.761667251586914,59.37751770019531,15.800000190734863,14.717500019073487,-0.4448917305417655
2015-03-27,22.998332977294922,60.037620544433594,15.069999694824219,14.803999996185302,-0.39294133219929184
2015-03-30,23.406667709350586,60.958526611328125,14.510000228881836,14.877500009536742,-0.2856398543818766
2015-03-31,23.066667556762695,60.62437438964844,15.289999961853027,14.949000024795533,-0.4100464455468434
2015-04-01,22.774999618530273,60.62437438964844,15.109999656677246,14.993000030517578,-0.5399989203288349
2015-04-02,22.610000610351562,60.9910774230957,14.670000076293945,15.024500036239624,-0.6432323760366737
2015-04-06,22.953332901000977,61.170387268066406,14.739999771118164,15.001500034332276,-0.5047924593312252
2015-04-07,22.920000076293945,60.396202087402344,14.779999732971191,14.9875,-0.4569025762784567
2015-04-08,22.96500015258789,60.966644287109375,13.979999542236328,14.851999950408935,-0.483082439604912
2015-04-09,22.933332443237305,60.51029586791992,13.09000015258789,14.66299991607666,-0.4602087050610439
2015-04-10,23.05666732788086,61.040000915527344,12.579999923706055,14.520999908447266,-0.44818513244593905
2015-04-13,22.963333129882812,60.15170669555664,13.9399995803833,14.417999887466431,-0.4177812317733062
2015-04-14,22.633333206176758,60.290252685546875,13.670000076293945,14.320999908447266,-0.5760405057955733
2015-04-15,22.948333740234375,59.82572555541992,12.84000015258789,14.179999923706054,-0.39804612666828665
2015-04-16,23.0,60.37173843383789,12.600000381469727,14.111499929428101,-0.419276081594715
2015-04-17,22.81833267211914,59.124881744384766,13.890000343322754,14.102499961853027,-0.39917043259656154
2015-04-20,23.26333236694336,59.37830352783203,13.300000190734863,14.116499948501588,-0.22143882438791626
2015-04-21,23.308332443237305,59.87700271606445,13.25,14.10849995613098,-0.24180451025404556
2015-04-22,23.31833267211914,59.73801040649414,12.710000038146973,14.062999963760376,-0.22608473764579254
2015-04-23,23.393333435058594,59.9832878112793,12.479999542236328,13.914999961853027,-0.21254589691444412
2015-04-24,23.6299991607666,59.81160354614258,12.289999961853027,13.739499950408936,-0.09318603577253019
2015-04-27,23.906667709350586,58.732460021972656,13.119999885559082,13.641999959945679,0.11753912348568762
2015-04-28,23.456666946411133,58.650691986083984,12.40999984741211,13.536999940872192,-0.07633182355281651
2015-04-29,23.19333267211914,57.5878791809082,13.390000343322754,13.44199995994568,-0.10752806749626594
2015-04-30,22.851667404174805,56.296146392822266,14.550000190734863,13.413999986648559,-0.1550725681635029
2015-05-01,23.52166748046875,57.80044174194336,12.699999809265137,13.315499973297118,0.021534872478264404
2015-05-04,23.641666412353516,58.25008010864258,12.850000381469727,13.221000003814698,0.038560855340156304
2015-05-05,23.43833351135254,57.579708099365234,14.3100004196167,13.197500038146973,0.002294107891919251
2015-05-06,23.413333892822266,57.8576545715332,15.149999618530273,13.25600004196167,-0.03136971890649493
2015-05-07,23.915000915527344,59.100337982177734,15.130000114440918,13.358000040054321,0.09143851373505046
2015-05-08,21.411666870117188,59.893367767333984,12.859999656677246,13.372000026702882,-1.0881889697263922
2015-05-11,22.334999084472656,59.86064910888672,13.850000381469727,13.367500066757202,-0.6741472793810123
2015-05-12,21.98666763305664,60.228553771972656,13.859999656677246,13.377000045776366,-0.8591617772526123
2015-05-13,21.656667709350586,59.77072525024414,13.760000228881836,13.423000049591064,-0.9690898316525334
2015-05-14,22.106666564941406,59.07582092285156,12.739999771118164,13.430000019073486,-0.7122768657702783
2015-05-15,22.053333282470703,59.75436782836914,12.380000114440918,13.354500007629394,-0.7910300899821691
2015-05-18,21.876667022705078,59.7298583984375,12.729999542236328,13.325999975204468,-0.8677573494636324
2015-05-19,21.71666717529297,58.72427749633789,12.850000381469727,13.305999994277954,-0.857551173738853
2015-05-20,21.540000915527344,56.00183868408203,12.880000114440918,13.314499998092652,-0.7156335801280959
2015-05-21,21.70166778564453,56.18171691894531,12.109999656677246,13.296000003814697,-0.6581806457790913
2015-05-22,21.56833267211914,56.85209274291992,12.130000114440918,13.288000011444092,-0.7719164392402985
2015-05-26,21.27666664123535,56.884796142578125,14.0600004196167,13.335000038146973,-0.9045184041504086
2015-05-27,21.67333221435547,57.81678009033203,13.270000457763672,13.378000068664551,-0.8033138836738467
2015-05-28,21.53333282470703,57.596038818359375,13.3100004196167,13.374000072479248,-0.8478012740609862
2015-05-29,21.213333129882812,57.21181869506836,13.84000015258789,13.3385000705719,-0.9592390841250469
2015-06-01,21.19499969482422,57.34261703491211,13.970000267028809,13.402000093460083,-0.9780076582952925
2015-06-02,21.020000457763672,57.35078048706055,14.239999771118164,13.471500062942505,-1.0566400435602346
2015-06-03,20.9950008392334,57.75956344604492,13.65999984741211,13.439000034332276,-1.1009070850411746
2015-06-04,21.196666717529297,57.34261703491211,14.710000038146973,13.41700005531311,-0.9772649173298112
2015-06-05,20.924999237060547,57.05649185180664,14.210000038146973,13.371000051498413,-1.0751181215430166
2015-06-08,20.915000915527344,56.14900588989258,15.289999961853027,13.492500066757202,-1.0060286392534108
2015-06-09,20.81333351135254,56.0263786315918,14.470000267028809,13.523500061035156,-1.0413885655127937
2015-06-10,21.171667098999023,56.54961395263672,13.220000267028809,13.491500091552734,-0.9241371440461191
2015-06-11,21.19499969482422,56.443336486816406,12.850000381469727,13.446000099182129,-0.9051284107451992
2015-06-12,21.398332595825195,56.43514633178711,13.779999732971191,13.49800009727478,-0.8138698144736433
2015-06-15,21.15166664123535,56.50054168701172,15.390000343322754,13.648500108718872,-0.9290714349031594
2015-06-16,22.030000686645508,56.737640380859375,14.8100004196167,13.75250015258789,-0.5569451155845231
2015-06-17,22.041667938232422,56.95835876464844,14.5,13.835000133514404,-0.5696341773709662
2015-06-18,22.309999465942383,57.35078048706055,13.1899995803833,13.850500106811523,-0.48188175989330756
2015-06-19,22.286666870117188,57.219966888427734,13.960000038146973,13.94300012588501,-0.4816762241713028
2015-06-22,22.25,57.46526336669922,12.739999771118164,13.973500108718872,-0.5178923760589857
2015-06-23,22.233333587646484,57.718685150146484,12.109999656677246,13.8760000705719,-0.5458558247506526
2015-06-24,22.15999984741211,57.29354476928711,13.260000228881836,13.875500059127807,-0.5440755185371314
2015-06-25,22.795000076293945,56.950199127197266,14.010000228881836,13.910500049591064,-0.23332622440617273
2015-06-26,23.235000610351562,56.09177017211914,14.020000457763672,13.919500064849853,0.03228431334935541
2015-06-29,22.398332595825195,55.20882034301758,18.850000381469727,14.1635000705719,-0.26893684034457815
2015-06-30,22.336666107177734,54.7509765625,18.229999542236328,14.363000059127808,-0.2593078572445705
2015-07-01,22.416667938232422,54.97172927856445,16.09000015258789,14.484500074386597,-0.24155327051939737
2015-07-02,22.266666412353516,54.53025436401367,16.790000915527344,14.588500118255615,-0.27260847137405286
2015-07-06,22.469999313354492,54.16237258911133,17.010000228881836,14.728500127792358,-0.15219984549056742
2015-07-07,22.72333335876465,55.07801818847656,16.09000015258789,14.768500137329102,-0.11353251318943657
2015-07-08,22.299999237060547,54.39126968383789,19.65999984741211,15.028000116348267,-0.2464934930024764
2015-07-09,22.239999771118164,54.791873931884766,19.969999313354492,15.36550006866455,-0.30569187863759256
2015-07-10,22.684999465942383,55.47043228149414,16.829999923706055,15.564500045776366,-0.16241407142968603
2015-07-13,23.231666564941406,55.838321685791016,13.899999618530273,15.570500040054322,0.05133873413887079
2015-07-14,23.479999542236328,55.911895751953125,13.369999885559082,15.469500017166137,0.15602077379836193
2015-07-15,23.35333251953125,55.813804626464844,13.229999542236328,15.39049997329712,0.1075338319645464
2015-07-16,23.280000686645508,55.78111267089844,12.109999656677246,15.270999956130982,0.07751029034292446
2015-07-17,23.343332290649414,55.20882034301758,11.949999809265137,15.208999967575073,0.1521072063712257
2015-07-20,23.791667938232422,54.757293701171875,12.25,15.123499965667724,0.38845538327858453
2015-07-21,24.008333206176758,54.5028076171875,12.220000267028809,15.097499990463257,0.5056144547653615
2015-07-22,24.641666412353516,55.36482620239258,12.119999885559082,15.098000001907348,0.7179362107948688
2015-07-23,24.7549991607666,55.57823944091797,12.640000343322754,15.067000007629394,0.7511361716653355
2015-07-24,24.815000534057617,55.15135955810547,13.739999771118164,15.053499984741212,0.8124648299050443
2015-07-27,24.793333053588867,55.03642272949219,15.600000381469727,15.132499980926514,0.8121255759327908
2015-07-28,24.998332977294922,55.66034698486328,13.4399995803833,14.861999940872192,0.8528992704802308
2015-07-29,25.219999313354492,56.43204879760742,12.5,14.575499963760375,0.8891225267699376
2015-07-30,25.363332748413086,56.530548095703125,12.130000114440918,14.377499961853028,0.9450020996099808
2015-07-31,25.59166717529297,56.94103240966797,12.119999885559082,14.143999910354614,1.0134700092333884
2015-08-03,25.968332290649414,56.57158279418945,12.5600004196167,13.921499919891357,1.2112337596721494
2015-08-04,25.286666870117188,56.94103240966797,13.0,13.766999912261962,0.8775773063636234
2015-08-05,25.666667938232422,57.41715621948242,12.510000228881836,13.40949993133545,1.0083006589182337
2015-08-06,24.145000457763672,56.899986267089844,13.770000457763672,13.099499988555909,0.372234971947743
2015-08-07,24.86166763305664,57.08060073852539,13.390000343322754,12.927500009536743,0.6769082932012503
2015-08-10,24.121667861938477,57.113426208496094,12.229999542236328,12.844000005722046,0.34454160668981315
2015-08-11,23.799999237060547,56.99028778076172,13.710000038146973,12.86100001335144,0.21120169467287442
2015-08-12,23.691667556762695,56.62085723876953,13.609999656677246,12.880000019073487,0.19287386821849048
2015-08-13,24.843332290649414,58.45979309082031,13.489999771118164,12.949000024795533,0.556966864029328
2015-08-14,25.066667556762695,59.19862747192383,12.829999923706055,12.993000030517578,0.5965973444836451
