Date,TXN,GILD,VIX,AvgVIX,zscore
2015-01-30,39.32468032836914,72.4195327758789,20.969999313354492,19.119499969482423,-0.38271145131650675
2015-02-02,39.354087829589844,73.35901641845703,19.43000030517578,19.201499938964844,-0.29768394663955233
2015-02-03,40.053035736083984,74.04297637939453,17.329999923706055,19.071999931335448,-0.18717047290844266
2015-02-04,40.185455322265625,67.99820709228516,18.329999923706055,18.932499885559082,-0.7111729376327361
2015-02-05,40.6931266784668,69.01374816894531,16.850000381469727,18.80949993133545,-0.585118255359603
2015-02-06,39.99417495727539,67.34193420410156,17.290000915527344,18.823499965667725,-0.7828186833932788
2015-02-09,39.92796325683594,66.94125366210938,18.549999237060547,18.873499965667726,-0.8229327687110719
2015-02-10,41.06834411621094,67.92222595214844,17.229999542236328,18.754999923706055,-0.6545334738082101
2015-02-11,41.20076370239258,69.06900024414062,16.959999084472656,18.57499990463257,-0.5438198665067154
2015-02-12,42.26021957397461,69.63546752929688,15.34000015258789,18.267999935150147,-0.4178104337888153
2015-02-13,42.65015411376953,70.3954086303711,14.6899995803833,17.88299994468689,-0.3227620402681541
2015-02-17,42.81938552856445,71.73558044433594,15.800000190734863,17.62549991607666,-0.19233825176262687
2015-02-18,42.628074645996094,71.80467224121094,15.449999809265137,17.403499937057497,-0.1999664646793543
2015-02-19,42.701656341552734,70.96878814697266,15.289999961853027,17.22549991607666,-0.26846114759061707
2015-02-20,43.054813385009766,70.88585662841797,14.300000190734863,17.12049994468689,-0.25044228036498745
2015-02-23,42.87086486816406,72.19843292236328,14.5600004196167,17.015499973297118,-0.1477939706963572
2015-02-24,43.37852478027344,72.32970428466797,13.6899995803833,16.9239999294281,-0.09978457848351803
2015-02-25,43.48152160644531,72.1431884765625,13.84000015258789,16.754999971389772,-0.10885640485052901
2015-02-26,43.716957092285156,71.97740936279297,13.90999984741211,16.428499937057495,-0.10659583624799056
2015-02-27,43.26080322265625,71.52144622802734,13.34000015258789,16.157499933242796,-0.17956663968528666
2015-03-02,44.09952926635742,71.72871398925781,13.039999961853027,15.760999965667725,-0.10109659118224443
2015-03-03,43.09159469604492,71.01023864746094,13.859999656677246,15.482499933242797,-0.23682550523715484
2015-03-04,42.907657623291016,71.1967544555664,14.229999542236328,15.327499914169312,-0.23356097537450776
2015-03-05,42.92238235473633,71.4454345703125,14.039999961853027,15.11299991607666,-0.2105563299265918
2015-03-06,42.407371520996094,70.33320617675781,15.199999809265137,15.03049988746643,-0.34567109864513984
2015-03-09,42.981231689453125,70.02925109863281,15.0600004196167,14.918999862670898,-0.33132448077350135
2015-03-10,42.01008605957031,68.27455139160156,16.690000534057617,14.825999927520751,-0.55586964825565
2015-03-11,42.06156921386719,68.37126159667969,16.8700008392334,14.807999992370606,-0.5436403235587661
2015-03-12,42.09835433959961,69.03443908691406,15.420000076293945,14.73100004196167,-0.48246990300835774
2015-03-13,42.024784088134766,68.8133773803711,16.0,14.764000034332275,-0.5072590297176537
2015-03-16,42.91501998901367,69.98088836669922,15.609999656677246,14.810000038146972,-0.34034346473433996
2015-03-17,42.65015411376953,69.38677215576172,15.65999984741211,14.803000020980836,-0.4117829540990026
2015-03-18,42.8929443359375,69.2762451171875,13.970000267028809,14.729000043869018,-0.4041182235905711
2015-03-19,43.06216812133789,70.07760620117188,14.069999694824219,14.668000030517579,-0.3212497009247464
2015-03-20,43.61396408081055,70.6648178100586,13.020000457763672,14.604000043869018,-0.22983295814078536
2015-03-23,43.157806396484375,69.26243591308594,13.40999984741211,14.54650001525879,-0.38633369655433897
2015-03-24,42.995948791503906,70.05686950683594,13.619999885559082,14.543000030517579,-0.3278309949413666
2015-03-25,41.00212860107422,68.98609161376953,15.4399995803833,14.623000001907348,-0.5653889326390161
2015-03-26,41.05362319946289,69.82891082763672,15.800000190734863,14.717500019073487,-0.487308198010751
2015-03-27,41.75993347167969,69.77362060546875,15.069999694824219,14.803999996185302,-0.44151172766380714
2015-03-30,42.67222595214844,69.55948638916016,14.510000228881836,14.877500009536742,-0.39495581647207406
2015-03-31,42.0762939453125,67.79098510742188,15.289999961853027,14.949000024795533,-0.593798285524114
2015-04-01,41.59806823730469,67.50772857666016,15.109999656677246,14.993000030517578,-0.653109842865517
2015-04-02,41.73049545288086,67.99820709228516,14.670000076293945,15.024500036239624,-0.6003194805638804
2015-04-06,41.796722412109375,67.55606842041016,14.739999771118164,15.001500034332276,-0.6345904033827675
2015-04-07,41.892356872558594,68.17781829833984,14.779999732971191,14.9875,-0.5728540098629821
2015-04-08,41.91440963745117,68.99301147460938,13.979999542236328,14.851999950408935,-0.49932390367519747
2015-04-09,42.5103645324707,69.8841781616211,13.09000015258789,14.66299991607666,-0.3779121769779775
2015-04-10,42.45151901245117,70.30557250976562,12.579999923706055,14.520999908447266,-0.34494251747544946
2015-04-13,42.09101104736328,70.65789031982422,13.9399995803833,14.417999887466431,-0.3397131224124382
2015-04-14,41.752567291259766,70.60954284667969,13.670000076293945,14.320999908447266,-0.3682628506952372
2015-04-15,43.04008865356445,71.86685180664062,12.84000015258789,14.179999923706054,-0.1649174198403085
2015-04-16,42.973876953125,71.39015197753906,12.600000381469727,14.111499929428101,-0.21174086633787267
2015-04-17,42.179298400878906,70.0361557006836,13.890000343322754,14.102499961853027,-0.3882521566912258
2015-04-20,42.79729461669922,69.53877258300781,13.300000190734863,14.116499948501588,-0.3878105695667208
2015-04-21,42.789939880371094,72.67511749267578,13.25,14.10849995613098,-0.11152862619633504
2015-04-22,43.20930862426758,71.97046661376953,12.710000038146973,14.062999963760376,-0.14363132931116904
2015-04-23,40.25904846191406,72.68199157714844,12.479999542236328,13.914999961853027,-0.29250819144764706
2015-04-24,40.26639175415039,71.63887023925781,12.289999961853027,13.739499950408936,-0.38404582730858494
2015-04-27,40.87705612182617,71.11384582519531,13.119999885559082,13.641999959945679,-0.3865698692926147
2015-04-28,40.78083038330078,71.6526870727539,12.40999984741211,13.536999940872192,-0.345916456572311
2015-04-29,40.72900390625,70.68553161621094,13.390000343322754,13.44199995994568,-0.4349947542329487
2015-04-30,40.12937927246094,69.43515014648438,14.550000190734863,13.413999986648559,-0.5883735961432017
2015-05-01,40.94366455078125,72.54386138916016,12.699999809265137,13.315499973297118,-0.25557957942492815
2015-05-04,40.936275482177734,72.99290466308594,12.850000381469727,13.221000003814698,-0.21647776776630864
2015-05-05,39.98133850097656,71.14836120605469,14.3100004196167,13.197500038146973,-0.4477894878743236
2015-05-06,39.751861572265625,70.6510009765625,15.149999618530273,13.25600004196167,-0.5081503387429566
2015-05-07,40.01836013793945,70.31940460205078,15.130000114440918,13.358000040054321,-0.5182958688489595
2015-05-08,40.492122650146484,71.74248504638672,12.859999656677246,13.372000026702882,-0.35870519391887
2015-05-11,40.299644470214844,72.3504409790039,13.850000381469727,13.367500066757202,-0.31885772605688756
2015-05-12,40.09978103637695,72.92382049560547,13.859999656677246,13.377000045776366,-0.282591803492394
2015-05-13,40.484710693359375,73.49720764160156,13.760000228881836,13.423000049591064,-0.20436750400849335
2015-05-14,41.16575622558594,75.12064361572266,12.739999771118164,13.430000019073486,-0.01222158538948162
2015-05-15,41.16575622558594,75.50752258300781,12.380000114440918,13.354500007629394,0.02192383774029148
2015-05-18,41.298988342285156,76.68191528320312,12.729999542236328,13.325999975204468,0.13513330641551646
2015-05-19,41.29159164428711,76.37793731689453,12.850000381469727,13.305999994277954,0.10777391748488785
2015-05-20,41.18054962158203,76.1085205078125,12.880000114440918,13.314499998092652,0.07602851108569836
2015-05-21,41.08431625366211,76.83390808105469,12.109999656677246,13.296000003814697,0.13314570702346815
2015-05-22,40.988094329833984,77.17242431640625,12.130000114440918,13.288000011444092,0.1561189742817687
