Date,AMAT,HD,VIX,AvgVIX,zscore
2020-01-30,56.859195709228516,200.0087127685547,15.489999771118164,13.696000051498412,-0.06822978202621427
2020-01-31,54.72639083862305,195.97914123535156,18.84000015258789,14.014500045776368,-0.0415161852852624
2020-02-03,56.359039306640625,198.93467712402344,17.969999313354492,14.211999988555908,-0.057183989965585526
2020-02-04,59.4638786315918,201.907470703125,16.049999237060547,14.32199993133545,0.011101824096188402
2020-02-05,60.20941162109375,204.5795135498047,15.149999618530273,14.389999914169312,-0.04503880526036091
2020-02-06,59.63373565673828,205.20672607421875,14.960000038146973,14.465499925613404,-0.10135102966703873
2020-02-07,58.237037658691406,203.8835906982422,15.470000267028809,14.611999940872192,-0.13259370905001502
2020-02-10,59.378936767578125,206.7274627685547,15.039999961853027,14.735999917984008,-0.17232392315601547
2020-02-11,60.82283401489258,207.61245727539062,15.180000305175781,14.878999948501587,-0.12213928103422293
2020-02-12,61.69105529785156,207.56947326660156,13.739999771118164,14.946499919891357,-0.07065857486143574
2020-02-13,63.5785026550293,208.23109436035156,14.149999618530273,15.032999897003174,0.01328702556345678
2020-02-14,63.087772369384766,210.5250701904297,13.680000305175781,15.100999927520752,-0.0998853869276175
2020-02-18,61.6866569519043,209.5885772705078,14.829999923706055,15.237499904632568,-0.14570412773146804
2020-02-19,63.816715240478516,209.3307647705078,14.380000114440918,15.313999891281128,-0.013759778691164631
2020-02-20,62.86055374145508,212.23483276367188,15.5600004196167,15.446499919891357,-0.17627550982560156
2020-02-21,60.84409713745117,210.79141235351562,17.079999923706055,15.651499938964843,-0.23867418811484808
2020-02-24,57.82414245605469,205.94561767578125,25.030000686645508,16.174999952316284,-0.2327016913795999
2020-02-25,55.72247314453125,203.9523468017578,27.850000381469727,16.655999994277956,-0.27962885845861696
2020-02-26,56.62184524536133,202.14805603027344,27.559999465942383,17.219999933242796,-0.16111486273633033
2020-02-27,53.961631774902344,193.08367919921875,39.15999984741211,18.35849995613098,0.021795726570227995
2020-02-28,55.02192306518555,187.16390991210938,40.11000061035156,19.589499998092652,0.30200416852420825
2020-03-02,56.95317840576172,197.56004333496094,33.41999816894531,20.318499898910524,0.027875548177746113
2020-03-03,54.946189880371094,195.84164428710938,36.81999969482422,21.26099991798401,-0.02379317098501393
2020-03-04,57.29399490356445,207.13128662109375,31.989999771118164,22.05799994468689,-0.3070844950809511
2020-03-05,55.97808837890625,201.74420166015625,39.619998931884766,23.281499910354615,-0.18314567495440437
2020-03-06,54.70950698852539,196.33140563964844,41.939998626708984,24.630499839782715,-0.05553512286779141
