Date,PEP,HD,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,329.48333740234375,24.829999923706055,23.18100004196167,-1.1594217672896823
2022-02-01,150.6808624267578,331.0276184082031,21.959999084472656,23.448999977111818,-1.3009628515818308
2022-02-02,153.41748046875,335.5436706542969,22.09000015258789,23.707999992370606,-1.0274081166577382
2022-02-03,153.33004760742188,327.53509521484375,24.350000381469727,23.939000034332274,-0.9431164101990758
2022-02-04,150.81198120117188,322.9202575683594,23.219999313354492,24.119499969482423,-1.189389459556757
2022-02-07,150.21746826171875,320.8372802734375,22.860000610351562,24.324499988555907,-1.2357825118222974
2022-02-08,150.40109252929688,324.50946044921875,21.440000534057617,24.426500034332275,-1.257283123526515
2022-02-09,150.33111572265625,327.1400146484375,19.959999084472656,24.503999996185303,-1.296762581811482
2022-02-10,147.2097930908203,318.8082275390625,23.90999984741211,24.818499946594237,-1.5711440836266832
2022-02-11,147.39340209960938,314.4987487792969,27.360000610351562,25.171000003814697,-1.4982265287690264
2022-02-14,145.74969482421875,315.6389465332031,28.329999923706055,25.62799997329712,-1.7081088592536136
2022-02-15,145.10267639160156,317.1653137207031,25.700000762939453,25.773499965667725,-1.8034725707175874
2022-02-16,145.39990234375,314.3191223144531,24.290000915527344,25.795499992370605,-1.7342899143806865
2022-02-17,145.79339599609375,312.3887939453125,28.110000610351562,25.92150001525879,-1.6644392657225158
2022-02-18,146.6327667236328,311.42816162109375,27.75,25.866499996185304,-1.5527852529528663
2022-02-22,147.19232177734375,283.8649597167969,28.809999465942383,25.811999988555907,-1.1598660303839974
2022-02-23,145.74090576171875,276.93377685546875,31.020000457763672,25.805000019073486,-1.2512915608469544
2022-02-24,143.2053680419922,281.23431396484375,30.31999969482422,25.723000049591064,-1.6051176188745073
2022-02-25,147.2185516357422,284.2959289550781,27.59000015258789,25.57800006866455,-1.161830223992118
2022-02-28,143.1616973876953,283.55963134765625,30.149999618530273,25.70250005722046,-1.6378431173356587
2022-03-01,141.87643432617188,287.5281066894531,33.31999969482422,26.127000045776366,-1.8383550917947653
2022-03-02,143.84365844726562,293.9205017089844,30.739999771118164,26.566000080108644,-1.6789258734740382
2022-03-03,143.68960571289062,291.2181091308594,30.479999542236328,26.985500049591064,-1.6653642000533215
2022-03-04,145.87220764160156,291.1283264160156,31.979999542236328,27.367000007629393,-1.4035194093707564
2022-03-07,142.96800231933594,289.79052734375,36.45000076293945,28.028500080108643,-1.73469541479844
2022-03-08,138.937255859375,284.376708984375,35.130001068115234,28.642000102996825,-2.15225559322844
2022-03-09,138.52359008789062,286.5083312988281,32.45000076293945,29.192500114440918,-2.2268976875648803
2022-03-10,135.98019409179688,287.1767883300781,30.229999542236328,29.706000137329102,-2.538696545940168
2022-03-11,135.29373168945312,286.13800048828125,30.75,30.048000144958497,-2.608428312352738
2022-03-14,137.19468688964844,287.5560607910156,31.770000457763672,30.268500137329102,-2.3980725812487136
2022-03-15,139.9317169189453,296.7511291503906,29.829999923706055,30.3435001373291,-2.1798196022124627
2022-03-16,140.54776000976562,298.8918151855469,26.670000076293945,30.392000102996825,-2.1315367464770674
2022-03-17,141.6390838623047,303.8144836425781,25.670000076293945,30.461000061035158,-2.059375959801723
2022-03-18,143.26719665527344,307.7706604003906,23.8700008392334,30.249000072479248,-1.9116450690622402
2022-03-21,143.06478881835938,297.50079345703125,23.530000686645508,30.038000106811523,-1.8143406395318034
2022-03-22,144.6313018798828,297.82598876953125,22.940000534057617,29.744500160217285,-1.6310167079788302
2022-03-23,143.8744354248047,286.3728332519531,23.56999969482422,29.37200012207031,-1.5859625164051248
2022-03-24,144.74571228027344,285.2257385253906,21.670000076293945,28.9395001411438,-1.4682905009779248
2022-03-25,145.4233856201172,280.6192321777344,20.809999465942383,28.600500106811523,-1.3328271902544433
2022-03-28,145.85462951660156,283.8708801269531,19.6299991607666,28.07450008392334,-1.3197668578361328
2022-03-29,148.01959228515625,286.9689636230469,18.899999618530273,27.353500080108642,-1.097740882691411
2022-03-30,147.8171844482422,278.614013671875,19.329999923706055,26.78300008773804,-1.0230891929205606
2022-03-31,147.3067626953125,270.36737060546875,20.559999465942383,26.28700008392334,-0.9865209995333172
2022-04-01,149.40133666992188,272.6797180175781,19.6299991607666,25.669500064849853,-0.7636102931309768
2022-04-04,149.01405334472656,276.01263427734375,18.56999969482422,24.77550001144409,-0.8493109978193059
2022-04-05,149.17250061035156,275.3623046875,21.030000686645508,24.070499992370607,-0.8226861735592832
2022-04-06,151.71591186523438,269.65386962890625,22.100000381469727,23.55299997329712,-0.4512644687058087
2022-04-07,151.8567352294922,273.4565124511719,21.549999237060547,23.11899995803833,-0.4794223620556684
2022-04-08,152.36715698242188,281.0075988769531,21.15999984741211,22.639499950408936,-0.5077623849099787
2022-04-11,151.90072631835938,277.0423583984375,24.3700008392334,22.26949996948242,-0.5165853914097175
2022-04-12,152.5167999267578,276.6540222167969,24.260000228881836,21.99099998474121,-0.4383815183406755
2022-04-13,152.2527618408203,280.3843688964844,21.81999969482422,21.748499965667726,-0.5140580266892825
2022-04-14,151.28468322753906,275.05517578125,22.700000762939453,21.6,-0.5666841342011264
2022-04-18,149.98216247558594,271.1622619628906,22.170000076293945,21.51499996185303,-0.676260856327066
2022-04-19,152.16473388671875,278.0177917480469,21.3700008392334,21.40699996948242,-0.4965801174785138
2022-04-20,154.42654418945312,284.647705078125,20.31999969482422,21.27599992752075,-0.3047627623432998
2022-04-21,153.87208557128906,280.3301696777344,22.68000030517578,21.23149995803833,-0.31993605232513295
2022-04-22,151.50466918945312,271.0718994140625,28.209999084472656,21.558499908447267,-0.4932790209491847
2022-04-25,152.90399169921875,275.4346008300781,27.020000457763672,21.86899995803833,-0.37769359316969386
2022-04-26,152.5167999267578,270.93646240234375,33.52000045776367,22.563500022888185,-0.3707449601686519
2022-04-27,153.880859375,272.4177551269531,31.600000381469727,23.198500061035155,-0.2252868815003052
2022-04-28,156.21310424804688,281.5947570800781,29.989999771118164,23.73150005340576,-0.055184918829633715
2022-04-29,151.11746215820312,271.3338928222656,33.400001525878906,24.37350015640259,-0.5426427604097015
2022-05-02,147.64114379882812,277.2681884765625,32.34000015258789,25.00900020599365,-1.0282023663846274
2022-05-03,147.84356689453125,275.45263671875,29.25,25.54300022125244,-0.9825390657019818
2022-05-04,153.00962829589844,284.80120849609375,25.420000076293945,25.762500190734862,-0.4758752769196929
2022-05-05,149.9557342529297,270.16864013671875,31.200000762939453,26.21750020980835,-0.6676643976392345
2022-05-06,149.97337341308594,265.8331298828125,30.190000534057617,26.6495002746582,-0.6142693895311246
2022-05-09,151.10865783691406,268.2899475097656,34.75,27.3290002822876,-0.5076860071576991
2022-05-10,150.92388916015625,262.9879455566406,32.9900016784668,27.76000032424927,-0.46704196051057195
2022-05-11,150.19337463378906,255.58132934570312,32.560001373291016,28.175000381469726,-0.46670819616005305
2022-05-12,149.96453857421875,261.6601867675781,31.770000457763672,28.6725004196167,-0.5659606679554914
2022-05-13,152.8863983154297,267.3867492675781,28.8700008392334,28.981000423431396,-0.28459267100563335
2022-05-16,154.42654418945312,267.3505554199219,27.469999313354492,29.246000385284425,-0.1001440601287905
2022-05-17,153.53765869140625,271.8306884765625,26.100000381469727,29.48250036239624,-0.2593485757371954
2022-05-18,144.0240478515625,257.58648681640625,30.959999084472656,30.01450033187866,-1.2275549216834005
2022-05-19,141.86788940429688,259.91693115234375,29.350000381469727,30.34800033569336,-1.5127463544106963
2022-05-20,142.75674438476562,259.402099609375,29.43000030517578,30.409000396728516,-1.4004534939896565
2022-05-23,145.7401885986328,258.3543395996094,28.479999542236328,30.48200035095215,-1.0315895724416193
2022-05-24,147.69398498535156,260.06146240234375,29.450000762939453,30.278500366210938,-0.8183397446706644
2022-05-25,148.70606994628906,265.16473388671875,28.3700008392334,30.117000389099122,-0.7577830825508479
2022-05-26,149.7093505859375,273.5107116699219,27.5,29.992500400543214,-0.7366383648779957
2022-05-27,151.1702423095703,278.614013671875,25.719999313354492,29.608500289916993,-0.6224575178961327
2022-05-31,147.63233947753906,273.4565124511719,26.190000534057617,29.301000308990478,-0.9841636507731553
2022-06-01,146.52345275878906,270.1297607421875,25.690000534057617,29.12300033569336,-1.0773019804813113
2022-06-02,147.7109375,278.01947021484375,24.719999313354492,29.088000297546387,-1.028750618997331
2022-06-03,146.08921813964844,277.3013916015625,24.790000915527344,28.76750030517578,-1.2140230761158521
2022-06-06,146.7007293701172,276.2196960449219,25.06999969482422,28.51150026321411,-1.1281621495687133
2022-06-07,147.6046142578125,274.2926940917969,24.020000457763672,27.975000286102294,-0.9973680396377843
2022-06-08,146.8690948486328,270.4388122558594,23.959999084472656,27.523500156402587,-1.0396597676304513
2022-06-09,144.25482177734375,272.5566711425781,26.09000015258789,27.200000095367432,-1.3770730675869023
2022-06-10,144.02439880371094,262.9037170410156,27.75,26.999000072479248,-1.2904138004223582
2022-06-13,141.56080627441406,257.37725830078125,34.02000045776367,27.256500053405762,-1.5193940449238446
2022-06-14,138.35276794433594,253.29612731933594,32.689998626708984,27.517500019073488,-1.8544201990149645
2022-06-15,139.8326873779297,254.25958251953125,29.6200008392334,27.69350004196167,-1.6889930607747359
2022-06-16,139.1591796875,248.5605010986328,32.95000076293945,27.79300012588501,-1.702047465361817
2022-06-17,139.18580627441406,246.07907104492188,31.1299991607666,27.882000064849855,-1.6695116808463608
2022-06-21,142.42041015625,244.68836975097656,30.190000534057617,27.920000076293945,-1.266581713862742
2022-06-22,143.5901641845703,244.4884033203125,28.950000762939453,27.943500137329103,-1.1244510725908061
2022-06-23,145.4246063232422,250.34205627441406,29.049999237060547,27.923500061035156,-0.9745138613272825
2022-06-24,147.22357177734375,257.23187255859375,27.229999542236328,27.866499996185304,-0.8410729105174356
2022-06-27,147.41854858398438,256.9500732421875,26.950000762939453,27.839000034332276,-0.8144430190161972
2022-06-28,145.34483337402344,245.5518341064453,28.360000610351562,27.971000099182127,-0.9273788247957198
2022-06-29,147.75526428222656,248.93313598632812,28.15999984741211,28.069500064849855,-0.6793740728832146
2022-06-30,147.69325256347656,249.2967071533203,28.709999084472656,28.220499992370605,-0.691084295579168
2022-07-01,150.112548828125,253.668701171875,26.700000762939453,28.319500064849855,-0.45373980010865805
2022-07-05,149.7758331298828,257.89544677734375,27.540000915527344,28.457000064849854,-0.5439722204572079
2022-07-06,151.2734832763672,257.75897216796875,26.729999542236328,28.54000005722046,-0.36341482130075664
2022-07-07,150.97216796875,260.5858154296875,26.079999923706055,28.643000030517577,-0.43285720278663603
2022-07-08,152.31919860839844,260.3858337402344,24.639999389648438,28.677000045776367,-0.2695449315153687
2022-07-11,151.06968688964844,260.31317138671875,26.170000076293945,28.68100004196167,-0.4179801247516899
2022-07-12,150.2100372314453,259.1587829589844,27.290000915527344,28.65800008773804,-0.5070372233495606
2022-07-13,150.7417755126953,261.03118896484375,26.81999969482422,28.298000049591064,-0.46565366477509174
2022-07-14,151.52162170410156,263.1218566894531,26.399999618530273,27.98350009918213,-0.39720751045719527
2022-07-15,151.6456756591797,265.7850341796875,24.229999542236328,27.714000034332276,-0.41388961290453163
2022-07-18,149.1111297607422,266.3666687011719,25.299999237060547,27.33149995803833,-0.7236039623760782
2022-07-19,150.706298828125,272.5294189453125,24.5,27.0,-0.6059121948966716
