Date,KBE,AMD,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,48.779998779296875,15.489999771118164,13.696000051498412,2.49375903942103
2020-01-31,37.1184196472168,47.0,18.84000015258789,14.014500045776368,2.355674152146882
2020-02-03,37.53000259399414,48.02000045776367,17.969999313354492,14.211999988555908,2.428753384394093
2020-02-04,38.075992584228516,49.45000076293945,16.049999237060547,14.32199993133545,2.524107122612677
2020-02-05,38.94956588745117,49.84000015258789,15.149999618530273,14.389999914169312,2.7159188181677605
2020-02-06,38.57156753540039,49.31999969482422,14.960000038146973,14.465499925613404,2.640184508462759
2020-02-07,38.260772705078125,49.72999954223633,15.470000267028809,14.611999940872192,2.560595400500323
2020-02-10,38.243980407714844,52.2599983215332,15.039999961853027,14.735999917984008,2.5044362327111522
2020-02-11,38.56317138671875,53.79999923706055,15.180000305175781,14.878999948501587,2.5456229636393646
2020-02-12,38.56317138671875,53.88999938964844,13.739999771118164,14.946499919891357,2.54376187924
2020-02-13,38.731178283691406,54.529998779296875,14.149999618530273,15.032999897003174,2.5689680522114613
2020-02-14,38.48757553100586,55.310001373291016,13.680000305175781,15.100999927520752,2.4971015381357646
2020-02-18,37.99198913574219,56.88999938964844,14.829999923706055,15.237499904632568,2.351037510237505
2020-02-19,38.218780517578125,58.900001525878906,14.380000114440918,15.313999891281128,2.361363912464715
2020-02-20,38.621971130371094,57.27000045776367,15.5600004196167,15.446499919891357,2.4873214866802744
2020-02-21,38.10118865966797,53.279998779296875,17.079999923706055,15.651499938964843,2.450672760077383
2020-02-24,36.91682815551758,49.119998931884766,25.030000686645508,16.174999952316284,2.2657105929461725
2020-02-25,35.42167663574219,47.56999969482422,27.850000381469727,16.655999994277956,1.955667077814161
2020-02-26,34.86729049682617,47.4900016784668,27.559999465942383,17.219999933242796,1.8304760079083828
2020-02-27,33.48133850097656,44.0099983215332,39.15999984741211,18.35849995613098,1.5853276319662926
2020-02-28,32.5489616394043,45.47999954223633,40.11000061035156,19.589499998092652,1.3415991356829333
2020-03-02,33.99372482299805,47.459999084472656,33.41999816894531,20.318499898910524,1.6312217992686395
2020-03-03,32.67496109008789,46.75,36.81999969482422,21.26099991798401,1.3441662796705676
2020-03-04,33.34694290161133,50.11000061035156,31.989999771118164,22.05799994468689,1.4284374902791903
2020-03-05,31.742582321166992,48.11000061035156,39.619998931884766,23.281499910354615,1.102712014454838
2020-03-06,30.47422218322754,48.59000015258789,41.939998626708984,24.630499839782715,0.8025813973572049
2020-03-09,25.988771438598633,43.27000045776367,54.459999084472656,26.57999978065491,-0.11369351827685899
2020-03-10,27.685516357421875,45.380001068115234,47.29999923706055,28.192999744415282,0.23089512244104982
2020-03-11,25.795578002929688,45.70000076293945,53.900001525878906,30.12899980545044,-0.20814599472293266
2020-03-12,23.510854721069336,39.0099983215332,75.47000122070312,33.21549987792969,-0.5925575726781255
2020-03-13,26.23236656188965,43.900001525878906,57.83000183105469,35.39949998855591,-0.0709857650487327
2020-03-16,22.847274780273438,38.709999084472656,82.69000244140625,38.850000095367434,-0.7381831990630772
2020-03-17,24.132434844970703,41.880001068115234,75.91000366210938,41.9040002822876,-0.509685920281646
2020-03-18,21.45291519165039,39.119998931884766,76.44999694824219,45.007500123977664,-1.065695392512232
2020-03-19,22.83887481689453,39.81999969482422,72.0,47.829500102996825,-0.7630584855392778
