Date,CVX,GILD,VIX,AvgVIX,zscore
2020-01-30,84.41715240478516,50.496456146240234,15.489999771118164,13.696000051498412,0.04468244806964246
2020-01-31,81.18899536132812,49.841880798339844,18.84000015258789,14.014500045776368,-0.016810378288386447
2020-02-03,80.53730773925781,52.333984375,17.969999313354492,14.211999988555908,-0.2756230565518732
2020-02-04,80.96922302246094,53.1541633605957,16.049999237060547,14.32199993133545,-0.33618158957272526
2020-02-05,83.56843566894531,51.947547912597656,15.149999618530273,14.389999914169312,-0.12389074544825457
2020-02-06,82.96977996826172,53.792945861816406,14.960000038146973,14.465499925613404,-0.31996234244377475
2020-02-07,82.5530014038086,54.313446044921875,15.470000267028809,14.611999940872192,-0.3847078584371173
2020-02-10,83.19712829589844,54.40808868408203,15.039999961853027,14.735999917984008,-0.369060864451715
2020-02-11,84.27318572998047,53.43806838989258,15.180000305175781,14.878999948501587,-0.2369981040449998
2020-02-12,84.90213775634766,52.79927062988281,13.739999771118164,14.946499919891357,-0.15306406622941737
2020-02-13,84.61418151855469,52.68098068237305,14.149999618530273,15.032999897003174,-0.15292503233951646
2020-02-14,84.391845703125,53.280338287353516,13.680000305175781,15.100999927520752,-0.21766884900785152
2020-02-18,84.51451873779297,52.846580505371094,14.829999923706055,15.237499904632568,-0.17226964144228243
2020-02-19,84.89783477783203,53.11473083496094,14.380000114440918,15.313999891281128,-0.18284750450325157
2020-02-20,84.18485260009766,52.83869934082031,15.5600004196167,15.446499919891357,-0.18408586702678992
2020-02-21,83.5715560913086,54.968013763427734,17.079999923706055,15.651499938964843,-0.4073729061849325
2020-02-24,80.27499389648438,57.49165344238281,25.030000686645508,16.174999952316284,-0.7698837000537799
2020-02-25,77.20842742919922,55.28348159790039,27.850000381469727,16.655999994277956,-0.679349872118852
2020-02-26,75.16150665283203,58.911190032958984,27.559999465942383,17.219999933242796,-1.0979292221135246
2020-02-27,72.16392517089844,57.30240249633789,39.15999984741211,18.35849995613098,-1.061045989505809
2020-02-28,71.55827331542969,54.69988250732422,40.11000061035156,19.589499998092652,-0.8397550906553185
2020-03-02,74.04984283447266,59.463253021240234,33.41999816894531,20.318499898910524,-1.1921048244089711
2020-03-03,72.36325073242188,58.524776458740234,36.81999969482422,21.26099991798401,-1.1682266691000383
2020-03-04,75.53714752197266,59.9443244934082,31.989999771118164,22.05799994468689,-1.1806261733881669
2020-03-05,74.50983428955078,60.03895950317383,39.619998931884766,23.281499910354615,-1.2286397116625924
2020-03-06,73.07623291015625,63.26449966430664,41.939998626708984,24.630499839782715,-1.5860983186386586
2020-03-09,61.844932556152344,57.98060607910156,54.459999084472656,26.57999978065491,-1.5177509664132751
