Date,MNST,MS,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,24.881681442260742,20.969999313354492,19.119499969482423,-1.7228283644467846
2015-02-02,19.59166717529297,25.330596923828125,19.43000030517578,19.201499938964844,-1.74018135707638
2015-02-03,19.44499969482422,25.786863327026367,17.329999923706055,19.071999931335448,-1.853564497852896
2015-02-04,19.788333892822266,25.58817481994629,18.329999923706055,18.932499885559082,-1.6964287165181993
2015-02-05,19.72833251953125,25.705923080444336,16.850000381469727,18.80949993133545,-1.7342307893768174
2015-02-06,19.524999618530273,26.338815689086914,17.290000915527344,18.823499965667725,-1.8914629800431795
2015-02-09,19.323333740234375,26.2210750579834,18.549999237060547,18.873499965667726,-1.954560171695055
2015-02-10,19.748332977294922,26.61111068725586,17.229999542236328,18.754999923706055,-1.839260772832649
2015-02-11,19.831666946411133,26.765661239624023,16.959999084472656,18.57499990463257,-1.8263768203310768
2015-02-12,19.918333053588867,27.15570068359375,15.34000015258789,18.267999935150147,-1.8415384041914846
2015-02-13,19.623332977294922,27.0673770904541,14.6899995803833,17.88299994468689,-1.9442889809979154
2015-02-17,19.78499984741211,27.17041778564453,15.800000190734863,17.62549991607666,-1.8947844253056223
2015-02-18,20.046667098999023,26.765661239624023,15.449999809265137,17.403499937057497,-1.7434732363693428
2015-02-19,20.18833351135254,26.736215591430664,15.289999961853027,17.22549991607666,-1.6851794926762058
2015-02-20,20.209999084472656,27.03795051574707,14.300000190734863,17.12049994468689,-1.7144067134861762
2015-02-23,20.35333251953125,26.69207000732422,14.5600004196167,17.015499973297118,-1.6160578583208258
2015-02-24,20.801666259765625,27.03795051574707,13.6899995803833,16.9239999294281,-1.4862611575231364
2015-02-25,20.63166618347168,26.927555084228516,13.84000015258789,16.754999971389772,-1.5380629385818185
2015-02-26,20.790000915527344,26.537521362304688,13.90999984741211,16.428499937057495,-1.4284302849395618
2015-02-27,23.520000457763672,26.338815689086914,13.34000015258789,16.157499933242796,-0.35099948029197686
2015-03-02,23.538333892822266,26.66997528076172,13.039999961853027,15.760999965667725,-0.385176440984268
2015-03-03,23.448333740234375,26.36089324951172,13.859999656677246,15.482499933242797,-0.381383792804697
2015-03-04,23.25666618347168,25.823673248291016,14.229999542236328,15.327499914169312,-0.3883790350857455
2015-03-05,23.338333129882812,26.140121459960938,14.039999961853027,15.11299991607666,-0.39630241506519337
2015-03-06,22.770000457763672,26.147462844848633,15.199999809265137,15.03049988746643,-0.6163646157368632
2015-03-09,22.86833381652832,26.250499725341797,15.0600004196167,14.918999862670898,-0.5912808470110599
2015-03-10,22.65333366394043,25.669116973876953,16.690000534057617,14.825999927520751,-0.6017725674065595
2015-03-11,22.65999984741211,25.72063636779785,16.8700008392334,14.807999992370606,-0.6056188991760943
2015-03-12,22.975000381469727,27.295516967773438,15.420000076293945,14.73100004196167,-0.6803085064550839
2015-03-13,22.579999923706055,26.750932693481445,16.0,14.764000034332275,-0.7647912379141998
2015-03-16,23.00666618347168,27.030590057373047,15.609999656677246,14.810000038146972,-0.635101303963224
