Date,MS,KO,VIX,AvgVIX,zscore
2023-01-31,87.6962661743164,55.64714813232422,19.399999618530273,20.202999973297118,1.6514202217291742
2023-02-01,88.47115325927734,55.65621566772461,17.8700008392334,19.951500034332277,1.7969953404098735
2023-02-02,89.39017486572266,54.70336151123047,18.729999542236328,19.7875,2.148867478311258
2023-02-03,89.58841705322266,54.29499053955078,18.329999923706055,19.58100004196167,2.2624937983774744
2023-02-06,89.11089324951172,54.60353469848633,19.43000030517578,19.49600009918213,2.114358600070988
2023-02-07,89.39921569824219,54.51279067993164,18.65999984741211,19.33050012588501,2.1860293959092076
2023-02-08,89.16492462158203,54.19517517089844,19.6299991607666,19.28300008773804,2.200576591559533
2023-02-09,88.34500885009766,54.10441207885742,20.709999084472656,19.264000034332277,2.061638448139899
2023-02-10,88.69640350341797,54.10441207885742,20.530000686645508,19.34900007247925,2.1284184060893994
2023-02-13,89.58841705322266,54.99375915527344,20.34000015258789,19.448500061035155,2.1325316376341656
2023-02-14,90.60658264160156,54.07719039916992,18.90999984741211,19.426000022888182,2.496496729462812
2023-02-15,90.849853515625,54.07719039916992,18.229999542236328,19.320499992370607,2.5427285619170603
2023-02-16,89.71456146240234,53.741424560546875,20.170000076293945,19.30299997329712,2.3894229107603397
2023-02-17,89.66050720214844,54.55816650390625,20.020000457763672,19.311499977111815,2.2272465842465494
2023-02-21,87.95757293701172,54.26776885986328,22.8700008392334,19.46450004577637,1.9576268114216568
2023-02-22,87.6422119140625,54.43111038208008,22.290000915527344,19.619000053405763,1.8673153130660787
2023-02-23,88.24588775634766,54.53094482421875,21.139999389648438,19.72200002670288,1.9634714985510293
2023-02-24,88.02964782714844,54.30406951904297,21.670000076293945,19.869000053405763,1.9645726464821973
2023-02-27,87.12862396240234,54.285911560058594,20.950000762939453,19.99100008010864,1.7967168689162272
2023-02-28,86.94844055175781,54.00459289550781,20.700000762939453,20.029000091552735,1.8147960709006727
2023-03-01,86.66912078857422,53.41473388671875,20.579999923706055,20.088000106811524,1.871419759064621
2023-03-02,86.56999206542969,54.19517517089844,19.59000015258789,20.17400007247925,1.7074288292238267
2023-03-03,88.59730529785156,53.94106674194336,18.489999771118164,20.16200008392334,2.1399656993522895
2023-03-06,88.64234924316406,54.77595520019531,18.610000610351562,20.176000118255615,1.9932472315282033
2023-03-07,86.5519790649414,54.458335876464844,19.59000015258789,20.184000110626222,1.6550610151227558
2023-03-08,86.40782165527344,54.48556137084961,19.110000610351562,20.206500148773195,1.6226013653528184
2023-03-09,83.07405090332031,53.95922088623047,22.610000610351562,20.35550022125244,1.086935562328361
2023-03-10,81.1368637084961,53.73235321044922,24.799999237060547,20.560000228881837,0.7609819768856917
2023-03-13,79.28075408935547,54.2768440246582,26.520000457763672,20.859500217437745,0.3069736227388197
2023-03-14,81.06475830078125,54.47648620605469,23.729999542236328,21.029000186920165,0.6088795128394832
2023-03-15,76.9381103515625,54.8394775390625,26.139999389648438,21.390500164031984,-0.2428712601149774
2023-03-16,78.39774322509766,55.14125442504883,22.989999771118164,21.628500175476074,-0.021605515051650585
2023-03-17,75.84786224365234,54.88521194458008,25.510000228881836,21.89550018310547,-0.4585708822084698
2023-03-20,77.1633529663086,55.41558837890625,24.149999618530273,22.102000141143797,-0.3072149245965986
2023-03-21,79.97454833984375,55.1595344543457,21.3799991607666,22.027500057220458,0.2746547932292029
2023-03-22,78.88430786132812,54.91263198852539,22.260000228881836,22.026000022888184,0.11338339302222443
2023-03-23,77.34355163574219,54.79375457763672,22.610000610351562,22.09950008392334,-0.15731624434521022
2023-03-24,75.6406021118164,55.68992614746094,21.739999771118164,22.10300006866455,-0.6476258445881362
2023-03-27,76.2623291015625,56.10142135620117,20.600000381469727,22.085500049591065,-0.6060041487483777
2023-03-28,76.47857666015625,56.165435791015625,19.969999313354492,22.048999977111816,-0.5768137762991469
2023-03-29,77.70396423339844,56.56779479980469,19.1200008392334,21.976000022888183,-0.4187716279743614
2023-03-30,77.58683013916016,56.558650970458984,19.020000457763672,21.947500038146973,-0.43933146017945807
2023-03-31,79.10956573486328,56.723243713378906,18.700000762939453,21.958000087738036,-0.18055898631606088
2023-04-03,78.53290557861328,57.06159591674805,18.549999237060547,21.955000019073488,-0.3530782368553473
2023-04-04,76.42453002929688,56.88784408569336,19.0,21.925500011444093,-0.7214437824870924
2023-04-05,75.52349090576172,57.4273796081543,19.079999923706055,21.923999977111816,-0.9930264226418122
2023-04-06,75.85686492919922,57.463951110839844,18.399999618530273,21.71349992752075,-0.9364729911149214
2023-04-10,75.6856689453125,57.326786041259766,18.969999313354492,21.42199993133545,-0.9434965479563777
2023-04-11,76.66777801513672,57.226192474365234,19.100000381469727,21.050999927520753,-0.7381448381753517
2023-04-12,77.01016998291016,57.326786041259766,19.09000015258789,20.81899995803833,-0.6917849104596773
2023-04-13,77.20840454101562,57.747432708740234,17.799999237060547,20.401999950408936,-0.7323468787724356
2023-04-14,78.12744903564453,57.655982971191406,17.06999969482422,20.10599994659424,-0.5406807627016644
2023-04-17,80.45207977294922,58.030906677246094,16.950000762939453,19.67799997329712,-0.16863295093203096
2023-04-18,80.9566421508789,58.12235641479492,16.829999923706055,19.311999988555907,-0.08975309771218828
2023-04-19,81.49725341796875,58.232093811035156,16.459999084472656,19.06599998474121,-0.007423693580048347
2023-04-20,81.47923278808594,58.48813247680664,17.170000076293945,18.811499977111815,-0.05846834789948116
2023-04-21,82.10093688964844,58.5704345703125,16.770000457763672,18.51949996948242,0.044374771084020596
2023-04-24,81.27200317382812,58.4789924621582,16.889999389648438,18.276999950408936,-0.09615087759285983
2023-04-25,79.34381866455078,58.38753890991211,18.760000228881836,18.18499994277954,-0.4455788904378106
2023-04-26,79.68620300292969,58.11320495605469,18.84000015258789,18.12849998474121,-0.32948861640855326
2023-04-27,81.32608032226562,58.232093811035156,17.030000686645508,18.023999977111817,-0.039953875883991026
2023-04-28,81.76683044433594,58.66188049316406,15.779999732971191,17.86199994087219,-0.036127480435099425
2023-05-01,79.912841796875,58.79905319213867,16.079999923706055,17.73099989891052,-0.4139767207816342
2023-05-02,78.42237091064453,58.533851623535156,17.780000686645508,17.692499971389772,-0.6479055506688227
2023-05-03,77.02277374267578,58.204654693603516,18.34000015258789,17.659499979019166,-0.8526621706132813
2023-05-04,75.0779037475586,58.2686653137207,20.09000015258789,17.709999990463256,-1.2341755145912021
2023-05-05,77.14092254638672,58.542991638183594,17.190000534057617,17.649500036239623,-0.8931352732429834
2023-05-08,76.7319564819336,58.4515495300293,16.979999542236328,17.550000047683717,-0.9538491722718504
2023-05-09,76.67742919921875,57.966896057128906,17.709999084472656,17.480499982833862,-0.874072238332893
2023-05-10,76.08668518066406,58.06748962402344,16.940000534057617,17.37300000190735,-1.005047911313896
2023-05-11,75.09607696533203,58.39668655395508,16.93000030517578,17.32950005531311,-1.2545321669185503
2023-05-12,74.8779525756836,58.625301361083984,17.030000686645508,17.327500104904175,-1.3385045702498721
2023-05-15,75.38691711425781,58.46984100341797,17.1200008392334,17.33600010871887,-1.2128659513222968
2023-05-16,74.39628601074219,57.811439514160156,17.989999771118164,17.39400010108948,-1.2786736906071017
2023-05-17,76.25936889648438,57.747432708740234,16.8700008392334,17.414500188827514,-0.9127040920525229
2023-05-18,76.78648376464844,57.4273796081543,16.049999237060547,17.358500146865843,-0.7530039601199018
2023-05-19,74.74163818359375,57.45480728149414,16.809999465942383,17.36050009727478,-1.1467129583425886
2023-05-22,74.76890563964844,56.24773406982422,17.209999084472656,17.37650008201599,-0.9170305668384817
2023-05-23,75.10516357421875,56.147151947021484,18.530000686645508,17.365000104904176,-0.8344202225698094
2023-05-24,73.81462860107422,55.671634674072266,20.030000686645508,17.424500131607054,-0.9912366373495087
2023-05-25,75.43234252929688,55.241844177246094,19.139999389648438,17.530000066757204,-0.6038664373758785
2023-05-26,76.25028228759766,55.10467529296875,17.950000762939453,17.638500118255614,-0.4229113441299129
2023-05-30,75.8140640258789,54.66573715209961,17.459999084472656,17.707500076293947,-0.42417443694521884
2023-05-31,74.3053970336914,54.55599594116211,17.940000534057617,17.71550006866455,-0.6904749706733607
2023-06-01,74.5871353149414,54.866920471191406,15.649999618530273,17.58100004196167,-0.6947607377914458
2023-06-02,76.65925598144531,55.92768096923828,14.600000381469727,17.306500053405763,-0.49825760398978425
2023-06-05,76.10487365722656,55.55274963378906,14.729999542236328,17.183500003814697,-0.5338813635208951
2023-06-06,78.03157043457031,55.150390625,13.960000038146973,17.03250002861023,-0.0928931669145914
2023-06-07,78.61322021484375,55.06809616088867,13.9399995803833,16.84400005340576,0.03295081064460432
2023-06-08,78.44053649902344,55.205265045166016,13.649999618530273,16.679500007629393,-0.025378138531297466
2023-06-09,78.34967803955078,55.29670715332031,13.829999923706055,16.52449998855591,-0.05965219784073482
2023-06-12,79.46752166748047,55.05894470214844,15.010000228881836,16.423499965667723,0.19700654665291986
2023-06-13,80.23091888427734,55.278419494628906,14.609999656677246,16.297999906539918,0.3012650012704871
2023-06-14,79.95829010009766,55.65334701538086,13.880000114440918,16.092499923706054,0.17972211864778528
2023-06-15,80.93071746826172,56.41811752319336,14.5,15.973999881744385,0.22228707489532862
2023-06-16,80.05823516845703,56.823543548583984,13.539999961853027,15.84849991798401,-0.018925874677545824
2023-06-20,78.82225799560547,56.44575500488281,13.880000114440918,15.701999950408936,-0.18355029519139507
2023-06-21,78.46781158447266,56.602394104003906,13.199999809265137,15.50149998664856,-0.28004311655831293
2023-06-22,76.79557037353516,56.9893913269043,12.90999984741211,15.220499944686889,-0.6698168138732618
2023-06-23,75.95945739746094,56.390472412109375,13.4399995803833,14.890999889373779,-0.7173225341341368
2023-06-26,75.9685287475586,56.408897399902344,14.25,14.646499919891358,-0.7190254067082463
2023-06-27,76.7319564819336,56.28912353515625,13.739999771118164,14.435999870300293,-0.5516651754268317
2023-06-28,76.33207702636719,55.763912200927734,13.430000305175781,14.23449993133545,-0.529976619327982
2023-06-29,77.46810913085938,55.30320739746094,13.539999961853027,14.01449990272522,-0.2283968199145166
2023-06-30,77.61351013183594,55.48749542236328,13.59000015258789,13.9114999294281,-0.23503968513874254
2023-07-03,78.53143310546875,55.81919860839844,13.569999694824219,13.859999895095825,-0.12228781954499948
2023-07-05,78.08610534667969,56.23383331298828,14.180000305175781,13.832499933242797,-0.28403590252236116
2023-07-06,75.73225402832031,55.8007698059082,15.4399995803833,13.906499910354615,-0.6508235992013923
2023-07-07,75.75950622558594,55.063636779785156,14.829999923706055,13.950999927520751,-0.508547062600947
2023-07-10,75.79586791992188,54.64900207519531,15.069999694824219,14.021999931335449,-0.4245199589523668
2023-07-11,77.21363830566406,54.84250259399414,14.84000015258789,14.07249994277954,-0.19107183000307368
2023-07-12,77.94979095458984,55.13734817504883,13.539999961853027,13.9989999294281,-0.10600902153571563
2023-07-13,78.34967803955078,55.607276916503906,13.609999656677246,13.948999929428101,-0.11741426181542453
2023-07-14,77.95885467529297,56.11404800415039,13.34000015258789,13.92199993133545,-0.28594039394774107
2023-07-17,78.49507904052734,56.0311279296875,13.479999542236328,13.870999908447265,-0.16861282529315108
2023-07-18,83.55722045898438,55.80998229980469,13.300000190734863,13.858999919891357,0.8345400564950741
2023-07-19,84.66597747802734,56.7958869934082,13.760000228881836,13.852999925613403,0.86188528264035
2023-07-20,85.24763488769531,57.48695373535156,13.989999771118164,13.892499923706055,0.8438952671425974
2023-07-21,85.43849182128906,57.53302001953125,13.600000381469727,13.926999950408936,0.8715984688236182
2023-07-24,86.03831481933594,57.55145263671875,13.90999984741211,13.950499963760375,0.9821621638166737
2023-07-25,85.81109619140625,57.35795974731445,13.859999656677246,13.930999946594238,0.974968182314607
2023-07-26,85.0113296508789,58.095088958740234,13.1899995803833,13.903499937057495,0.6858817111818974
2023-07-27,84.29337310791016,57.53302001953125,14.40999984741211,13.952499914169312,0.6539771168649059
2023-07-28,83.99066925048828,57.56987380981445,13.329999923706055,13.941999912261963,0.589596144197084
2023-07-31,83.98149871826172,57.063114166259766,13.630000114440918,13.943999910354615,0.6821042627846235
2023-08-01,83.41283416748047,56.91567611694336,13.930000305175781,13.961999940872193,0.6014553859192484
2023-08-02,81.9269027709961,57.09074401855469,16.09000015258789,14.057499933242799,0.28650467675501823
2023-08-03,81.76180267333984,56.7958869934082,15.920000076293945,14.08149995803833,0.30996831548534887
2023-08-04,81.44078826904297,55.93898010253906,17.100000381469727,14.194999980926514,0.40833578741997695
2023-08-07,81.70679473876953,56.381263732910156,15.770000457763672,14.230000019073486,0.3766291676928719
