Date,QCOM,GILD,VIX,AvgVIX,zscore
2022-01-31,159.69772338867188,58.771060943603516,24.829999923706055,23.18100004196167,3.0209847723212793
2022-02-01,160.94253540039062,58.59135055541992,21.959999084472656,23.448999977111818,3.1143238623075495
2022-02-02,171.00083923339844,56.32368850708008,22.09000015258789,23.707999992370606,3.806159036985539
2022-02-03,162.73248291015625,55.95573043823242,24.350000381469727,23.939000034332274,3.0667686467920503
2022-02-04,163.0686492919922,54.680702209472656,23.219999313354492,24.119499969482423,2.998192936298556
2022-02-07,159.0889434814453,54.56089782714844,22.860000610351562,24.324499988555907,2.646692680277063
2022-02-08,162.26907348632812,54.50956344604492,21.440000534057617,24.426500034332275,2.9163264839176772
2022-02-09,167.13926696777344,54.2357292175293,19.959999084472656,24.503999996185303,3.314328666647129
2022-02-10,158.16217041015625,52.87512969970703,23.90999984741211,24.818499946594237,2.4380706057975976
2022-02-11,149.59396362304688,53.114715576171875,27.360000610351562,25.171000003814697,1.719341649130086
2022-02-14,150.03916931152344,52.29322814941406,28.329999923706055,25.62799997329712,1.6948249864187435
2022-02-15,157.18994140625,52.48149108886719,25.700000762939453,25.773499965667725,2.3243391665687385
2022-02-16,156.82650756835938,52.969261169433594,24.290000915527344,25.795499992370605,2.330372738318242
2022-02-17,151.55654907226562,52.447261810302734,28.110000610351562,25.92150001525879,1.8371299728239447
2022-02-18,152.3197479248047,52.24188995361328,27.75,25.866499996185304,1.8870778911893402
2022-02-22,150.72972106933594,52.18199157714844,28.809999465942383,25.811999988555907,1.7457216234704345
2022-02-23,146.84996032714844,52.49860763549805,31.020000457763672,25.805000019073486,1.4361890330855656
2022-02-24,152.62872314453125,51.8653678894043,30.31999969482422,25.723000049591064,1.884866135374102
2022-02-25,155.30908203125,52.30179214477539,27.59000015258789,25.57800006866455,2.148804721519098
2022-02-28,156.2722625732422,51.68567657470703,30.149999618530273,25.70250005722046,2.1845484067061602
2022-03-01,148.73077392578125,51.56586837768555,33.31999969482422,26.127000045776366,1.5266585618967397
2022-03-02,154.42413330078125,52.404483795166016,30.739999771118164,26.566000080108644,2.0805324232201654
2022-03-03,150.8657989501953,52.80666732788086,30.479999542236328,26.985500049591064,1.8051921517596228
