Date,WFC,KO,VIX,AvgVIX,zscore
2015-01-30,37.716617584228516,28.899126052856445,20.969999313354492,19.119499969482423,-0.7891495266929573
2015-02-02,38.3631591796875,29.193954467773438,19.43000030517578,19.201499938964844,-0.6085808710513875
2015-02-03,38.82809066772461,29.22203254699707,17.329999923706055,19.071999931335448,-0.47094675869535346
2015-02-04,38.77687072753906,29.25711441040039,18.329999923706055,18.932499885559082,-0.4877254586510949
2015-02-05,39.244869232177734,29.334327697753906,16.850000381469727,18.80949993133545,-0.3512555427864542
2015-02-06,39.81523895263672,29.09566307067871,17.290000915527344,18.823499965667725,-0.17084726899546093
2015-02-09,39.639747619628906,28.94124412536621,18.549999237060547,18.873499965667726,-0.21670998405925182
2015-02-10,39.90298080444336,29.76251983642578,17.229999542236328,18.754999923706055,-0.17287772947775795
2015-02-11,39.413047790527344,29.74146270751953,16.959999084472656,18.57499990463257,-0.3182741909831771
2015-02-12,40.115028381347656,29.601070404052734,15.34000015258789,18.267999935150147,-0.10272858388287169
2015-02-13,40.45871353149414,29.474721908569336,14.6899995803833,17.88299994468689,0.005240010359078439
2015-02-17,40.487953186035156,29.348365783691406,15.800000190734863,17.62549991607666,0.01931945339916576
2015-02-18,39.86641311645508,29.29221534729004,15.449999809265137,17.403499937057497,-0.16388766755195575
2015-02-19,39.89567184448242,29.5589656829834,15.289999961853027,17.22549991607666,-0.166443331948548
2015-02-20,40.09309005737305,29.46068572998047,14.300000190734863,17.12049994468689,-0.1033363920908517
2015-02-23,40.290531158447266,29.376455307006836,14.5600004196167,17.015499973297118,-0.04081735637583577
2015-02-24,40.487953186035156,29.5730037689209,13.6899995803833,16.9239999294281,0.009810181153256398
2015-02-25,40.45871353149414,29.516830444335938,13.84000015258789,16.754999971389772,0.0034574911200816543
2015-02-26,40.327091217041016,29.80463981628418,13.90999984741211,16.428499937057495,-0.048026692657938214
2015-02-27,40.063838958740234,30.39426612854004,13.34000015258789,16.157499933242796,-0.15159030021986838
2015-03-02,40.61958312988281,30.324081420898438,13.039999961853027,15.760999965667725,0.01731895356644555
2015-03-03,40.54645538330078,30.148584365844727,13.859999656677246,15.482499933242797,0.0029129881535035294
2015-03-04,40.08578872680664,29.83270835876465,14.229999542236328,15.327499914169312,-0.1212647690959977
2015-03-05,40.10041046142578,29.76251983642578,14.039999961853027,15.11299991607666,-0.11392771448981584
2015-03-06,39.9175910949707,29.144813537597656,15.199999809265137,15.03049988746643,-0.1423668203301724
2015-03-09,39.97611618041992,29.053556442260742,15.0600004196167,14.918999862670898,-0.12102891160873798
2015-03-10,38.967002868652344,28.562192916870117,16.690000534057617,14.825999927520751,-0.40153729201017857
2015-03-11,39.26681137084961,28.148046493530273,16.8700008392334,14.807999992370606,-0.29448678356881036
2015-03-12,40.64882278442383,28.714263916015625,15.420000076293945,14.73100004196167,0.09419560391920792
2015-03-13,40.46601867675781,28.24713706970215,16.0,14.764000034332275,0.059386793783727604
2015-03-16,40.75119400024414,28.516094207763672,15.609999656677246,14.810000038146972,0.1331511920038119
2015-03-17,40.88282012939453,28.671796798706055,15.65999984741211,14.803000020980836,0.16586196963759953
2015-03-18,41.072940826416016,28.735492706298828,13.970000267028809,14.729000043869018,0.21993327504366983
2015-03-19,40.590328216552734,28.32499122619629,14.069999694824219,14.668000030517579,0.09320837401606603
2015-03-20,40.9559440612793,28.770885467529297,13.020000457763672,14.604000043869018,0.18350128082011244
2015-03-23,40.78776168823242,28.7496395111084,13.40999984741211,14.54650001525879,0.1341835114313073
2015-03-24,40.473331451416016,28.64348030090332,13.619999885559082,14.543000030517579,0.04479247638493787
2015-03-25,39.88103485107422,28.62933349609375,15.4399995803833,14.623000001907348,-0.13146099056209257
2015-03-26,39.85179138183594,28.558547973632812,15.800000190734863,14.717500019073487,-0.13719626275178665
2015-03-27,39.57392501831055,28.367450714111328,15.069999694824219,14.803999996185302,-0.21207422605781687
2015-03-30,40.04922103881836,28.671796798706055,14.510000228881836,14.877500009536742,-0.08304024512831826
2015-03-31,39.77865982055664,28.700117111206055,15.289999961853027,14.949000024795533,-0.16502526794979513
2015-04-01,39.44230270385742,28.7921199798584,15.109999656677246,14.993000030517578,-0.26935190014135857
2015-04-02,39.75672912597656,28.7921199798584,14.670000076293945,15.024500036239624,-0.1754681210788307
2015-04-06,39.54468536376953,29.13892936706543,14.739999771118164,15.001500034332276,-0.2534627003161887
2015-04-07,39.50081253051758,29.02567481994629,14.779999732971191,14.9875,-0.26176833750149375
2015-04-08,39.48617935180664,28.94074249267578,13.979999542236328,14.851999950408935,-0.26254230445124627
2015-04-09,39.6251106262207,29.053993225097656,13.09000015258789,14.66299991607666,-0.22585324960607747
2015-04-10,39.72016906738281,28.933671951293945,12.579999923706055,14.520999908447266,-0.19237660840518803
2015-04-13,39.9175910949707,28.8062686920166,13.9399995803833,14.417999887466431,-0.128035695071945
2015-04-14,39.6251106262207,28.671796798706055,13.670000076293945,14.320999908447266,-0.20967428563318596
2015-04-15,40.07847213745117,28.59393882751465,12.84000015258789,14.179999923706054,-0.07101038664282383
2015-04-16,40.07847213745117,28.735492706298828,12.600000381469727,14.111499929428101,-0.0770025805696348
2015-04-17,39.522743225097656,28.52317237854004,13.890000343322754,14.102499961853027,-0.23394840457823407
2015-04-20,39.749420166015625,28.7779598236084,13.300000190734863,14.116499948501588,-0.17705106344520044
2015-04-21,39.6909065246582,28.86289405822754,13.25,14.10849995613098,-0.198117898662286
2015-04-22,39.97611618041992,29.238014221191406,12.710000038146973,14.062999963760376,-0.128837293774983
2015-04-23,40.115028381347656,28.98322105407715,12.479999542236328,13.914999961853027,-0.07657406834146185
2015-04-24,39.9980354309082,28.94074249267578,12.289999961853027,13.739499950408936,-0.10970851040077627
2015-04-27,40.19546127319336,28.898283004760742,13.119999885559082,13.641999959945679,-0.048962258848993516
2015-04-28,40.5172004699707,28.85580825805664,12.40999984741211,13.536999940872192,0.048903044358359654
2015-04-29,40.55377960205078,28.657642364501953,13.390000343322754,13.44199995994568,0.06821378139477972
2015-04-30,40.290531158447266,28.707176208496094,14.550000190734863,13.413999986648559,-0.012485740288140548
2015-05-01,40.35633087158203,28.95490837097168,12.699999809265137,13.315499973297118,-0.0033256570543479603
2015-05-04,40.75119400024414,28.99030113220215,12.850000381469727,13.221000003814698,0.1130772817932387
2015-05-05,40.74388122558594,28.84166145324707,14.3100004196167,13.197500038146973,0.11718592593342934
2015-05-06,40.431007385253906,28.7779598236084,15.149999618530273,13.25600004196167,0.026462316478586056
2015-05-07,40.35002517700195,28.8062686920166,15.130000114440918,13.358000040054321,0.0010836885438045558
2015-05-08,41.26288986206055,29.00444221496582,12.859999656677246,13.372000026702882,0.2652646231402791
2015-05-11,40.86536407470703,28.97614288330078,13.850000381469727,13.367500066757202,0.14776637205251308
2015-05-12,40.83591842651367,28.799192428588867,13.859999656677246,13.377000045776366,0.1464648570269489
