Date,AMAT,UPS,VIX,AvgVIX,zscore
2022-01-31,133.10206604003906,165.72381591796875,24.829999923706055,23.18100004196167,0.7497088298794766
2022-02-01,133.5162811279297,189.06497192382812,21.959999084472656,23.448999977111818,1.5213269457533158
2022-02-02,135.5872802734375,190.22872924804688,22.09000015258789,23.707999992370606,1.6306420992846347
2022-02-03,131.49343872070312,187.4258270263672,24.350000381469727,23.939000034332274,1.3982516997595373
2022-02-04,130.58802795410156,184.22950744628906,23.219999313354492,24.119499969482423,1.2632631326576775
2022-02-07,131.12742614746094,184.4507598876953,22.860000610351562,24.324499988555907,1.2890789160543883
2022-02-08,133.65113830566406,184.56556701660156,21.440000534057617,24.426500034332275,1.3800028614845672
2022-02-09,138.90086364746094,184.45899963378906,19.959999084472656,24.503999996185303,1.5579331865898733
2022-02-10,134.6336669921875,180.8611297607422,23.90999984741211,24.818499946594237,1.2937602341468026
2022-02-11,127.62117767333984,174.96844482421875,27.360000610351562,25.171000003814697,0.8602767305097676
2022-02-14,127.01435089111328,175.37826538085938,28.329999923706055,25.62799997329712,0.8526063903716743
2022-02-15,134.70106506347656,178.0582275390625,25.700000762939453,25.773499965667725,1.2051485142988096
2022-02-16,135.77992248535156,176.46005249023438,24.290000915527344,25.795499992370605,1.1905721200667674
2022-02-17,131.45492553710938,172.69009399414062,28.110000610351562,25.92150001525879,0.9188186254109364
2022-02-18,128.4495849609375,172.8304443359375,27.75,25.866499996185304,0.819532119826185
2022-02-22,125.69935607910156,172.5084686279297,28.809999465942383,25.811999988555907,0.7140599884244834
2022-02-23,123.38337707519531,168.80189514160156,31.020000457763672,25.805000019073486,0.5137783871434677
2022-02-24,128.7487335205078,171.0390625,30.31999969482422,25.723000049591064,0.7717466993442804
2022-02-25,130.9681854248047,173.31747436523438,27.59000015258789,25.57800006866455,0.9223562567937438
2022-02-28,129.5014190673828,173.70545959472656,30.149999618530273,25.70250005722046,0.8842649325244499
2022-03-01,125.0721206665039,169.7099609375,33.31999969482422,26.127000045776366,0.6015899522181944
2022-03-02,128.51715087890625,174.56402587890625,30.739999771118164,26.566000080108644,0.8781128809170677
2022-03-03,126.06604766845703,175.36476135253906,30.479999542236328,26.985500049591064,0.8194025853581813
2022-03-04,121.33761596679688,173.6807098388672,31.979999542236328,27.367000007629393,0.6013871250562026
2022-03-07,115.0458984375,166.0776824951172,36.45000076293945,28.028500080108643,0.13731541155991747
2022-03-08,119.80330657958984,167.9185791015625,35.130001068115234,28.642000102996825,0.36142091768502393
2022-03-09,124.11676788330078,170.70057678222656,32.45000076293945,29.192500114440918,0.6007213439652158
2022-03-10,120.59457397460938,171.03077697753906,30.229999542236328,29.706000137329102,0.48973627862723207
2022-03-11,119.31114959716797,168.3230743408203,30.75,30.048000144958497,0.3575398549989688
2022-03-14,115.92401885986328,168.65328979492188,31.770000457763672,30.268500137329102,0.25122197211790603
2022-03-15,120.05418395996094,173.79629516601562,29.829999923706055,30.3435001373291,0.5607923056817107
2022-03-16,125.91167449951172,179.8803253173828,26.670000076293945,30.392000102996825,0.9605766375948753
2022-03-17,127.36878967285156,183.5291290283203,25.670000076293945,30.461000061035158,1.129308526888416
2022-03-18,130.4084930419922,181.43226623535156,23.8700008392334,30.249000072479248,1.1663030844399704
2022-03-21,129.5014190673828,180.42518615722656,23.530000686645508,30.038000106811523,1.1022871507807475
2022-03-22,130.7366180419922,180.30963134765625,22.940000534057617,29.744500160217285,1.1412164180404882
2022-03-23,126.8187484741211,177.1396484375,23.56999969482422,29.37200012207031,0.9029962119572499
2022-03-24,133.73770141601562,177.20567321777344,21.670000076293945,28.9395001411438,1.1442012702916886
2022-03-25,132.2612762451172,177.77529907226562,20.809999465942383,28.600500106811523,1.111669564522047
2022-03-28,132.8402557373047,181.24244689941406,19.6299991607666,28.07450008392334,1.2441663655249842
2022-03-29,136.4879150390625,183.6364288330078,18.899999618530273,27.353500080108642,1.4478728657715265
2022-03-30,131.04537963867188,181.77903747558594,19.329999923706055,26.78300008773804,1.1995597464101169
2022-03-31,127.1854476928711,177.04055786132812,20.559999465942383,26.28700008392334,0.9124513578683444
2022-04-01,122.94915771484375,170.5850067138672,19.6299991607666,25.669500064849853,0.5566285270774894
2022-04-04,124.90807342529297,169.40452575683594,18.56999969482422,24.77550001144409,0.5860119347433168
2022-04-05,117.44871520996094,162.80035400390625,21.030000686645508,24.070499992370607,0.11400400485316527
2022-04-06,115.15204620361328,160.472412109375,22.100000381469727,23.55299997329712,-0.04088055603722785
2022-04-07,118.11455535888672,159.07728576660156,21.549999237060547,23.11899995803833,0.016214706965395995
2022-04-08,115.75997161865234,157.6491241455078,21.15999984741211,22.639499950408936,-0.11147745388870822
2022-04-11,112.17023468017578,157.5418243408203,24.3700008392334,22.26949996948242,-0.23899099075315777
2022-04-12,110.54905700683594,155.10655212402344,24.260000228881836,21.99099998474121,-0.374018395020283
2022-04-13,112.76852416992188,155.9155731201172,21.81999969482422,21.748499965667726,-0.2710828479672334
2022-04-14,109.39105987548828,155.21389770507812,22.700000762939453,21.6,-0.4105465422070497
2022-04-18,110.84821319580078,154.50393676757812,22.170000076293945,21.51499996185303,-0.383233901410605
2022-04-19,112.96151733398438,157.41799926757812,21.3700008392334,21.40699996948242,-0.21566819943130597
2022-04-20,113.762451171875,157.20339965820312,20.31999969482422,21.27599992752075,-0.19495713063627204
