Date,V,TXN,VIX,AvgVIX,zscore
2020-01-30,198.7440948486328,104.39791107177734,15.489999771118164,13.696000051498412,1.1795975392725075
2020-01-31,189.92420959472656,101.2345962524414,18.84000015258789,14.014500045776368,0.7256711106060578
2020-02-03,191.68051147460938,103.54204559326172,17.969999313354492,14.211999988555908,0.7431296791242437
2020-02-04,194.3054962158203,106.1180419921875,16.049999237060547,14.32199993133545,0.8071660732578076
2020-02-05,193.58963012695312,111.12731170654297,15.149999618530273,14.389999914169312,0.5413807315591198
2020-02-06,193.8091583251953,111.1944580078125,14.960000038146973,14.465499925613404,0.5531828638379802
2020-02-07,193.5228271484375,107.98915100097656,15.470000267028809,14.611999940872192,0.6733338190969582
2020-02-10,196.62503051757812,108.7862777709961,15.039999961853027,14.735999917984008,0.8467091158354952
2020-02-11,194.668212890625,109.66730499267578,15.180000305175781,14.878999948501587,0.6771838259430856
2020-02-12,198.00914001464844,111.11053466796875,13.739999771118164,14.946499919891357,0.8384781132346881
2020-02-13,198.2576141357422,111.4377670288086,14.149999618530273,15.032999897003174,0.8409139820726574
2020-02-14,201.0202178955078,110.934326171875,13.680000305175781,15.100999927520752,1.048058775949067
2020-02-18,201.89010620117188,110.12040710449219,14.829999923706055,15.237499904632568,1.1417780982865178
2020-02-19,203.90713500976562,111.70628356933594,14.380000114440918,15.313999891281128,1.2080914366934905
2020-02-20,202.12911987304688,110.31340789794922,15.5600004196167,15.446499919891357,1.1494153313889757
2020-02-21,199.60549926757812,107.83812713623047,17.079999923706055,15.651499938964843,1.0877976628314936
2020-02-24,190.02720642089844,101.89747619628906,25.030000686645508,16.174999952316284,0.7037589979420833
2020-02-25,180.09521484375,99.32988739013672,27.850000381469727,16.655999994277956,0.14935637747521932
2020-02-26,178.9576416015625,99.67391967773438,27.559999465942383,17.219999933242796,0.05811488752336688
2020-02-27,172.0749969482422,94.92472839355469,39.15999984741211,18.35849995613098,-0.19695545615173285
2020-02-28,173.74789428710938,95.77222442626953,40.11000061035156,19.589499998092652,-0.12161784264182007
2020-03-02,183.85194396972656,99.824951171875,33.41999816894531,20.318499898910524,0.37975584158121856
2020-03-03,177.54286193847656,95.49531555175781,36.81999969482422,21.26099991798401,0.14490768872826434
2020-03-04,185.7255401611328,99.89207458496094,31.989999771118164,22.05799994468689,0.5024791442229976
2020-03-05,178.71864318847656,96.25886535644531,39.619998931884766,23.281499910354615,0.19055878234932608
2020-03-06,176.2332763671875,94.9499282836914,41.939998626708984,24.630499839782715,0.08079910255238983
2020-03-09,163.58644104003906,88.13661193847656,54.459999084472656,26.57999978065491,-0.4710735196455032
2020-03-10,174.55087280273438,94.0772705078125,47.29999923706055,28.192999744415282,0.005917928041334163
2020-03-11,165.32623291015625,89.3616714477539,53.900001525878906,30.12899980545044,-0.4076647522710299
2020-03-12,153.02354431152344,81.83513641357422,75.47000122070312,33.21549987792969,-0.905451756447816
2020-03-13,168.07931518554688,88.9756851196289,57.83000183105469,35.39949998855591,-0.2062648438206497
2020-03-16,145.3092498779297,78.45366668701172,82.69000244140625,38.850000095367434,-1.2757539759421543
2020-03-17,150.9300994873047,89.06800842285156,75.91000366210938,41.9040002822876,-1.3602882012773574
2020-03-18,141.9348602294922,83.90766906738281,76.44999694824219,45.007500123977664,-1.739152232711846
2020-03-19,145.53866577148438,85.22502136230469,72.0,47.829500102996825,-1.5547570058875053
2020-03-20,140.3576202392578,81.89388275146484,66.04000091552734,50.27750015258789,-1.7573702077571283
2020-03-23,129.7564697265625,82.59870910644531,61.59000015258789,52.10550012588501,-2.4989155667596905
2020-03-24,147.71815490722656,88.40513610839844,61.66999816894531,53.796500015258786,-1.5468594036249694
2020-03-25,154.64859008789062,83.20285034179688,63.95000076293945,55.61600008010864,-0.8559397090778111
2020-03-26,161.4356231689453,90.41890716552734,61.0,56.708000087738036,-0.7145289792883082
2020-03-27,154.4383087158203,84.32719421386719,65.54000091552734,57.97950010299682,-0.9189222844838295
2020-03-30,158.2715606689453,85.60259246826172,57.08000183105469,59.16250028610229,-0.7173166374524077
2020-03-31,154.01768493652344,83.84893035888672,53.540000915527344,59.99850034713745,-0.9263361839095644
2020-04-01,146.36082458496094,81.29814910888672,57.060001373291016,61.252000427246095,-1.3289014540473931
2020-04-02,150.45213317871094,85.60259246826172,50.90999984741211,61.81650047302246,-1.241679766094316
2020-04-03,145.1563720703125,83.89087677001953,46.79999923706055,62.059500503540036,-1.5223907602166167
2020-04-06,161.97093200683594,91.42578125,45.2400016784668,61.598500633239745,-0.7224059599843642
2020-04-07,161.15841674804688,89.16026306152344,46.70000076293945,61.568500709533694,-0.678398098636463
2020-04-08,167.22850036621094,92.44107818603516,43.349998474121094,61.041000556945804,-0.41397904147656805
2020-04-09,166.0336151123047,90.36016082763672,41.66999816894531,59.35100040435791,-0.4036381336531101
2020-04-13,161.54080200195312,90.34339141845703,41.16999816894531,58.51800022125244,-0.7041927118165224
2020-04-14,166.922607421875,93.09556579589844,37.7599983215332,56.27150001525879,-0.4629460404340465
2020-04-15,158.64434814453125,90.60350799560547,40.84000015258789,54.51799983978272,-0.909734738478622
2020-04-16,155.2603759765625,93.4647445678711,40.11000061035156,52.70100002288818,-1.2610540278061884
2020-04-17,162.06654357910156,95.27716064453125,38.150001525878906,51.00850009918213,-0.8834346478826689
2020-04-20,156.98104858398438,93.58221435546875,43.83000183105469,49.898000144958495,-1.1507744599078709
2020-04-21,153.45372009277344,89.64695739746094,45.40999984741211,49.089000129699706,-1.216226726939247
2020-04-22,159.24655151367188,93.95980072021484,41.97999954223633,48.104500198364256,-1.0152677810000739
2020-04-23,159.0458526611328,92.68441009521484,41.380001068115234,46.976000213623045,-0.9732783160459085
2020-04-24,159.9444122314453,95.59600067138672,35.93000030517578,45.722500228881835,-1.0396043936135018
2020-04-27,164.18870544433594,97.1482925415039,33.290000915527344,44.11000022888184,-0.8224727873845614
2020-04-28,163.70115661621094,95.85610961914062,33.56999969482422,42.93450012207031,-0.798989148053363
