Date,WFC,META,VIX,AvgVIX,zscore
2020-01-30,40.615787506103516,207.8985137939453,15.489999771118164,13.696000051498412,2.84998058773819
2020-01-31,39.7934684753418,200.33786010742188,18.84000015258789,14.014500045776368,2.612377877178699
2020-02-03,39.9460563659668,202.60009765625,17.969999313354492,14.211999988555908,2.6652016106252416
2020-02-04,40.06474304199219,208.1962127685547,16.049999237060547,14.32199993133545,2.745286639179252
2020-02-05,40.95489501953125,208.47398376464844,15.149999618530273,14.389999914169312,2.9221200360451776
2020-02-06,41.1091194152832,209.20823669433594,14.960000038146973,14.465499925613404,2.95973192033997
2020-02-07,40.98916244506836,210.67672729492188,15.470000267028809,14.611999940872192,2.951209339702739
2020-02-10,40.929176330566406,211.4010009765625,15.039999961853027,14.735999917984008,2.9468451977987047
2020-02-11,41.117679595947266,205.5767364501953,15.180000305175781,14.878999948501587,2.924491580367268
2020-02-12,40.946327209472656,209.1189422607422,13.739999771118164,14.946499919891357,2.9270010884045075
2020-02-13,41.229068756103516,211.4803924560547,14.149999618530273,15.032999897003174,3.0062761779844283
2020-02-14,41.31473922729492,212.51231384277344,13.680000305175781,15.100999927520752,3.0335126712748077
2020-02-18,40.26089859008789,216.1041259765625,14.829999923706055,15.237499904632568,2.8640146599776655
2020-02-19,40.3465690612793,215.79652404785156,14.380000114440918,15.313999891281128,2.877635078477461
2020-02-20,40.560768127441406,212.90919494628906,15.5600004196167,15.446499919891357,2.890158116876653
2020-02-21,40.86921310424805,208.54345703125,17.079999923706055,15.651499938964843,2.9060768345130175
2020-02-24,39.746795654296875,199.15711975097656,25.030000686645508,16.174999952316284,2.59125205037977
2020-02-25,38.6586799621582,195.2378692626953,27.850000381469727,16.655999994277956,2.3387048926026646
2020-02-26,37.81901168823242,195.66453552246094,27.559999465942383,17.219999933242796,2.178900729515965
2020-02-27,36.38816833496094,188.27252197265625,39.15999984741211,18.35849995613098,1.8240558492587104
2020-02-28,35.000144958496094,190.97134399414062,40.11000061035156,19.589499998092652,1.5801535513741292
2020-03-02,36.20823287963867,194.9104461669922,33.41999816894531,20.318499898910524,1.8563550722799582
2020-03-03,34.72597885131836,184.44259643554688,36.81999969482422,21.26099991798401,1.4601947988273325
2020-03-04,35.47139358520508,190.26690673828125,31.989999771118164,22.05799994468689,1.6651143021372687
2020-03-05,33.329383850097656,183.7281951904297,39.619998931884766,23.281499910354615,1.179921934421088
2020-03-06,31.778594970703125,179.67996215820312,41.939998626708984,24.630499839782715,0.835618781072915
2020-03-09,27.82875633239746,168.18020629882812,54.459999084472656,26.57999978065491,-0.05340238951765699
2020-03-10,30.05643081665039,176.8025665283203,47.29999923706055,28.192999744415282,0.46971601977709476
2020-03-11,27.700244903564453,168.91444396972656,53.900001525878906,30.12899980545044,-0.07106080691897632
2020-03-12,23.30487060546875,153.26727294921875,75.47000122070312,33.21549987792969,-1.0893347002142042
2020-03-13,26.466453552246094,168.95413208007812,57.83000183105469,35.39949998855591,-0.3118430510685208
2020-03-16,22.705120086669922,144.87310791015625,82.69000244140625,38.850000095367434,-1.2919015031806096
2020-03-17,25.386890411376953,148.25656127929688,75.91000366210938,41.9040002822876,-0.7332677024523738
2020-03-18,24.09312629699707,145.81573486328125,76.44999694824219,45.007500123977664,-1.010987720700897
2020-03-19,24.23878288269043,151.93768310546875,72.0,47.829500102996825,-0.9202855005946806
2020-03-20,22.705120086669922,148.56414794921875,66.04000091552734,50.27750015258789,-1.254382576374331
2020-03-23,21.634117126464844,146.94686889648438,61.59000015258789,52.10550012588501,-1.4801852491496053
2020-03-24,24.778562545776367,159.7265167236328,61.66999816894531,53.796500015258786,-0.7355951141802626
2020-03-25,24.821401596069336,154.99368286132812,63.95000076293945,55.61600008010864,-0.7753294143040914
2020-03-26,26.475021362304688,162.06814575195312,61.0,56.708000087738036,-0.3801633140426994
2020-03-27,25.943809509277344,155.5691375732422,65.54000091552734,57.97950010299682,-0.5500679336826767
2020-03-30,25.635356903076172,164.65785217285156,57.08000183105469,59.16250028610229,-0.5179797183756496
2020-03-31,24.590068817138672,165.50125122070312,53.540000915527344,59.99850034713745,-0.713743098577153
2020-04-01,22.765090942382812,158.35728454589844,57.060001373291016,61.252000427246095,-1.1431133528486095
2020-04-02,23.322010040283203,156.95826721191406,50.90999984741211,61.81650047302246,-1.048465764557388
2020-04-03,22.473777770996094,152.9794921875,46.79999923706055,62.059500503540036,-1.254724765778619
