Date,MS,AVGO,VIX,AvgVIX,zscore
2020-01-30,44.35104751586914,27.06022834777832,15.489999771118164,13.696000051498412,0.5233356602263319
2020-01-31,43.06549835205078,26.198280334472656,18.84000015258789,14.014500045776368,0.5750796492236286
2020-02-03,43.3456916809082,26.204296112060547,17.969999313354492,14.211999988555908,0.6116858916499207
2020-02-04,44.5158576965332,26.75115966796875,16.049999237060547,14.32199993133545,0.6271817469492665
2020-02-05,45.31520462036133,27.247379302978516,15.149999618530273,14.389999914169312,0.6054703590744839
2020-02-06,45.331668853759766,27.445695877075195,14.960000038146973,14.465499925613404,0.5554946527312152
2020-02-07,45.348167419433594,27.062801361083984,15.470000267028809,14.611999940872192,0.6585653676155565
2020-02-10,45.611854553222656,26.974376678466797,15.039999961853027,14.735999917984008,0.7177894324319894
2020-02-11,45.96620559692383,27.48604393005371,15.180000305175781,14.878999948501587,0.6313576121209925
2020-02-12,46.29583740234375,27.875810623168945,13.739999771118164,14.946499919891357,0.5736548407951391
2020-02-13,46.08982467651367,27.81313705444336,14.149999618530273,15.032999897003174,0.5620782583262187
2020-02-14,46.01565170288086,27.280860900878906,13.680000305175781,15.100999927520752,0.6921249253700419
2020-02-18,45.751956939697266,26.678194046020508,14.829999923706055,15.237499904632568,0.8148747595593966
2020-02-19,46.40296936035156,27.1022891998291,14.380000114440918,15.313999891281128,0.7919368874847728
2020-02-20,44.293365478515625,26.548553466796875,15.5600004196167,15.446499919891357,0.650205409037506
2020-02-21,43.197357177734375,26.141618728637695,17.079999923706055,15.651499938964843,0.6079718425651388
2020-02-24,40.93943405151367,25.034143447875977,25.030000686645508,16.174999952316284,0.5918325498898085
2020-02-25,39.57971954345703,24.26835823059082,27.850000381469727,16.655999994277956,0.6081466885808011
2020-02-26,38.92871856689453,24.543075561523438,27.559999465942383,17.219999933242796,0.4470781384556969
2020-02-27,37.42067337036133,23.518871307373047,39.15999984741211,18.35849995613098,0.5112205098288277
2020-02-28,37.1075439453125,23.40469741821289,40.11000061035156,19.589499998092652,0.4986047646828416
2020-03-02,38.30242156982422,24.46495246887207,33.41999816894531,20.318499898910524,0.38228499852729764
2020-03-03,36.58838653564453,23.54462432861328,36.81999969482422,21.26099991798401,0.39099883626958515
2020-03-04,37.28059768676758,24.506160736083984,31.989999771118164,22.05799994468689,0.23215986553576415
2020-03-05,35.09681701660156,23.526601791381836,39.619998931884766,23.281499910354615,0.19244385150100915
2020-03-06,34.47878646850586,23.132543563842773,41.939998626708984,24.630499839782715,0.21196796480797891
2020-03-09,30.9023494720459,21.267000198364258,54.459999084472656,26.57999978065491,0.21572640992373465
2020-03-10,32.55046081542969,22.570222854614258,47.29999923706055,28.192999744415282,0.09720522373873522
2020-03-11,30.383182525634766,21.11676597595215,53.900001525878906,30.12899980545044,0.1845230320110708
2020-03-12,25.8013973236084,18.782472610473633,75.47000122070312,33.21549987792969,0.174681762402835
2020-03-13,30.9023494720459,20.10801124572754,57.83000183105469,35.39949998855591,0.5209058722585026
2020-03-16,26.081581115722656,16.103927612304688,82.69000244140625,38.850000095367434,0.9181724887302989
2020-03-17,27.845077514648438,17.128122329711914,75.91000366210938,41.9040002822876,0.8888505705821026
2020-03-18,25.339929580688477,14.4118013381958,76.44999694824219,45.007500123977664,1.2626481973263297
2020-03-19,25.480012893676758,16.693723678588867,72.0,47.829500102996825,0.6808765770245384
2020-03-20,24.44993782043457,16.782777786254883,66.04000091552734,50.27750015258789,0.5170282693492494
