Date,INTC,HD,VIX,AvgVIX,zscore
2022-01-31,45.278907775878906,329.4834289550781,24.829999923706055,23.18100004196167,1.2732615143572017
2022-02-01,45.39948272705078,331.0276184082031,21.959999084472656,23.448999977111818,1.2918161592297919
2022-02-02,45.918861389160156,335.5436706542969,22.09000015258789,23.707999992370606,1.3629740200787206
2022-02-03,44.778072357177734,327.5350646972656,24.350000381469727,23.939000034332274,1.2145227545702215
2022-02-04,44.86685562133789,322.9202880859375,23.219999313354492,24.119499969482423,1.2045737518691255
2022-02-07,45.02572250366211,320.8372497558594,22.860000610351562,24.324499988555907,1.212117935929082
2022-02-08,45.61448287963867,324.5094299316406,21.440000534057617,24.426500034332275,1.2868408759184224
2022-02-09,46.64247131347656,327.14007568359375,19.959999084472656,24.503999996185303,1.4017873716930176
2022-02-10,45.66120529174805,318.8081970214844,23.90999984741211,24.818499946594237,1.2681706621476128
2022-02-11,44.51174545288086,314.4987487792969,27.360000610351562,25.171000003814697,1.1340261087977868
2022-02-14,44.46500778198242,315.6389465332031,28.329999923706055,25.62799997329712,1.1339715709255327
2022-02-15,45.268699645996094,317.1651916503906,25.700000762939453,25.773499965667725,1.2216605212916518
2022-02-16,45.07244873046875,314.3191223144531,24.290000915527344,25.795499992370605,1.1900947285656138
2022-02-17,44.455665588378906,312.3888244628906,28.110000610351562,25.92150001525879,1.1196832316723282
2022-02-18,42.09130096435547,311.4281005859375,27.75,25.866499996185304,0.8762008251959649
2022-02-22,41.76421356201172,283.8649597167969,28.809999465942383,25.811999988555907,0.7299152948056659
2022-02-23,41.726829528808594,276.9337463378906,31.020000457763672,25.805000019073486,0.6976749735229164
2022-02-24,43.66130828857422,281.2342834472656,30.31999969482422,25.723000049591064,0.9113148142329656
2022-02-25,44.58650588989258,284.2958984375,27.59000015258789,25.57800006866455,1.0176165046343604
2022-02-28,44.577152252197266,283.5596923828125,30.149999618530273,25.70250005722046,1.013646717419579
2022-03-01,43.75476837158203,287.5280456542969,33.31999969482422,26.127000045776366,0.9466195555616116
2022-03-02,45.670555114746094,293.92059326171875,30.739999771118164,26.566000080108644,1.1669534447918843
2022-03-03,44.79209899902344,291.2181701660156,30.479999542236328,26.985500049591064,1.066861724668181
2022-03-04,44.92292785644531,291.1282958984375,31.979999542236328,27.367000007629393,1.0797473260788855
2022-03-07,44.55845642089844,289.79058837890625,36.45000076293945,28.028500080108643,1.0373306463838803
2022-03-08,44.39024353027344,284.37677001953125,35.130001068115234,28.642000102996825,0.9980647453361827
2022-03-09,44.51174545288086,286.5083923339844,32.45000076293945,29.192500114440918,1.0191247356180528
2022-03-10,43.60523986816406,287.1767578125,30.229999542236328,29.706000137329102,0.9300284692891468
2022-03-11,42.82958221435547,286.1379699707031,30.75,30.048000144958497,0.8471807507662319
2022-03-14,41.493202209472656,287.55609130859375,31.770000457763672,30.268500137329102,0.7176108037489888
2022-03-15,41.8763542175293,296.7511291503906,29.829999923706055,30.3435001373291,0.7941746607946076
2022-03-16,43.577205657958984,298.8918151855469,26.670000076293945,30.392000102996825,0.9752789785815259
2022-03-17,44.05381393432617,303.8144836425781,25.670000076293945,30.461000061035158,1.0437728579151961
2022-03-18,44.34352111816406,307.7706604003906,23.8700008392334,30.249000072479248,1.0893639248207505
2022-03-21,44.28744888305664,297.5007629394531,23.530000686645508,30.038000106811523,1.0415248510278559
2022-03-22,45.221981048583984,297.8259582519531,22.940000534057617,29.744500160217285,1.1375391485396742
2022-03-23,45.109840393066406,286.3728332519531,23.56999969482422,29.37200012207031,1.0791624790990673
2022-03-24,48.240516662597656,285.22576904296875,21.670000076293945,28.9395001411438,1.3916289388369354
2022-03-25,48.436771392822266,280.6192626953125,20.809999465942383,28.600500106811523,1.3926020392591953
2022-03-28,48.13772201538086,283.8708190917969,19.6299991607666,28.07450008392334,1.3756524874654634
2022-03-29,48.82927322387695,286.9689636230469,18.899999618530273,27.353500080108642,1.4584329403236684
2022-03-30,48.062950134277344,278.614013671875,19.329999923706055,26.78300008773804,1.3464978291600802
2022-03-31,46.31538391113281,270.3674011230469,20.559999465942383,26.28700008392334,1.1355957037142368
2022-04-01,44.96031188964844,272.67974853515625,19.6299991607666,25.669500064849853,1.0078028590775692
2022-04-04,45.97895050048828,276.01275634765625,18.56999969482422,24.77550001144409,1.1246853255630551
2022-04-05,44.97900390625,275.3623352050781,21.030000686645508,24.070499992370607,1.0207086956839089
2022-04-06,44.42763137817383,269.6538391113281,22.100000381469727,23.55299997329712,0.941414448133388
2022-04-07,44.44632339477539,273.4565734863281,21.549999237060547,23.11899995803833,0.9589185294862385
2022-04-08,43.94167709350586,281.0075988769531,21.15999984741211,22.639499950408936,0.9387890017170473
2022-04-11,43.52113342285156,277.0423889160156,24.3700008392334,22.26949996948242,0.8799055418918506
2022-04-12,43.455718994140625,276.6540222167969,24.260000228881836,21.99099998474121,0.8716840140911897
2022-04-13,43.93232345581055,280.3843688964844,21.81999969482422,21.748499965667726,0.9352829851616201
2022-04-14,42.6800537109375,275.0552062988281,22.700000762939453,21.6,0.7865365881590569
2022-04-18,43.586544036865234,271.1622619628906,22.170000076293945,21.51499996185303,0.8623943017873845
2022-04-19,44.79209899902344,278.0179138183594,21.3700008392334,21.40699996948242,1.0126742196382408
2022-04-20,44.96031188964844,284.647705078125,20.31999969482422,21.27599992752075,1.0569317311456765
2022-04-21,44.39024353027344,280.3302001953125,22.68000030517578,21.23149995803833,0.9814534374245152
2022-04-22,43.49309539794922,271.0718994140625,28.209999084472656,21.558499908447267,0.8525558882349421
2022-04-25,43.97905731201172,275.43463134765625,27.020000457763672,21.86899995803833,0.9196988450470148
2022-04-26,42.539878845214844,270.9364318847656,33.52000045776367,22.563500022888185,0.7554274764067621
2022-04-27,42.25951385498047,272.4176940917969,31.600000381469727,23.198500061035155,0.7331037596238134
2022-04-28,43.77345275878906,281.59478759765625,29.989999771118164,23.73150005340576,0.9241562811224305
2022-04-29,40.736228942871094,271.3338317871094,33.400001525878906,24.37350015640259,0.5743273666141793
2022-05-02,42.016536712646484,277.2681884765625,32.34000015258789,25.00900020599365,0.7283986956040167
2022-05-03,42.109989166259766,275.45269775390625,29.25,25.54300022125244,0.7304139025876468
2022-05-04,43.49309539794922,284.8012390136719,25.420000076293945,25.762500190734862,0.9089152981598633
2022-05-05,42.00957489013672,270.168701171875,31.200000762939453,26.21750020980835,0.6985497402939875
2022-05-06,41.72699737548828,265.8331604003906,30.190000534057617,26.6495002746582,0.6521236924274785
2022-05-09,40.56843566894531,268.2899475097656,34.75,27.3290002822876,0.5448326384772798
2022-05-10,41.45384216308594,262.9878845214844,32.9900016784668,27.76000032424927,0.6127698257125596
2022-05-11,40.342376708984375,255.58135986328125,32.560001373291016,28.175000381469726,0.46976095606348606
2022-05-12,40.35179901123047,261.66009521484375,31.770000457763672,28.6725004196167,0.49566896581776054
2022-05-13,41.06765365600586,267.3867492675781,28.8700008392334,28.981000423431396,0.5917017711049515
2022-05-16,40.57786178588867,267.3505554199219,27.469999313354492,29.246000385284425,0.5419313808620166
2022-05-17,41.821197509765625,271.8306579589844,26.100000381469727,29.48250036239624,0.68628723331684
2022-05-18,39.8902587890625,257.5865173339844,30.959999084472656,30.01450033187866,0.4321872077212638
2022-05-19,39.57000732421875,259.9169006347656,29.350000381469727,30.34800033569336,0.40930818206177355
2022-05-20,39.230918884277344,259.4020690917969,29.43000030517578,30.409000396728516,0.37284103952392655
2022-05-23,39.56058883666992,258.35430908203125,28.479999542236328,30.48200035095215,0.4019394839644494
2022-05-24,39.24974822998047,260.06146240234375,29.450000762939453,30.278500366210938,0.37745551109290015
2022-05-25,39.74897384643555,265.1647644042969,28.3700008392334,30.117000389099122,0.4489823061743238
2022-05-26,40.95462417602539,273.5106506347656,27.5,29.992500400543214,0.6053893491133974
2022-05-27,41.96247863769531,278.614013671875,25.719999313354492,29.608500289916993,0.7284466203670185
2022-05-31,41.84002685546875,273.4565734863281,26.190000534057617,29.301000308990478,0.6948693117341098
2022-06-01,41.54803466796875,270.12982177734375,25.690000534057617,29.12300033569336,0.6516305578599724
2022-06-02,42.235633850097656,278.0194091796875,24.719999313354492,29.088000297546387,0.7536796601826835
2022-06-03,40.86985778808594,277.30133056640625,24.790000915527344,28.76750030517578,0.6123623646027815
2022-06-06,40.822750091552734,276.2196960449219,25.06999969482422,28.51150026321411,0.6031496409872423
2022-06-07,41.0017204284668,274.2926940917969,24.020000457763672,27.975000286102294,0.6133710817101472
2022-06-08,38.83530044555664,270.4387512207031,23.959999084472656,27.523500156402587,0.37806608732059716
2022-06-09,37.68616485595703,272.5566101074219,26.09000015258789,27.200000095367432,0.27033870052375836
2022-06-10,36.90437316894531,262.9036560058594,27.75,26.999000072479248,0.15150808265487936
2022-06-13,35.57626724243164,257.3773193359375,34.02000045776367,27.256500053405762,-0.005730838901186647
2022-06-14,35.72697448730469,253.29611206054688,32.689998626708984,27.517500019073488,-0.007215876403146897
2022-06-15,36.4051628112793,254.2595977783203,29.6200008392334,27.69350004196167,0.06544790773085955
2022-06-16,35.17124938964844,248.5604248046875,32.95000076293945,27.79300012588501,-0.08295767801108361
2022-06-17,34.82273483276367,246.07907104492188,31.1299991607666,27.882000064849855,-0.1284524408251647
2022-06-21,35.538597106933594,244.68838500976562,30.190000534057617,27.920000076293945,-0.061635787749218046
2022-06-22,35.20892333984375,244.4884033203125,28.950000762939453,27.943500137329103,-0.0958566411329874
2022-06-23,35.2371826171875,250.34202575683594,29.049999237060547,27.923500061035156,-0.0689643152517333
2022-06-24,36.36747741699219,257.2318115234375,27.229999542236328,27.866499996185304,0.07383096293925598
2022-06-27,36.38632583618164,256.9500732421875,26.950000762939453,27.839000034332276,0.0745839894201665
2022-06-28,35.58568572998047,245.55191040039062,28.360000610351562,27.971000099182127,-0.05332034197003866
2022-06-29,35.1241455078125,248.93313598632812,28.15999984741211,28.069500064849855,-0.08619987616154286
2022-06-30,35.2371826171875,249.2967071533203,28.709999084472656,28.220499992370605,-0.07325538396995186
2022-07-01,34.22932434082031,253.6687774658203,26.700000762939453,28.319500064849855,-0.1574160628238279
2022-07-05,34.55899429321289,257.8953857421875,27.540000915527344,28.457000064849854,-0.10666615567627015
2022-07-06,34.841575622558594,257.7589111328125,26.729999542236328,28.54000005722046,-0.0785974978479799
2022-07-07,35.924781799316406,260.5857849121094,26.079999923706055,28.643000030517577,0.04274874285664499
2022-07-08,35.78349685668945,260.3858337402344,24.639999389648438,28.677000045776367,0.027614070760419638
2022-07-11,35.039371490478516,260.3131408691406,26.170000076293945,28.68100004196167,-0.0480731944097083
2022-07-12,35.04879379272461,259.1587829589844,27.290000915527344,28.65800008773804,-0.051857280564692756
2022-07-13,35.04879379272461,261.03125,26.81999969482422,28.298000049591064,-0.044170739142226724
2022-07-14,35.519752502441406,263.1217346191406,26.399999618530273,27.98350009918213,0.012124559283624832
2022-07-15,36.37690353393555,265.7850036621094,24.229999542236328,27.714000034332276,0.10989708914462257
2022-07-18,36.461673736572266,266.3667297363281,25.299999237060547,27.33149995803833,0.12087333674234652
2022-07-19,37.88397216796875,272.52935791015625,24.5,27.0,0.29026709151306923
2022-07-20,38.2042236328125,274.77447509765625,23.8799991607666,26.68449993133545,0.3319287036006833
2022-07-21,38.251319885253906,277.2286376953125,23.110000610351562,26.392499923706055,0.3467745426175597
2022-07-22,36.9232177734375,278.673828125,23.030000686645508,26.091499996185302,0.2181543653792456
2022-07-25,36.88554000854492,278.2740173339844,23.360000610351562,25.898000049591065,0.21269591716764166
2022-07-26,36.697147369384766,271.02960205078125,24.690000534057617,25.785000038146972,0.16387090148528397
2022-07-27,37.84629440307617,271.6932067871094,23.239999771118164,25.528999996185302,0.2830174512735224
2022-07-28,37.403587341308594,272.34759521484375,22.329999923706055,25.2375,0.24085218291562333
2022-07-29,34.20106887817383,273.53839111328125,21.329999923706055,24.86850004196167,-0.07871323588817188
2022-08-01,34.813316345214844,277.9739685058594,22.84000015258789,24.675500011444093,0.0015230009539634196
2022-08-02,33.918495178222656,273.3291931152344,23.93000030517578,24.494999980926515,-0.10820011867577634
2022-08-03,34.39887237548828,278.47393798828125,21.950000762939453,24.25600004196167,-0.038412770975249436
2022-08-04,33.92790985107422,279.2010192871094,21.440000534057617,24.024000072479247,-0.08314225114990302
2022-08-05,33.67102813720703,281.4915466308594,21.149999618530273,23.84950008392334,-0.09976476817042682
2022-08-08,33.66151428222656,283.5639953613281,21.290000915527344,23.60550012588501,-0.09222116310497706
2022-08-09,32.84328842163086,277.4195251464844,21.770000457763672,23.329500102996825,-0.200340554720779
2022-08-10,33.652000427246094,283.20947265625,19.739999771118164,22.975500106811523,-0.09464035901911301
2022-08-11,33.8613166809082,282.4005432128906,20.200000762939453,22.665500164031982,-0.07675478558356177
2022-08-12,34.35605239868164,286.2181701660156,19.530000686645508,22.43050022125244,-0.010960611464016657
2022-08-15,34.57488250732422,285.9635925292969,19.950000762939453,22.163000297546386,0.010164463201027069
2022-08-16,34.43217086791992,297.5708923339844,19.690000534057617,21.922500324249267,0.04335441975101262
2022-08-17,34.04207992553711,296.098388671875,19.899999618530273,21.723500347137453,-0.0022111672190109092
2022-08-18,34.441688537597656,295.59844970703125,19.559999465942383,21.546000289916993,0.03622172964511481
2022-08-19,33.66151428222656,292.0626525878906,20.600000381469727,21.424500274658204,-0.05733388371559899
2022-08-22,32.196319580078125,283.78216552734375,23.799999237060547,21.44650020599365,-0.23976743052523425
2022-08-23,32.30097198486328,278.9556579589844,24.110000610351562,21.41750020980835,-0.24897786106588451
2022-08-24,32.2153434753418,280.0554504394531,22.81999969482422,21.396500205993654,-0.25313837414733814
2022-08-25,33.195308685302734,281.5733947753906,21.780000686645508,21.369000244140626,-0.14762488659816697
2022-08-26,31.73963165283203,270.9568786621094,25.559999465942383,21.580500221252443,-0.33868365826128044
2022-08-29,31.340028762817383,269.3389892578125,26.209999084472656,21.74900016784668,-0.38580973350272446
2022-08-30,30.693058013916016,266.4122314453125,26.209999084472656,21.863000106811523,-0.4633701007223002
2022-08-31,30.36957550048828,263.86883544921875,25.8700008392334,22.059000110626222,-0.506583501670651
2022-09-01,30.217348098754883,268.3974304199219,25.559999465942383,22.26500005722046,-0.5034159325273663
2022-09-02,29.703577041625977,267.05255126953125,25.469999313354492,22.48100004196167,-0.5609879011613635
2022-09-06,28.885343551635742,264.8934631347656,26.90999984741211,22.761999988555907,-0.6527479356032416
2022-09-07,29.161258697509766,272.14849853515625,24.639999389648438,22.905499935150146,-0.5950122403245356
2022-09-08,29.256404876708984,274.37158203125,23.610000610351562,23.098999977111816,-0.5762469528705652
2022-09-09,29.931915283203125,274.2527160644531,22.790000915527344,23.228499984741212,-0.5082975648039798
2022-09-12,30.027057647705078,272.2124938964844,23.8700008392334,23.445499992370607,-0.5070336797922802
2022-09-13,27.867321014404297,254.2717742919922,27.270000457763672,23.811499977111815,-0.7994882720206652
2022-09-14,27.762664794921875,252.817138671875,26.15999984741211,24.13499994277954,-0.8160625361648035
2022-09-15,27.439178466796875,248.42572021484375,26.270000457763672,24.45349998474121,-0.8668625191707948
2022-09-16,27.819747924804688,252.47862243652344,26.299999237060547,24.79049997329712,-0.8116689486154692
2022-09-19,28.010032653808594,256.5498352050781,25.760000228881836,25.048499965667723,-0.7756783466046855
2022-09-20,27.553348541259766,250.83181762695312,27.15999984741211,25.216499996185302,-0.8454186036878072
2022-09-21,27.08715057373047,248.453125,27.989999771118164,25.41049995422363,-0.9024146853700521
2022-09-22,26.706579208374023,246.22998046875,27.350000381469727,25.636999988555907,-0.9500972310892286
2022-09-23,26.183292388916016,247.8767852783203,29.920000076293945,26.04399995803833,-0.9963522957515238
2022-09-26,25.660005569458008,243.88792419433594,32.2599983215332,26.37899990081787,-1.0657419621905702
2022-09-27,25.583890914916992,245.8183135986328,32.599998474121094,26.698499870300292,-1.0655289783622315
2022-09-28,25.812232971191406,258.16912841796875,30.18000030517578,26.89699993133545,-0.9916946605305146
2022-09-29,25.098663330078125,254.63775634765625,31.84000015258789,27.195499897003174,-1.078484259608229
2022-09-30,24.518295288085938,252.45111083984375,31.6200008392334,27.498499965667726,-1.146258784365373
2022-10-03,25.660005569458008,259.55059814453125,30.100000381469727,27.730000019073486,-1.0014461484498607
2022-10-04,26.354551315307617,264.91180419921875,29.06999969482422,27.83800001144409,-0.9090723677363886
2022-10-05,26.297462463378906,265.1771240234375,28.549999237060547,28.033500003814698,-0.9137670087759436
2022-10-06,25.859806060791016,265.671142578125,30.520000457763672,28.378999996185303,-0.956078908380877
2022-10-07,24.470722198486328,260.11785888671875,31.360000610351562,28.807499980926515,-1.1196062474194415
2022-10-10,23.975980758666992,258.41607666015625,32.45000076293945,29.236499977111816,-1.1767153860824835
2022-10-11,23.82375144958496,258.8095703125,33.630001068115234,29.554500007629393,-1.190522742908016
2022-10-12,24.09966278076172,256.64129638671875,33.56999969482422,29.925,-1.1714704420746909
2022-10-13,25.136722564697266,258.75469970703125,31.940000534057617,30.2085000038147,-1.057728207242832
2022-10-14,24.651491165161133,252.8994903564453,32.02000045776367,30.494500064849852,-1.130923825121936
2022-10-17,25.136722564697266,257.31829833984375,31.3700008392334,30.77500009536743,-1.0636246841187
2022-10-18,24.613435745239258,260.79486083984375,30.5,30.942000102996825,-1.102368530707467
