Date,LOW,TXN,VIX,AvgVIX,zscore
2020-01-30,106.78423309326172,104.39791107177734,15.489999771118164,13.696000051498412,-0.5036312848030885
2020-01-31,103.68025207519531,101.2345962524414,18.84000015258789,14.014500045776368,-0.4196116713062784
2020-02-03,104.51866912841797,103.54204559326172,17.969999313354492,14.211999988555908,-0.5646326476133081
2020-02-04,106.4542236328125,106.1180419921875,16.049999237060547,14.32199993133545,-0.6678278803815302
2020-02-05,108.93383026123047,111.12731170654297,15.149999618530273,14.389999914169312,-0.9439249293145506
2020-02-06,108.38082885742188,111.1944580078125,14.960000038146973,14.465499925613404,-0.9820553710147335
2020-02-07,108.35406494140625,107.98915100097656,15.470000267028809,14.611999940872192,-0.7137770924532038
2020-02-10,108.11325073242188,108.7862777709961,15.039999961853027,14.735999917984008,-0.7950289262998327
2020-02-11,109.73658752441406,109.66730499267578,15.180000305175781,14.878999948501587,-0.7738635709294833
2020-02-12,111.52049255371094,111.11053466796875,13.739999771118164,14.946499919891357,-0.7905991266503988
2020-02-13,111.28858184814453,111.4377670288086,14.149999618530273,15.032999897003174,-0.831768339057432
2020-02-14,111.86834716796875,110.934326171875,13.680000305175781,15.100999927520752,-0.7553350654528168
2020-02-18,109.91497802734375,110.12040710449219,14.829999923706055,15.237499904632568,-0.8015327911341663
2020-02-19,110.10228729248047,111.70628356933594,14.380000114440918,15.313999891281128,-0.9240448332805125
2020-02-20,112.89409637451172,110.31340789794922,15.5600004196167,15.446499919891357,-0.6428191317722218
2020-02-21,111.7702407836914,107.83812713623047,17.079999923706055,15.651499938964843,-0.5004323345202396
2020-02-24,109.62957000732422,101.89747619628906,25.030000686645508,16.174999952316284,-0.12601813096997305
2020-02-25,105.7138900756836,99.32988739013672,27.850000381469727,16.655999994277956,-0.13982248610300277
2020-02-26,101.05790710449219,99.67391967773438,27.559999465942383,17.219999933242796,-0.4422295866110803
2020-02-27,95.99165344238281,94.92472839355469,39.15999984741211,18.35849995613098,-0.3399406325827665
2020-02-28,95.05508422851562,95.77222442626953,40.11000061035156,19.589499998092652,-0.46629432058316006
2020-03-02,99.04209899902344,99.824951171875,33.41999816894531,20.318499898910524,-0.5733320978574963
2020-03-03,96.830078125,95.49531555175781,36.81999969482422,21.26099991798401,-0.3387372734625774
2020-03-04,101.04898834228516,99.89207458496094,31.989999771118164,22.05799994468689,-0.4611195236385968
2020-03-05,95.90245056152344,96.25886535644531,39.619998931884766,23.281499910354615,-0.4574985126736561
2020-03-06,93.93124389648438,94.9499282836914,41.939998626708984,24.630499839782715,-0.46306898513125605
2020-03-09,84.0395278930664,88.13661193847656,54.459999084472656,26.57999978065491,-0.4704013235547207
2020-03-10,92.78060913085938,94.0772705078125,47.29999923706055,28.192999744415282,-0.45717740094969234
2020-03-11,88.43682098388672,89.3616714477539,53.900001525878906,30.12899980545044,-0.3152864928073024
2020-03-12,80.20413208007812,81.83513641357422,75.47000122070312,33.21549987792969,-0.16514017017740118
2020-03-13,86.06424713134766,88.9756851196289,57.83000183105469,35.39949998855591,-0.42213093077656766
2020-03-16,64.74664306640625,78.45366668701172,82.69000244140625,38.850000095367434,-0.7882696912558447
2020-03-17,65.81698608398438,89.06800842285156,75.91000366210938,41.9040002822876,-1.6190148966084115
2020-03-18,57.994571685791016,83.90766906738281,76.44999694824219,45.007500123977664,-1.6439799138705353
2020-03-19,62.32053756713867,85.22502136230469,72.0,47.829500102996825,-1.5008240887286073
2020-03-20,59.189788818359375,81.89388275146484,66.04000091552734,50.27750015258789,-1.4042476909201744
2020-03-23,60.474212646484375,82.59870910644531,61.59000015258789,52.10550012588501,-1.3881524292133773
2020-03-24,68.94772338867188,88.40513610839844,61.66999816894531,53.796500015258786,-1.3793420271280799
2020-03-25,74.6740493774414,83.20285034179688,63.95000076293945,55.61600008010864,-0.6050649662704253
2020-03-26,78.58970642089844,90.41890716552734,61.0,56.708000087738036,-0.9826096803361538
2020-03-27,77.5818099975586,84.32719421386719,65.54000091552734,57.97950010299682,-0.5289505220253128
2020-03-30,79.12487030029297,85.60259246826172,57.08000183105469,59.16250028610229,-0.5457012848310075
2020-03-31,76.75225830078125,83.84893035888672,53.540000915527344,59.99850034713745,-0.5374053390691292
2020-04-01,71.7305908203125,81.29814910888672,57.060001373291016,61.252000427246095,-0.6175787872035788
2020-04-02,73.9069595336914,85.60259246826172,50.90999984741211,61.81650047302246,-0.8521465453697931
2020-04-03,73.31826782226562,83.89087677001953,46.79999923706055,62.059500503540036,-0.7426132702620204
2020-04-06,79.17837524414062,91.42578125,45.2400016784668,61.598500633239745,-1.0328047148756123
2020-04-07,81.13175964355469,89.16026306152344,46.70000076293945,61.568500709533694,-0.7273527735156463
2020-04-08,84.15546417236328,92.44107818603516,43.349998474121094,61.041000556945804,-0.8259791635025412
2020-04-09,85.01174926757812,90.36016082763672,41.66999816894531,59.35100040435791,-0.6005005834011019
2020-04-13,84.91361999511719,90.34339141845703,41.16999816894531,58.51800022125244,-0.6048518739100537
2020-04-14,88.36546325683594,93.09556579589844,37.7599983215332,56.27150001525879,-0.6338284011606848
2020-04-15,84.14653778076172,90.60350799560547,40.84000015258789,54.51799983978272,-0.6718010586970121
2020-04-16,82.45185852050781,93.4647445678711,40.11000061035156,52.70100002288818,-1.0122120376831825
2020-04-17,86.60832214355469,95.27716064453125,38.150001525878906,51.00850009918213,-0.9206896903084371
2020-04-20,84.85118103027344,93.58221435546875,43.83000183105469,49.898000144958495,-0.881190649704542
2020-04-21,83.09282684326172,89.64695739746094,45.40999984741211,49.089000129699706,-0.6531543730748194
2020-04-22,85.18312072753906,93.95980072021484,41.97999954223633,48.104500198364256,-0.893484443058384
2020-04-23,85.13827514648438,92.68441009521484,41.380001068115234,46.976000213623045,-0.7887449296279591
2020-04-24,88.5922622680664,95.59600067138672,35.93000030517578,45.722500228881835,-0.8310165657312626
2020-04-27,91.48102569580078,97.1482925415039,33.290000915527344,44.11000022888184,-0.7920461331586925
2020-04-28,92.87157440185547,95.85610961914062,33.56999969482422,42.93450012207031,-0.6015929201891599
2020-04-29,95.24002075195312,100.18577575683594,31.229999542236328,41.81900005340576,-0.8270035247114654
2020-04-30,93.97505950927734,97.39164733886719,34.150001525878906,40.673500061035156,-0.6660604731018409
2020-05-01,93.71490478515625,92.77447509765625,37.189998626708984,39.9875,-0.2926262491464418
2020-05-04,96.3076171875,93.44252014160156,35.970001220703125,39.44600009918213,-0.19659929630786266
2020-05-05,98.81961059570312,94.32199096679688,33.61000061035156,38.86450004577637,-0.1231125565316706
2020-05-06,98.3441162109375,95.0661392211914,34.119998931884766,38.235499954223634,-0.21368685465982265
2020-05-07,100.40753936767578,96.10626983642578,31.440000534057617,37.64000005722046,-0.1800701316948045
2020-05-08,102.47991943359375,97.24786376953125,27.979999542236328,36.95550012588501,-0.15446942234599953
2020-05-11,101.72633361816406,97.14639282226562,27.56999969482422,36.275500202178954,-0.19018444551513344
2020-05-12,99.79749298095703,94.44883728027344,33.040000915527344,36.03950033187866,-0.07636102422237317
2020-05-13,99.07080841064453,92.23326110839844,35.279998779296875,35.76150026321411,0.06748727655280215
2020-05-14,99.0349349975586,93.315673828125,32.61000061035156,35.38650026321411,-0.025746294927440905
2020-05-15,102.07621765136719,91.53138732910156,31.889999389648438,35.07350015640259,0.3030831685106583
2020-05-18,104.72277069091797,96.75740814208984,29.299999237060547,34.34700002670288,0.018542839835178057
2020-05-19,104.84835815429688,95.28600311279297,30.530000686645508,33.60300006866455,0.14979396584204846
2020-05-20,104.95601654052734,99.34506225585938,27.989999771118164,32.90350008010864,-0.1856095653086775
2020-05-21,108.23057556152344,95.9455795288086,29.530000686645508,32.31100006103516,0.29290110975346684
2020-05-22,109.67498779296875,95.92023468017578,28.15999984741211,31.92250003814697,0.3798644553879625
2020-05-26,110.87715148925781,97.86517333984375,28.010000228881836,31.658500003814698,0.2867253796256703
2020-05-27,114.84245300292969,99.63256072998047,27.6200008392334,31.361000061035156,0.3708117722640298
2020-05-28,114.941162109375,97.98357391357422,28.59000015258789,31.229000091552734,0.5154346969415229
2020-05-29,116.9417724609375,100.41055297851562,27.510000228881836,30.89700002670288,0.4286057126191065
2020-06-01,116.0177230834961,99.6663589477539,28.229999542236328,30.449000072479247,0.43698936721066894
2020-06-02,118.40409088134766,103.73387145996094,26.84000015258789,29.992500019073486,0.23470161063676995
2020-06-03,119.1756362915039,107.57305908203125,25.65999984741211,29.594999980926513,-0.0432015095009052
2020-06-04,115.44355010986328,108.73159790039062,25.809999465942383,29.179500007629393,-0.3599207325678647
2020-06-05,117.49799346923828,111.15010070800781,24.520000457763672,28.8335000038147,-0.4428745278563229
2020-06-08,117.35445404052734,112.35089874267578,25.809999465942383,28.725,-0.5523979565368832
2020-06-09,116.24199676513672,111.7251205444336,27.56999969482422,28.725,-0.5650486582923114
2020-06-10,116.71749114990234,111.11626434326172,27.56999969482422,28.451499938964844,-0.48586440028863304
2020-06-11,111.19113159179688,105.3744125366211,40.790000915527344,28.727000045776368,-0.32702659502149933
2020-06-12,113.0840835571289,104.83321380615234,36.09000015258789,28.901000022888184,-0.1702917536664765
