Date,PEP,KLAC,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,372.6362609863281,24.829999923706055,23.18100004196167,-0.5358132590446333
2022-02-01,150.6808624267578,371.4492492675781,21.959999084472656,23.448999977111818,-0.6584172767746062
2022-02-02,153.41748046875,378.56170654296875,22.09000015258789,23.707999992370606,-0.3544455482920041
2022-02-03,153.33004760742188,357.71246337890625,24.350000381469727,23.939000034332274,-0.253698861980868
2022-02-04,150.81198120117188,361.2543640136719,23.219999313354492,24.119499969482423,-0.5874206415972534
2022-02-07,150.21746826171875,359.5504150390625,22.860000610351562,24.324499988555907,-0.6526059209178469
2022-02-08,150.40109252929688,368.7593078613281,21.440000534057617,24.426500034332275,-0.6789793864583255
2022-02-09,150.33111572265625,383.03216552734375,19.959999084472656,24.503999996185303,-0.7641764555760294
2022-02-10,147.2097930908203,373.0574035644531,23.90999984741211,24.818499946594237,-1.1009035564105545
2022-02-11,147.39340209960938,354.407470703125,27.360000610351562,25.171000003814697,-0.9780577515688534
2022-02-14,145.74969482421875,350.5007629394531,28.329999923706055,25.62799997329712,-1.1625902257763887
2022-02-15,145.10267639160156,371.9440002441406,25.700000762939453,25.773499965667725,-1.358322585265541
2022-02-16,145.39990234375,370.168212890625,24.290000915527344,25.795499992370605,-1.311658589878945
2022-02-17,145.79339599609375,351.35504150390625,28.110000610351562,25.92150001525879,-1.1617035216852751
2022-02-18,146.6327667236328,343.9162292480469,27.75,25.866499996185304,-1.016940125217525
2022-02-22,147.19232177734375,341.45892333984375,28.809999465942383,25.811999988555907,-0.9338353974460127
2022-02-23,145.74090576171875,329.9790954589844,31.020000457763672,25.805000019073486,-1.053767923148284
2022-02-24,143.2053680419922,343.52264404296875,30.31999969482422,25.723000049591064,-1.4432457284339801
2022-02-25,147.2185516357422,343.2922668457031,27.59000015258789,25.57800006866455,-0.9403767500908837
2022-02-28,143.1616973876953,334.5096130371094,30.149999618530273,25.70250005722046,-1.400427614102714
2022-03-01,141.87643432617188,323.2698059082031,33.31999969482422,26.127000045776366,-1.500877187952841
2022-03-02,143.84365844726562,332.1772155761719,30.739999771118164,26.566000080108644,-1.3026915819028226
2022-03-03,143.68960571289062,328.7792053222656,30.479999542236328,26.985500049591064,-1.3037467985079925
2022-03-04,145.87220764160156,318.7680358886719,31.979999542236328,27.367000007629393,-0.9773054312470285
2022-03-07,142.96800231933594,301.529052734375,36.45000076293945,28.028500080108643,-1.2479839732954536
2022-03-08,138.937255859375,308.9007568359375,35.130001068115234,28.642000102996825,-1.7912995859865892
2022-03-09,138.52359008789062,325.92852783203125,32.45000076293945,29.192500114440918,-1.9342129030152662
2022-03-10,135.98019409179688,315.5909118652344,30.229999542236328,29.706000137329102,-2.1967574717305665
