Date,KBE,MS,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,44.35105514526367,15.489999771118164,13.696000051498412,2.573152382330594
2020-01-31,37.1184196472168,43.06550598144531,18.84000015258789,14.014500045776368,2.5245367866103896
2020-02-03,37.53000259399414,43.34568786621094,17.969999313354492,14.211999988555908,2.6187499568315338
2020-02-04,38.075992584228516,44.515869140625,16.049999237060547,14.32199993133545,2.611876032174595
2020-02-05,38.94956588745117,45.31520462036133,15.149999618530273,14.389999914169312,2.778046648059825
2020-02-06,38.57156753540039,45.33168411254883,14.960000038146973,14.465499925613404,2.6463098589908727
2020-02-07,38.260772705078125,45.34816360473633,15.470000267028809,14.611999940872192,2.537510478379724
2020-02-10,38.243980407714844,45.61186599731445,15.039999961853027,14.735999917984008,2.4882349722522537
2020-02-11,38.56317138671875,45.966209411621094,15.180000305175781,14.878999948501587,2.538667613998915
2020-02-12,38.56317138671875,46.295833587646484,13.739999771118164,14.946499919891357,2.4842381395009077
2020-02-13,38.731178283691406,46.08982849121094,14.149999618530273,15.032999897003174,2.5755977777035275
2020-02-14,38.48757553100586,46.015647888183594,13.680000305175781,15.100999927520752,2.504702225440124
2020-02-18,37.99198913574219,45.751949310302734,14.829999923706055,15.237499904632568,2.379095799975047
2020-02-19,38.218780517578125,46.4029655456543,14.380000114440918,15.313999891281128,2.349002941574885
2020-02-20,38.621971130371094,44.29336166381836,15.5600004196167,15.446499919891357,2.834967124847508
2020-02-21,38.10118865966797,43.19736099243164,17.079999923706055,15.651499938964843,2.8381955577979503
2020-02-24,36.91682815551758,40.93943405151367,25.030000686645508,16.174999952316284,2.806800520369841
2020-02-25,35.42167663574219,39.57973861694336,27.850000381469727,16.655999994277956,2.5210073474852206
2020-02-26,34.86729049682617,38.9287223815918,27.559999465942383,17.219999933242796,2.4392879889284202
2020-02-27,33.48133850097656,37.42068862915039,39.15999984741211,18.35849995613098,2.215260480870016
2020-02-28,32.5489616394043,37.1075325012207,40.11000061035156,19.589499998092652,1.9487386877936548
2020-03-02,33.99372482299805,38.30241775512695,33.41999816894531,20.318499898910524,2.2445481091471997
2020-03-03,32.67496109008789,36.58837890625,36.81999969482422,21.26099991798401,2.077469569589916
2020-03-04,33.34694290161133,37.280601501464844,31.989999771118164,22.05799994468689,2.192521576956989
2020-03-05,31.742582321166992,35.0968132019043,39.619998931884766,23.281499910354615,2.0055330165135685
2020-03-06,30.47422218322754,34.4787712097168,41.939998626708984,24.630499839782715,1.6746804387570908
2020-03-09,25.988771438598633,30.902345657348633,54.459999084472656,26.57999978065491,0.7342999348472714
2020-03-10,27.685516357421875,32.55046081542969,47.29999923706055,28.192999744415282,1.0412739201149614
2020-03-11,25.795578002929688,30.38318634033203,53.900001525878906,30.12899980545044,0.7540872088531123
2020-03-12,23.510854721069336,25.8013973236084,75.47000122070312,33.21549987792969,0.7308542117052713
2020-03-13,26.23236656188965,30.902345657348633,57.83000183105469,35.39949998855591,0.8174420187372621
2020-03-16,22.847274780273438,26.081581115722656,82.69000244140625,38.850000095367434,0.45810043075252943
2020-03-17,24.132434844970703,27.845069885253906,75.91000366210938,41.9040002822876,0.6055441545605912
2020-03-18,21.45291519165039,25.339927673339844,76.44999694824219,45.007500123977664,0.1046541000230689
2020-03-19,22.83887481689453,25.480016708374023,72.0,47.829500102996825,0.554567255647581
2020-03-20,21.32692527770996,24.449935913085938,66.04000091552734,50.27750015258789,0.20861280741655874
2020-03-23,19.553340911865234,22.91718101501465,61.59000015258789,52.10550012588501,-0.14363641076322992
2020-03-24,21.852739334106445,27.3753604888916,61.66999816894531,53.796500015258786,-0.09498347168124471
2020-03-25,22.275421142578125,28.0098876953125,63.95000076293945,55.61600008010864,-0.05549369501512758
2020-03-26,24.23667335510254,29.42727279663086,61.0,56.708000087738036,0.37985945963141343
2020-03-27,23.340585708618164,28.026369094848633,65.54000091552734,57.97950010299682,0.3053388829084334
2020-03-30,23.40821647644043,28.71034812927246,57.08000183105469,59.16250028610229,0.21547949172675393
2020-03-31,22.791091918945312,28.01813316345215,53.540000915527344,59.99850034713745,0.11914969632819113
2020-04-01,21.269432067871094,26.05686378479004,57.060001373291016,61.252000427246095,-0.07635569096156719
2020-04-02,21.624488830566406,27.935720443725586,50.90999984741211,61.81650047302246,-0.26541816124530565
2020-04-03,20.66922950744629,27.894519805908203,46.79999923706055,62.059500503540036,-0.584656909998535
2020-04-06,22.283876419067383,30.498558044433594,45.2400016784668,61.598500633239745,-0.46355162641266345
2020-04-07,23.112335205078125,30.440872192382812,46.70000076293945,61.568500709533694,-0.17126278177908014
2020-04-08,24.219768524169922,32.44333267211914,43.349998474121094,61.041000556945804,-0.12393984328816554
2020-04-09,26.028852462768555,33.852500915527344,41.66999816894531,59.35100040435791,0.2608331784671658
2020-04-13,24.710079193115234,32.61640548706055,41.16999816894531,58.51800022125244,0.014830567087928424
2020-04-14,24.355024337768555,32.84714889526367,37.7599983215332,56.27150001525879,-0.1444558302806786
2020-04-15,22.78264617919922,31.64400291442871,40.84000015258789,54.51799983978272,-0.4824577904124519
2020-04-16,21.99644660949707,31.611042022705078,40.11000061035156,52.70100002288818,-0.7453549109905684
2020-04-17,23.8055362701416,32.21259689331055,38.150001525878906,51.00850009918213,-0.2272220860576481
2020-04-20,23.644914627075195,31.611042022705078,43.83000183105469,49.898000144958495,-0.1827120125787265
2020-04-21,22.84181785583496,30.449111938476562,45.40999984741211,49.089000129699706,-0.264954355631206
2020-04-22,22.89253807067871,31.15781021118164,41.97999954223633,48.104500198364256,-0.36466731695021853
2020-04-23,23.18842124938965,30.87763214111328,41.380001068115234,46.976000213623045,-0.21741401724298484
2020-04-24,23.780176162719727,31.289663314819336,35.93000030517578,45.722500228881835,-0.0834776122099047
2020-04-27,25.242664337158203,32.393898010253906,33.290000915527344,44.11000022888184,0.23335032292168925
2020-04-28,25.91895294189453,33.06963348388672,33.56999969482422,42.93450012207031,0.35259474313834144
2020-04-29,27.449068069458008,33.90925598144531,31.229999542236328,41.81900005340576,0.7361989250987623
2020-04-30,26.46844482421875,32.77867889404297,34.150001525878906,40.673500061035156,0.5881873698916157
2020-05-01,25.23421287536621,31.922420501708984,37.189998626708984,39.9875,0.3083188601323901
2020-05-04,24.96368980407715,31.664718627929688,35.970001220703125,39.44600009918213,0.2585391711221643
2020-05-05,24.57482147216797,31.57326316833496,33.61000061035156,38.86450004577637,0.1409151724047953
2020-05-06,23.949251174926758,31.00798988342285,34.119998931884766,38.235499954223634,0.020741385821436448
2020-05-07,24.346572875976562,32.26325988769531,31.440000534057617,37.64000005722046,-0.05092524797621122
2020-05-08,25.386371612548828,33.319034576416016,27.979999542236328,36.95550012588501,0.12963545796935255
2020-05-11,24.481830596923828,33.1111946105957,27.56999969482422,36.275500202178954,-0.14477603177275963
2020-05-12,23.256053924560547,31.939048767089844,33.040000915527344,36.03950033187866,-0.3695974631274693
2020-05-13,22.030261993408203,30.750268936157227,35.279998779296875,35.76150026321411,-0.5916774010727456
2020-05-14,22.81646156311035,31.43195152282715,32.61000061035156,35.38650026321411,-0.43590100621670974
2020-05-15,22.537487030029297,30.999666213989258,31.889999389648438,35.07350015640259,-0.4597370462883515
2020-05-18,24.62554359436035,33.485286712646484,29.299999237060547,34.34700002670288,-0.15749725443105994
2020-05-19,23.695640563964844,32.6955451965332,30.530000686645508,33.60300006866455,-0.3444781271901775
2020-05-20,24.811519622802734,34.13370895385742,27.989999771118164,32.90350008010864,-0.2010925715473059
2020-05-21,24.71853256225586,33.501914978027344,29.530000686645508,32.31100006103516,-0.1285047049730093
2020-05-22,24.431106567382812,33.3605842590332,28.15999984741211,31.92250003814697,-0.20326946135491492
2020-05-26,26.409263610839844,36.320064544677734,28.010000228881836,31.658500003814698,-0.016786263603706237
2020-05-27,28.269081115722656,38.95532989501953,27.6200008392334,31.361000061035156,0.18284242802268563
2020-05-28,27.203916549682617,36.910301208496094,28.59000015258789,31.229000091552734,0.15697545898265355
2020-05-29,26.586801528930664,36.74403381347656,27.510000228881836,30.89700002670288,-0.026198624681370325
2020-06-01,26.950300216674805,37.159690856933594,28.229999542236328,30.449000072479247,0.029232330606990747
2020-06-02,26.992568969726562,37.8912467956543,26.84000015258789,29.992500019073486,-0.07713961276173602
2020-06-03,28.353609085083008,38.99688720703125,25.65999984741211,29.594999980926513,0.20483070192154643
2020-06-04,29.32577896118164,40.476627349853516,25.809999465942383,29.179500007629393,0.29230116706330195
2020-06-05,30.991159439086914,41.1749267578125,24.520000457763672,28.8335000038147,0.7454092131502555
2020-06-08,31.99713897705078,41.690345764160156,25.809999465942383,28.725,1.0036536956707038
2020-06-09,31.210948944091797,41.89817810058594,27.56999969482422,28.725,0.7009986419861696
2020-06-10,29.283525466918945,40.476627349853516,27.56999969482422,28.451499938964844,0.2778795172487557
2020-06-11,26.612154006958008,37.05162048339844,40.790000915527344,28.727000045776368,-0.06833601701249212
2020-06-12,27.635051727294922,38.47315979003906,36.09000015258789,28.901000022888184,0.046058963275627196
2020-06-15,27.905563354492188,39.40422821044922,34.400001525878906,29.026500129699706,-0.01535548169976507
2020-06-16,28.86082649230957,40.36855697631836,33.66999816894531,29.245000076293945,0.15145224594946258
2020-06-17,27.973196029663086,39.7035026550293,33.470001220703125,29.392000102996825,-0.04168954685502875
2020-06-18,28.04082679748535,39.553871154785156,32.939998626708984,29.639500045776366,0.0061017157626818315
2020-06-19,27.804122924804688,39.01352310180664,35.119998931884766,29.91899995803833,0.014537137742204876
2020-06-22,27.74358558654785,39.38760757446289,31.770000457763672,30.09949998855591,-0.06789603740391867
2020-06-23,27.53896713256836,39.811580657958984,31.3700008392334,30.267500019073488,-0.2077438117949667
2020-06-24,26.09807014465332,39.0301513671875,33.84000015258789,30.57849998474121,-0.5705059220389931
2020-06-25,26.950672149658203,40.55976867675781,32.220001220703125,30.760000038146973,-0.5320814872673716
2020-06-26,25.31368064880371,39.11328125,34.72999954223633,31.121000003814697,-0.851954830226961
2020-06-29,26.24301528930664,39.2712287902832,31.780000686645508,31.298500061035156,-0.5608424344987454
2020-06-30,26.890987396240234,40.15241622924805,30.43000030517578,31.47800006866455,-0.4851882234680308
2020-07-01,25.893449783325195,39.57880401611328,28.6200008392334,31.626000118255615,-0.730942167502897
2020-07-02,25.84229278564453,39.72845458984375,27.68000030517578,31.719500160217287,-0.7731138743943481
2020-07-06,26.09807014465332,40.5847053527832,27.940000534057617,31.890500164031984,-0.8272029808986507
2020-07-07,25.168733596801758,39.47905349731445,29.43000030517578,32.07150020599365,-0.9618255405626742
2020-07-08,25.228422164916992,40.659515380859375,28.079999923706055,32.097000217437746,-1.1363778604062909
2020-07-09,24.230876922607422,39.49567794799805,29.260000228881836,32.18150024414062,-1.2846729633197085
2020-07-10,25.37335968017578,41.399383544921875,27.290000915527344,31.506500244140625,-1.2090802253554058
2020-07-13,25.67177391052246,41.748538970947266,32.189998626708984,31.31150016784668,-1.1648822786180744
2020-07-14,25.25400161743164,41.981300354003906,29.520000457763672,31.067500114440918,-1.3459081473008998
2020-07-15,26.592578887939453,42.687923431396484,27.760000228881836,30.772000217437743,-1.0057166053411046
2020-07-16,26.507320404052734,43.76031494140625,28.0,30.49850015640259,-1.2118959667501685
2020-07-17,25.791135787963867,43.56911849975586,25.68000030517578,30.13550024032593,-1.4247673209929816
2020-07-20,25.424514770507812,43.111900329589844,24.459999084472656,29.602500247955323,-1.4744011500820795
2020-07-21,26.720468521118164,43.54417419433594,24.84000015258789,29.256000232696532,-1.1034554035379691
2020-07-22,26.51584815979004,42.39695739746094,24.31999969482422,28.903500175476076,-0.9838597536925554
2020-07-23,27.07004165649414,42.03118133544922,26.079999923706055,28.515500164031984,-0.7343074470291473
2020-07-24,26.950672149658203,41.71529006958008,25.84000015258789,28.19650011062622,-0.7228879473423021
2020-07-27,26.34532356262207,42.66298294067383,24.739999771118164,27.697000122070314,-1.0859896423860629
2020-07-28,26.225963592529297,41.78178787231445,25.440000534057617,27.380000114440918,-0.981220612933312
2020-07-29,27.155296325683594,42.056129455566406,24.100000381469727,27.063500118255615,-0.7093285342823098
2020-07-30,26.686365127563477,40.976261138916016,24.760000228881836,26.870500087738037,-0.6910664777820299
2020-07-31,26.490264892578125,40.917667388916016,24.459999084472656,26.70950002670288,-0.7483226148766771
2020-08-03,26.422056198120117,41.40318298339844,24.280000686645508,26.526500034332276,-0.8517742799912927
2020-08-04,26.30269432067871,41.23575973510742,23.760000228881836,26.243000030517578,-0.8648680849104028
2020-08-05,26.873937606811523,41.662689208984375,22.989999771118164,25.988500022888182,-0.7403926511841037
2020-08-06,26.71194076538086,41.394813537597656,22.649999618530273,25.657999992370605,-0.7514510139061005
2020-08-07,27.786218643188477,42.14820098876953,22.209999084472656,25.403999900817873,-0.5091901910649025
2020-08-10,28.289260864257812,42.34074020385742,22.1299991607666,24.90099992752075,-0.36928874758652974
2020-08-11,28.851966857910156,43.34526824951172,24.030000686645508,24.626499938964844,-0.3431036583874774
2020-08-12,28.57061004638672,43.8475341796875,22.280000686645508,24.352499961853027,-0.522071374192029
2020-08-13,28.076108932495117,43.68010330200195,22.1299991607666,24.058999919891356,-0.6632036659344596
2020-08-14,28.383041381835938,43.78056335449219,22.049999237060547,23.877499866485596,-0.5750323071148123
2020-08-17,27.90557861328125,42.92671585083008,21.350000381469727,23.72199993133545,-0.5970040634730993
2020-08-18,27.19792366027832,42.6253547668457,21.510000228881836,23.555499935150145,-0.7887731053077675
2020-08-19,27.283185958862305,43.00205612182617,22.540000915527344,23.466499996185302,-0.8218751428519261
2020-08-20,26.737518310546875,42.52490234375,22.719999313354492,23.298499965667723,-0.9293279579772502
2020-08-21,26.54995346069336,42.77603530883789,22.540000915527344,23.133500003814696,-1.0348147498271252
2020-08-24,27.598644256591797,43.83915710449219,22.3700008392334,23.01500005722046,-0.8524322693572798
2020-08-25,27.666852951049805,43.57128143310547,22.030000686645508,22.844500064849854,-0.7849185830242119
2020-08-26,27.129714965820312,43.286659240722656,23.270000457763672,22.803000068664552,-0.9212520597535533
2020-08-27,27.632747650146484,44.040061950683594,24.469999313354492,22.788500022888183,-0.8739669364412092
2020-08-28,27.666852951049805,44.27445602416992,22.959999084472656,22.713500022888184,-0.9010308898746684
2020-08-31,27.18939781188965,43.747074127197266,26.40999984741211,22.819999980926514,-0.9769079552545552
2020-09-01,27.232027053833008,44.01495361328125,26.1200008392334,22.938000011444093,-1.0065918876904434
2020-09-02,27.487810134887695,44.575809478759766,26.56999969482422,23.117000007629393,-1.0119017056420208
2020-09-03,27.4963321685791,44.157257080078125,33.599998474121094,23.664499950408935,-0.9398792047396067
2020-09-04,28.033472061157227,44.123775482177734,30.75,24.091499996185302,-0.7510179160768341
2020-09-08,26.839832305908203,41.99752426147461,31.459999084472656,24.557999992370604,-0.8073231449099981
2020-09-09,26.737518310546875,42.7425537109375,28.809999465942383,24.79699993133545,-0.9652678264742613
2020-09-10,26.294172286987305,42.097984313964844,29.709999084472656,25.168499851226805,-1.0101523347158843
2020-09-11,26.447641372680664,42.14820098876953,26.8700008392334,25.405499935150146,-0.9660634741348512
2020-09-14,27.035930633544922,42.817893981933594,25.850000381469727,25.595499992370605,-0.8758565686518498
2020-09-15,26.558475494384766,42.18170166015625,25.59000015258789,25.807499980926515,-0.933766219403849
2020-09-16,26.797203063964844,42.817893981933594,26.040000915527344,26.03400001525879,-0.9573372951488588
2020-09-17,26.71194076538086,42.06449890136719,26.459999084472656,26.229999923706053,-0.8620333834049151
2020-09-18,26.464689254760742,41.92218017578125,25.829999923706055,26.385499954223633,-0.9229229368406796
2020-09-21,25.27821159362793,40.48237228393555,27.780000686645508,26.64749994277954,-1.090133195581314
2020-09-22,24.830810546875,39.871280670166016,26.860000610351562,26.87199993133545,-1.1419297819518581
2020-09-23,24.27155876159668,38.85838317871094,28.579999923706055,27.199499893188477,-1.1655538944147925
2020-09-24,24.3145809173584,39.017433166503906,28.510000228881836,27.461499881744384,-1.1771331562616922
2020-09-25,24.5985050201416,39.377384185791016,26.3799991607666,27.55699987411499,-1.1396635041659537
2020-09-28,25.467500686645508,40.499114990234375,26.190000534057617,27.71849994659424,-1.0282910975826596
2020-09-29,25.1147403717041,39.54481887817383,26.270000457763672,27.711499977111817,-0.9911136732483391
2020-09-30,25.33843994140625,40.47399139404297,26.3700008392334,27.723999977111816,-1.0681926002271107
2020-10-01,25.587949752807617,39.56155014038086,26.700000762939453,27.73050003051758,-0.8323641149661662
2020-10-02,26.28486442565918,40.1558952331543,27.6299991607666,27.432000064849852,-0.6926401015198589
2020-10-05,27.231292724609375,40.683265686035156,27.959999084472656,27.292500019073486,-0.4566946998280571
2020-10-06,27.196880340576172,39.96337127685547,29.479999542236328,27.19350004196167,-0.34956689881231157
2020-10-07,27.928207397460938,40.775352478027344,28.059999465942383,27.15600004196167,-0.23403485411536917
2020-10-08,28.3756103515625,41.01811981201172,26.360000610351562,26.988500118255615,-0.12141775445197321
2020-10-09,28.177724838256836,40.875816345214844,25.0,26.895000076293947,-0.16546059081354805
2020-10-12,28.564895629882812,42.47468948364258,25.06999969482422,26.85600004196167,-0.2973296197946354
2020-10-13,27.747526168823242,42.22354507446289,26.06999969482422,26.880000019073485,-0.5348376766412071
