Date,MNST,UPS,VIX,AvgVIX,zscore
2015-01-30,19.491666793823242,65.71102905273438,20.969999313354492,19.119499969482423,-1.2709471646109611
2015-02-02,19.59166717529297,66.56867218017578,19.43000030517578,19.201499938964844,-1.32989189790789
2015-02-03,19.44499969482422,66.86117553710938,17.329999923706055,19.071999931335448,-1.4219414753779671
2015-02-04,19.788333892822266,66.83460235595703,18.329999923706055,18.932499885559082,-1.2822378367694491
2015-02-05,19.72833251953125,67.45288848876953,16.850000381469727,18.80949993133545,-1.37730376272076
2015-02-06,19.524999618530273,66.92766571044922,17.290000915527344,18.823499965667725,-1.3977574635702081
2015-02-09,19.323333740234375,66.78804779052734,18.549999237060547,18.873499965667726,-1.4619440094388894
2015-02-10,19.748332977294922,67.20024108886719,17.229999542236328,18.754999923706055,-1.340255390974576
2015-02-11,19.831666946411133,67.08724975585938,16.959999084472656,18.57499990463257,-1.2940799974820538
2015-02-12,19.918333053588867,67.41964721679688,15.34000015258789,18.267999935150147,-1.297857922423927
2015-02-13,19.623332977294922,67.67229461669922,14.6899995803833,17.88299994468689,-1.444353856302634
2015-02-17,19.78499984741211,68.15097045898438,15.800000190734863,17.62549991607666,-1.4351237452200587
2015-02-18,20.046667098999023,68.22406768798828,15.449999809265137,17.403499937057497,-1.3393983451532774
2015-02-19,20.18833351135254,68.09686279296875,15.289999961853027,17.22549991607666,-1.268370657097747
2015-02-20,20.209999084472656,68.27092742919922,14.300000190734863,17.12049994468689,-1.279788731428871
2015-02-23,20.35333251953125,68.14373016357422,14.5600004196167,17.015499973297118,-1.2080984605987235
2015-02-24,20.801666259765625,68.51200866699219,13.6899995803833,16.9239999294281,-1.0720668091455239
2015-02-25,20.63166618347168,68.27092742919922,13.84000015258789,16.754999971389772,-1.1119687313009226
2015-02-26,20.790000915527344,68.2039794921875,13.90999984741211,16.428499937057495,-1.0412448271127823
2015-02-27,23.520000457763672,68.11695861816406,13.34000015258789,16.157499933242796,0.05529137506031201
2015-03-02,23.538333892822266,68.25086212158203,13.039999961853027,15.760999965667725,0.047171057306033194
2015-03-03,23.448333740234375,67.96294403076172,13.859999656677246,15.482499933242797,0.044500963274845054
2015-03-04,23.25666618347168,67.23977661132812,14.229999542236328,15.327499914169312,0.05148017000426074
2015-03-05,23.338333129882812,67.440673828125,14.039999961853027,15.11299991607666,0.06085279580848676
2015-03-06,22.770000457763672,67.37370300292969,15.199999809265137,15.03049988746643,-0.15762825094357893
2015-03-09,22.86833381652832,67.32682800292969,15.0600004196167,14.918999862670898,-0.11309547604882932
2015-03-10,22.65333366394043,66.60368347167969,16.690000534057617,14.825999927520751,-0.11540508370912471
2015-03-11,22.65999984741211,66.10149383544922,16.8700008392334,14.807999992370606,-0.0549327969852688
2015-03-12,22.975000381469727,66.73760223388672,15.420000076293945,14.73100004196167,-0.0028030334257620735
2015-03-13,22.579999923706055,65.9742660522461,16.0,14.764000034332275,-0.07212383278014961
2015-03-16,23.00666618347168,67.13268280029297,15.609999656677246,14.810000038146972,-0.03568759170545669
2015-03-17,22.71500015258789,66.69074249267578,15.65999984741211,14.803000020980836,-0.10088580443382635
2015-03-18,22.78499984741211,67.13268280029297,13.970000267028809,14.729000043869018,-0.1239089507685339
