Date,SHEL,GILD,VIX,AvgVIX,zscore
2020-01-30,42.15347671508789,50.49644088745117,15.489999771118164,13.696000051498412,1.2462372212312434
2020-01-31,40.83031463623047,49.841880798339844,18.84000015258789,14.014500045776368,1.1577962940037523
2020-02-03,40.117835998535156,52.33396530151367,17.969999313354492,14.211999988555908,0.8012523457574499
2020-02-04,40.43883514404297,53.15415954589844,16.049999237060547,14.32199993133545,0.7508793545879549
2020-02-05,41.456661224365234,51.947547912597656,15.149999618530273,14.389999914169312,1.004633340720481
2020-02-06,40.822479248046875,53.7929573059082,14.960000038146973,14.465499925613404,0.7277590723529193
2020-02-07,40.54845428466797,54.313453674316406,15.470000267028809,14.611999940872192,0.6381945935957857
2020-02-10,40.235267639160156,54.40808868408203,15.039999961853027,14.735999917984008,0.5901577364671865
2020-02-11,40.70503234863281,53.43805694580078,15.180000305175781,14.878999948501587,0.7521417680202418
2020-02-12,41.221778869628906,52.79926681518555,13.739999771118164,14.946499919891357,0.8838168521461655
2020-02-13,40.6478157043457,52.68098068237305,14.149999618530273,15.032999897003174,0.8274630038150973
2020-02-14,40.24922561645508,53.280338287353516,13.680000305175781,15.100999927520752,0.7143158831695963
2020-02-18,40.02602005004883,52.84658432006836,14.829999923706055,15.237499904632568,0.7345113953500547
2020-02-19,40.03399658203125,53.11473083496094,14.380000114440918,15.313999891281128,0.7063519920153276
2020-02-20,39.55568313598633,52.83869934082031,15.5600004196167,15.446499919891357,0.6786615271532158
2020-02-21,39.19695281982422,54.968013763427734,17.079999923706055,15.651499938964843,0.4041646074473488
2020-02-24,37.69029235839844,57.491668701171875,25.030000686645508,16.174999952316284,-0.05155849728099797
2020-02-25,36.590206146240234,55.283470153808594,27.850000381469727,16.655999994277956,0.05562307991776655
2020-02-26,36.47062301635742,58.91119384765625,27.559999465942383,17.219999933242796,-0.35277043545873715
2020-02-27,35.02774429321289,57.30239486694336,39.15999984741211,18.35849995613098,-0.35201329898972156
2020-02-28,35.09949493408203,54.69989013671875,40.11000061035156,19.589499998092652,-0.060726952158368326
2020-03-02,35.73722457885742,59.4632453918457,33.41999816894531,20.318499898910524,-0.501146231978943
2020-03-03,35.04368591308594,58.5247688293457,36.81999969482422,21.26099991798401,-0.48284285388628645
2020-03-04,36.11191177368164,59.944339752197266,31.989999771118164,22.05799994468689,-0.5082195900348068
2020-03-05,34.86034393310547,60.038936614990234,39.619998931884766,23.281499910354615,-0.6693882693483059
2020-03-06,33.37759780883789,63.26448440551758,41.939998626708984,24.630499839782715,-1.1984547066610292
2020-03-09,27.645931243896484,57.98060989379883,54.459999084472656,26.57999978065491,-1.315656994061917
2020-03-10,29.463483810424805,57.050018310546875,47.29999923706055,28.192999744415282,-0.9954601246304984
2020-03-11,27.494476318359375,58.12257766723633,53.900001525878906,30.12899980545044,-1.349335065819125
2020-03-12,23.381057739257812,54.58842849731445,75.47000122070312,33.21549987792969,-1.4614558917101828
2020-03-13,23.978939056396484,56.315696716308594,57.83000183105469,35.39949998855591,-1.5769561014061235
