Date,SHEL,TXN,VIX,AvgVIX,zscore
2020-01-30,42.153472900390625,104.39791870117188,15.489999771118164,13.696000051498412,3.4799247390858916
2020-01-31,40.83029556274414,101.23458862304688,18.84000015258789,14.014500045776368,3.265763951895114
2020-02-03,40.11783218383789,103.54208374023438,17.969999313354492,14.211999988555908,3.037887599416568
2020-02-04,40.438838958740234,106.11801147460938,16.049999237060547,14.32199993133545,3.0390887088968324
2020-02-05,41.45665740966797,111.1273193359375,15.149999618530273,14.389999914169312,3.131531281953873
2020-02-06,40.822471618652344,111.19446563720703,14.960000038146973,14.465499925613404,2.984451250786983
2020-02-07,40.54844284057617,107.98918151855469,15.470000267028809,14.611999940872192,3.011668388556418
2020-02-10,40.235267639160156,108.78629302978516,15.039999961853027,14.735999917984008,2.9175968107096963
2020-02-11,40.705047607421875,109.66731262207031,15.180000305175781,14.878999948501587,3.000426417173453
2020-02-12,41.221778869628906,111.11052703857422,13.739999771118164,14.946499919891357,3.078227574592939
2020-02-13,40.64780044555664,111.43775939941406,14.149999618530273,15.032999897003174,2.937632652098713
2020-02-14,40.24922180175781,110.93431091308594,13.680000305175781,15.100999927520752,2.8605080111633336
2020-02-18,40.02602005004883,110.12042999267578,14.829999923706055,15.237499904632568,2.832247771702298
2020-02-19,40.03398895263672,111.70626831054688,14.380000114440918,15.313999891281128,2.7895660857151667
2020-02-20,39.555686950683594,110.31340026855469,15.5600004196167,15.446499919891357,2.719150273466129
2020-02-21,39.19696807861328,107.83812713623047,17.079999923706055,15.651499938964843,2.706490207747924
2020-02-24,37.69029235839844,101.89747619628906,25.030000686645508,16.174999952316284,2.5282626336393728
2020-02-25,36.5901985168457,99.32988739013672,27.850000381469727,16.655999994277956,2.348457045475368
2020-02-26,36.47063446044922,99.67394256591797,27.559999465942383,17.219999933242796,2.3114272690323303
2020-02-27,35.027740478515625,94.92473602294922,39.15999984741211,18.35849995613098,2.1143648131424104
2020-02-28,35.0994873046875,95.772216796875,40.11000061035156,19.589499998092652,2.1070067744578673
2020-03-02,35.73722839355469,99.82494354248047,33.41999816894531,20.318499898910524,2.139277590996217
2020-03-03,35.04369354248047,95.49532318115234,36.81999969482422,21.26099991798401,2.10200385169721
2020-03-04,36.11190414428711,99.89207458496094,31.989999771118164,22.05799994468689,2.2231748501597055
