Date,MS,TXN,VIX,AvgVIX,zscore
2023-01-31,87.6962661743164,161.08323669433594,19.399999618530273,20.202999973297118,1.5420777351369641
2023-02-01,88.47115325927734,165.52821350097656,17.8700008392334,19.951500034332277,1.2468963975615146
2023-02-02,89.39017486572266,167.9097900390625,18.729999542236328,19.7875,1.2132428025692608
2023-02-03,89.58841705322266,165.70094299316406,18.329999923706055,19.58100004196167,1.5040649991437463
2023-02-06,89.11089324951172,164.5283660888672,19.43000030517578,19.49600009918213,1.514446846270358
2023-02-07,89.39921569824219,166.79173278808594,18.65999984741211,19.33050012588501,1.337887433959224
2023-02-08,89.16492462158203,160.43785095214844,19.6299991607666,19.28300008773804,1.9756486487136942
2023-02-09,88.34500885009766,159.06527709960938,20.709999084472656,19.264000034332277,1.923320893250378
2023-02-10,88.69640350341797,159.7924346923828,20.530000686645508,19.34900007247925,1.930538856362321
2023-02-13,89.58841705322266,160.6287384033203,20.34000015258789,19.448500061035155,2.0593958221902993
2023-02-14,90.60658264160156,160.2924346923828,18.90999984741211,19.426000022888182,2.3478084510630755
2023-02-15,90.849853515625,162.255859375,18.229999542236328,19.320499992370607,2.1929558138571887
2023-02-16,89.71456146240234,160.0560760498047,20.170000076293945,19.30299997329712,2.153264554617207
2023-02-17,89.66050720214844,159.365234375,20.020000457763672,19.311499977111815,2.2155444215854057
2023-02-21,87.95757293701172,155.22018432617188,22.8700008392334,19.46450004577637,2.2485644478303057
2023-02-22,87.6422119140625,154.3475799560547,22.290000915527344,19.619000053405763,2.266174779410318
2023-02-23,88.24588775634766,156.1837615966797,21.139999389648438,19.72200002670288,2.2143107249033234
2023-02-24,88.02964782714844,153.74761962890625,21.670000076293945,19.869000053405763,2.4275983048170153
2023-02-27,87.12862396240234,155.20204162597656,20.950000762939453,19.99100008010864,2.045714526171413
2023-02-28,86.94844055175781,155.84739685058594,20.700000762939453,20.029000091552735,1.930533775659207
2023-03-01,86.66912078857422,156.5018768310547,20.579999923706055,20.088000106811524,1.7898570506052738
2023-03-02,86.56999206542969,158.2380828857422,19.59000015258789,20.17400007247925,1.5752732938615308
2023-03-03,88.59730529785156,159.6924591064453,18.489999771118164,20.16200008392334,1.9169971698271546
2023-03-06,88.64234924316406,157.30181884765625,18.610000610351562,20.176000118255615,2.1898671769914646
2023-03-07,86.5519790649414,156.4019012451172,19.59000015258789,20.184000110626222,1.7718567457742296
2023-03-08,86.40782165527344,160.18333435058594,19.110000610351562,20.206500148773195,1.3222243517364756
2023-03-09,83.07405090332031,157.65634155273438,22.610000610351562,20.35550022125244,0.7751056500672555
2023-03-10,81.1368637084961,156.02015686035156,24.799999237060547,20.560000228881837,0.47555756114095143
2023-03-13,79.28075408935547,158.0653533935547,26.520000457763672,20.859500217437745,-0.20701235578340338
2023-03-14,81.06475830078125,159.7379150390625,23.729999542236328,21.029000186920165,0.05070093195006272
2023-03-15,76.9381103515625,158.51988220214844,26.139999389648438,21.390500164031984,-0.8356521918861909
2023-03-16,78.39774322509766,161.010498046875,22.989999771118164,21.628500175476074,-0.7476569751430276
2023-03-17,75.84786224365234,159.7197723388672,25.510000228881836,21.89550018310547,-1.2364265164886283
2023-03-20,77.1633529663086,162.85577392578125,24.149999618530273,22.102000141143797,-1.2547094663911875
2023-03-21,79.97454833984375,162.17404174804688,21.3799991607666,22.027500057220458,-0.4854134502361336
2023-03-22,78.88430786132812,160.2742462158203,22.260000228881836,22.026000022888184,-0.5468164964114679
2023-03-23,77.34355163574219,163.8738555908203,22.610000610351562,22.09950008392334,-1.3216464983729868
2023-03-24,75.6406021118164,163.17391967773438,21.739999771118164,22.10300006866455,-1.665818905784661
2023-03-27,76.2623291015625,160.93780517578125,20.600000381469727,22.085500049591065,-1.2673667093100767
2023-03-28,76.47857666015625,161.33775329589844,19.969999313354492,22.048999977111816,-1.2577195184253789
2023-03-29,77.70396423339844,164.56471252441406,19.1200008392334,21.976000022888183,-1.308225787464614
2023-03-30,77.58683013916016,167.47349548339844,19.020000457763672,21.947500038146973,-1.6556384350208142
2023-03-31,79.10956573486328,169.08241271972656,18.700000762939453,21.958000087738036,-1.4555174487042923
2023-04-03,78.53290557861328,167.40077209472656,18.549999237060547,21.955000019073488,-1.4138976593213974
