Date,KO,QCOM,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,159.69772338867188,24.829999923706055,23.18100004196167,-0.8868928245070683
2022-02-01,53.37824249267578,160.94253540039062,21.959999084472656,23.448999977111818,-1.078226055441845
2022-02-02,53.92470932006836,171.00083923339844,22.09000015258789,23.707999992370606,-0.8884863954051868
2022-02-03,54.3037223815918,162.73248291015625,24.350000381469727,23.939000034332274,-0.6612396785692675
2022-02-04,53.73080062866211,163.0686492919922,23.219999313354492,24.119499969482423,-0.9284382746614012
2022-02-07,54.29491424560547,159.0889434814453,22.860000610351562,24.324499988555907,-0.6424544195220334
2022-02-08,54.64748001098633,162.26907348632812,21.440000534057617,24.426500034332275,-0.49927635110254565
2022-02-09,53.80132293701172,167.13926696777344,19.959999084472656,24.503999996185303,-0.9213481784286855
2022-02-10,54.10100173950195,158.16217041015625,23.90999984741211,24.818499946594237,-0.7263623447194598
2022-02-11,53.14026641845703,149.59396362304688,27.360000610351562,25.171000003814697,-1.1171322969648398
2022-02-14,53.4840087890625,150.03916931152344,28.329999923706055,25.62799997329712,-0.9608769786376986
2022-02-15,53.68674087524414,157.18994140625,25.700000762939453,25.773499965667725,-0.9119396663667179
2022-02-16,53.67793273925781,156.82650756835938,24.290000915527344,25.795499992370605,-0.9137348645804445
2022-02-17,54.75324249267578,151.55654907226562,28.110000610351562,25.92150001525879,-0.3831264425490692
2022-02-18,55.12343978881836,152.3197479248047,27.75,25.866499996185304,-0.2166256935323173
2022-02-22,54.89427947998047,150.72972106933594,28.809999465942383,25.811999988555907,-0.31268121215486616
2022-02-23,54.28609085083008,146.84996032714844,31.020000457763672,25.805000019073486,-0.5697455902937999
2022-02-24,53.334171295166016,152.62872314453125,30.31999969482422,25.723000049591064,-1.04645409957534
2022-02-25,55.39667510986328,155.30908203125,27.59000015258789,25.57800006866455,-0.10895649566641713
2022-02-28,54.8590202331543,156.2722625732422,30.149999618530273,25.70250005722046,-0.3637712938061352
2022-03-01,54.62103271484375,148.73077392578125,33.31999969482422,26.127000045776366,-0.4265697174945817
2022-03-02,55.02648162841797,154.42413330078125,30.739999771118164,26.566000080108644,-0.2746915810052301
2022-03-03,55.06174087524414,150.8657989501953,30.479999542236328,26.985500049591064,-0.2360510651941828
2022-03-04,55.149871826171875,148.04644775390625,31.979999542236328,27.367000007629393,-0.1775835743432822
2022-03-07,53.836570739746094,136.95164489746094,36.45000076293945,28.028500080108643,-0.7156320810616354
2022-03-08,51.70356369018555,137.55380249023438,35.130001068115234,28.642000102996825,-1.7063469290252806
2022-03-09,51.967994689941406,143.3476104736328,32.45000076293945,29.192500114440918,-1.6203476553462661
2022-03-10,51.01607131958008,141.15780639648438,30.229999542236328,29.706000137329102,-2.0470605299410676
2022-03-11,51.05131149291992,138.99539184570312,30.75,30.048000144958497,-2.017187297603232
2022-03-14,51.992767333984375,128.9133758544922,31.770000457763672,30.268500137329102,-1.5183203009114254
2022-03-15,52.95197296142578,131.5775909423828,29.829999923706055,30.3435001373291,-1.0912145553785895
2022-03-16,52.80986785888672,137.27096557617188,26.670000076293945,30.392000102996825,-1.1926883080349246
2022-03-17,53.369407653808594,139.44253540039062,25.670000076293945,30.461000061035158,-0.9474158671399633
2022-03-18,53.37828826904297,140.5009002685547,23.8700008392334,30.249000072479248,-0.9499473579603619
2022-03-21,53.80460739135742,141.96075439453125,23.530000686645508,30.038000106811523,-0.7618502320337187
2022-03-22,54.000003814697266,143.80380249023438,22.940000534057617,29.744500160217285,-0.6830047119970197
2022-03-23,53.644737243652344,139.47900390625,23.56999969482422,29.37200012207031,-0.8202504103098747
2022-03-24,54.15985870361328,144.57933044433594,21.670000076293945,28.9395001411438,-0.6139061946689606
2022-03-25,54.64835739135742,144.13223266601562,20.809999465942383,28.600500106811523,-0.3850739073672239
2022-03-28,54.9947395324707,144.57020568847656,19.6299991607666,28.07450008392334,-0.227551794099377
2022-03-29,55.20790481567383,146.9607391357422,18.899999618530273,27.353500080108642,-0.14391977214234866
2022-03-30,55.25230407714844,139.3512725830078,19.329999923706055,26.78300008773804,-0.07563206489415299
2022-03-31,55.065792083740234,139.43338012695312,20.559999465942383,26.28700008392334,-0.1624458400204251
2022-04-01,55.83848190307617,134.1140594482422,19.6299991607666,25.669500064849853,0.22845085431575182
2022-04-04,55.545406341552734,140.33663940429688,18.56999969482422,24.77550001144409,0.0538030624412839
2022-04-05,55.48322296142578,132.71807861328125,21.030000686645508,24.070499992370607,0.0728323238676404
