Date,KO,AVGO,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,54.157684326171875,24.829999923706055,23.18100004196167,-0.6877119952979456
2022-02-01,53.37824249267578,54.78995132446289,21.959999084472656,23.448999977111818,-0.867575236217084
2022-02-02,53.92470932006836,55.779972076416016,22.09000015258789,23.707999992370606,-0.60810099878799
2022-02-03,54.3037223815918,53.69270706176758,24.350000381469727,23.939000034332274,-0.44552729274940717
2022-02-04,53.73080062866211,54.55331039428711,23.219999313354492,24.119499969482423,-0.7056607374046466
2022-02-07,54.29491424560547,54.31945037841797,22.860000610351562,24.324499988555907,-0.4456804467702248
2022-02-08,54.64748001098633,55.48324203491211,21.440000534057617,24.426500034332275,-0.2749829963904785
2022-02-09,53.80132293701172,56.51115417480469,19.959999084472656,24.503999996185303,-0.6607023157287013
2022-02-10,54.10100173950195,54.66424560546875,23.90999984741211,24.818499946594237,-0.533390373598843
2022-02-11,53.14026641845703,53.00590515136719,27.360000610351562,25.171000003814697,-0.989052906800757
2022-02-14,53.4840087890625,53.48288345336914,28.329999923706055,25.62799997329712,-0.82675046640973
2022-02-15,53.68674087524414,55.71895980834961,25.700000762939453,25.773499965667725,-0.7187733062441534
2022-02-16,53.67793273925781,55.20500183105469,24.290000915527344,25.795499992370605,-0.726077601169612
2022-02-17,54.75324249267578,53.521705627441406,28.110000610351562,25.92150001525879,-0.23826290628982652
2022-02-18,55.12343978881836,53.61322021484375,27.75,25.866499996185304,-0.06611605978800987
2022-02-22,54.89427947998047,53.379356384277344,28.809999465942383,25.811999988555907,-0.17378973219636618
2022-02-23,54.28609085083008,52.245140075683594,31.020000457763672,25.805000019073486,-0.46277377790077445
2022-02-24,53.334171295166016,53.614139556884766,30.31999969482422,25.723000049591064,-0.8953719025637173
2022-02-25,55.39667510986328,54.35456848144531,27.59000015258789,25.57800006866455,0.06516625339686888
2022-02-28,54.8590202331543,54.301883697509766,30.149999618530273,25.70250005722046,-0.18434773314788164
2022-03-01,54.62103271484375,52.70085144042969,33.31999969482422,26.127000045776366,-0.3046833798610577
2022-03-02,55.02648162841797,54.1484375,30.739999771118164,26.566000080108644,-0.10769736379395067
2022-03-03,55.06174087524414,53.48473358154297,30.479999542236328,26.985500049591064,-0.09551677980927457
2022-03-04,55.149871826171875,55.09222412109375,31.979999542236328,27.367000007629393,-0.04459377590916706
2022-03-07,53.836570739746094,52.75446319580078,36.45000076293945,28.028500080108643,-0.6679172006522996
2022-03-08,51.70356369018555,53.23976516723633,35.130001068115234,28.642000102996825,-1.6534468729561254
2022-03-09,51.967994689941406,55.18745040893555,32.45000076293945,29.192500114440918,-1.518682430241163
2022-03-10,51.01607131958008,54.328697204589844,30.229999542236328,29.706000137329102,-1.965248269476704
2022-03-11,51.05131149291992,53.415409088134766,30.75,30.048000144958497,-1.9546411871912799
2022-03-14,51.992767333984375,52.48640060424805,31.770000457763672,30.268500137329102,-1.5241342818260268
2022-03-15,52.95197296142578,54.79365921020508,29.829999923706055,30.3435001373291,-1.0651125906428243
2022-03-16,52.80986785888672,56.12105941772461,26.670000076293945,30.392000102996825,-1.1226516254654135
2022-03-17,53.369407653808594,55.709712982177734,25.670000076293945,30.461000061035158,-0.865903812378666
2022-03-18,53.37828826904297,56.42518615722656,23.8700008392334,30.249000072479248,-0.8573026122268783
2022-03-21,53.80460739135742,55.9580078125,23.530000686645508,30.038000106811523,-0.6626478047631169
2022-03-22,54.000003814697266,56.89329528808594,22.940000534057617,29.744500160217285,-0.5662252023760421
2022-03-23,53.644737243652344,55.78026580810547,23.56999969482422,29.37200012207031,-0.7378561472177815
2022-03-24,54.15985870361328,58.29762649536133,21.670000076293945,28.9395001411438,-0.4833343532538487
2022-03-25,54.64835739135742,58.524696350097656,20.809999465942383,28.600500106811523,-0.25550925975285366
2022-03-28,54.9947395324707,58.89788055419922,19.6299991607666,28.07450008392334,-0.0926340735432802
2022-03-29,55.20790481567383,59.69729232788086,18.899999618530273,27.353500080108642,0.011171941597295365
2022-03-30,55.25230407714844,58.731300354003906,19.329999923706055,26.78300008773804,0.025693527493977707
2022-03-31,55.065792083740234,58.60008239746094,20.559999465942383,26.28700008392334,-0.06157068972337783
2022-04-01,55.83848190307617,58.34880828857422,19.6299991607666,25.669500064849853,0.2949680002540117
2022-04-04,55.545406341552734,59.081214904785156,18.56999969482422,24.77550001144409,0.1637295275687766
2022-04-05,55.48322296142578,57.152015686035156,21.030000686645508,24.070499992370607,0.12281547414255073
2022-04-06,56.042762756347656,56.024085998535156,22.100000381469727,23.55299997329712,0.37507097374475845
2022-04-07,56.34474182128906,56.121795654296875,21.549999237060547,23.11899995803833,0.515639960498182
2022-04-08,56.69112777709961,54.628135681152344,21.15999984741211,22.639499950408936,0.6668135302565741
2022-04-11,56.67335510253906,54.0334587097168,24.3700008392334,22.26949996948242,0.6548484607061203
2022-04-12,57.339473724365234,54.44853210449219,24.260000228881836,21.99099998474121,0.9661726147069646
2022-04-13,57.49047088623047,55.143707275390625,21.81999969482422,21.748499965667726,1.0405124741376737
2022-04-14,57.74803161621094,53.404354095458984,22.700000762939453,21.6,1.1489784768930695
2022-04-18,57.2328987121582,54.581607818603516,22.170000076293945,21.51499996185303,0.9176131904067348
2022-04-19,57.79243850708008,55.61647033691406,21.3700008392334,21.40699996948242,1.1834273945473772
2022-04-20,58.58290100097656,55.625770568847656,20.31999969482422,21.27599992752075,1.5498366399365706
2022-04-21,58.8049430847168,55.1613883972168,22.68000030517578,21.23149995803833,1.6498339150700645
2022-04-22,57.952301025390625,54.62348556518555,28.209999084472656,21.558499908447267,1.2512928281755904
2022-04-25,58.56513977050781,54.71002960205078,27.020000457763672,21.86899995803833,1.5358641003426916
2022-04-26,57.77467346191406,52.12194061279297,33.52000045776367,22.563500022888185,1.153286469245331
2022-04-27,58.22763442993164,52.07261657714844,31.600000381469727,23.198500061035155,1.3629083737883783
2022-04-28,58.78718948364258,53.8780517578125,29.989999771118164,23.73150005340576,1.6335604269264425
2022-04-29,57.383888244628906,51.59333801269531,33.400001525878906,24.37350015640259,0.9688577244913329
2022-05-02,56.34474182128906,53.63700866699219,32.34000015258789,25.00900020599365,0.500062646824084
2022-05-03,56.02500534057617,54.0855827331543,29.25,25.54300022125244,0.35468842951902774
2022-05-04,57.75690460205078,56.17856979370117,25.420000076293945,25.762500190734862,1.1704825504658785
2022-05-05,57.29507064819336,53.97576141357422,31.200000762939453,26.21750020980835,0.9426295511190705
2022-05-06,57.49934387207031,53.98600387573242,30.190000534057617,26.6495002746582,1.0373670556445223
2022-05-09,57.383888244628906,52.38717269897461,34.75,27.3290002822876,0.9738343329397556
