Date,CVX,JPM,VIX,AvgVIX,zscore
2022-01-31,110.67057800292969,133.30429077148438,24.829999923706055,23.18100004196167,-3.0326937661382054
2022-02-01,113.5863037109375,135.591796875,21.959999084472656,23.448999977111818,-2.745066682010418
2022-02-02,114.10877227783203,134.50636291503906,22.09000015258789,23.707999992370606,-2.689121977900879
2022-02-03,113.08909606933594,133.3939971923828,24.350000381469727,23.939000034332274,-2.788789588915851
2022-02-04,114.50482940673828,136.85670471191406,23.219999313354492,24.119499969482423,-2.6560603584422706
2022-02-07,116.75480651855469,137.31419372558594,22.860000610351562,24.324499988555907,-2.430255103567995
2022-02-08,114.97673797607422,139.89773559570312,21.440000534057617,24.426500034332275,-2.6173755203527533
2022-02-09,116.11434936523438,140.4808349609375,19.959999084472656,24.503999996185303,-2.504242351045797
2022-02-10,114.63966369628906,139.89773559570312,23.90999984741211,24.818499946594237,-2.651405821010241
2022-02-11,116.97389221191406,138.07666015625,27.360000610351562,25.171000003814697,-2.41038269654824
2022-02-14,115.1705551147461,136.79385375976562,28.329999923706055,25.62799997329712,-2.588664968554383
2022-02-15,114.32754516601562,138.79437255859375,25.700000762939453,25.773499965667725,-2.679666436766628
2022-02-16,114.36160278320312,139.04551696777344,24.290000915527344,25.795499992370605,-2.6769678550630647
2022-02-17,113.77404022216797,135.84298706054688,28.110000610351562,25.92150001525879,-2.7268531416465236
2022-02-18,113.61223602294922,136.47991943359375,27.75,25.866499996185304,-2.745064777150081
2022-02-22,112.74365234375,136.2377166748047,28.809999465942383,25.811999988555907,-2.8320416705520106
2022-02-23,115.42601776123047,133.38504028320312,31.020000457763672,25.805000019073486,-2.5528325725269845
2022-02-24,114.82994079589844,129.67117309570312,30.31999969482422,25.723000049591064,-2.602071195486393
2022-02-25,119.5389404296875,132.73912048339844,27.59000015258789,25.57800006866455,-2.1356979655040043
2022-02-28,122.62152862548828,127.20423126220703,30.149999618530273,25.70250005722046,-1.808182163877809
2022-03-01,127.49231719970703,122.4049072265625,33.31999969482422,26.127000045776366,-1.3023002382134028
2022-03-02,131.25613403320312,124.94361877441406,30.739999771118164,26.566000080108644,-0.9297916646655433
2022-03-03,133.0272979736328,124.05552673339844,30.479999542236328,26.985500049591064,-0.7483626531171036
2022-03-04,135.09652709960938,120.56594848632812,31.979999542236328,27.367000007629393,-0.5291783492844856
2022-03-07,137.9832763671875,115.91014862060547,36.45000076293945,28.028500080108643,-0.22402358505912934
2022-03-08,145.21282958984375,115.09382629394531,35.130001068115234,28.642000102996825,0.5082613574004923
2022-03-09,141.5852813720703,119.70475769042969,32.45000076293945,29.192500114440918,0.12844928075345743
2022-03-10,145.45977783203125,118.28739166259766,30.229999542236328,29.706000137329102,0.5237853556079485
2022-03-11,145.52786254882812,115.62307739257812,30.75,30.048000144958497,0.5385073843639263
2022-03-14,141.96847534179688,116.77132415771484,31.770000457763672,30.268500137329102,0.17577681960300323
2022-03-15,134.78147888183594,118.84354400634766,29.829999923706055,30.3435001373291,-0.5559112133194891
2022-03-16,134.29611206054688,124.15420532226562,26.670000076293945,30.392000102996825,-0.6205565680909773
2022-03-17,136.62081909179688,125.72407531738281,25.670000076293945,30.461000061035158,-0.390483509903932
2022-03-18,137.71926879882812,125.67919921875,23.8700008392334,30.249000072479248,-0.27945417662651245
2022-03-21,140.197265625,125.27552032470703,23.530000686645508,30.038000106811523,-0.028091772473552448
2022-03-22,139.72891235351562,127.93985748291016,22.940000534057617,29.744500160217285,-0.0832241285756815
2022-03-23,141.2361297607422,125.39215087890625,23.56999969482422,29.37200012207031,0.07644617414852797
2022-03-24,141.61083984375,126.20850372314453,21.670000076293945,28.9395001411438,0.11187135313041986
2022-03-25,144.17391967773438,127.3118896484375,20.809999465942383,28.600500106811523,0.36738415572273103
2022-03-28,141.65341186523438,126.36994934082031,19.6299991607666,28.07450008392334,0.11569375903823201
2022-03-29,139.92477416992188,126.64801788330078,18.899999618530273,27.353500080108642,-0.05964493113889065
2022-03-30,140.91256713867188,126.07390594482422,19.329999923706055,26.78300008773804,0.041771717746685554
2022-03-31,138.6559600830078,122.28826904296875,20.559999465942383,26.28700008392334,-0.17489906900245528
2022-04-01,139.8396453857422,121.38227844238281,19.6299991607666,25.669500064849853,-0.05272792397391078
2022-04-04,139.9673309326172,121.92050170898438,18.56999969482422,24.77550001144409,-0.041422521871555
2022-04-05,139.1072998046875,120.50169372558594,21.030000686645508,24.070499992370607,-0.12407001085007735
2022-04-06,140.34201049804688,118.82979583740234,22.100000381469727,23.55299997329712,0.0055087021542870734
2022-04-07,142.2920684814453,118.46830749511719,21.549999237060547,23.11899995803833,0.20344724446404586
2022-04-08,144.701904296875,120.63722229003906,21.15999984741211,22.639499950408936,0.4403501011246597
2022-04-11,140.98068237304688,120.19439697265625,24.3700008392334,22.26949996948242,0.06596791143061437
2022-04-12,143.91848754882812,118.87496185302734,24.260000228881836,21.99099998474121,0.36644915356236235
2022-04-13,146.18359375,115.04322052001953,21.81999969482422,21.748499965667726,0.6064167081419858
2022-04-14,146.11541748046875,113.9768295288086,22.700000762939453,21.6,0.6026750734225237
2022-04-18,148.07398986816406,116.091552734375,22.170000076293945,21.51499996185303,0.7941789700914528
2022-04-19,146.31983947753906,118.49542999267578,21.3700008392334,21.40699996948242,0.6100025217168887
2022-04-20,146.91590881347656,118.91111755371094,20.31999969482422,21.27599992752075,0.6689559092501729
2022-04-21,140.14617919921875,117.98933410644531,22.68000030517578,21.23149995803833,-0.011786237955376344
2022-04-22,137.0550994873047,114.60038757324219,28.209999084472656,21.558499908447267,-0.31387214630977145
2022-04-25,134.10874938964844,114.56425476074219,27.020000457763672,21.86899995803833,-0.611222933282176
2022-04-26,133.29129028320312,111.17530059814453,33.52000045776367,22.563500022888185,-0.6837689301075173
2022-04-27,133.04437255859375,109.72933959960938,31.600000381469727,23.198500061035155,-0.7044378116676951
2022-04-28,137.7703857421875,111.4645004272461,29.989999771118164,23.73150005340576,-0.23242090540417942
2022-04-29,133.41049194335938,107.86770629882812,33.400001525878906,24.37350015640259,-0.66199131675986
2022-05-02,136.0332489013672,108.85274505615234,32.34000015258789,25.00900020599365,-0.4001050205776121
2022-05-03,138.366455078125,111.1843490600586,29.25,25.54300022125244,-0.17141776676488946
2022-05-04,142.7093048095703,114.86248016357422,25.420000076293945,25.762500190734862,0.2561923154097042
2022-05-05,141.5767364501953,111.98865509033203,31.200000762939453,26.21750020980835,0.15031613084798237
2022-05-06,145.3490753173828,111.80791473388672,30.190000534057617,26.6495002746582,0.531695832036199
2022-05-09,135.6074981689453,110.12699890136719,34.75,27.3290002822876,-0.4468415100397509
2022-05-10,136.91030883789062,107.44295501708984,32.9900016784668,27.76000032424927,-0.3074060634981989
2022-05-11,138.93699645996094,106.76515197753906,32.560001373291016,28.175000381469726,-0.10079937968290521
2022-05-12,140.2568817138672,106.67479705810547,31.770000457763672,28.6725004196167,0.0327195824782
2022-05-13,142.9477081298828,107.62368774414062,28.8700008392334,28.981000423431396,0.30158450834756684
2022-05-16,147.32461547851562,106.87359619140625,27.469999313354492,29.246000385284425,0.7456773073592227
2022-05-17,148.19325256347656,110.41618347167969,26.100000381469727,29.48250036239624,0.822937562654232
2022-05-18,144.28680419921875,108.52741241455078,30.959999084472656,30.01450033187866,0.4341146669790866
2022-05-19,143.25656127929688,106.91880798339844,29.350000381469727,30.34800033569336,0.3348420467742747
2022-05-20,144.08079528808594,106.04219055175781,29.43000030517578,30.409000396728516,0.42063723018324395
2022-05-23,147.42910766601562,112.6031723022461,28.479999542236328,30.48200035095215,0.7393488521842121
2022-05-24,148.21897888183594,114.19371795654297,29.450000762939453,30.278500366210938,0.8144072538221822
2022-05-25,150.5971221923828,114.9889907836914,28.3700008392334,30.117000389099122,1.0521568761755205
2022-05-26,151.61021423339844,116.9771728515625,27.5,29.992500400543214,1.1485798483429286
2022-05-27,153.06114196777344,118.6309814453125,25.719999313354492,29.608500289916993,1.2901907514353284
2022-05-31,149.95323181152344,119.4985122680664,26.190000534057617,29.301000308990478,0.9738672595536639
2022-06-01,151.37841796875,117.40192413330078,25.690000534057617,29.12300033569336,1.1239269905777982
2022-06-02,151.1036834716797,119.29067993164062,24.719999313354492,29.088000297546387,1.090626623645268
2022-06-03,152.47735595703125,117.62785339355469,24.790000915527344,28.76750030517578,1.2342079011923413
2022-06-06,151.81625366210938,117.2392349243164,25.06999969482422,28.51150026321411,1.1686091866292803
2022-06-07,154.70953369140625,117.54651641845703,24.020000457763672,27.975000286102294,1.4598034028117226
2022-06-08,155.50802612304688,115.67581939697266,23.959999084472656,27.523500156402587,1.5459280579704924
2022-06-09,152.40866088867188,113.24480438232422,26.09000015258789,27.200000095367432,1.2401838567623886
2022-06-10,150.5885467529297,108.03941345214844,27.75,26.999000072479248,1.0717626715550723
2022-06-13,143.66009521484375,104.82218170166016,34.02000045776367,27.256500053405762,0.38175805999208445
2022-06-14,143.84898376464844,103.0780029296875,32.689998626708984,27.517500019073488,0.4059657187445492
2022-06-15,141.0243682861328,104.29802703857422,29.6200008392334,27.69350004196167,0.11720470477209213
2022-06-16,133.48635864257812,102.50865936279297,32.95000076293945,27.79300012588501,-0.6385456904749023
2022-06-17,127.39071655273438,102.14717102050781,31.1299991607666,27.882000064849855,-1.2528838744312782
