Date,BP,V,VIX,AvgVIX,zscore
2020-01-30,26.3572998046875,199.1561279296875,15.489999771118164,13.696000051498412,2.7161374221605015
2020-01-31,25.716691970825195,190.3179168701172,18.84000015258789,14.014500045776368,2.702930415601783
2020-02-03,25.07608985900879,192.07786560058594,17.969999313354492,14.211999988555908,2.434611804277879
2020-02-04,25.98005485534668,194.70831298828125,16.049999237060547,14.32199993133545,2.6901406832253656
2020-02-05,26.81283187866211,193.9909210205078,15.149999618530273,14.389999914169312,3.0011475698717733
2020-02-06,26.250532150268555,194.21090698242188,14.960000038146973,14.465499925613404,2.7975170927497124
2020-02-07,25.88751792907715,193.9239959716797,15.470000267028809,14.611999940872192,2.6763806278932045
2020-02-10,25.759401321411133,197.03269958496094,15.039999961853027,14.735999917984008,2.55636000818381
2020-02-11,26.015636444091797,195.07180786132812,15.180000305175781,14.878999948501587,2.6939411995376172
2020-02-12,26.45694351196289,198.4196014404297,13.739999771118164,14.946499919891357,2.769013177718466
2020-02-13,26.1962890625,198.66864013671875,14.149999618530273,15.032999897003174,2.6710800690527754
2020-02-14,26.065954208374023,201.43698120117188,13.680000305175781,15.100999927520752,2.5584700643198857
2020-02-18,26.131126403808594,202.3086700439453,14.829999923706055,15.237499904632568,2.5604748254610605
2020-02-19,26.246971130371094,204.32984924316406,14.380000114440918,15.313999891281128,2.55268290781683
2020-02-20,26.051475524902344,202.54812622070312,15.5600004196167,15.446499919891357,2.5266161950327404
2020-02-21,25.602567672729492,200.01925659179688,17.079999923706055,15.651499938964843,2.429150529033812
2020-02-24,24.661298751831055,190.4210968017578,25.030000686645508,16.174999952316284,2.3281870637780058
2020-02-25,23.843107223510742,180.468505859375,27.850000381469727,16.655999994277956,2.2791673051391053
2020-02-26,23.662099838256836,179.32862854003906,27.559999465942383,17.219999933242796,2.242760706021108
2020-02-27,22.829437255859375,172.43173217773438,39.15999984741211,18.35849995613098,2.1150815407897885
2020-02-28,22.65566062927246,174.10809326171875,40.11000061035156,19.589499998092652,2.013434296232954
2020-03-02,23.336273193359375,184.23309326171875,33.41999816894531,20.318499898910524,2.0097768804087432
2020-03-03,23.111814498901367,177.9109344482422,36.81999969482422,21.26099991798401,2.082789378131059
2020-03-04,23.995162963867188,186.11058044433594,31.989999771118164,22.05799994468689,2.196987392935264
2020-03-05,23.604171752929688,179.08917236328125,39.619998931884766,23.281499910354615,2.228092306936683
2020-03-06,22.626699447631836,176.59860229492188,41.939998626708984,24.630499839782715,1.9432687781185478
2020-03-09,18.304096221923828,163.9255828857422,54.459999084472656,26.57999978065491,0.7236532095936253
2020-03-10,19.397417068481445,174.91270446777344,47.29999923706055,28.192999744415282,0.8448142296089671
2020-03-11,17.855175018310547,165.66896057128906,53.900001525878906,30.12899980545044,0.5233434250996979
2020-03-12,15.617853164672852,153.3407745361328,75.47000122070312,33.21549987792969,0.030950331477963763
2020-03-13,16.052284240722656,168.42771911621094,57.83000183105469,35.39949998855591,-0.17898199413897045
2020-03-16,13.641183853149414,145.61053466796875,82.69000244140625,38.850000095367434,-0.48018453137141526
2020-03-17,13.641183853149414,151.24298095703125,75.91000366210938,41.9040002822876,-0.6157659726705315
2020-03-18,11.664517402648926,142.22915649414062,76.44999694824219,45.007500123977664,-1.0960020174223426
2020-03-19,12.308923721313477,145.84043884277344,72.0,47.829500102996825,-0.9556351802456658
2020-03-20,12.591304779052734,140.6486053466797,66.04000091552734,50.27750015258789,-0.7310581401218164
2020-03-23,13.170551300048828,130.02548217773438,61.59000015258789,52.10550012588501,-0.2710310318959567
2020-03-24,16.016084671020508,148.02444458007812,61.66999816894531,53.796500015258786,0.29938710785658806
2020-03-25,17.587284088134766,154.96917724609375,63.95000076293945,55.61600008010864,0.6864124452414528
2020-03-26,17.68140983581543,161.770263671875,61.0,56.708000087738036,0.5559002357104958
2020-03-27,16.182619094848633,154.75845336914062,65.54000091552734,57.97950010299682,0.19602963932003187
2020-03-30,17.319379806518555,158.5996551513672,57.08000183105469,59.16250028610229,0.5045258462445074
2020-03-31,17.659685134887695,154.33697509765625,53.540000915527344,59.99850034713745,0.7271678909185061
2020-04-01,17.645206451416016,146.6642303466797,57.060001373291016,61.252000427246095,0.9067554405421197
2020-04-02,18.847139358520508,150.76400756835938,50.90999984741211,61.81650047302246,1.2320149690335296
2020-04-03,17.898624420166016,145.45724487304688,46.79999923706055,62.059500503540036,1.0251953060361794
2020-04-06,18.137563705444336,162.30674743652344,45.2400016784668,61.598500633239745,0.7038814463505386
2020-04-07,17.956546783447266,161.49253845214844,46.70000076293945,61.568500709533694,0.6596321574908616
2020-04-08,18.383739471435547,167.57518005371094,43.349998474121094,61.041000556945804,0.6638937941677014
2020-04-09,18.028955459594727,166.37782287597656,41.66999816894531,59.35100040435791,0.5675761059548702
2020-04-13,18.03619956970215,161.87571716308594,41.16999816894531,58.51800022125244,0.6785037038270878
2020-04-14,17.695890426635742,167.26864624023438,37.7599983215332,56.27150001525879,0.4286535221631128
2020-04-15,16.537405014038086,158.9732208251953,40.84000015258789,54.51799983978272,0.21971440318143276
2020-04-16,15.820587158203125,155.58229064941406,40.11000061035156,52.70100002288818,0.048502267585706964
2020-04-17,16.9645938873291,162.40249633789062,38.150001525878906,51.00850009918213,0.28784520106527073
2020-04-20,16.182619094848633,157.30650329589844,43.83000183105469,49.898000144958495,0.1346942507797475
2020-04-21,15.668536186218262,153.77183532714844,45.40999984741211,49.089000129699706,0.038451031503534204
2020-04-22,16.892189025878906,159.57675170898438,41.97999954223633,48.104500198364256,0.33032638213091275
2020-04-23,16.928390502929688,159.37554931640625,41.380001068115234,46.976000213623045,0.3479386575223472
2020-04-24,16.935630798339844,160.2760009765625,35.93000030517578,45.722500228881835,0.32881724003898216
2020-04-27,17.601762771606445,164.529052734375,33.290000915527344,44.11000022888184,0.46139882457292214
2020-04-28,17.49315071105957,164.04052734375,33.56999969482422,42.93450012207031,0.434848578494649
2020-04-29,18.41269874572754,174.13682556152344,31.229999542236328,41.81900005340576,0.5161596846877929
2020-04-30,17.232492446899414,171.19607543945312,34.150001525878906,40.673500061035156,0.17066407047984317
2020-05-01,16.530162811279297,168.1786346435547,37.189998626708984,39.9875,-0.004428211716885661
2020-05-04,16.834264755249023,168.7342071533203,35.970001220703125,39.44600009918213,0.08946155304671956
2020-05-05,17.283180236816406,170.92784118652344,33.61000061035156,38.86450004577637,0.19499953435956982
2020-05-06,17.07320213317871,171.2535400390625,34.119998931884766,38.235499954223634,0.11309572658822628
2020-05-07,17.42074966430664,175.02764892578125,31.440000534057617,37.64000005722046,0.14483467045655493
2020-05-08,17.866865158081055,177.29786682128906,27.979999542236328,36.95550012588501,0.247541547884154
2020-05-11,17.472795486450195,175.832275390625,27.56999969482422,36.275500202178954,0.14382377245408473
2020-05-12,17.14564323425293,171.9145050048828,33.040000915527344,36.03950033187866,0.1227368256865431
2020-05-13,16.528520584106445,169.91871643066406,35.279998779296875,35.76150026321411,-0.046893842168455956
2020-05-14,16.46160316467285,173.5744171142578,32.61000061035156,35.38650026321411,-0.1584952463522843
2020-05-15,16.223678588867188,176.05955505371094,31.889999389648438,35.07350015640259,-0.3022373117790964
2020-05-18,17.4802303314209,183.6300506591797,29.299999237060547,34.34700002670288,-0.04125796129634184
2020-05-19,17.03411865234375,181.69186401367188,30.530000686645508,33.60300006866455,-0.15195598404952187
2020-05-20,17.562021255493164,186.0095977783203,27.989999771118164,32.90350008010864,-0.06968783407717963
2020-05-21,17.38357162475586,182.90084838867188,29.530000686645508,32.31100006103516,-0.057798551032727026
2020-05-22,17.086164474487305,183.13107299804688,28.15999984741211,31.92250003814697,-0.16824223634846303
2020-05-26,17.294349670410156,185.3955078125,28.010000228881836,31.658500003814698,-0.1493192326676015
2020-05-27,17.792509078979492,185.01173400878906,27.6200008392334,31.361000061035156,0.03563020754933698
2020-05-28,17.294349670410156,186.39341735839844,28.59000015258789,31.229000091552734,-0.17334041415348383
2020-05-29,17.205127716064453,187.33372497558594,27.510000228881836,30.89700002670288,-0.22744551339044808
2020-06-01,17.72559356689453,186.4797821044922,28.229999542236328,30.449000072479247,-0.023310440543058784
2020-06-02,18.5509090423584,188.40838623046875,26.84000015258789,29.992500019073486,0.2213714994513504
2020-06-03,19.257247924804688,188.89772033691406,25.65999984741211,29.594999980926513,0.45873325322037184
2020-06-04,19.101112365722656,185.7985382080078,25.809999465942383,29.179500007629393,0.4782628860324512
2020-06-05,20.60302734375,191.52674865722656,24.520000457763672,28.8335000038147,0.8701336435998239
2020-06-08,21.1011905670166,191.5171356201172,25.809999465942383,28.725,1.0460778177541286
2020-06-09,20.32792854309082,191.01828002929688,27.56999969482422,28.725,0.7853400437315713
2020-06-10,19.6141414642334,192.36154174804688,27.56999969482422,28.451499938964844,0.501237818721736
2020-06-11,17.89659881591797,181.2312774658203,40.790000915527344,28.727000045776368,0.16334614035448358
2020-06-12,18.402198791503906,184.47438049316406,36.09000015258789,28.901000022888184,0.2636156545864798
2020-06-15,18.11222267150879,183.99461364746094,34.400001525878906,29.026500129699706,0.17288361247089765
2020-06-16,18.253496170043945,185.06930541992188,33.66999816894531,29.245000076293945,0.19684433788730674
2020-06-17,17.621503829956055,185.72174072265625,33.470001220703125,29.392000102996825,-0.04177791212932595
2020-06-18,17.61406707763672,186.05758666992188,32.939998626708984,29.639500045776366,-0.05248532933128276
2020-06-19,17.59919548034668,184.4168243408203,35.119998931884766,29.91899995803833,-0.018235244837405764
