Date,INTC,AMD,VIX,AvgVIX,zscore
2022-01-31,45.27891540527344,114.25,24.829999923706055,23.18100004196167,1.7713898320518366
2022-02-01,45.39947509765625,116.77999877929688,21.959999084472656,23.448999977111818,1.7246218897284578
2022-02-02,45.918861389160156,122.76000213623047,22.09000015258789,23.707999992370606,1.6606986981150818
2022-02-03,44.778076171875,120.08000183105469,24.350000381469727,23.939000034332274,1.5087735155573707
2022-02-04,44.86685562133789,123.5999984741211,23.219999313354492,24.119499969482423,1.4280035590801154
2022-02-07,45.025726318359375,123.66999816894531,22.860000610351562,24.324499988555907,1.4576401121677827
2022-02-08,45.614479064941406,128.22999572753906,21.440000534057617,24.426500034332275,1.447217281638622
2022-02-09,46.64247131347656,132.85000610351562,19.959999084472656,24.503999996185303,1.5224658720561732
2022-02-10,45.66121292114258,125.7699966430664,23.90999984741211,24.818499946594237,1.52529678968936
2022-02-11,44.5117301940918,113.18000030517578,27.360000610351562,25.171000003814697,1.648742353996609
2022-02-14,44.465003967285156,114.2699966430664,28.329999923706055,25.62799997329712,1.6089719749683258
2022-02-15,45.26870346069336,121.47000122070312,25.700000762939453,25.773499965667725,1.567475491185789
2022-02-16,45.072444915771484,117.69000244140625,24.290000915527344,25.795499992370605,1.6341416913302926
2022-02-17,44.45566177368164,112.37000274658203,28.110000610351562,25.92150001525879,1.6602412047854544
2022-02-18,42.09130096435547,113.83000183105469,27.75,25.866499996185304,1.1492278941994885
2022-02-22,41.76421356201172,115.6500015258789,28.809999465942383,25.811999988555907,1.0332912765848623
2022-02-23,41.726829528808594,109.76000213623047,31.020000457763672,25.805000019073486,1.1905513125112883
2022-02-24,43.661312103271484,116.61000061035156,30.31999969482422,25.723000049591064,1.3837150772486968
2022-02-25,44.58649444580078,121.05999755859375,27.59000015258789,25.57800006866455,1.443272213284398
2022-02-28,44.5771484375,123.33999633789062,30.149999618530273,25.70250005722046,1.3776609649764728
2022-03-01,43.75476837158203,113.83000183105469,33.31999969482422,26.127000045776366,1.4800337872092624
2022-03-02,45.670555114746094,118.27999877929688,30.739999771118164,26.566000080108644,1.7365877336109412
