Date,BP,MS,VIX,AvgVIX,zscore
2020-01-30,26.3572998046875,44.35104751586914,15.489999771118164,13.696000051498412,3.458137329103125
2020-01-31,25.716691970825195,43.06549835205078,18.84000015258789,14.014500045776368,3.2549349949601765
2020-02-03,25.07608985900879,43.3456916809082,17.969999313354492,14.211999988555908,2.998076192128864
2020-02-04,25.98005485534668,44.5158576965332,16.049999237060547,14.32199993133545,3.3068820605383538
2020-02-05,26.81283187866211,45.31520462036133,15.149999618530273,14.389999914169312,3.600919276719374
2020-02-06,26.250532150268555,45.331668853759766,14.960000038146973,14.465499925613404,3.3833213540689386
2020-02-07,25.88751792907715,45.348167419433594,15.470000267028809,14.611999940872192,3.2426414956796203
2020-02-10,25.759401321411133,45.611854553222656,15.039999961853027,14.735999917984008,3.1841550040416124
2020-02-11,26.015636444091797,45.96620559692383,15.180000305175781,14.878999948501587,3.2709116130129203
2020-02-12,26.45694351196289,46.29583740234375,13.739999771118164,14.946499919891357,3.429948521066604
2020-02-13,26.1962890625,46.08982467651367,14.149999618530273,15.032999897003174,3.336402543290029
2020-02-14,26.065954208374023,46.01565170288086,13.680000305175781,15.100999927520752,3.2886384768351116
2020-02-18,26.131126403808594,45.751956939697266,14.829999923706055,15.237499904632568,3.322830254991882
2020-02-19,26.246971130371094,46.40296936035156,14.380000114440918,15.313999891281128,3.345232954091296
2020-02-20,26.051475524902344,44.293365478515625,15.5600004196167,15.446499919891357,3.3420735648628206
2020-02-21,25.602567672729492,43.197357177734375,17.079999923706055,15.651499938964843,3.2063669997589677
2020-02-24,24.661298751831055,40.93943405151367,25.030000686645508,16.174999952316284,2.92044065585044
2020-02-25,23.843107223510742,39.57971954345703,27.850000381469727,16.655999994277956,2.6512371185645867
2020-02-26,23.662099838256836,38.92871856689453,27.559999465942383,17.219999933242796,2.6036828644584045
2020-02-27,22.829437255859375,37.42067337036133,39.15999984741211,18.35849995613098,2.333977218132472
2020-02-28,22.65566062927246,37.1075439453125,40.11000061035156,19.589499998092652,2.2776348514809386
2020-03-02,23.336273193359375,38.30242156982422,33.41999816894531,20.318499898910524,2.499385367973452
2020-03-03,23.111814498901367,36.58838653564453,36.81999969482422,21.26099991798401,2.471490631254997
2020-03-04,23.995162963867188,37.28059768676758,31.989999771118164,22.05799994468689,2.788718753590509
2020-03-05,23.604171752929688,35.09681701660156,39.619998931884766,23.281499910354615,2.712645002014748
2020-03-06,22.626699447631836,34.47878646850586,41.939998626708984,24.630499839782715,2.356545220704494
2020-03-09,18.304096221923828,30.9023494720459,54.459999084472656,26.57999978065491,0.810694121318953
2020-03-10,19.397417068481445,32.55046081542969,47.29999923706055,28.192999744415282,1.1762072357872746
2020-03-11,17.855175018310547,30.383182525634766,53.900001525878906,30.12899980545044,0.6552137984075461
2020-03-12,15.617853164672852,25.8013973236084,75.47000122070312,33.21549987792969,-0.051316922476975065
2020-03-13,16.052284240722656,30.9023494720459,57.83000183105469,35.39949998855591,-0.05844920248435127
2020-03-16,13.641183853149414,26.081581115722656,82.69000244140625,38.850000095367434,-0.8238640512059646
2020-03-17,13.641183853149414,27.845077514648438,75.91000366210938,41.9040002822876,-0.8842998409695296
2020-03-18,11.664517402648926,25.339929580688477,76.44999694824219,45.007500123977664,-1.5613913338823826
2020-03-19,12.308923721313477,25.480012893676758,72.0,47.829500102996825,-1.3174672655714812
2020-03-20,12.591304779052734,24.44993782043457,66.04000091552734,50.27750015258789,-1.1731740909807729
2020-03-23,13.170551300048828,22.91717529296875,61.59000015258789,52.10550012588501,-0.897070925561349
2020-03-24,16.016084671020508,27.375354766845703,61.66999816894531,53.796500015258786,0.04845031036819098
2020-03-25,17.587284088134766,28.009885787963867,63.95000076293945,55.61600008010864,0.6331484865097408
2020-03-26,17.68140983581543,29.427268981933594,61.0,56.708000087738036,0.6209043406308852
2020-03-27,16.182619094848633,28.02635955810547,65.54000091552734,57.97950010299682,0.09041823120752578
2020-03-30,17.319379806518555,28.710344314575195,57.08000183105469,59.16250028610229,0.5057390894654145
2020-03-31,17.659685134887695,28.018125534057617,53.540000915527344,59.99850034713745,0.6608111070914723
2020-04-01,17.645206451416016,26.056861877441406,57.060001373291016,61.252000427246095,0.722436055820089
2020-04-02,18.847139358520508,27.935720443725586,50.90999984741211,61.81650047302246,1.1219629118911363
2020-04-03,17.898624420166016,27.894514083862305,46.79999923706055,62.059500503540036,0.7572719365930578
2020-04-06,18.137563705444336,30.498552322387695,45.2400016784668,61.598500633239745,0.7602550231082703
2020-04-07,17.956546783447266,30.440876007080078,46.70000076293945,61.568500709533694,0.6923635934656324
2020-04-08,18.383739471435547,32.44334411621094,43.349998474121094,61.041000556945804,0.7886238737164455
2020-04-09,18.028955459594727,33.85248947143555,41.66999816894531,59.35100040435791,0.603394058981995
2020-04-13,18.03619956970215,32.616397857666016,41.16999816894531,58.51800022125244,0.6485515030466894
2020-04-14,17.695890426635742,32.84714126586914,37.7599983215332,56.27150001525879,0.5092929750686719
2020-04-15,16.537405014038086,31.644001007080078,40.84000015258789,54.51799983978272,0.10337860870175321
2020-04-16,15.820587158203125,31.61103630065918,40.11000061035156,52.70100002288818,-0.17216551022603305
2020-04-17,16.9645938873291,32.21259307861328,38.150001525878906,51.00850009918213,0.24877697297392382
2020-04-20,16.182619094848633,31.61103630065918,43.83000183105469,49.898000144958495,-0.03243020223145624
2020-04-21,15.668536186218262,30.44911003112793,45.40999984741211,49.089000129699706,-0.19103367787423145
2020-04-22,16.892189025878906,31.157806396484375,41.97999954223633,48.104500198364256,0.2569784993839082
2020-04-23,16.928390502929688,30.877634048461914,41.380001068115234,46.976000213623045,0.28055299602196626
2020-04-24,16.935630798339844,31.289653778076172,35.93000030517578,45.722500228881835,0.2692274740597074
2020-04-27,17.601762771606445,32.39390563964844,33.290000915527344,44.11000022888184,0.48849462763267243
2020-04-28,17.49315071105957,33.06963348388672,33.56999969482422,42.93450012207031,0.4234155906219845
2020-04-29,18.41269874572754,33.90925598144531,31.229999542236328,41.81900005340576,0.7495639939435792
2020-04-30,17.232492446899414,32.7786750793457,34.150001525878906,40.673500061035156,0.3327792658787453
2020-05-01,16.530162811279297,31.922426223754883,37.189998626708984,39.9875,0.09104154541041866
2020-05-04,16.834264755249023,31.664716720581055,35.970001220703125,39.44600009918213,0.21724913641294127
2020-05-05,17.283180236816406,31.57327651977539,33.61000061035156,38.86450004577637,0.39365302367047816
2020-05-06,17.07320213317871,31.007980346679688,34.119998931884766,38.235499954223634,0.33197965308808597
2020-05-07,17.42074966430664,32.263267517089844,31.440000534057617,37.64000005722046,0.42310510328452067
2020-05-08,17.866865158081055,33.319026947021484,27.979999542236328,36.95550012588501,0.5591132339507935
2020-05-11,17.472795486450195,33.11119842529297,27.56999969482422,36.275500202178954,0.41413453239895043
2020-05-12,17.14564323425293,31.939048767089844,33.040000915527344,36.03950033187866,0.3280319929904217
2020-05-13,16.528520584106445,30.750274658203125,35.279998779296875,35.76150026321411,0.13057783137189127
2020-05-14,16.46160316467285,31.431941986083984,32.61000061035156,35.38650026321411,0.08138833837201738
2020-05-15,16.223678588867188,30.999662399291992,31.889999389648438,35.07350015640259,0.0043697894283158244
2020-05-18,17.4802303314209,33.48529052734375,29.299999237060547,34.34700002670288,0.40418389803784716
2020-05-19,17.03411865234375,32.695552825927734,30.530000686645508,33.60300006866455,0.2590605592353883
2020-05-20,17.562021255493164,34.13371658325195,27.989999771118164,32.90350008010864,0.4135313136282888
2020-05-21,17.38357162475586,33.50191116333008,29.530000686645508,32.31100006103516,0.36630644895483155
2020-05-22,17.086164474487305,33.360595703125,28.15999984741211,31.92250003814697,0.2563576408377254
2020-05-26,17.294349670410156,36.32005310058594,28.010000228881836,31.658500003814698,0.23529004566353737
2020-05-27,17.792509078979492,38.9553337097168,27.6200008392334,31.361000061035156,0.3372549519901886
2020-05-28,17.294349670410156,36.91029739379883,28.59000015258789,31.229000091552734,0.21506211662694413
2020-05-29,17.205127716064453,36.74404525756836,27.510000228881836,30.89700002670288,0.18632219822482643
2020-06-01,17.72559356689453,37.15969467163086,28.229999542236328,30.449000072479247,0.3729645634463571
2020-06-02,18.5509090423584,37.8912467956543,26.84000015258789,29.992500019073486,0.6664451653718121
2020-06-03,19.257247924804688,38.99689483642578,25.65999984741211,29.594999980926513,0.9011833365164322
2020-06-04,19.101112365722656,40.47662353515625,25.809999465942383,29.179500007629393,0.7902079535535866
2020-06-05,20.60302734375,41.17493438720703,24.520000457763672,28.8335000038147,1.3459782997501477
2020-06-08,21.1011905670166,41.69034194946289,25.809999465942383,28.725,1.5205936511800147
2020-06-09,20.32792854309082,41.89817810058594,27.56999969482422,28.725,1.2150111393215681
2020-06-10,19.6141414642334,40.47662353515625,27.56999969482422,28.451499938964844,0.9882244041320164
2020-06-11,17.89659881591797,37.05162048339844,40.790000915527344,28.727000045776368,0.4426720787054772
2020-06-12,18.402198791503906,38.47316360473633,36.09000015258789,28.901000022888184,0.5891041709347106
2020-06-15,18.11222267150879,39.404239654541016,34.400001525878906,29.026500129699706,0.44527223119105397
2020-06-16,18.253496170043945,40.368560791015625,33.66999816894531,29.245000076293945,0.4667525765801738
2020-06-17,17.621503829956055,39.70349884033203,33.470001220703125,29.392000102996825,0.24561124131441037
