Date,WFC,MNST,VIX,AvgVIX,zscore
2020-01-30,40.615787506103516,33.505001068115234,15.489999771118164,13.696000051498412,2.809241439642229
2020-01-31,39.7934684753418,33.29999923706055,18.84000015258789,14.014500045776368,2.643789346334748
2020-02-03,39.9460563659668,33.709999084472656,17.969999313354492,14.211999988555908,2.6944881744316165
2020-02-04,40.06474304199219,34.439998626708984,16.049999237060547,14.32199993133545,2.756024689976117
2020-02-05,40.95489501953125,34.474998474121094,15.149999618530273,14.389999914169312,2.925075829664812
2020-02-06,41.1091194152832,34.724998474121094,14.960000038146973,14.465499925613404,2.9674798448294357
2020-02-07,40.98916244506836,34.45500183105469,15.470000267028809,14.611999940872192,2.9304361204003437
2020-02-10,40.929176330566406,34.584999084472656,15.039999961853027,14.735999917984008,2.9261599062923813
2020-02-11,41.117679595947266,34.57500076293945,15.180000305175781,14.878999948501587,2.9610230390147136
2020-02-12,40.946327209472656,34.625,13.739999771118164,14.946499919891357,2.9315314077801484
2020-02-13,41.229068756103516,34.845001220703125,14.149999618530273,15.032999897003174,2.9964579445366186
2020-02-14,41.31473922729492,34.93000030517578,13.680000305175781,15.100999927520752,3.0171165972198315
2020-02-18,40.26089859008789,34.79999923706055,14.829999923706055,15.237499904632568,2.8122173372402983
2020-02-19,40.3465690612793,35.040000915527344,14.380000114440918,15.313999891281128,2.8412094667988756
2020-02-20,40.560768127441406,35.20000076293945,15.5600004196167,15.446499919891357,2.8900379297032157
2020-02-21,40.86921310424805,34.869998931884766,17.079999923706055,15.651499938964843,2.9302214674319975
2020-02-24,39.746795654296875,34.095001220703125,25.030000686645508,16.174999952316284,2.677766312053686
2020-02-25,38.6586799621582,33.310001373291016,27.850000381469727,16.655999994277956,2.431215234309503
2020-02-26,37.81901168823242,32.939998626708984,27.559999465942383,17.219999933242796,2.253633953557295
2020-02-27,36.38816833496094,31.8700008392334,39.15999984741211,18.35849995613098,1.9273965728924816
2020-02-28,35.000144958496094,31.204999923706055,40.11000061035156,19.589499998092652,1.6309747662774101
2020-03-02,36.20823287963867,32.3849983215332,33.41999816894531,20.318499898910524,1.9212929699756152
2020-03-03,34.72597885131836,31.889999389648438,36.81999969482422,21.26099991798401,1.6163146610265744
2020-03-04,35.47139358520508,34.025001525878906,31.989999771118164,22.05799994468689,1.871087731766128
2020-03-05,33.329383850097656,33.564998626708984,39.619998931884766,23.281499910354615,1.4440896354276547
2020-03-06,31.778594970703125,33.095001220703125,41.939998626708984,24.630499839782715,1.127584735997138
2020-03-09,27.82875633239746,30.93000030517578,54.459999084472656,26.57999978065491,0.26941203089426674
2020-03-10,30.05643081665039,33.064998626708984,47.29999923706055,28.192999744415282,0.8025514212549414
2020-03-11,27.700244903564453,30.905000686645508,53.900001525878906,30.12899980545044,0.2439336793388182
2020-03-12,23.30487060546875,28.69499969482422,75.47000122070312,33.21549987792969,-0.7003294248015162
2020-03-13,26.466453552246094,31.19499969482422,57.83000183105469,35.39949998855591,0.02782056094075006
2020-03-16,22.705120086669922,28.719999313354492,82.69000244140625,38.850000095367434,-0.8116177549241774
2020-03-17,25.386890411376953,29.8700008392334,75.91000366210938,41.9040002822876,-0.24615657734102067
2020-03-18,24.09312629699707,27.94499969482422,76.44999694824219,45.007500123977664,-0.5926185935434591
2020-03-19,24.23878288269043,27.15999984741211,72.0,47.829500102996825,-0.6074687827073236
2020-03-20,22.705120086669922,26.049999237060547,66.04000091552734,50.27750015258789,-0.9551662164025457
2020-03-23,21.634117126464844,25.485000610351562,61.59000015258789,52.10550012588501,-1.186675516112543
2020-03-24,24.778562545776367,26.864999771118164,61.66999816894531,53.796500015258786,-0.5219590649292282
2020-03-25,24.821401596069336,26.829999923706055,63.95000076293945,55.61600008010864,-0.515795658084258
2020-03-26,26.475021362304688,28.920000076293945,61.0,56.708000087738036,-0.09288228239113884
2020-03-27,25.943809509277344,28.19499969482422,65.54000091552734,57.97950010299682,-0.2316217373075276
2020-03-30,25.635356903076172,29.0,57.08000183105469,59.16250028610229,-0.24626914295202965
2020-03-31,24.590068817138672,28.1299991607666,53.540000915527344,59.99850034713745,-0.4893471979238664
2020-04-01,22.765090942382812,26.549999237060547,57.060001373291016,61.252000427246095,-0.9170220312170304
2020-04-02,23.322010040283203,27.530000686645508,50.90999984741211,61.81650047302246,-0.7597450463526105
2020-04-03,22.473777770996094,27.110000610351562,46.79999923706055,62.059500503540036,-0.9416226645031537
2020-04-06,24.53009033203125,29.03499984741211,45.2400016784668,61.598500633239745,-0.45195510759265
2020-04-07,24.650043487548828,29.204999923706055,46.70000076293945,61.568500709533694,-0.4202882616949332
2020-04-08,25.943809509277344,30.1299991607666,43.349998474121094,61.041000556945804,-0.1275894570227106
2020-04-09,28.445653915405273,30.2549991607666,41.66999816894531,59.35100040435791,0.3489742224951257
2020-04-13,26.929122924804688,29.764999389648438,41.16999816894531,58.51800022125244,0.03782751517469077
2020-04-14,25.85812759399414,32.20500183105469,37.7599983215332,56.27150001525879,-0.03212107543640484
2020-04-15,24.36729621887207,31.145000457763672,40.84000015258789,54.51799983978272,-0.3690866895888285
2020-04-16,23.039268493652344,30.934999465942383,40.11000061035156,52.70100002288818,-0.6297790145735149
2020-04-17,24.315889358520508,31.094999313354492,38.150001525878906,51.00850009918213,-0.38142906846657804
2020-04-20,23.716136932373047,30.690000534057617,43.83000183105469,49.898000144958495,-0.5158359615369134
2020-04-21,22.996423721313477,29.520000457763672,45.40999984741211,49.089000129699706,-0.7139004618983587
2020-04-22,22.96215057373047,30.059999465942383,41.97999954223633,48.104500198364256,-0.6913046971355487
2020-04-23,22.730817794799805,29.815000534057617,41.380001068115234,46.976000213623045,-0.7479206953278458
2020-04-24,23.064970016479492,29.899999618530273,35.93000030517578,45.722500228881835,-0.6805974811055318
2020-04-27,24.341594696044922,30.260000228881836,33.290000915527344,44.11000022888184,-0.42149408414851064
2020-04-28,24.73572540283203,30.06999969482422,33.56999969482422,42.93450012207031,-0.35769191850703275
2020-04-29,25.70390510559082,31.06999969482422,31.229999542236328,41.81900005340576,-0.12210551571076891
2020-04-30,24.88994789123535,30.905000686645508,34.150001525878906,40.673500061035156,-0.28383657991474276
2020-05-01,23.63902473449707,29.760000228881836,37.189998626708984,39.9875,-0.5803175766082237
2020-05-04,23.433393478393555,29.604999542236328,35.970001220703125,39.44600009918213,-0.6272682432982107
2020-05-05,22.550886154174805,30.325000762939453,33.61000061035156,38.86450004577637,-0.7542922515194821
2020-05-06,21.942564010620117,30.649999618530273,34.119998931884766,38.235499954223634,-0.851061322899653
2020-05-07,22.056209564208984,31.045000076293945,31.440000534057617,37.64000005722046,-0.8084822361192692
2020-05-08,22.23105239868164,32.88999938964844,27.979999542236328,36.95550012588501,-0.6764534107465617
2020-05-11,21.66282081604004,33.20000076293945,27.56999969482422,36.275500202178954,-0.7664998416447706
2020-05-12,21.01590919494629,33.095001220703125,33.040000915527344,36.03950033187866,-0.8936341733266754
2020-05-13,19.695859909057617,32.584999084472656,35.279998779296875,35.76150026321411,-1.1689572590793902
2020-05-14,21.03339385986328,32.494998931884766,32.61000061035156,35.38650026321411,-0.9226087785174902
2020-05-15,20.421445846557617,33.005001068115234,31.889999389648438,35.07350015640259,-1.0101123658885234
2020-05-18,22.21356964111328,33.310001373291016,29.299999237060547,34.34700002670288,-0.6571558878581716
2020-05-19,20.937225341796875,33.57500076293945,30.530000686645508,33.60300006866455,-0.8826044627666882
2020-05-20,21.435529708862305,34.70500183105469,27.989999771118164,32.90350008010864,-0.7282707513748294
2020-05-21,21.383075714111328,34.18000030517578,29.530000686645508,32.31100006103516,-0.766347448202033
2020-05-22,21.129552841186523,34.35499954223633,28.15999984741211,31.92250003814697,-0.804550160482508
2020-05-26,22.956647872924805,34.505001068115234,28.010000228881836,31.658500003814698,-0.4533593996918211
2020-05-27,24.43404769897461,35.29999923706055,27.6200008392334,31.361000061035156,-0.13316370471330272
2020-05-28,23.795883178710938,35.435001373291016,28.59000015258789,31.229000091552734,-0.24575201945040215
2020-05-29,23.14022445678711,35.95500183105469,27.510000228881836,30.89700002670288,-0.34092687872429384
2020-06-01,23.68223762512207,36.29499816894531,28.229999542236328,30.449000072479247,-0.2208581025828675
2020-06-02,23.953243255615234,36.040000915527344,26.84000015258789,29.992500019073486,-0.18367312105381997
2020-06-03,25.20335578918457,36.255001068115234,25.65999984741211,29.594999980926513,0.06265560073699367
2020-06-04,26.41849708557129,35.459999084472656,25.809999465942383,29.179500007629393,0.24811555127825652
2020-06-05,27.686100006103516,36.1150016784668,24.520000457763672,28.8335000038147,0.5213850026540983
2020-06-08,29.128538131713867,35.20000076293945,25.809999465942383,28.725,0.7430794544170125
