Date,KDP,UPS,VIX,AvgVIX,zscore
2022-01-31,33.8814697265625,165.72381591796875,24.829999923706055,23.18100004196167,0.35475968111896106
2022-02-01,34.05109786987305,189.06497192382812,21.959999084472656,23.448999977111818,-0.9720652316664952
2022-02-02,34.613555908203125,190.22872924804688,22.09000015258789,23.707999992370606,-0.7174467010198053
2022-02-03,34.5956916809082,187.4258270263672,24.350000381469727,23.939000034332274,-0.5566654324909843
2022-02-04,34.140384674072266,184.22950744628906,23.219999313354492,24.119499969482423,-0.6251489109342565
2022-02-07,34.43500518798828,184.4507598876953,22.860000610351562,24.324499988555907,-0.4680686131894652
2022-02-08,34.684974670410156,184.56556701660156,21.440000534057617,24.426500034332275,-0.3303429531364216
2022-02-09,34.533203125,184.45899963378906,19.959999084472656,24.503999996185303,-0.41171403791083677
2022-02-10,34.17608642578125,180.8611297607422,23.90999984741211,24.818499946594237,-0.39882855639435594
2022-02-11,33.952884674072266,174.96844482421875,27.360000610351562,25.171000003814697,-0.16830018404911262
2022-02-14,34.015380859375,175.37826538085938,28.329999923706055,25.62799997329712,-0.1571349033775465
2022-02-15,33.863616943359375,178.0582275390625,25.700000762939453,25.773499965667725,-0.40862681702569903
2022-02-16,33.85468292236328,176.46005249023438,24.290000915527344,25.795499992370605,-0.3162267529124229
2022-02-17,33.85468292236328,172.69009399414062,28.110000610351562,25.92150001525879,-0.08606048030561715
2022-02-18,34.35464859008789,172.8304443359375,27.75,25.866499996185304,0.19485610715324214
2022-02-22,34.43500518798828,172.5084686279297,28.809999465942383,25.811999988555907,0.261040916396382
2022-02-23,33.979671478271484,168.80189514160156,31.020000457763672,25.805000019073486,0.22369437262861366
2022-02-24,32.72084426879883,171.0390625,30.31999969482422,25.723000049591064,-0.6417649530630612
2022-02-25,34.19394302368164,173.31747436523438,27.59000015258789,25.57800006866455,0.07207138582167634
2022-02-28,34.52427291870117,173.70545959472656,30.149999618530273,25.70250005722046,0.23964829680440175
2022-03-01,34.0689582824707,169.7099609375,33.31999969482422,26.127000045776366,0.2199524683402799
2022-03-02,34.470706939697266,174.56402587890625,30.739999771118164,26.566000080108644,0.15621521495318233
2022-03-03,34.470706939697266,175.36476135253906,30.479999542236328,26.985500049591064,0.10732812521437629
2022-03-04,34.711753845214844,173.6807098388672,31.979999542236328,27.367000007629393,0.349712757662724
2022-03-07,34.05109786987305,166.0776824951172,36.45000076293945,28.028500080108643,0.4313716312651246
2022-03-08,33.22079849243164,167.9185791015625,35.130001068115234,28.642000102996825,-0.1617721774514664
2022-03-09,33.59577178955078,170.70057678222656,32.45000076293945,29.192500114440918,-0.11450727390869718
2022-03-10,33.21187210083008,171.03077697753906,30.229999542236328,29.706000137329102,-0.35694884025027473
2022-03-11,32.86368942260742,168.3230743408203,30.75,30.048000144958497,-0.3932376103219553
2022-03-14,33.06902313232422,168.65328979492188,31.770000457763672,30.268500137329102,-0.29450779743590455
2022-03-15,33.33686447143555,173.79629516601562,29.829999923706055,30.3435001373291,-0.45341939404217735
2022-03-16,33.444000244140625,179.8803253173828,26.670000076293945,30.392000102996825,-0.7628333326709625
2022-03-17,33.7475471496582,183.5291290283203,25.670000076293945,30.461000061035158,-0.8098459360137344
2022-03-18,33.75647735595703,181.43226623535156,23.8700008392334,30.249000072479248,-0.6766560470349392
2022-03-21,33.72968292236328,180.42518615722656,23.530000686645508,30.038000106811523,-0.6306853128446552
2022-03-22,33.77433395385742,180.30963134765625,22.940000534057617,29.744500160217285,-0.597776960790237
2022-03-23,32.91725158691406,177.1396484375,23.56999969482422,29.37200012207031,-0.9005005076471695
