Date,INTC,MS,VIX,AvgVIX,zscore
2015-01-30,25.349252700805664,24.881681442260742,20.969999313354492,19.119499969482423,-0.3917473895744024
2015-02-02,25.817270278930664,25.330596923828125,19.43000030517578,19.201499938964844,-0.38155871355384746
2015-02-03,25.855634689331055,25.786863327026367,17.329999923706055,19.071999931335448,-0.4509321601084064
2015-02-04,25.96381378173828,25.58817481994629,18.329999923706055,18.932499885559082,-0.3979540180528292
2015-02-05,26.226533889770508,25.705923080444336,16.850000381469727,18.80949993133545,-0.36976465497257116
2015-02-06,25.73198890686035,26.338815689086914,17.290000915527344,18.823499965667725,-0.5658578062766044
2015-02-09,25.44607925415039,26.2210750579834,18.549999237060547,18.873499965667726,-0.5982762234050697
2015-02-10,26.041093826293945,26.61111068725586,17.229999542236328,18.754999923706055,-0.5550791818731148
2015-02-11,25.925168991088867,26.765661239624023,16.959999084472656,18.57499990463257,-0.6020818689325316
2015-02-12,26.373367309570312,27.15570068359375,15.34000015258789,18.267999935150147,-0.5856521143934732
2015-02-13,26.55108070373535,27.0673770904541,14.6899995803833,17.88299994468689,-0.5384692819794993
2015-02-17,26.844728469848633,27.17041778564453,15.800000190734863,17.62549991607666,-0.5021796899843024
2015-02-18,26.481536865234375,26.765661239624023,15.449999809265137,17.403499937057497,-0.5006482540849855
2015-02-19,26.43517303466797,26.736215591430664,15.289999961853027,17.22549991607666,-0.5041725465325744
2015-02-20,26.5897216796875,27.03795051574707,14.300000190734863,17.12049994468689,-0.5264992063346772
2015-02-23,26.087448120117188,26.69207000732422,14.5600004196167,17.015499973297118,-0.5601787542081147
2015-02-24,26.5897216796875,27.03795051574707,13.6899995803833,16.9239999294281,-0.5264992063346772
2015-02-25,26.234272003173828,26.927555084228516,13.84000015258789,16.754999971389772,-0.5728251450272801
2015-02-26,26.00244903564453,26.537521362304688,13.90999984741211,16.428499937057495,-0.5498076162479892
2015-02-27,25.693355560302734,26.338815689086914,13.34000015258789,16.157499933242796,-0.5729012035989528
2015-03-02,26.319271087646484,26.66997528076172,13.039999961853027,15.760999965667725,-0.5142160817417362
2015-03-03,26.350173950195312,26.36089324951172,13.859999656677246,15.482499933242797,-0.45684930274766217
2015-03-04,26.36563491821289,25.823673248291016,14.229999542236328,15.327499914169312,-0.3641130916223244
2015-03-05,26.064266204833984,26.140121459960938,14.039999961853027,15.11299991607666,-0.4720224814501877
2015-03-06,25.646997451782227,26.147462844848633,15.199999809265137,15.03049988746643,-0.5493251564720724
2015-03-09,25.283809661865234,26.250499725341797,15.0600004196167,14.918999862670898,-0.6327851989742224
2015-03-10,24.495616912841797,25.669116973876953,16.690000534057617,14.825999927520751,-0.6791744950880637
2015-03-11,24.982440948486328,25.72063636779785,16.8700008392334,14.807999992370606,-0.5990427747248847
2015-03-12,23.80016326904297,27.295516967773438,15.420000076293945,14.73100004196167,-1.078184880355759
2015-03-13,23.900615692138672,26.750932693481445,16.0,14.764000034332275,-0.9687209440394422
2015-03-16,23.82334327697754,27.030590057373047,15.609999656677246,14.810000038146972,-1.0296165703673361
2015-03-17,23.637880325317383,26.898117065429688,15.65999984741211,14.803000020980836,-1.0412563183347865
2015-03-18,23.869699478149414,27.030590057373047,13.970000267028809,14.729000043869018,-1.0211651890529765
2015-03-19,23.75379180908203,26.574316024780273,14.069999694824219,14.668000030517579,-0.9659276819226953
2015-03-20,24.19425392150879,26.861318588256836,13.020000457763672,14.604000043869018,-0.9336624971093019
2015-03-23,24.1092529296875,26.721500396728516,13.40999984741211,14.54650001525879,-0.9257572237649025
2015-03-24,23.79243278503418,26.66997528076172,13.619999885559082,14.543000030517579,-0.9748939085534466
2015-03-25,23.09697151184082,26.088607788085938,15.4399995803833,14.623000001907348,-1.0043795186235818
2015-03-26,23.243793487548828,26.213712692260742,15.800000190734863,14.717500019073487,-0.9985513216185292
2015-03-27,24.72743797302246,26.368263244628906,15.069999694824219,14.803999996185302,-0.753930236106847
2015-03-30,24.310161590576172,26.721500396728516,14.510000228881836,14.877500009536742,-0.8891287757988575
2015-03-31,24.163341522216797,26.265226364135742,15.289999961853027,14.949000024795533,-0.839527029735142
2015-04-01,23.807884216308594,26.471281051635742,15.109999656677246,14.993000030517578,-0.9388203532861827
2015-04-02,23.807884216308594,26.537521362304688,14.670000076293945,15.024500036239624,-0.9499073577802951
2015-04-06,23.985610961914062,26.427125930786133,14.739999771118164,15.001500034332276,-0.8990278064361361
2015-04-07,24.155616760253906,26.44920539855957,14.779999732971191,14.9875,-0.8717289426057444
2015-04-08,24.19425392150879,26.6846981048584,13.979999542236328,14.851999950408935,-0.9041005570547423
2015-04-09,24.140161514282227,26.964351654052734,13.09000015258789,14.66299991607666,-0.960769506502401
2015-04-10,24.67334747314453,26.66997528076172,12.579999923706055,14.520999908447266,-0.8142908878909656
2015-04-13,24.518800735473633,26.71413803100586,13.9399995803833,14.417999887466431,-0.8498586733212554
2015-04-14,24.333343505859375,27.111536026000977,13.670000076293945,14.320999908447266,-0.9501847944607633
2015-04-15,25.36880874633789,27.516300201416016,12.84000015258789,14.179999923706054,-0.8291526573104537
2015-04-16,25.399715423583984,27.494218826293945,12.600000381469727,14.111499929428101,-0.8198220584589286
2015-04-17,25.090620040893555,27.045303344726562,13.890000343322754,14.102499961853027,-0.8010370041267121
2015-04-20,25.291528701782227,27.199844360351562,13.300000190734863,14.116499948501588,-0.7902749344649936
2015-04-21,25.059707641601562,27.045303344726562,13.25,14.10849995613098,-0.8066727651932784
2015-04-22,25.268352508544922,27.37647247314453,12.710000038146973,14.062999963760376,-0.8240634944141567
2015-04-23,24.997888565063477,27.508935928344727,12.479999542236328,13.914999961853027,-0.8955439752477692
2015-04-24,24.78925895690918,27.494218826293945,12.289999961853027,13.739499950408936,-0.9311167772939917
2015-04-27,25.113801956176758,27.26608657836914,13.119999885559082,13.641999959945679,-0.8337643200389262
